feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
CE 18:2	0.10035516855278126	0.01893001893201841	0.41359790231686594	0.08218465073122752	0.014328688241241573	0.40348011780133863	2.284316080370293	3.1494558947828386	3.529009278780475	0.7705986925577868	6.560517046563172	0.5655181560548955	0.9978217132312174	6.441133802780575	2.4114809041082927	1.5213187527222456	0.30067561114861824	2.0437477744356642	0.12051175388626607	1.4026767780278386
Cer 40:1;O2	3.6647904325806917	0.10471493610968527	1.357506450693015	0.0012057623540121414	0.44947243070150456	0.06349242662770145	0.11490874139935495	0.37449604032025063	0.00515358466352812	0.02763893050174252	4.354993106562366e-4	0.07414000225287741	0.048143700940756956	0.28939224313835243	0.0769824849175844	0.02629310089455928	0.0017636405964881572	0.17595082862053044	0.16363269537581304	0.5013188753411707
Cer 41:1;O2	3.453263595251532	0.10374479869155662	1.5269930616311553	0.00901595316958915	0.5721860136428328	0.06270361567851464	0.154382799821652	0.2540252265967253	0.07851380594222576	0.10730040702166734	0.02076006032186128	0.3359443449856046	0.003817900285537398	0.27712536919874614	4.2719131089281003e-4	0.006474468227772181	0.06283529951422882	0.2911183783115555	0.050596513103396024	0.1493154045939352
Cer 42:2;O2	1.1423387817960737	0.26713485274406656	0.3825266182891238	3.0296100093628633	0.9943231630756779	0.19975157587838327	0.08581417071915394	2.2436132236514106	0.03215153809948533	0.4860690132679317	0.5048718141457325	0.3187029283366747	0.10060463591329549	0.5198842858466443	1.3340597393463831	0.8055924727489011	0.27520388102133203	0.1604226821217597	0.6150344730536883	0.4992839117472726
DG 32:0	0.5141675020164251	1.8910615276354645	1.2717093685290488	2.051510210485702	0.163220036892423	0.3489139467023744	0.0081478961839995	0.8871831163254654	0.23456629331400491	0.9756350923778367	0.1010873621071213	1.246615306859117	1.3888162829248254	0.01376079833910605	0.01705953664613912	0.4188293886592104	0.720005295794301	0.006200558005669129	1.0761056939188822	0.019619851850171458
DG 32:1	0.06697484432364408	2.5247637952382074	0.5487150618500317	1.0270443419721496	0.0033001094955028816	0.23664207208084323	0.08465551141781506	0.013734604560013039	2.1536757114776446	6.503217739487716	0.018449574955271972	1.368006964351291	1.4515950904232073	0.4015606530241297	0.07998455460297861	0.39186965862564216	2.7821713623930977	0.002762241979486399	0.09885884049034804	0.02748698355254008
DG 34:1	0.6346546276417275	1.8097732397303197	0.08626132689523631	0.23812360843129443	0.06657135023343487	1.1785003776153928	0.5802312410488009	0.3070996663004934	4.456233460569782	1.3710995869655687	2.075977255187678	0.7772242566787138	3.094835031561795	0.3685629436791921	1.1194637348412473	0.4790909617253077	1.431482722726438	1.0160094334920065	0.023373716116362027	1.2036448258981582
DG 34:2	1.2269819123340402	2.0155953440709253	0.42028018424250396	0.7502664635784067	0.27063438697031367	1.2415579882436698	1.026985825946261	0.01092294083050162	0.8145272031415298	2.407992504673504	5.745494279565231e-4	0.40433139970649745	0.01651944769131584	1.147713675192227	0.0021076766012866673	0.3471116283834268	0.1419966954734586	0.04809453597127626	0.6404727257117935	0.02814159935703255
DG 36:1	1.1191864323651592	2.6318867650641606	0.00483496422446311	0.001986266748279347	2.174209709144676	0.002439433902395473	1.6533901663899349	0.1427647199436595	0.17138977069066552	0.5995974563502957	0.0962453733166382	0.28907216087474363	0.37363554614886374	0.6164853580831878	1.09586355271836	0.9893262239383926	0.008439912037466048	0.20768949696367087	2.03169133475739	1.2387877099065512
DG 36:2	0.010964611834517041	0.1549014301801866	0.2558531505550805	0.6213416300462467	1.0468713895547803	4.193246387169426	0.47169737692498154	0.00755275792020703	4.847753066716504	3.236464617796004	0.8667240522398156	1.0355138293997672	1.3182225562907588	0.0034657624477489367	1.0361862339707155	0.32541592701624555	1.5370653315821459	0.25311516124078753	0.7568905966041894	3.868548849720023
DG 36:3	8.35447613497613e-5	2.056542203724866	0.1426374652540802	1.192897252376321	1.0620634110655134	0.17158777984456028	0.2524077420250774	0.30819153421133955	1.6345823114091051	0.07137849857872734	0.6477436735342957	2.4463886577643112	9.648388598925875	0.08764599868106532	2.3311700430208755	0.001474199126100139	0.9125827864845767	0.7996407647013908	0.1811202357363411	1.8981282270044513
FA 14:0	0.6472697712528954	1.0080855628802108	0.9897542614210803	3.1193811031324636	0.9796694551985943	0.012041478083590525	0.0616407498139111	0.673506152941083	0.0389117977146636	0.8418504871435889	6.738047769577124e-4	1.5282525399239575	0.06735155020104935	0.33059719925304243	0.262216015271714	0.527110173142394	0.2922786852353098	0.1132935093240456	0.0017510663187534138	0.09914459707625373
