sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
BS-082D10	2	-7.063603619668948	-2.477690166647554	-3.400713741712794	-0.8169880056344205	3.9128621148923957	3.902288982123527	-2.140474988686659	5.303581000647689	1.5889615289045098	2.193901117130067	-0.5799594708708675	-0.8047376401485551	-0.3931627090954144	1.297643527225463	-0.314475380342646	0.3646081031577577	0.4184051497354861	0.063414900411952	-0.1635058093705154	9.236938626159686e-15
BS-364D10	1	0.9332355489665528	0.696657833615302	2.183442987270592	-1.2055903855375678	3.43482588967423	-2.006320598463737	-5.014249278277326	-0.035382856819713634	-3.090261604606339	-1.1867362773701202	-1.1951169384533458	1.8759512420391762	2.4838553373023102	0.02393686312949925	-1.976847731478122	0.7303115776572073	0.3104129479568936	0.3089217473130268	0.5611110047370763	1.104164713481994e-14
KT-193D10	1	1.7515514235592768	-0.7375390975754498	2.9944720962274243	-2.6776021773106997	-2.5971435872239246	0.8181693202048373	2.3479738818280684	1.460665897826261	2.2977385696510866	-0.10216888020008791	1.9096392014215795	-1.0306869257679303	1.8341964460535816	-1.2000857824783948	-1.24013107997188	1.4396167336562895	-0.6141378878337986	2.426079754388333	-0.29799529442897604	1.0195328209864886e-14
KT-247D10	1	0.8105422421553675	0.9679089036189149	3.9378866896885785	0.32301932624250546	-0.0741278567467789	-0.7005384451977463	0.8832231031211359	-0.7720143741465685	-1.1095069398225008	-0.026487631288018527	-3.4260702316585263	-2.975855354271133	0.577410425980945	2.03844541786201	0.40827575305402886	-2.408496133099723	-0.19559759225643167	1.1235388100356836	-0.30674804987059995	1.002716504184214e-14
KT-312D10	1	-2.9804828445690945	-5.7856460997562085	8.894567562361571	1.1926992225108455	-0.5252723044591533	-0.03309178312759806	-0.9337999721832849	-1.5806321804266128	3.707884256468041	1.3916813255379625	-0.29029091946296876	2.4750397903092516	-0.9173914203959036	-0.24285719590288402	0.305309661019971	-1.0178829478652698	-0.5549010844114663	-0.21334917348072216	0.6889915253467958	1.068626336570474e-14
KT-313D10	2	-8.657144625290083	-1.1269395634799786	-0.2897210540766281	8.857854794212011	3.233467057098399	-4.256433322734647	2.2398810273077676	-0.30460584530878526	-1.539777433540367	-0.6083473626447744	1.9071632197662252	-1.142646113098278	0.24493992256586528	-0.8612515454024117	-0.07385593184151558	0.07410726631308424	0.06431431208269835	0.1398024982933366	0.2582107252187352	1.0279999314998529e-14
KT-347D10	1	3.5184663015941964	-0.17383677274330023	-3.145220193460737	2.278917322991628	0.4776437721534541	-0.19257615886097804	0.7428162421755339	0.13557693853144065	2.8397208779289724	-0.8947695802173682	0.6475172177987126	1.6243633121586254	2.0986218407606008	0.0486094534911794	-0.11293717243100905	-1.8910604754557756	1.7213282565795422	-0.6480557478187106	-2.1217270833441924	1.095810482829508e-14
KT-412D10	1	2.8783534217983844	-2.0450028549189563	-4.444551141261732	3.243794773726446	-1.4721382753976948	-0.8648556869638365	0.4240083490591835	0.08481459800826124	-0.8904912669173888	1.02581020599168	-2.8229363144414497	0.9652017763695137	-1.6619810973252356	-1.45871111427374	-1.396494956424684	0.6575267813279054	-2.511647737127307	0.08326963995271594	-1.3052828983973246	1.0484276735292397e-14
KT-417D10	1	3.508342097645188	7.648225703854713	1.4708496300077294	0.9345435627578341	2.6467946123113903	-1.2503493250034552	0.2874538792086532	2.5624426855560922	2.929753426247226	-3.7063395368370706	0.19969250826784768	0.5410668066934553	-2.242992975540175	1.178963471062657	0.03757894839294942	0.36853521495034897	-0.8410626945728217	-0.08749444815693551	0.4600140579746964	9.154062872917435e-15
KT-445D10	1	1.9755447702250968	0.2019668908942954	-2.6352370301301424	3.664488204979297	-2.309771123333723	5.935812968020723	1.7449286204183931	-0.04769540655540508	-3.3415188633030697	-0.24359872714481431	1.5488903516523727	2.2245091282260203	0.17723695727683283	1.5841239926803241	0.279763648786498	-1.1029455497174547	-0.5635104820736503	0.7932768906482583	1.1062598572266371	1.0569941282816018e-14
KT-522D10	2	-11.85107719873829	4.329694882089965	-4.082352153436417	-7.2816141428387215	-2.4754913995083507	-0.8793832656932533	1.2985339680505594	-2.7372222681446656	0.3882559210608685	-0.9209319472098914	-0.4770380960709796	1.2097988370864736	0.08363887537059547	0.12847275724582052	-0.10135772944348116	-0.44959202331871223	-0.474506171865918	0.03837106646398425	-0.11507971549829549	1.122677913255636e-14
KT-525D10	1	3.0052334696383824	-3.6108587677980535	-0.6942798506313239	-4.100549305122892	0.21903479063659004	0.23398734004840177	-0.12757686914420183	-0.22453689700188384	-0.470825435142557	-0.5654420042246356	2.3918950375059413	-2.2528520432310555	-0.2825389115788231	-0.26625344338367013	-2.343828588977175	-1.7120838500815287	-1.1626020969232906	-1.917968867000473	0.587089519774685	1.0346238291798848e-14
KT-537D10	1	3.7493097149716488	1.7286398780688923	-2.6754130451764655	-1.3794749189581577	-2.463390500221855	-6.0369148260070515	-2.3784681031758295	1.2358005344033662	-0.19887888662498526	3.330733440547659	2.0133646880895295	0.2451623905351559	0.36849412992108116	1.3672794134959678	2.0039230194316824	-0.1402335654972515	-0.8400966329073114	0.17688259943767873	0.21136575349032535	9.78690712875065e-15
KT-538D10	1	-0.11001598573954581	-4.870188024019949	0.9919985352298678	-3.1907306013284416	-0.6802431869888494	0.5277867299812762	-0.784250593215401	2.822236587626087	-2.4185617675411524	-2.9769530765756844	-0.3455989615348617	-0.11815073975938335	-0.061278312412334744	-2.3513987148090822	3.2368472147473084	-0.22166593986708058	-0.13816772589309737	-0.19313853420644345	-0.30972501236570626	1.0531210848873002e-14
KT-539D10	1	0.3417827244859346	8.138044069365954	1.33692795139172	1.8875764329359945	1.2276843830799455	4.14250478965285	-3.7573884947743994	-2.7166313257388532	0.16204605775588296	1.6859413096855502	0.8965539305501458	-1.3323510737815523	-0.3890929565042142	-2.6471887733719477	0.7383820415355821	-0.3841054948263656	-0.019791763069210835	0.013328974137953455	-0.3589589173199844	9.75246795196614e-15
KT-565D10	1	2.892700985083234	-0.4650411201051856	1.8938529791614047	-4.265228616575396	3.134783510679348	-1.199619921228179	2.4744254253468876	-0.6740346682105491	-2.81691301523618	1.5367587017685078	0.7554742569376818	0.7865026557940596	-3.097370663851026	-0.19421683611074617	-0.6392564880555233	0.11686107540970112	2.423385100281942	0.7323653504360991	-0.5804992075156536	1.0503195508869078e-14
KT-663D10	1	0.7003675433090585	-3.271117141569245	1.3058841608322957	-0.09878734182983641	1.5592169025248803	1.9323102518109867	-0.3745669826848395	-4.115393298309852	-0.20283524557063562	-0.8542065600852895	0.8148374015832363	-0.8427289038904137	0.22989664868464155	2.647293576790076	1.099626291284731	2.8056015184853855	-0.5842040414043902	-0.7456728685616242	-1.1837512298473514	1.0529356411658811e-14
KT-695D10	1	4.856138339904093	-2.5458631078504226	-6.673949728105531	-0.6319916159636372	3.426770361575487	-0.17877399693601853	1.6445738008433892	-2.628877899476753	2.719540830478341	0.2358040095641174	-1.8559164688570047	-0.5100466266610517	0.6667105535256026	-1.0064049716284285	0.8836197514547153	0.5635825830885326	0.8054266313925397	0.23855401129686116	1.9824771012182116	1.0275622020911337e-14
KT-705D10	1	0.45692849669925406	4.620023358625585	4.252370388290601	0.1422264212444036	-2.0431368339913587	0.5658677925557101	4.326110475899498	2.246914189842365	-1.086404182256489	1.924978817850728	-1.5289935714278133	0.19794823963470712	1.5995198211526256	-0.38265623535738746	0.10235809852291379	1.3383545454874166	0.43806799275714386	-2.166033455431831	0.4165710393425739	9.888628174790082e-15
KT-723D10	1	-0.7161728060297228	-1.2214388036693147	-1.2208150424700261	3.1234370494988206	-8.632368326754415	-0.459870844181821	-2.903153491117098	-0.015005412301929479	0.5320731720667411	-1.2396273442785002	-0.5631068407954621	-1.1354887582370456	-1.3187119118915684	0.29625613973569664	-0.8964993692643314	0.8689605801955259	2.318885519552473	-0.16609314815911222	0.47118263362886653	1.100092584627428e-14
