"","post.hoc.pval.signif","Total.C","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","16","CAR","severe(exp) / mild(ctrl)","1.16e+00","1.00e+00","8.64e-01","-2.10e-01","Two-way ANOVA","7.65e-01","3.83e-01","t-test","8.77e-03","2.0568","4.39e-02","1.35780","yes"
"2","yes","18","CAR","severe(exp) / mild(ctrl)","2.48e+00","2.13e+00","8.61e-01","-2.16e-01","Two-way ANOVA","7.65e-01","3.83e-01","t-test","2.85e-02","1.545","7.12e-02","1.14729","no"
"3","no","8","CAR","severe(exp) / mild(ctrl)","1.06e+00","9.75e-01","9.19e-01","-1.23e-01","Two-way ANOVA","7.65e-01","3.83e-01","t-test","1.21e-01","0.916","2.02e-01","0.694","no"
"4","no","2","CAR","severe(exp) / mild(ctrl)","1.07e+00","1e+00","9.37e-01","-9.42e-02","Two-way ANOVA","7.65e-01","3.83e-01","t-test","1.85e-01","0.734","2.31e-01","0.637","no"
"5","no","3","CAR","severe(exp) / mild(ctrl)","1.06e+00","9.9e-01","9.38e-01","-9.23e-02","Two-way ANOVA","7.65e-01","3.83e-01","t-test","2.47e-01","0.607","2.47e-01","0.607","no"
