feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
14:0	0.10099053485424545	0.12195605488191227	0.048723790403379375	0.045338145029542413	1.2075988611994708	0.2721413014618151	t-test	1.312055484233071	0.2059885582448014	0.6861569021024438	0.29426936892114486	0.5312549421167007	no	no	14	0	ns	ns		0.2721413014618151
16:0	33.81191868633854	25.61820887517757	5.538331731290811	5.782797475274918	0.7576680020092567	-0.40036227390314094	t-test	-3.202072842478272	0.004939927713686257	2.306279406091913	0.023524660449932105	1.6284766363719083	yes	yes	16	0	*	*	*	-0.40036227390314094
16:1	0.8149159567287817	0.9924202356426767	0.3368087533828331	0.4202040093835046	1.2178191228779331	0.284299872238537	t-test	1.0748046567874374	0.2966591455809689	0.5277422584368449	0.3904224876766608	0.4084651756554002	no	no	16	1	ns	ns		0.284299872238537
18:0	11.72144248383389	8.308113522763284	2.321666865836617	2.5197596429679017	0.7087961685792308	-0.4965572895083744	t-test	-3.1735926016100375	0.005258908873071165	2.2791043546220306	0.023524660449932105	1.6284766363719083	yes	yes	18	0	*	*	*	-0.4965572895083744
18:1	11.138616065989048	15.283495636241932	1.9379267828066997	5.518957849343876	1.3721180033226006	0.45640455985445766	t-test	2.389007496845969	0.02805224355766128	1.5520323990870606	0.06327194838300808	1.1987887917624334	yes	no	18	1	*	ns	*	0.45640455985445766
18:2	6.162626370725464	7.762754745937358	2.0056131256496608	2.643856048274967	1.2596503956191534	0.333023382541048	t-test	1.666535901511944	0.11291244832897156	0.9472581755014473	0.18104361852576561	0.7422167787060695	no	no	18	2	ns	ns		0.333023382541048
18:3	1.9490233703191857	1.4828324372839061	0.3812793351800243	0.46782295914154465	0.7608079307130459	-0.3943958098603531	t-test	-2.411436602764321	0.026790080101580828	1.5720259878616478	0.0625101869036886	1.2040492025670535	yes	no	18	3	*	ns	*	-0.3943958098603531
20:3	0.8826430096163305	0.6164879982636452	0.349442881253138	0.3623841010593392	0.6984567843930717	-0.5177572403414721	t-test	-1.6535412311088655	0.1155546114340473	0.937212718463551	0.18104361852576561	0.7422167787060695	no	no	20	3	ns	ns		-0.5177572403414721
20:4	2.686338339026265	2.3534869505394727	0.9196940837096893	0.8659313616376729	0.8760947630269673	-0.19084116712148746	t-test	-0.8903867060386149	0.385004872506881	0.41453377415523696	0.4728130013242398	0.32531058981347155	no	no	20	4	ns	ns		-0.19084116712148746
22:6	0.7052993762203641	0.9187502782166179	0.2818556586382834	0.3858371283479902	1.302638722212003	0.38143701794753726	t-test	1.1694386500233194	0.25748020339890443	0.5892561564679288	0.3466079661139098	0.46016146008847114	no	no	22	6	ns	ns		0.38143701794753726
30:0	0.019189043953700653	0.0227266953688016	0.01531905905463701	0.006379620801092551	1.1843578775282706	0.24410508613661366	t-test	1.5556406330262604	0.13720048938631443	0.8626443395228763	0.20878335341395676	0.6803041311901935	no	no	30	0	ns	ns		0.24410508613661366
