feature	log2FC_severe_vs_mild	p_ttest	p_wilcoxon	padj_ttest	padj_wilcoxon
9-HODE	0.36685841184385687	0.26958703075003987	0.2510145772304082	0.5990822905556442	0.5783515960009762
9-oxo-ODE	0.8312501526369834	0.1934414757548912	0.1054239980293085	0.5990822905556442	0.5783515960009762
13-oxo-ODE	1.0925375200810998	0.08161764711001529	0.07332300377888727	0.5990822905556442	0.5783515960009762
9,10,13-TriHOME	0.6966197171832139	0.2609212257898798	0.17724908163929814	0.5990822905556442	0.5783515960009762
8-HETE	0.36225736734529984	0.14852197891787453	0.3116838858101843	0.5990822905556442	0.5783515960009762
15-HETE	0.26778891173091407	0.2667553456657422	0.5270732139551295	0.5990822905556442	0.7750219680653445
5-oxo-ETE	0.6989149834158983	0.18766768327778832	0.22916872968448201	0.5990822905556442	0.5783515960009762
13-HOTrE	0.3903934357795865	0.20077157461269018	0.22916872968448201	0.5990822905556442	0.5783515960009762
17-HDHA	0.4676191228870528	0.11694836862297169	0.239920557124697	0.5990822905556442	0.5783515960009762
9-HOTrE	0.446905480816919	0.3024661556823644	0.286371049303751	0.6049323113647288	0.5783515960009762
13-HODE	0.23759552076095625	0.3762549889712985	0.33839381686804326	0.6466202770308528	0.5783515960009762
12-HETE	-0.21773233590404165	0.3941841210563003	0.3116838858101843	0.6466202770308528	0.5783515960009762
LxA4	0.5313788819815563	0.4203031800700543	0.3470109576005857	0.6466202770308528	0.5783515960009762
9,10-DiHOME	-0.35406224269766795	0.4552621447919315	0.5812664760490084	0.6503744925599022	0.7750219680653445
12,13-DiHOME	-0.33589964431556935	0.49594885773450015	0.6572327233769009	0.6612651436460002	0.8215409042211261
9,12,13-TriHOME	0.1304870150475233	0.7819326376620037	0.9037424901941793	0.9199207501905926	0.9464355829173079
8,9-EET	0.13535494259104788	0.7734956014986225	0.9016154284184249	0.9199207501905926	0.9464355829173079
5-HETE	0.03034874812023013	0.9425901764503573	0.5812664760490084	0.9552698585852868	0.7750219680653445
TXB2	-0.10460663201203671	0.8887285282024028	0.7572062024644222	0.9552698585852868	0.890830826428732
14-HDHA	-0.013349055356670119	0.9552698585852868	0.9464355829173079	0.9552698585852868	0.9464355829173079
