feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
CAR 16:0	0.08814592051383466	0.9623523008439099	0.7828443715109786	2.5702087916083927	0.15503982649558853	0.033823138927914845	1.3814015207210675	0.8303523523246746	8.558674103530949	0.7948791869513512	1.1485046615439798	1.3411967351540188	2.1063535682472505	1.1402458151647037	0.04235737064518653	0.35005109704459303	0.21488709217307828	0.6690341262462534	1.4529750517327633	2.1132278257137926	4.761131356220433	5.502812844429188	0.005727235566561652	0.0426010936098696	1.2634558322628349	0.15850489224043549	0.03642693953971427	0.10315333644173258	0.3841884394673839	0.06101920920925731	7.99674907815301	0.012384984017837284	1.7851974683533045	1.411387433397856	0.07497232119060232	2.030527487511735	1.880860709984959	0.017887152271255907	0.25710748882536866	7.451632992843945e-4
CAR 18:1	0.4732719192605138	0.44827031404264855	1.7677515228584633	2.414905845016025	1.4891971085633346	0.23739635584682559	0.01006217204463044	1.2000257172833169	2.724452072888521	0.0016425739394357603	1.616294346656325	2.0390284635006815	0.7235834052818388	0.01119297158425494	1.114163774899876	9.543459632047346e-4	3.4464950784836894	0.13440675573921024	0.014231079041155822	0.053739765441091915	0.01668268713761821	0.335552748485561	0.24698922992197747	2.1967022237668283	0.605739850519424	0.30224012529147615	0.158772583434645	1.8477638166834338	5.178089121974373	0.5761545315841198	0.42535699708626673	1.5872626161911354	0.22818286551348818	1.26930873487585	3.8627565106157706	3.1929108723848394	8.245179001401616e-4	5.20980417432379	3.951710675562038	0.06138156537548097
CAR 18:2	0.22900099828040285	1.4762840055391035	0.5744396121716011	2.8330547327811066	0.3052249684135693	0.005042074149772943	0.9188934844003745	0.888152723145922	5.247671170382698	0.40200386059394216	0.5707137476135598	2.6777736026179793	0.05730892896058252	0.2071508362516201	0.4790588790644142	5.507165991084002e-4	1.1191912633941117	1.1725352064677368	2.0209942502767277	0.07607772371723368	1.233637599724325	0.30139078638894357	0.14085007135586472	0.04374478234122807	0.08780043918107502	0.5993458343622211	0.1880008724355108	4.127162930765864	3.6918598399405207	0.1777076141615173	8.553414127774033	0.043933808067024516	0.5746053866751428	3.0222272845648375	0.15720780562818643	0.28119868586263175	0.340889423255415	0.7953873324531512	3.425186457982396	0.11196777983693622
CE 16:1	0.29250031313972036	0.005817252602958055	0.516517943074969	5.280492212489397	1.22408662834573	0.7598457926343511	5.626757913840675	0.015241217365613246	0.03736076538599297	1.8174040682776438	0.36196151828802214	0.18024224033882105	0.13388087775081847	0.12419799147929939	0.001162066544052461	3.091843079716077	0.0478842356698238	0.6321687431390922	1.0488442574296561	0.23636662359010005	3.99849704202402	4.042096477197408	0.24687564850255428	0.43868539396966894	0.252930317918395	7.208077863200328e-4	3.598929887254702	0.5117278599746108	0.1181823339370114	1.7336618375913713	1.0495189100678977	1.8412360310421563	1.556478897396551	0.5287265060962282	0.046449529907819205	0.006976505513666073	0.5182288481048806	1.5570440675960915	2.788152728549671	0.16927437119636818
CE 18:1	0.002534977895035129	0.14888249500674205	1.7009440447682338	2.1003024294969745	2.9187903503116255	2.8842132854866227	1.993341022029633	0.4292596812038633	0.4689143371921771	3.8475115188769435	0.33664047505511446	1.1794886581183208	1.2254051375267505	1.571779857379166	0.9026493922008293	0.18190911627663828	1.6501353018978866	0.09203259167888636	0.032949982845950264	10.200558039100098	7.151483930355454	2.394489001887007	0.4731060081603057	0.5670314305080363	0.30889777285936626	2.192588601735892	0.03949840272307632	1.3273705853866935	4.993750233738637	0.6458244143646387	0.28830320814940097	0.10310534621722765	0.718110169932311	0.22087495831949397	5.8994140424347625	0.40730970266996913	1.194735608566367	0.40023493277751726	0.7035515431885205	0.0051128983177270906
CE 18:2	0.009598206653947798	0.5200264978164025	0.4106196077785629	7.642821478843495	0.9477629492666768	0.9256297313024363	0.4477853280072159	0.45390352244119797	0.5803035149323903	0.14118444966994495	6.3066251230415755	0.3941069287747471	0.17679659760607155	2.2850580782716863	0.02027059270686044	1.235313410968885	7.819137579970242e-5	1.617570002581488	0.6659002872901889	3.4822358145459074	0.2435596073074296	0.039069535373269376	0.6104672221344982	0.04553243914160011	6.073736412400472	0.14886338201075835	1.6746415861595922	0.1991384385806381	0.013802464475821764	1.6359937200156889	0.32012441945189896	0.5848230777361214	1.4706504493248205	5.099824294406789	0.33976961378764675	0.006770727685474023	1.1846554668013036	3.2740450347956136	0.5214787357704913	0.010283234368090173
Cer 34:1;O2	0.00753947105249477	0.40155870540700717	2.3150020829703597	0.9767426204635242	1.8383668450061983	1.3569107188711855	2.6905731279473724	0.13962461917262062	5.4728768915465595	0.26896000204045306	2.1139982194780877	4.533015832150673	3.1168617959502605	2.165131530139198	0.17326336995593666	0.08581875140531749	2.110095917658695	0.04331222037906904	0.8892379105811352	0.0699151548800906	0.45990506303954054	0.06580148820151994	0.31100607369767586	0.9283877380615351	3.809394837814194	1.207495976253342	4.315119486806716	2.6606467342691666	1.057011392229085	2.8727999229011343	0.017604293999142862	1.0445652618393284	0.24231994072801363	1.594879106015018	0.16792758724431056	0.24603319566020332	1.4385746803886674	1.6479637696097995	5.191937624788781e-4	1.0595999863225098
Cer 40:1;O2	1.8631821763445813e-4	0.16674515052733302	2.486042686762015	0.19443206079890957	4.7933488826668285	2.707027319639918	0.15724573011829968	0.13961382760036542	6.745171561755177	0.01002397109429678	0.009452177043560163	0.46887557788073925	6.941813454151044	0.4899498785344756	0.02661045476858024	0.9511013353309933	1.022960230614712	1.242637502543586	0.22253261938565297	1.1150517513466918	2.1569464621084884	0.5526754448673533	8.512198575360957	2.145716060305394	0.015986692308651844	0.025167079509562876	0.5532076076793295	0.7878736883627284	3.349586222428652e-5	0.13091640377570427	0.016489061827654205	1.0740226076293735	0.06178707776156113	0.6947786556244159	0.21124843199824203	0.543499885485239	0.02500020807938446	0.006284801400438239	2.438811658990034	0.6205555585252915
Cer 41:1;O2	0.3202393037370072	0.19169082264592918	0.9554207991061827	0.002665760164930358	4.406265329168109	1.317629808834326	0.004270214356071007	2.315034920176805	0.18924760738934432	0.29605231862803	8.013902306214044	0.1290295888074814	0.08430293641669635	5.023222557299262e-4	0.3562098394783845	4.892104669080648	3.305180776565518	4.277279100731993	7.549818461567663e-4	0.011297128073105525	0.36032912139481754	0.3345740002609719	6.403237498924736	0.28872929998919444	0.5745362612714321	0.3145600293305114	0.04187671592973758	1.3864689078634072	1.2533481377240687	6.386446723719118	0.9671640182760459	0.2988024512540529	0.9711253644665155	0.24850203158567005	1.8687275285188611	0.9586792718182005	1.9803583784213878	0.04289463352823395	0.02535514748144213	0.9299037543972808
Cer 42:1;O2	0.6427537902301729	0.04148372415404067	0.7535239271948841	0.9852251389176575	2.168833903129916	1.5714347518193832	0.2734141715411615	0.027823894572823617	1.7747488088780026	0.26647306359213924	0.610178709952454	2.147174954481713	0.7830092861494491	2.95263349592493	2.036325508774641	0.014067829115451852	1.0769843858965216	0.0769525275968201	1.906891503046913	6.582916461616456	1.8229818081647196	0.4020337711447943	3.5508230138400014	0.6123642416327121	2.308629402956236	0.6011858829407365	2.604315952434156	9.304991832044821e-4	1.32950535951778	2.1322719973142434	3.554519774012841	1.5445800291044602	0.10044009707360205	0.571480068911046	2.075970680907081	0.07993309752435593	0.001722674628681875	3.140868453286722e-4	0.28944862858906845	0.1266569754429303
