PC	LPC	FA	SM	CAR	LPC O-	CE	Cer	PC O-	PE	PI	DG	TG
0.06330645161290323	-0.37500000000000006	0.37419354838709684	-0.3096774193548388	-0.02298387096774194	-0.40967741935483876	0.2717741935483871	0.004838709677419356	-0.030645161290322583	0.2665322580645162	0.2407258064516129	0.4770161290322581	1
-0.12056451612903227	0.15725806451612906	-0.14233870967741938	1	0.27298387096774196	0.24677419354838712	0.15443548387096778	0.41008064516129034	0.14879032258064517	-0.05887096774193549	-0.14032258064516132	-0.3701612903225807	-0.3096774193548388
0.7008064516129032	-0.6814516129032259	-0.4205645161290323	-0.14032258064516132	-0.6072580645161292	-0.7016129032258065	-0.050403225806451624	-0.14798387096774193	0.6439516129032259	0.7310483870967742	1	0.6435483870967743	0.2407258064516129
0.6278225806451614	-0.6459677419354839	-0.2862903225806452	-0.05887096774193549	-0.45403225806451614	-0.5895161290322581	-0.050403225806451624	-0.08951612903225808	0.742741935483871	1	0.7310483870967742	0.7028225806451613	0.2665322580645162
0.7266129032258066	-0.6818548387096776	-0.4016129032258065	0.14879032258064517	-0.55	-0.5629032258064517	-0.0032258064516129037	-0.13991935483870968	1	0.742741935483871	0.6439516129032259	0.528225806451613	-0.030645161290322583
1	-0.772983870967742	-0.6096774193548388	-0.12056451612903227	-0.7875	-0.7854838709677421	-0.3629032258064517	-0.24677419354838712	0.7266129032258066	0.6278225806451614	0.7008064516129032	0.5887096774193549	0.06330645161290323
-0.7854838709677421	0.9153225806451615	0.23870967741935487	0.24677419354838712	0.6697580645161291	1	0.14032258064516132	0.29233870967741943	-0.5629032258064517	-0.5895161290322581	-0.7016129032258065	-0.7370967741935485	-0.40967741935483876
-0.772983870967742	1	0.21250000000000002	0.15725806451612906	0.6080645161290323	0.9153225806451615	0.12258064516129033	0.24677419354838712	-0.6818548387096776	-0.6459677419354839	-0.6814516129032259	-0.6931451612903227	-0.37500000000000006
-0.6096774193548388	0.21250000000000002	1	-0.14233870967741938	0.4697580645161291	0.23870967741935487	0.21088709677419357	0.10161290322580646	-0.4016129032258065	-0.2862903225806452	-0.4205645161290323	0.03951612903225807	0.37419354838709684
0.5887096774193549	-0.6931451612903227	0.03951612903225807	-0.3701612903225807	-0.5487903225806452	-0.7370967741935485	-0.09879032258064517	-0.29717741935483877	0.528225806451613	0.7028225806451613	0.6435483870967743	1	0.4770161290322581
-0.24677419354838712	0.24677419354838712	0.10161290322580646	0.41008064516129034	0.3504032258064516	0.29233870967741943	0.07661290322580645	1	-0.13991935483870968	-0.08951612903225808	-0.14798387096774193	-0.29717741935483877	0.004838709677419356
-0.3629032258064517	0.12258064516129033	0.21088709677419357	0.15443548387096778	0.23346774193548392	0.14032258064516132	1	0.07661290322580645	-0.0032258064516129037	-0.050403225806451624	-0.050403225806451624	-0.09879032258064517	0.2717741935483871
-0.7875	0.6080645161290323	0.4697580645161291	0.27298387096774196	1	0.6697580645161291	0.23346774193548392	0.3504032258064516	-0.55	-0.45403225806451614	-0.6072580645161292	-0.5487903225806452	-0.02298387096774194
