"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"KT-537_D0_D60","KT-537_D0_D60","2","3.00656","-1.09793","-0.68236","-0.94077","-1.32566","-1.0612","-0.35861","0.78282","0.27967","0.16358","-0.58868","-0.55293","0.63689","-0.68682","0.33671","-0.50383","0.36868","0.34927","-0.41097","-0.02854","0.06855","0.02494","0.0096","0.06192"
"KT-445_D0_D60","KT-445_D0_D60","2","2.23861","-1.78919","1.17965","-2.56823","1.37169","-1.84597","-0.20371","-0.15644","-0.05115","0.1889","0.4225","-0.02979","-0.02478","0.42821","0.22768","-0.73192","-0.27304","-0.23277","0.31035","-0.08311","-0.06945","-0.18925","-0.09377","0.11228"
"BS-346_D0_D60","BS-346_D0_D60","1","-1.98069","-2.33578","-3.26983","1.8928","2.17622","0.93558","0.35912","0.12304","-0.4753","-0.63793","-0.36254","-0.21089","-0.68544","0.11216","0.00016","-0.15756","-0.10826","0.13766","-0.15365","0.11974","-0.09255","0.07333","0.04417","0.06897"
"KT-663_D0_D60","KT-663_D0_D60","1","-2.40072","-0.96487","-0.33707","-0.244","-0.41263","-0.55307","0.59411","-0.77705","0.38838","0.41382","0.21429","-0.26334","-0.47544","-0.10148","0.20505","0.34432","0.13897","0.17747","-0.2888","-0.04973","0.08083","0.07672","0.17966","0.12192"
"KT-695_D0_D60","KT-695_D0_D60","1","-2.57954","4.05105","-1.05506","0.32136","-1.04274","0.22637","-0.1731","-0.81325","-1.32177","-0.04978","0.27735","-0.72471","0.36299","0.13393","-0.06879","-0.3445","0.075","-0.11773","0.12707","0.13752","0.38047","-0.11939","0.19517","-0.12176"
"BS-064_D0_D60","BS-064_D0_D60","1","-0.175","-0.92324","2.31389","0.92859","1.15157","0.63468","0.3128","-0.43435","0.04914","0.18245","0.92906","-0.40956","-0.17585","-0.13951","0.13","0.0326","0.36951","0.20287","-0.04892","-0.09507","-0.176","0.05433","0.17461","-0.12467"
"KT-705_D0_D60","KT-705_D0_D60","1","-2.75369","1.60541","-1.86593","0.5061","0.29583","-0.97127","0.88724","0.63003","-0.45879","0.22897","0.26055","0.93481","0.02519","0.5973","0.20246","-0.30124","0.37793","0.13173","0.21346","0.03606","-0.12618","0.0954","-0.0814","0.0879"
"KT-347_D0_D60","KT-347_D0_D60","1","-1.25014","-1.35683","0.22593","2.76217","0.42095","1.04406","1.37085","-0.05349","1.03532","0.53303","-0.59355","0.27906","0.39502","0.37422","0.03491","-0.02153","0.04437","0.14238","0.18805","0.06839","0.17044","-0.23856","-0.13601","-0.12003"
"KT-515_D0_D60","KT-515_D0_D60","1","1.32764","-3.85107","0.06305","-0.11797","0.98641","0.21889","0.06896","-0.13291","0.49134","-0.86817","0.81275","-0.10981","0.05948","0.10893","0.01141","-0.01662","0.17185","0.02114","0.25764","0.07341","0.11776","0.14606","-0.08905","-0.10889"
"KT-718_D0_D60","KT-718_D0_D60","1","-2.14447","-1.15015","-0.00598","0.26303","0.01422","-0.75421","-0.42658","-0.20618","-0.4413","0.24168","-0.08148","0.93353","0.59441","-0.46652","-0.28223","0.29305","-0.01168","0.25716","0.4306","-0.04146","0.1972","-0.0301","0.11172","0.07841"
"KT-417_D0_D60","KT-417_D0_D60","1","-0.66186","-1.87674","1.4923","-0.57217","0.27628","1.70711","-2.245","0.02677","-0.19235","0.85135","0.05445","0.45553","-0.13881","0.18854","0.25375","-0.03966","-0.07034","0.43417","-0.06614","0.04826","-0.05688","-0.0805","0.00561","0.00587"
"KT-522_D0_D60","KT-522_D0_D60","1","-1.28732","1.66829","1.31824","0.24722","0.82758","-1.51101","1.37346","-1.33467","-0.35815","-0.26467","0.21339","0.6053","0.28374","-0.66819","0.59974","-0.16503","-0.16177","-0.22655","-0.07531","0.03451","-0.04265","0.10097","-0.06578","-0.06235"
"KT-312_D0_D60","KT-312_D0_D60","1","-1.84751","0.05062","0.97795","1.81814","0.16038","-0.6058","-0.50071","-1.05457","-0.66148","-0.05651","0.02896","-0.41704","-0.14652","0.74435","-0.15362","0.13767","-0.04167","-0.37232","-0.33683","-0.10193","0.11776","0.11979","-0.10231","0.08681"
"JV-157_D0_D60","JV-157_D0_D60","2","1.62851","-1.83047","-4.61935","0.15738","-2.91137","1.3658","0.16833","0.21582","-0.70064","0.76609","1.26872","0.17072","0.53382","-0.16969","0.0466","0.03743","-0.37175","-0.17531","-0.12377","-0.1013","-0.09955","0.03403","-0.09555","-0.00723"
"KT-193_D0_D60","KT-193_D0_D60","1","-3.19514","-0.47072","-1.70609","-2.42649","-1.10983","0.29208","-1.09988","-1.49979","1.65256","0.97525","-0.20946","-0.19991","-0.37715","0.11413","-0.32843","-0.32236","0.07673","-0.09304","-0.02452","0.25409","-0.03262","0.01755","-0.06197","-0.10504"
"JV-035_D0_D60","JV-035_D0_D60","1","1.02138","0.62908","1.41541","0.87711","-0.79924","-2.27614","-0.25672","0.86746","-0.6671","0.50647","-0.53188","0.16593","-0.00649","-0.02035","0.09481","-0.14486","0.21287","0.04223","-0.17416","0.10908","0.0805","0.07243","-0.14302","-0.06588"
"KT-434_D0_D60","KT-434_D0_D60","2","3.43918","1.31754","0.16005","2.80191","-2.54058","-1.46473","-0.11254","0.86136","0.86105","-0.91272","0.10694","-0.66781","0.07881","-0.0411","-0.34851","-0.00118","-0.22054","0.09596","0.31673","0.14967","-0.23812","0.0366","0.01732","-0.06802"
"KT-247_D0_D60","KT-247_D0_D60","2","9.03877","0.53528","-2.27043","1.20509","2.77679","-1.60003","0.51602","-0.54898","0.26914","1.45615","-0.47579","-0.13927","0.02466","-0.15536","-0.36004","0.23371","-0.20755","-0.1207","0.02879","0.04577","-0.01033","0.01763","0.13354","0.0481"
"KT-612_D0_D60","KT-612_D0_D60","2","4.75279","3.39713","0.77127","-2.29391","-1.1516","0.89189","1.49828","-0.99934","-0.17311","-0.09856","-0.18798","0.26597","0.45174","0.76626","0.16869","0.5412","0.20358","0.19049","-0.11066","0.1424","-0.19115","-0.02168","0.03747","0.01742"
"KT-525_D0_D60","KT-525_D0_D60","1","0.23654","3.13299","1.51911","0.19772","-1.17364","-0.45808","-0.41747","1.37692","-0.04952","0.70492","0.2934","-0.12714","-0.86789","0.38057","0.17483","-0.10187","0.09101","-0.23893","0.06513","-0.00096","-0.0554","0.02875","0.14282","0.00632"
"KT-352_D0_D60","KT-352_D0_D60","1","0.21515","-2.52832","1.04395","-0.21926","0.37046","-1.8699","-0.95087","-0.37221","0.04065","-0.26792","0.23821","0.16464","0.21938","-0.08867","0.12533","0.40813","-0.266","-0.13567","-0.27978","-0.14239","-0.08669","-0.1867","0.05973","-0.2155"
"JV-148_D0_D60","JV-148_D0_D60","1","-1.07916","-1.76895","0.18185","-0.62946","-1.21094","0.60004","0.21899","-0.23571","-0.13173","-0.06036","-0.94661","0.09491","-0.28963","-0.20119","-0.25873","0.16708","0.12425","-0.34568","0.09673","-0.19995","0.04283","0.28457","-0.16003","-0.03538"
