feature	sig_pval	FC	log2FC	pval	negLog10pval	padj	negLog10padj	sig_padj
TG 54:3	yes	4.980702291119887	2.3163491801410077	7.578646309265673e-5	4.120408360715982	0.0036756434599938517	2.4346666221137183	yes
TG 54:2	yes	4.608530148102682	2.204306688578121	6.782557796711556e-6	5.168606496764899	6.579081062810209e-4	3.181834762498654	yes
FA 20:3	yes	4.52360560055633	2.177473150608591	0.0025717354294275113	2.5897737120502358	0.01918910281957451	1.7169453300908275	yes
TG 58:5	yes	3.8678331425094377	1.9515255586031472	0.0022615073259972126	2.6456020010487236	0.0182805175518108	1.7380115128301035	yes
TG 56:6	yes	3.183188176589394	1.6704724455091013	0.008834524762380664	2.053816807631676	0.02954996213623877	1.5294430712643874	yes
TG 51:1	yes	3.0960046981362974	1.630407660750022	4.857192161671085e-4	3.3136147145005004	0.0077118886548510745	2.1128392494544026	yes
TG 52:1	yes	3.0122330473719554	1.5908333912852255	0.017718975471682892	1.7515613930504386	0.04645244920954704	1.3329913828511888	yes
TG 51:2	yes	2.8761741848019895	1.524151049887254	0.001006438292726639	2.9972128476504962	0.008874955854043999	2.0518337985424764	yes
PI 38:4	yes	2.777496953644594	1.4737853292690037	0.026050482505329698	1.5841842283160292	0.05876504193062746	1.230880949629371	no
DG 36:2	yes	2.7187353962054424	1.4429357463761499	0.023419948157433625	1.6304140706199932	0.0554081700310015	1.256426193073484	no
CAR 18:2	yes	0.18149939533763565	-2.4619633529740366	5.580919438849176e-4	3.2532942465239736	0.0077118886548510745	2.1128392494544026	yes
LPC O-16:0	yes	0.2410504437689315	-2.0525930091787234	7.950400675104201e-4	3.0996109837206474	0.0077118886548510745	2.1128392494544026	yes
CAR 16:0	yes	0.2815733945559229	-1.8284170725441655	0.003702321151251574	2.4315259118481016	0.02052495506980849	1.6877177849006337	yes
CE 18:2	yes	0.31366224405347726	-1.6727162143989085	0.004317220283147155	2.364795791206013	0.02052495506980849	1.6877177849006337	yes
PC 40:3;P/40:4;O	yes	0.4002204795221471	-1.3211331021837063	0.004941607728921757	2.3061317324115302	0.02052495506980849	1.6877177849006337	yes
PC 38:2;P/38:3;O	yes	0.4473110483953484	-1.1606497021421496	0.01915373502162779	1.7177465250313404	0.047638776848663994	1.3220393977915947	yes
SM 39:1;O2	yes	0.477941780706663	-1.0650932042990249	0.034783586285970135	1.4586256430373588	0.0717874014838107	1.1439517667068315	no
PC 38:4;P/38:5;O	yes	0.5131810918786888	-0.9624600794780485	3.988106045557867e-4	3.3992333021185828	0.0077118886548510745	2.1128392494544026	yes
CAR 18:1	yes	0.5162473353645761	-0.9538656648758274	0.0454181764907075	1.3427703063981231	0.08990945142038015	1.046194652160392	no
SM 41:1;O2	yes	0.5284643379172539	-0.9201219766301263	4.5995741437947256e-4	3.337282376049192	0.0077118886548510745	2.1128392494544026	yes
