sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj
no	CE 18:1	0.2687513140936641	0.018132444861895077	3.3723720363308042e-9	1.0408693527708295	0.06013850911910125	2.6924286139270228e-9	One-way ANOVA	0.18501495009764163	0.8320028203034378	0.07987520154564104	0.8906718353771047	0.05028228062883198	no
no	CE 18:2	0.2687513140936641	0.27220064136796923	3.3723720363308042e-9	1.0408693527708295	0.4689980151087122	2.6924286139270228e-9	One-way ANOVA	3.1482177838683003	0.0569197086488671	1.244737331576389	0.4493518780382047	0.3474134388627928	no
no	CE 20:3	0.2687513140936641	1.937112882549892e-9	3.3723720363308042e-9	1.0408693527708295	2.394694612035773e-9	2.6924286139270228e-9	One-way ANOVA	1.1299125039953173	0.33600587873934873	0.4736531241526408	0.7247185619868306	0.13983061509235212	no
no	Cer 34:1;O2	0.009437297174576333	0.08756095850314047	0.04801750054039267	0.03599463308949003	0.1046506257049535	0.09057492781519239	One-way ANOVA	2.008274737511637	0.15131059947998707	0.8201306480876355	0.5548055314266193	0.2558592176490728	no
no	Cer 40:1;O2	1.348633456392957e-4	3.7525701075957744e-10	5.792151429449133e-10	5.223211673775357e-4	4.302027739273729e-10	4.4492186772714917e-10	One-way ANOVA	1.5023162004956043	0.23837787649311634	0.6227340533059785	0.6387885068001934	0.19464290636911907	no
no	Cer 42:1;O2	1.348633456392957e-4	0.00386135537445259	5.792151429449133e-10	5.223211673775357e-4	0.012806665599953372	4.4492186772714917e-10	One-way ANOVA	0.2003185794947012	0.819521055013336	0.08643988412076324	0.8906718353771047	0.05028228062883198	no
no	Cer 42:2;O2	0.01772791964737149	0.05448771707464226	0.012077336521917564	0.046493459610847665	0.07948090077738193	0.034159864371940275	One-way ANOVA	0.8305749703116644	0.4452648860984793	0.3513815522861511	0.8059907582305635	0.09366993793744054	no
no	Cer 42:3;O2	1.348633456392957e-4	0.002354536672908583	5.792151429449133e-10	5.223211673775357e-4	0.007809113339841388	4.4492186772714917e-10	One-way ANOVA	0.2000470651930343	0.8197407590432404	0.08632347044285957	0.8906718353771047	0.05028228062883198	no
no	Cholesterol	0.8098236997297621	1.3449863030568308	0.4887305799817497	0.6171971718712349	0.43256640039618294	0.4319902200925547	One-way ANOVA	2.778813005505324	0.07761532438841717	1.1100525230681888	0.4493518780382047	0.3474134388627928	no
no	DG 32:0	0.08320215626893322	0.003301800613797052	0.006775405769403744	0.3222405635131122	0.01095083264022725	0.01916373991654372	One-way ANOVA	0.14523022779635603	0.8654081212316498	0.0627790335773887	0.9066180317664903	0.04257564748910173	no
no	DG 32:1	0.08320215626893322	0.0017453465503928357	4.845020145865226e-10	0.3222405635131122	0.005788658508491437	3.647685939992888e-10	One-way ANOVA	0.262095228696277	0.771125638382061	0.11287485721391763	0.8906718353771047	0.05028228062883198	no
no	DG 34:1	0.08320215626893322	0.010550871988777981	4.845020145865226e-10	0.3222405635131122	0.028564313635483278	3.647685939992888e-10	One-way ANOVA	0.6306642376549263	0.5389288404424877	0.26846857478237185	0.8059907582305635	0.09366993793744054	no
no	DG 34:2	0.08320215626893322	0.0027602950620140153	4.845020145865226e-10	0.3222405635131122	0.009154861903068552	3.647685939992888e-10	One-way ANOVA	0.2571653997882708	0.7748736070729693	0.11076913133540717	0.8906718353771047	0.05028228062883198	no
no	DG 36:1	1.4640345085983821	0.5378784560445524	0.8889966461486398	1.8016998961069373	1.339483967868477	1.674326970587893	One-way ANOVA	1.1431741536141162	0.3318798446233417	0.47901912190491874	0.7247185619868306	0.13983061509235212	no
no	DG 36:2	0.08320215626893322	0.010890025966366814	4.845020145865226e-10	0.3222405635131122	0.0283508862127571	3.647685939992888e-10	One-way ANOVA	0.6351390464570955	0.5366168188492952	0.27033571962723285	0.8059907582305635	0.09366993793744054	no
no	DG 36:3	0.08320215626893322	0.005952741804714517	4.845020145865226e-10	0.3222405635131122	0.019743009911798382	3.647685939992888e-10	One-way ANOVA	0.25013937960922744	0.7802487830714433	0.10776690001702789	0.8906718353771047	0.05028228062883198	no
no	DG 38:3	0.08320215626893322	0.0012842346174717068	4.845020145865226e-10	0.3222405635131122	0.004259323240636529	3.647685939992888e-10	One-way ANOVA	0.2657196168612484	0.7683824599945565	0.11442255741591315	0.8906718353771047	0.05028228062883198	no
no	DG 38:4	1.1322187343600163	0.6791050836687399	1.081029815010408	0.662402375159775	0.738422221075136	0.773800539277477	One-way ANOVA	2.8159121118315062	0.07521401674342452	1.1237012175590149	0.4493518780382047	0.3474134388627928	no
no	FA 12:0	1.348857177229431e-4	1.501981623351087e-8	0.1304544411033731	5.223149785378682e-4	1.7900267626539062e-8	0.3689808038374994	One-way ANOVA	1.83666264105437	0.17626906439905182	0.7538239006312908	0.6198630702677763	0.2077042369452076	no
no	FA 14:0	0.9711774172178118	1.501981623351087e-8	0.20594355100206924	2.197152850797027	1.7900267626539062e-8	0.5824962498979176	One-way ANOVA	2.680814729502041	0.08435960416682116	1.0738654667297138	0.4639778229175164	0.33350277723547	no
no	FA 15:0	1.1995008932484226	0.5515348870876131	0.2331055204516001	2.272673765584362	1.4839406585576476	0.6593219010504979	One-way ANOVA	0.8303488190269062	0.44536047277202134	0.3512883306759449	0.8059907582305635	0.09366993793744054	no
no	FA 16:0	2.7794484075848285	0.8360778746461877	0.8276864833367849	6.32530663143595	1.936117616178459	2.3410508243326618	One-way ANOVA	0.35923546967117204	0.7010782402732838	0.1542335121006243	0.8906718353771047	0.05028228062883198	no
no	FA 18:0	6.3870818238324665	1.3949724259628096	9.714126625480173	12.388143551341603	3.747303856158476	10.969450641467388	One-way ANOVA	2.995113185804031	0.06467819975487402	1.1892420766970675	0.4493518780382047	0.3474134388627928	no
yes	FA 18:1	1.1924095781473045	2.1225332356997093	10.360209201847004	2.797619048762822	2.5166957870098816	11.29628249907917	One-way ANOVA	4.182661868584372	0.02465141936088278	1.608158070185819	0.3389570162121382	0.46985537201953753	no
no	Hex2Cer 34:1;O2	1.2721384208809243	8.284318402751497	4.103116456829282	4.926411092777863	9.796216498806421	7.673871372545001	One-way ANOVA	2.318738974156459	0.11522543327562164	0.9384516501476136	0.525733894409819	0.27923402282819354	no
no	LPC 16:0	0.07619809154997949	0.10465689869595	0.0762880946678657	0.12024692218573202	0.12323805300476405	0.17443219979793925	One-way ANOVA	0.8666373028982617	0.43029838801989573	0.3662302808646337	0.8059907582305635	0.09366993793744054	no
no	LPC 18:0	0.02973848389831863	0.02357008834381462	5.464841350701551e-10	0.0960530371212162	0.03314401435952142	4.1113459459931837e-10	One-way ANOVA	2.2233727362465747	0.12521967410901144	0.9023274308243587	0.525733894409819	0.27923402282819354	no
no	LPC 18:1	0.03815839748289546	0.03513533686921938	0.012521956756214895	0.09867984809218946	0.0546365509532718	0.035417440405199674	One-way ANOVA	0.6676756753080417	0.5201201726914737	0.2838963019285021	0.8059907582305635	0.09366993793744054	no
no	LPC 18:2	0.024637650275490985	0.0024586893456467803	5.464841350701551e-10	0.09542120684912514	0.008154548798472985	4.1113459459931837e-10	One-way ANOVA	0.24662507473901288	0.7829522408390107	0.10626472858403595	0.8906718353771047	0.05028228062883198	no
no	LPC 20:4	0.024637650275490985	3.4157042150046443e-10	5.464841350701551e-10	0.09542120684912514	4.0700040837197823e-10	4.1113459459931837e-10	One-way ANOVA	1.37850548121741	0.26697124742026274	0.5735355092688353	0.6829497027029977	0.16561127969019684	no
no	PC 30:0	0.09436948422516786	0.03318782249374859	1.0046657573114187e-9	0.3326420771769262	0.04756227810669059	7.707535020172288e-10	One-way ANOVA	2.163154055617717	0.13200286008516846	0.8794166589021052	0.525733894409819	0.27923402282819354	no
no	PC 32:0	4.6003985875860876	4.140498451287666	3.8904135536254603	2.262323801441201	1.3282294702938233	1.3427459032414106	One-way ANOVA	0.08290536838761271	0.9206416222942095	0.03590939450387723	0.9376905412255838	0.027940464832601878	no
no	PC 32:1	0.19474338812760927	0.4351350251786336	0.3729982752638895	0.3843477672258996	0.2972434657610645	0.44184627373690466	One-way ANOVA	2.9854441767533735	0.06520456763282848	1.1857219805218937	0.4493518780382047	0.3474134388627928	no
no	PC 32:2	0.0860810316311452	0.0037332658289492074	1.0046657573114187e-9	0.33339039790790836	0.01238183972961769	7.707535020172288e-10	One-way ANOVA	0.2384804444977919	0.7892560882560259	0.1027820593111986	0.8906718353771047	0.05028228062883198	no
no	PC 34:0	0.17119781203837528	0.11833499180253439	0.017954062464286352	0.3584065824342752	0.1907403405116827	0.0507817540670601	One-way ANOVA	1.0237867763477386	0.3710588529856893	0.4305572022452085	0.7701221477061476	0.11344038668777248	no
no	PC 34:1	11.515389847951974	14.540589511213167	11.443544503636769	5.894183996346236	4.854184904466859	3.0092598081589697	One-way ANOVA	1.49914996894395	0.2390670041289663	0.6214803607875018	0.6387885068001934	0.19464290636911907	no
no	PC 34:2	3.0935312354481104	3.3590874757126135	2.9284037360715587	1.687326704191218	0.8776218476753789	1.227489344888507	One-way ANOVA	0.6695702676049841	0.519176364381196	0.2846850871099859	0.8059907582305635	0.09366993793744054	no
no	PC 34:3	0.13973923781812625	0.09895301472501888	0.016527706439867878	0.3384756235794046	0.13900024118341978	0.04674740999804975	One-way ANOVA	0.6200319580159579	0.5444649102304724	0.26403010449285064	0.8059907582305635	0.09366993793744054	no
yes	PC 36:1	2.8087325630776667	4.277717419759744	1.3972578899082038	1.7540506669769726	1.4622824918703554	1.3042674897629887	One-way ANOVA	4.433386753310328	0.020259763803026944	1.6933656221366462	0.3389570162121382	0.46985537201953753	no
no	PC 36:2	3.8854873391700293	5.494675147753111	4.005003187038571	2.3663856623227946	1.4097747402990766	1.445566378901801	One-way ANOVA	3.1820239810945963	0.05534399184372906	1.256929519333467	0.4493518780382047	0.3474134388627928	no
