"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"TG 56:6","TG 56:6","0.22252","1.66352","1.05296","1.02009","1.07464","0.01006","2.87511","1.68918","2.51671","0.44708","0.00052","9.98026","2.05591","0.72003","0.00786","0.4888","3.56449","0.16712","0.00115","1.93276","0.87256","0.06507","0.04101","0.49675","1.04047","0.01963","0.00001","0.00478","5.85266","0.03372","0.83373","1.9486","0.49623","6.95043","0.15951","0.16868","2.21309","0.14968","2.6621","2.64011","0.3747"
"TG 56:7","TG 56:7","0.36566","3.45048","0.46806","0.85524","0.60437","2.22578","0.0906","0.23495","2.20368","0.04707","0.37972","2.01672","0.0778","0.11861","0.10477","2.05911","0.03013","0.16493","1.2374","0.51985","1.28417","1.64326","0.06851","2.80996","0.02671","4.52387","0.05371","0.48205","3.2877","7.13804","0.06411","2.8407","4.54441","0.04953","2.08541","0.26087","3.13246","2.84483","0.00028","1.79317","0.45429"
"TG 56:8","TG 56:8","0.51263","3.69325","1.63945","0.89978","0.00413","1.36872","0.06438","0.17963","2.44531","0.16764","0.00112","0.00877","0.09738","0.20287","0.35009","0.18397","0.14078","0.06751","1.06493","0.02063","2.90864","0.01373","0.34356","0.15427","0.30322","0.0407","1.16277","2.94889","0.33657","0.03395","0.53035","3.85939","0.6922","1.73754","0.49688","0.21717","0.03565","1.81413","0.08698","0.17271","0.07278"
"TG 58:5","TG 58:5","0.29661","4.53067","0.51857","2.3709","0.01766","0.53536","0.84933","0.46753","0.02828","0.25999","0.18792","3.00598","1.20712","0.35848","0.07276","0.09723","0.23475","0.1283","0.02801","0.07096","0.08156","0.00003","2.5047","0.6689","0.2841","0.34549","0.13311","0.00003","0.07701","1.43003","0.12151","0.00182","0.89796","0.04374","0.01289","0.07183","0.98501","1.17065","0.01081","0.02196","0.14922"
"TG 58:7","TG 58:7","0.27631","3.74497","1.57053","3.14063","0.09632","0.29188","0.78082","0.29463","0.03995","0.0118","0.10122","0.00791","0.60839","0.07757","1.34506","0.45803","0.00086","0.01179","2.13847","0.29852","1.75296","1.22844","0.94388","0.26672","1.28779","0.55039","0.85112","0.52693","0.37775","0.55376","0.08747","0.76354","1.53853","1.95657","0.00418","0.9716","0.47835","0.37269","0.04411","0.03799","0.01859"
"TG 58:8","TG 58:8","0.2393","3.48344","1.21747","2.94312","0.04692","0.56107","0.43195","0.06431","0.24343","0.27999","1.56323","0.18243","1.54441","0.05529","1.24077","0.0044","0.3274","3.19676","4.47502","0.31863","0.01903","1.54393","0.00834","0.13791","1.1856","1.3329","0.65441","0.02488","1.42393","0.14576","0.00057","2.69904","0.30884","0.1045","1.65643","0.83646","2.63581","0.10497","1.02878","1.27933","0.0031"
"FA 14:0","FA 14:0","0.54311","0.00532","2.16949","0.28188","3.09947","2.67987","0.49319","0.22441","0.53158","0.03632","0.09201","1.25783","0.29778","0.13849","0.00197","10.7974","0.93256","5.28301","1.69519","0.02545","0.69729","2.26493","7.05661","0.53683","2.18164","0.00001","0.36464","0.21989","2.89317","2.07641","0.24471","0.27569","5.4756","0.12533","0.00001","1.36173","1.40198","0.03088","0.12447","0.00284","0.36605"
"FA 16:0","FA 16:0","0.70263","0.40223","5.70638","0.16636","2.73447","0.11091","0.00406","0.40496","0.01751","0.00352","1.1662","1.79164","3.08765","0.23087","0.02661","0.01415","0.38191","0.01384","0.18544","1.08127","0.14614","0.00177","0.22622","0.30232","1.53535","0.10726","0.28006","0.65366","0.07127","0.02473","0.05937","0.08737","0.01517","0.03294","0.02297","0.24192","0.31944","0.00004","0.00128","0.00125","0.30049"
"FA 16:1","FA 16:1","0.55223","0.03313","4.1498","0.32352","4.31102","2.04225","0.08671","0.1355","0.38594","0.56615","1.41195","2.76007","0.30862","0.17148","0.14085","0.50777","0.63581","0.03836","0.73553","0.27964","0.00238","0.00025","0.00207","0.36171","4.71831","0.01245","0.25825","0.37813","2.99274","2.95184","0.16777","0.25517","0.64942","4.12309","0.34263","2.1389","0.92812","1.96141","0.00038","0.06185","0.00115"
"FA 18:0","FA 18:0","0.51154","0.49771","5.3514","0.50508","1.63742","0.30611","0.02398","1.7765","0.00717","0.14126","0.72287","1.26641","7.9705","0.00037","0.26637","0.34931","0.03583","0.05787","0.00788","0.3804","0.34896","0.29175","0.21937","0.44813","0.38657","0.79238","0.15998","3.77198","0.57131","1.19145","0.97585","0.56963","1.16167","0.51625","0.00767","0.21375","0.05922","0.18793","1.12729","0.20851","4.51586"
"FA 18:1","FA 18:1","0.57002","0.51736","7.59695","0.00036","0.71497","0.4039","0.0394","0.63364","0.01079","0.00025","3.14545","0.11259","1.88837","0.0005","0.16456","0.00216","0.04965","0.00695","0.03571","0.24062","0.60631","0.64566","0.81294","0.54872","0.08744","0.32596","0.09134","0.0991","0.00911","0.78705","0.79502","0.02344","0.00148","0.64398","0.18323","0.33698","0.16675","0.21932","0.00016","0.08028","0.20088"
"FA 18:2","FA 18:2","0.58098","0.495","7.50128","0.04274","1.24004","0.3467","0.00093","0.02503","0.78492","0.37187","1.79657","0.03988","0.17321","0.099","0.29532","0.00074","0.1841","0.00011","0.08446","2.43945","0.49036","0.02426","1.60415","0.00023","0.72736","0.05406","0.09908","0.12891","0.2676","1.97532","0.38759","0.02062","0.07417","0.40121","0.06817","0.02242","0.00699","0.52106","0.32528","2.21798","0.88042"
"PI 36:2","PI 36:2","0.5293","0.15311","1.26884","0.1141","0.00005","1.23019","7.85513","1.45852","1.15365","0.57676","0.12793","0.21269","1.50595","1.09258","1.40123","2.33695","3.73183","0.00029","6.94715","0.00379","1.99394","0.16833","0.31139","0.50306","0.47296","0.01463","0.37219","0.02033","7.38518","0.44052","0.08797","0.01072","2.04583","0.20594","0.35619","3.77651","0.61227","0.09196","1.34205","0.32202","0.05553"
"PI 38:3","PI 38:3","0.51491","0.50463","0.04138","1.12974","0.39235","0.67621","4.07303","3.84657","4.64203","0.57555","0.02095","4.34733","0.09107","1.681","1.77423","0.7975","0.11859","0.28873","4.76796","0.00254","3.19968","2.05798","0.04326","0.00259","0.00078","0.22618","2.18563","3.01921","0.05377","0.8681","0.38002","0.00104","2.66939","0.0243","2.16827","1.06146","4.47724","0.61146","1.01622","0.65292","0.05262"
"PI 38:4","PI 38:4","0.95953","0.02132","0.01104","0.35685","3.09716","3.23452","0.56409","1.05006","1.54894","0.25968","2.97902","0.03773","0.48801","2.1451","0.65384","0.16092","1.18933","2.7279","0.315","0.0014","2.48768","0.16006","1.42167","4.50909","0.51328","0.07721","1.38937","0.08129","0.29231","3.18405","0.73659","0.12392","0.0298","1.2104","0.4021","0.0972","2.17598","5.37588","0.25643","0.81467","4.47963"
