"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"PC 32:2","PC 32:2","1.15293","0.04889","0.13662","2.42664","0.06757","2.23423","0.18133","1.12606","1.00537","1.9524","0.05731","2.08053","0.24739","0.55194","1.98267","1.82654","0.15004","0.0668","0.27467","0.01311","0.31626","0.2087","1.17218","0.28884","8.9055","0.84786","0.21284","0.00134","1.10979","0.43644","0.72141","1.92702","0.33578","1.17671","3.66639","5.57175","0.05495","0.1654","4.8404","3.04849","0.2976"
"PC 34:1","PC 34:1","1.55458","0.01413","0.01363","4.28482","0.00022","0.0766","0.03581","0.01034","2.06728","0.00534","0.1609","0.59236","0.01388","0.12674","0.12042","0.02021","0.34164","1.31773","0.00132","1.31336","0.35065","0.14597","0.00447","0.73225","1.41397","0.16354","0.03192","0.00285","0.03932","1.92948","0.64665","0.21539","0.07022","1.45092","0.11808","2.14476","0.11729","0.06258","0.16541","0.01271","1.95996"
"PC 34:2","PC 34:2","0.9816","0.25963","0.026","1.5808","4.44114","0.28376","1.61092","3.28126","0.12615","0.9543","0.01084","0.08987","0.02872","0.35737","0.10867","0.91818","1.03693","0.04668","1.10509","0.01013","0.07678","2.69751","0.62527","0.26715","1.87991","0.17471","0.28186","0.12968","2.05159","1.84083","0.4164","5.65278","0.40083","0.24517","0.11233","0.11633","1.21402","0.0063","0.8258","2.59245","1.04919"
"PC 34:3","PC 34:3","1.45867","0.07134","0.18915","4.16291","0.66512","0.23018","0.18373","0.79817","0.59577","0.00344","0.36128","0.82191","0.03127","0.02729","0.03665","0.36524","0.09431","0.25123","0.40592","0.18703","0.39066","0.99507","0.93175","0.08852","0.05522","0.18488","0.21503","0.11086","0.05049","0.26115","4.14215","0.49691","0.33644","0.8342","0.06736","0.01314","0.31195","1.44237","0.61967","1.01783","0.18308"
"PC 36:1","PC 36:1","0.84728","0.28192","0.15314","4.03039","0.52035","0.6267","0.02147","0.53716","2.34493","0.42382","1.34598","0.02874","0.09314","0.80094","0.14072","1.36792","0.09349","8.80353","0.02542","0.96671","1.0714","2.13056","0.39662","0.3966","0.06398","12.18696","0.10583","0.00202","0.0119","0.00562","0.29405","1.18258","4.96434","6.892","0.19881","0.09192","0.13414","0.0663","1.43826","3.02295","1.76294"
"PC 36:2","PC 36:2","1.08203","0.05697","0.00177","0.85185","6.03515","0.43734","0.0009","0.94382","1.31047","1.0748","1.05012","0.81561","0.0137","0.02038","0.79914","0.34115","0.00045","1.39126","1.4673","0.08916","0.23222","0.03566","4.18088","1.46368","0.41125","0.00605","0.1884","4.15971","2.1734","0.32127","2.88811","0.00119","0.25937","0.02097","0.16947","0.0006","0.02793","3.99082","0.29873","2.56678","1.04534"
"PC 36:3","PC 36:3","1.31362","0.11725","0.48678","4.63072","0.0346","0.01325","0.13342","0.0277","0.12013","0.54502","0.03111","0.38309","0.09679","1.43243","0.29465","0.0057","3.22755","0.63512","0.03061","0.35337","0.64535","0.49616","0.00187","0.31245","0.84786","1.85136","5.06653","0.1713","0.28268","0.34076","1.11601","1.83653","0.53081","0.0515","0.10867","1.73822","2.71814","0.04475","1.48788","0.22273","4.7305"
"PC 36:4","PC 36:4","1.62653","0.00926","2.17531","0.61904","0.02262","0.00438","0.17708","0.03801","0.29146","0.12356","0.40393","3.3292","0.54636","0.33235","0.21513","0.49535","0.73615","0.15551","0.2318","2.13473","0.13044","0.00028","0.00047","0.36884","0.20078","0.25823","0.10133","0.00076","0.57193","0.44207","2.55257","0.96547","1.22617","6.30989","0.23706","2.46442","1.68892","0.0017","1.07385","1.26998","6.16031"
"PC 36:5","PC 36:5","0.44455","0.31858","1.56719","0.96832","0.41814","3.42043","0.00322","4.23772","0.87434","0.43352","0.05009","6.01568","7.08489","1.18984","0.44788","0.28306","0.30062","0.92747","1.03825","3.6385","0.43239","0.24281","0.7456","0.13518","1.56861","0.00009","0.44873","1.43189","0.15955","0.50467","1.2298","0.27504","2.50274","2.29362","0.02444","0.50373","0.46184","0.55424","0.0053","1.91528","0.1848"
"PC 38:2","PC 38:2","0.18441","0.24775","0.32708","1.87733","0.53787","0.14022","0.20682","0.41133","16.61112","0.1888","0.03212","0.002","3.41173","0.21157","0.51533","2.85029","11.92906","0.13575","0.09433","0.83479","0.85142","4.78867","3.11355","0.00459","3.27847","0.3148","1.25448","1.47699","4.67226","1.28652","2.38521","0.12461","0.92733","0.46145","0.60867","0.35789","2.1255","0.00001","0.0448","0.02592","1.12169"
"PC 38:3","PC 38:3","1.05811","1.71348","0.0229","1.36692","0.00117","1.62551","0.52724","2.14048","0.39286","1.49191","0.00872","0.9572","0.66971","0.21126","2.54199","0.18854","0.81108","0.01459","0.17641","0.01224","0.07134","0.21526","1.61444","0.0005","0.23783","0.28823","1.7923","0.08247","1.80297","3.23377","1.68202","0.00211","0.02007","0.45859","0.00024","0.02706","1.02311","0.00142","0.15178","0.98373","2.91351"
"PC 38:4","PC 38:4","1.56533","0.20438","2.04582","0.06524","0.00057","0.14043","0.51945","1.56513","0.34231","0.25092","2.13303","0.63922","0.0767","0.54834","0.36656","0.83656","0.58381","0.49381","0.41378","0.19214","0.78225","0.15158","0.07479","0.00265","0.19927","1.62012","2.70294","0.00696","0.02025","0.00032","0.29476","0.34692","0.02545","3.98217","1.34356","0.02055","1.75312","1.19005","1.77069","1.28222","0.39108"
"PC 38:5","PC 38:5","1.74175","0.0329","2.30886","0.13428","0.08845","0.08309","0.01074","0.0338","0.00615","1.62514","0.42049","0.40942","0.64065","1.08476","0.1485","0.21276","1.59549","0.06671","0.04456","0.00957","0.40086","0.08792","0.47608","3.51262","0.05043","0.00794","0.0621","0.90718","0.00439","0.14217","0.25236","0.08928","0.42094","0.00329","0.81333","0.45136","0.651","0.05026","0.26853","0.03945","0.34366"
"PC 38:6","PC 38:6","1.19295","0.00303","2.48746","0.24259","0.18037","0.26077","0.84931","1.36668","0.0066","0.33664","2.75908","1.85868","0.06765","0.00838","0.33915","3.25064","0.0838","0.37219","3.94117","3.84602","0.36468","2.23929","0.64133","2.56209","0.14482","1.5169","0.61508","0.289","0.00321","0.07337","0.04981","1.79189","0.19664","0.76915","0.3361","0.77109","0.28205","2.51898","0.17279","1.19774","2.01233"
"PC 38:7","PC 38:7","0.10303","0.01168","1.03506","4.32939","0.00015","3.24825","3.71852","0.0195","5.22232","0.00455","0.06916","0.23392","0.23444","3.76894","3.25739","0.02947","2.21415","0.56267","0.2977","0.07359","3.71363","0.55463","0.00003","3.12312","0.15621","1.00752","1.5228","2.52914","0.09383","1.85254","2.19625","0.99323","0.01245","0.47774","2.63381","3.25939","0.695","2.35649","0.115","0.19426","0.06059"
"PC 40:4","PC 40:4","1.00389","0.25754","1.1056","2.03179","1.87387","0.00114","0.69227","6.57118","0.30763","1.01776","0.00053","0.36012","0.00745","0.47183","0.43655","0.4775","0.02596","0.10927","0.0914","0.10114","0.57028","0.04025","0.28272","0.76507","0.0471","1.76162","0.08616","0.45174","1.52366","0.97657","0.02026","1.3316","0.51845","1.38747","0.18112","1.46528","0.12134","0.19615","0.05545","0.00122","0.03943"
"PC 40:5","PC 40:5","1.61776","0.28419","1.64876","0.46963","0.20462","0.17098","0.00709","1.39155","0.00931","2.16322","0.13451","0.00402","0.0897","1.10035","0.00117","0.00789","1.75401","0.00005","0.80844","0.4325","0.754","0.04451","0.38704","2.55932","0.26415","0.02623","0.21771","0.24889","0.00654","0.95977","1.31075","0.08312","0.10594","0.58685","0.256","1.5091","1.11598","0.54499","0.01889","0.07012","1.1082"
"PC 40:6","PC 40:6","1.50751","0.23457","1.83032","0.14842","0.04727","0.18527","0.56831","0.03789","2.80869","0.84762","1.35276","1.12016","0.00253","0.06144","0.00617","1.31714","0.71341","1.09889","1.17595","0.86489","0.05015","0.68729","0.9075","0.57119","0.30309","0.26815","0.94839","0.48189","0.43829","1.4453","0.19608","0.87172","0.14401","0.41766","0.00352","0.25683","0.21676","0.18076","1.33222","0.73919","0.05634"
"PC 40:7","PC 40:7","1.04866","0.00705","1.38525","1.08236","0.0314","0.10302","0.79137","1.67878","0.80371","0.75951","3.68416","1.37507","2.19125","1.58824","0.07826","1.53651","8.79217","0.33407","0.04089","1.36757","0.36351","0.09608","1.25731","0.41468","0.003","0.22438","0.68536","0.09827","0.73337","0.7412","2.95489","1.99351","0.0281","0.87136","0.70674","3.30323","0.19163","0.11974","0.01051","0.84166","0.00747"
"PC 40:8","PC 40:8","1.11862","0.05058","1.7138","1.80757","0.03476","1.04918","1.62069","0.14315","1.43689","1.60642","0.22878","0.13178","0.27522","0.10523","0.01114","0.10715","3.81774","0.16603","3.62884","0.50706","0.47978","0.05119","0.39675","1.07096","0.5072","0.63619","2.22366","0.72828","0.19963","1.31374","0.68106","0.00015","4.08214","0.27033","2.0532","0.23338","1.14705","3.15821","4.87106","0.21738","0.84354"
"PC O-32:0","PC O-32:0","1.44117","0.80801","0.0049","0.06264","0.6056","0.0168","1.01389","0.07451","0.56675","0.25006","2.11278","0.01402","1.88087","0.63267","1.01188","1.42102","2.34748","1.44505","0.00056","1.14556","2.18083","0.00723","4.67556","3.62416","0.01178","0.1999","5.20517","0.23455","1.2031","0.0816","0.01871","0.05806","0.92163","0.73663","1.23306","0.29023","0.0545","0.00071","1.59817","0.48179","0.53924"
"PC 32:1;O/32:0;P","PC 32:1;O/32:0;P","1.53547","1.5124","0.08895","0.02204","0.56742","0.004","0.02931","0.01118","0.52484","1.42474","0.00562","2.11283","1.34915","0.06535","0.7117","0.92521","0.26425","0.29421","0.58152","0.84351","2.95706","0.37785","0.00143","1.15415","0.22685","0.97026","0.35528","0.14647","0.48984","0.44819","2.65858","0.09897","0.00223","1.20511","0.27637","0.51663","0.18838","0.87927","0.2989","0.12774","0.41148"
"PC 34:0;P/34:1;O","PC 34:0;P/34:1;O","1.37023","2.23858","0.05066","0.14487","0.7305","0.02116","1.69737","0.00295","0.27974","0.16313","1.33043","0.00803","0.64501","0.28088","0.04747","0.37086","0.02155","0.21416","0.11894","0.55392","0.00083","0.04956","0.72417","0.00594","0.00157","0.25243","0.00921","0.44501","0.47983","0.01917","4.17141","0.06631","1.20842","0.2911","2.16475","0.0318","0.83017","1.43845","0.00114","1.09582","0.05497"
"PC 34:1;P/34:2;O","PC 34:1;P/34:2;O","0.71052","2.42545","0.01561","0.02883","1.48563","0.02478","0.79829","0.02422","2.0087","5.33876","0.00148","1.16837","0.00004","3.76522","0.70569","0.00309","1.30591","5.36867","0.00638","0.92389","0.2299","0.51662","0.74631","0.25315","0.07192","0.29061","1.29045","0.20393","0.04731","2.05448","0.00123","2.776","0.44038","0.02159","0.00599","0.70287","0.02171","1.47014","0.59046","0.15412","0.26144"
"PC 36:1;P/36:2;O","PC 36:1;P/36:2;O","0.71495","2.5555","0.00172","0.00837","1.29134","0.15604","3.63665","1.18397","0.14498","1.95094","0.91283","0.00302","0.02958","0.11773","0.30215","1.11117","0.28896","0.01014","0.31593","0.24609","1.84166","1.79591","5.86112","2.67688","0.10444","0.13801","0.62628","0.09801","0.21958","1.87207","3.19714","0.23102","0.00085","1.84272","1.02922","2.23397","0.52959","1.41722","0.14278","0.22569","0.23203"
"PC 36:2;P/36:3;O","PC 36:2;P/36:3;O","1.32118","1.99384","0.13002","0.00942","0.31411","0.25401","0.56064","2.41845","0.28799","1.50498","0.41959","0.82634","0.12602","0.60009","0.01039","0.14969","2.89137","0.01593","0.03382","0.15502","0.15633","0.13373","1.37192","0.48233","0.65315","0.21044","0.19404","0.98026","0.31468","0.06468","0.11521","0.00169","0.01072","0.00597","0.36636","0.91061","0.01088","0.73141","1.22765","0.03396","0.0426"
"PC 36:3;P/36:3;O","PC 36:3;P/36:3;O","1.26249","2.00729","0.99236","0.11794","0.37292","0.05596","0.16579","2.65138","0.01943","0.33175","1.3011","0.13595","0.06715","0.03963","0.00021","1.1838","1.33826","0.02392","0.00177","0.67685","0.07753","0.49488","0.02558","0.8399","0.05056","0.0087","0.37144","0.2673","0.2055","0.42717","1.11976","0.11076","0.16084","0.1628","0.64811","3.84448","0.10218","5.37043","2.5551","0.91487","1.40382"
"PC 38:2;P/38:3;O","PC 38:2;P/38:3;O","0.88138","1.70667","0.6907","0.29881","0.79298","0.80473","3.5767","1.95794","0.03031","0.58215","0.27133","0.08274","0.00164","0.13917","0.14033","0.634","0.04276","2.59059","0.62681","0.03744","1.0018","2.25884","0.61526","1.35058","0.93614","0.6526","0.20367","0.3006","3.2803","0.8741","0.26777","0.55001","0.29849","1.26421","0.00115","1.72089","1.84733","2.22027","3.64413","0.84408","0.06766"
"PC 38:3;P/38:4;O","PC 38:3;P/38:4;O","1.29473","1.57565","1.44055","0.11612","0.26621","0.08994","1.05066","3.51606","0.00163","0.25234","0.19396","0.0141","0.08843","0.08874","0.10218","0.07148","0.26089","1.1635","0","0.33507","0.58475","0.13505","0.09988","0.36402","0.8242","0.06441","0.00386","0.00189","0.06151","0.51611","0.23545","0.2604","0.6521","0.61555","0.1024","1.00621","0.02948","0.16029","0.28505","1.35578","1.83512"
"PC 38:4;P/38:5;O","PC 38:4;P/38:5;O","0.99531","1.89808","1.92836","0.96595","0.29249","0.00054","0.01201","4.53358","0.06176","0.00536","0.87987","0.03128","0.02426","0.0091","0.17942","0.27522","0.62921","0.9345","0.00253","0.01455","0.06673","0.10532","0.78433","1.10803","0.00465","0.17616","0.40265","0.25459","0.32893","0.19294","0.01314","0.18381","0.61584","0.77544","0.66607","0.00008","0.14537","1.96409","0.70028","0.48293","0.14147"
"PC 40:3;P/40:4;O","PC 40:3;P/40:4;O","0.95573","0.21353","1.35641","0.04808","0.49414","0.26196","3.75955","1.3313","0.1603","0.06321","3.70854","1.40299","0.90953","4.48932","0.20115","0.08716","0.51582","0.57103","0.44612","0.04318","5.57163","0.01915","0.05258","1.7856","0.60525","1.64001","3.7669","0.71316","0.41709","0.11792","0.00158","0.08592","3.28047","2.13831","0.56513","2.82002","3.31117","0.00539","0.11564","0.08491","0.04895"
"SM 32:1;O2","SM 32:1;O2","1.68535","0.12328","0.16874","0.09998","1.75332","0.59694","0.40692","2.54434","0.33676","0.00526","0.03632","0.02398","1.30633","0.06766","0.81925","1.53964","0.32363","0.02597","0.00962","0.03471","0.03478","1.69385","0.01723","0.06106","0.36626","2.47321","1.98921","0.6045","1.63243","2.36522","0.03147","1.52884","1.83861","0.00487","0.12185","1.10222","0.00016","0.22501","0.24497","0.0458","0.75148"
"SM 33:1;O2","SM 33:1;O2","1.73561","0.39419","0.16188","1.1799","0.45058","0.04138","0.29568","0.60906","0.48393","0.38684","0.15031","1.79459","0.7688","0.02932","0.54125","1.02821","0.01022","0.00769","0.88735","0.05257","1.23286","0.39473","0.19579","0.54962","0.00076","0.38146","1.86941","0.33284","1.84579","2.60481","0.44219","0.06339","0.40886","0.05112","0.07268","1.4306","0.01736","0.85676","4.05859","0.2792","1.35044"
"SM 34:1;O2","SM 34:1;O2","1.52286","1.29637","0.00013","0.00014","0.25317","1.48451","1.25627","1.14943","0.00567","0.47015","0.00005","0.35857","0.01765","0.54634","0.5653","0.1952","0.16281","0.01342","0.01297","0.17296","0.93149","0.1423","0.39786","0.06082","0.01811","0.0257","1.82154","5.9449","1.95998","0.0819","0.17664","2.70745","0.27154","0.58933","0.00005","1.10153","2.51388","0.00961","0.9726","0.05502","8.83264"
"SM 34:2;O2","SM 34:2;O2","1.6627","0.7656","0.00375","0.86583","0.0705","0.69579","0.09963","1.40321","0.89173","0.24477","0.69881","1.25554","0.0105","0.44971","0.89543","0.00885","0.21971","0.68241","0.39624","0.0396","1.41911","0.01303","0.00021","0.00829","0.1656","0.12948","0.28242","0.08223","1.83449","0.52701","0.60904","0.52973","2.75583","0.25445","3.6505","0.00922","0.3005","2.29884","0.23963","1.3459","0.59624"
"SM 35:1;O2","SM 35:1;O2","1.10605","0.07915","0.27718","1.10497","1.09593","2.09984","0.02499","0.38881","0.28876","2.77237","0.03321","0.49452","3.20476","0.01191","2.85874","2.02589","0.67391","0.04277","0.45226","0.6492","0.64899","0.03461","0.24915","2.33346","13.06947","0.48325","0.27838","0.49055","5.0887","0.28102","0.15654","1.54356","1.96388","0.18633","0.11993","0.10273","10.98645","1.01968","0.34653","0.97485","0.17476"
"SM 36:1;O2","SM 36:1;O2","1.59289","0.52719","0.0004","1.00577","0.82978","1.50393","0.28765","0.32776","0.84448","0.28444","0.30787","0.00179","0.18941","0.34474","0.00235","1.80718","0.66612","0.02592","0.52847","0.18696","1.24966","0.14824","0.0026","0.95795","4.40875","0.02206","1.17425","0.41798","0.00599","0.2608","0.80955","0.43161","2.42499","0.23687","1.16595","0.53615","0.15835","0.34107","1.88725","0.21088","0.0037"
"SM 36:2;O2","SM 36:2;O2","1.43741","0.46355","0.00367","1.48901","0.31659","1.38865","0.1889","0.06028","1.91382","0.65568","0.56073","0.40444","0.24086","1.60919","0.48654","2.72905","0.56101","1.59857","0.41357","0.06558","0.91501","0.21481","0.00668","0.82546","0.4984","0.01873","0.65443","0.64805","1.16449","0.38091","0.60639","3.37594","2.94139","0.09197","1.3939","1.28689","0.00216","0.00143","3.33967","0.04447","0.18813"
"SM 38:1;O2","SM 38:1;O2","1.94176","0.45341","0.03014","0.6126","0.71283","0.33866","0.07265","0.29696","0.28811","0.00678","1.07141","0.31499","0.00077","0.31291","0.00439","1.45965","0.0967","0.08516","0.00328","0.01156","1.5841","0.01428","0.03378","0.0333","0.90905","0.11039","0.56339","0.0659","0.01883","0.1089","0.74503","0.24018","0.02668","2.09085","0.37552","0.01975","0.65596","0.19906","0.04822","0.36574","0.89413"
"SM 38:2;O2","SM 38:2;O2","1.50206","0.49566","0.18968","1.74091","0.27903","1.27529","0.13171","0.13421","0.85805","0.10747","0.15908","0.88159","0.1106","0.17572","0.66192","2.77198","0.38723","1.44178","0.28407","0.18023","1.42261","0.29716","0.05716","0.02291","0.03072","0.00954","0.69232","0.23436","1.18519","1.83412","0.06031","2.37668","5.06114","0.0408","0.01326","1.51394","0.31084","6.13656","0.29345","3.80639","1.26093"
"SM 39:1;O2","SM 39:1;O2","1.96957","0.0421","0.00957","0.49438","0.61767","0.00019","0.02667","0.10532","0.85428","0.07085","1.26852","0.02037","1.71994","0.04971","0.35265","0.96262","0.48878","0.16884","1.04142","0.74451","1.80905","0.02782","0.04163","1.64484","0.00372","0.88324","0.69361","0.03623","0.00002","1.56533","0.14625","2.26404","0.01182","0.02924","0.07067","2.80691","1.54858","0.36661","0.44482","0.00432","0.0223"
"SM 40:1;O2","SM 40:1;O2","1.99015","0.28635","0.06137","0.35316","0.14424","0.63194","0.26299","0.01908","0.44841","0.14591","1.8596","0.44752","0.00269","0.98045","0.82988","0.02188","0.04317","0.28629","0.22532","0.14709","0.05573","0.04578","0.0559","0.35661","0.00038","0.06154","0.69929","1.37846","0.00549","0.00084","0.37027","2.6302","0.00392","0.38813","0.25484","0.11458","0.92995","0.58434","0.85398","3.4163","0.61755"
"SM 40:2;O2","SM 40:2;O2","1.84479","0.62353","0.36036","0.48957","0.6497","0.62168","0.74972","0.39548","0.00684","0.02435","0.03613","0","0.00391","0.00013","0.08253","0.05111","0.20594","0.00035","0.24707","0.12815","0.06817","0.27018","0.31051","0.76352","0.24632","0.00083","3.94612","0.03921","0.00238","1.53225","2.04213","0.30447","0.77195","0.69101","0.08152","0.32824","0.05631","0.00057","0.94337","0.03549","0.74571"
"SM 40:3;O2","SM 40:3;O2","0.57097","0.06467","1.57693","2.23173","0.97298","3.08738","0.73866","1.98025","0.06083","2.97555","0.15991","0.47489","2.57805","0.04657","2.93022","0.37743","0.01387","2.93785","2.44638","0.50271","0.0038","0.00225","0.01017","0.24348","1.16628","3.47081","2.82976","0.12199","0.97862","1.28299","1.3223","0.79747","0.21704","0.24754","3.19547","0.21776","0.07717","2.20117","0.39805","13.03956","0.00784"
"SM 41:1;O2","SM 41:1;O2","1.89541","0.09762","0.09186","0.69261","0.25167","0.2258","0.03431","0.37676","0.07988","0.72369","2.97488","0.02766","0.10198","0.74215","1.42825","0.17206","0.37691","0.00904","0.37763","0","0.7208","0.01242","0.20486","0.99462","0.34954","3.67955","0.00043","0.37501","0.00119","3.47949","1.29666","0.12519","0.1317","0.10615","0.06032","0.00005","0.55312","1.48473","0.06089","0.02855","0.26499"
"SM 41:2;O2","SM 41:2;O2","1.77755","0.5067","0.18632","0.98859","0.92685","0.19287","0.06682","0.01202","1.03086","0.00715","1.34084","0.25476","0.12058","0.00007","0.00162","0.3051","0.07828","0.41778","0.08676","0.02008","0.06978","0.10873","0.04829","0.88903","0.15458","2.27308","2.64669","0.19815","1.59","2.07718","0.01195","0.13693","3.03344","0.07489","0.00892","0.08836","1.75552","1.83447","0.00675","0.01454","0.07773"
"SM 42:1;O2","SM 42:1;O2","1.77643","0.1195","0.00582","0.10706","0.01776","0.56661","0.33219","0.39813","0.27081","0.79824","2.56465","0.34694","0.12682","3.15682","0.87002","0.3903","0.03188","1.37725","1.19034","0.10054","1.94932","0.22519","2.26677","0.50797","0.65614","0.46849","0.46733","1.99373","3.00114","0.44795","0.27437","0.27588","1.03288","0.37457","0.01595","0.07883","4.56425","0","0.21995","0.99988","0.91638"
"SM 42:2;O2","SM 42:2;O2","1.55729","1.33997","0.03978","0.10794","0.56013","1.04734","0.22916","0.39125","0.05029","0.13347","2.28516","0.04576","1.53468","0.03552","0.31618","0.04744","0.44011","0.51679","0.02662","0.35801","0.38291","0.65183","0.01625","0.02889","0.14733","1.18273","0.60182","0.2461","1.2256","2.2032","0.3007","2.45182","2.19583","0.02116","0.04625","1.13952","1.24753","3.99258","0.0242","0.05178","2.73429"
