"","post.hoc.pval.signif","Total.C","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","76","PE","severe(exp) / mild(ctrl)","1.60e+00","7.18e-01","4.48e-01","-1.16e+00","Two-way ANOVA","7.43e+00","7.40e-03","t-test","4.54e-02","1.34","1.36e-01","0.866","no"
"2","no","38","PE","severe(exp) / mild(ctrl)","1.87e+00","4.24e+00","2.26e+00","1.18e+00","Two-way ANOVA","7.43e+00","7.40e-03","t-test","9.78e-02","1.01","1.47e-01","0.834","no"
"3","no","72","PE","severe(exp) / mild(ctrl)","1.12e+00","8.74e-01","7.81e-01","-3.56e-01","Two-way ANOVA","7.43e+00","7.40e-03","t-test","5.58e-01","0.254","5.58e-01","0.254","no"
