feature	log2FC_Percentage	pval_Percentage	padj_Percentage	log2FC_PQN	pval_PQN	padj_PQN	log2FC_none	pval_none	padj_none
FA 18:1	2.1121419508835677	4.229133228776951e-4	0.04222313495582974	1.1873020068556162	8.294375515249044e-4	0.05309262898725944	2.2212043134984465	1.0673261751213879e-4	0.01103736824964299
PC 32:1	1.4743108999253434	6.979030571211527e-4	0.04222313495582974	1.8338204180095632	8.775641154918915e-4	0.05309262898725944	2.61620515633012	1.8243583883707423e-4	0.01103736824964299
TG 54:3	2.76847111554209	0.003364241980721197	0.10861209309910264	3.4991324869685156	0.002567964069051583	0.08370986249627661	4.598162597788928	9.102019968441834e-4	0.0291449237674657
TG 54:4	2.445905881646737	0.0035904824164992607	0.10861209309910264	3.055064400666635	0.0027672681816950945	0.08370986249627661	4.1757908908724435	9.634685542963868e-4	0.0291449237674657
Cer 40:1;O2	-17.24506924999909	0.01990682286628483	0.47198283160405746	-0.21624536871160935	0.34433477897804754	0.6678232218537917	0.0417317818484488	0.3673178973027864	0.5475980195775871
TG 46:0	-3.6211872897633897	0.02927097136634912	0.47198283160405746	-2.9261719751300292	0.054052413297801895	0.40369737094927743	-0.6702989524904381	0.2025272397349861	0.47126530784487153
TG 46:1	-2.426372853518324	0.029707598995073498	0.47198283160405746	-2.6962383556537626	0.05208555556837449	0.40369737094927743	-1.0036167433691134	0.19267909548599474	0.47090996746182673
CE 20:3	-26.004881649389205	0.034035460138784626	0.47198283160405746	-0.2120515602333701	0.2347189488992772	0.6391215900050433	-2.6707943192454526	0.2556911049504615	0.48341599529696627
TG 49:1	-7.293576720507599	0.035106161028400966	0.47198283160405746	-26.487792208401252	0.05778576279303585	0.40369737094927743	-1.1058447809956204	0.30099091212246515	0.5288090618796302
TG 56:6	0.9906606423107135	0.040405443476669634	0.4840144036254163	3.1660907839402825	0.02254202810017878	0.3896550571602332	4.649468830561205	0.011688687759107246	0.20691296733430195
TG 54:5	1.643942961887959	0.04400130942049239	0.4840144036254163	2.4708350097123515	0.029459426479240092	0.40369737094927743	3.6587046500836986	0.013680196187391865	0.20691296733430195
TG 56:7	0.12515264817892902	0.051798601434395894	0.5028940878048496	27.66748213301009	0.020285219120621638	0.3896550571602332	27.00516533814216	0.012542932028167822	0.20691296733430195
TG 52:4	0.3947639517042569	0.05449754200660322	0.5028940878048496	27.55555195401455	0.020740979722680703	0.3896550571602332	26.94687837127595	0.012675613685705413	0.20691296733430195
Cer 34:1;O2	3.050945557802448	0.0581860928038669	0.5028940878048496	2.577919768377316	0.03592457090555723	0.40369737094927743	4.069662430879746	0.019366463000490323	0.22732950794339324
DG 38:4	0.18443977368179695	0.07098847664568052	0.531104851540152	-0.1962498216387115	0.8733722783075059	0.916108995063064	0.12412499305975797	0.09172948060442362	0.38502997867763306
FA 14:0	-1.6314057012401129	0.07299281995229781	0.531104851540152	-1.4712527703218512	0.20756444130917182	0.6391215900050433	-1.4652097829279498	0.3572758103232102	0.5475980195775871
PC 38:6	0.6607947172325315	0.0746180369932445	0.531104851540152	1.1857152721012396	0.05744246580176213	0.40369737094927743	1.9808896465135133	0.026030838656118428	0.22732950794339324
TG 56:5	0.3381780569656031	0.08531803524091472	0.5393121989180241	2.5825856554558557	0.047789148813350064	0.40369737094927743	4.146968871927812	0.026026255553038682	0.22732950794339324
PC O-32:0	0.5232789188111355	0.08884171031013098	0.5393121989180241	0.4984622407965063	0.08270974345326958	0.48646417894697663	1.8841830499904848	0.03193102033622762	0.24147834129272136
Hex2Cer 34:1;O2	2.211763467889941	0.08914251221785523	0.5393121989180241	0.9064641547590958	0.05520656978210629	0.40369737094927743	2.90439434219105	0.030909870903435662	0.24147834129272136
PC 38:4;P/38:5;O	0.1984867260099235	0.09646534969554214	0.5403332758440582	0.15203100962207608	0.08148335817159146	0.48646417894697663	1.35991558756889	0.03677248671639475	0.24893123714517987
CE 18:2	0.011959858205438463	0.10254479787129574	0.5403332758440582	27.117651119968578	0.040850498419303126	0.40369737094927743	26.493071589740218	0.02432650254649269	0.22732950794339324
