feature	sig_pval	FC	log2FC	pval	negLog10pval	padj	negLog10padj	sig_padj
PC 38:7	yes	0.6179016978586986	-0.6945507572306207	0.0041894356072093766	2.377844480419005	0.3300833695257137	0.4813763560245986	no
PI 38:4	yes	1.4382630451765177	0.5243275556566163	0.010744728644787748	1.968804548023577	0.3300833695257137	0.4813763560245986	no
SM 42:2;O2	yes	0.683356936712719	-0.5492887589558654	0.01085595370586887	1.964332017349845	0.3300833695257137	0.4813763560245986	no
PC 38:6	yes	0.7089503208605445	-0.49624355960768196	0.016044727629892962	1.7946676509485664	0.3300833695257137	0.4813763560245986	no
LPC 16:1	yes	1.9983783191567799	0.9988297300295493	0.01667087724877342	1.7780415462861296	0.3300833695257137	0.4813763560245986	no
SM 34:1;O2	yes	0.6770922695362532	-0.5625756470075649	0.023165582580339263	1.6351567734558552	0.35994155660093524	0.44376800952772355	no
PC 38:3;P/38:4;O	yes	0.6053930346854979	-0.7240560184706943	0.026999703225856028	1.5686410094736587	0.35994155660093524	0.44376800952772355	no
PC 36:4	yes	0.7570186479122353	-0.4015992558135505	0.03251095872552632	1.4879702232732839	0.35994155660093524	0.44376800952772355	no
FA 18:0	yes	0.6892415692205464	-0.5369183795406846	0.03277372108014401	1.4844742466607086	0.35994155660093524	0.44376800952772355	no
PC 36:5	yes	0.7835394256465525	-0.3519222257367492	0.03939976155763275	1.404506406461677	0.35994155660093524	0.44376800952772355	no
SM 40:2;O2	yes	0.6693497363480737	-0.579167876465252	0.03999350628899281	1.3980105189670484	0.35994155660093524	0.44376800952772355	no
PC 38:4	yes	0.768375512897441	-0.38011655191768146	0.04736235389716348	1.324566721421433	0.3907394196515987	0.40811277287150793	no
