feature	BS-082D10	BS-351D10	BS-364D10	JV-138D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-723D10	KT-805D10
"PC 34:0;P/34:1;O"	0,73	3,75	3,82	2,87	2,92	3,48	3,13	1,08	3,65	1,98	3,82	3,26	1,94	2,79	3,20	2,01	3,39	3,44	3,99	2,76	2,11	3,35	2,57	2,03	1,97
"PC 34:1;P/34:2;O"	1,44	6,18	5,51	7,96	6,89	4,12	5,75	0,85	4,72	3,20	5,51	5,43	2,34	4,08	4,61	2,62	6,73	6,43	5,51	4,20	3,60	5,94	4,22	2,46	3,21
"PC 36:1;P/36:2;O"	0,42	1,94	1,79	1,76	1,84	1,26	1,45	0,00	1,79	0,93	1,71	1,49	0,00	1,07	1,43	0,85	1,75	1,63	1,93	1,26	1,00	1,84	1,13	0,73	0,90
"PC 36:2;P/36:3;O"	2,39	5,71	5,97	6,46	6,50	4,59	4,75	1,23	4,89	3,87	5,91	6,66	2,05	5,19	4,21	3,39	7,50	4,95	5,19	4,94	3,94	5,72	4,95	2,98	3,61
"PC 36:3;P/36:3;O"	7,16	11,57	14,18	13,28	14,54	11,95	9,54	4,08	12,58	11,52	14,65	20,93	6,07	14,84	10,53	8,99	20,20	10,53	11,63	13,19	10,78	13,16	14,90	10,76	9,57
"PC 38:2;P/38:3;O"	0,61	1,13	1,50	0,75	1,24	0,99	0,86	0,00	1,39	0,76	1,61	1,77	0,00	0,95	1,02	0,50	1,39	0,98	1,13	1,15	0,76	1,24	1,45	0,83	0,63
"PC 38:3;P/38:4;O"	3,42	5,68	7,60	4,37	6,46	6,77	4,28	2,03	7,09	4,83	9,08	10,86	3,30	6,71	5,64	4,42	8,42	5,14	5,92	6,56	5,22	6,76	7,64	5,98	4,37
"PC 38:4;P/38:5;O"	4,91	6,97	10,75	6,95	9,66	8,60	5,99	3,59	10,60	9,36	11,75	15,73	5,83	10,74	8,07	8,33	12,99	6,39	8,67	8,54	9,39	10,59	9,41	10,34	7,57
"PC 40:3;P/40:4;O"	0,00	0,69	0,95	0,00	0,68	0,59	0,00	0,00	1,03	0,56	1,12	1,37	0,00	0,00	0,69	0,00	0,85	0,00	0,71	0,69	0,51	0,72	1,14	0,61	0,00
"PC 42:3;P/42:4;O"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,61	0,00	0,62	0,66	0,00	0,00	0,42	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,49	0,00	0,00
PE 38:4	0,00	0,00	0,00	13,57	9,68	0,00	0,00	0,00	0,00	0,00	0,00	7,11	0,00	0,00	0,00	5,99	0,00	0,00	8,75	0,00	5,37	0,00	0,00	0,00	0,00
"PE 36:3;P/36:4;O"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,70	0,00	8,52	0,00	0,00	0,00	0,00	0,00	0,00	5,32	0,00	0,00	0,00	3,82	0,00	0,00
"PE 38:4;P/38:5;O"	0,00	0,00	0,00	8,92	10,34	0,00	0,00	0,00	0,00	6,61	0,00	10,44	0,00	0,00	0,00	0,00	7,59	0,00	7,97	0,00	0,00	5,50	5,18	0,00	0,00
"SM 32:1;O2"	1,49	1,86	2,92	2,67	4,41	3,57	5,94	1,95	2,37	2,50	3,05	2,77	2,80	3,36	2,40	1,75	3,18	2,28	2,23	3,63	1,61	4,54	4,66	2,81	1,74
"SM 33:1;O2"	0,88	1,00	1,42	1,73	2,11	1,89	2,66	0,85	1,49	1,26	1,34	1,55	1,54	2,01	1,24	1,20	1,80	1,38	1,26	1,84	1,14	2,41	2,14	1,67	0,86
"SM 34:0;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"SM 34:1;O2"	39,18	63,56	90,93	72,49	99,20	81,37	91,00	49,21	74,98	64,15	76,90	74,49	83,64	79,27	72,00	64,37	101,36	79,28	64,01	97,72	60,21	71,33	82,10	65,00	56,44
"SM 34:2;O2"	3,20	5,94	8,34	8,66	9,91	8,33	8,35	3,91	6,52	6,85	7,94	6,45	6,19	10,60	6,41	6,81	9,51	8,10	6,74	8,65	6,51	9,08	8,77	6,86	6,86
"SM 35:1;O2"	0,00	0,53	0,00	0,92	1,04	0,99	1,21	0,00	0,78	0,57	0,61	0,72	0,98	0,97	0,57	0,00	0,97	0,78	0,63	0,91	0,59	1,40	1,16	0,83	0,00
"SM 36:0;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"SM 36:1;O2"	6,42	10,84	15,41	16,91	22,64	22,08	18,30	6,91	12,14	11,33	15,29	13,46	16,53	15,49	12,21	11,92	21,82	12,72	11,75	15,24	12,39	18,43	18,98	15,17	12,45
"SM 36:2;O2"	2,46	3,95	5,00	7,28	7,94	7,37	4,81	1,88	4,01	4,24	4,47	4,06	5,77	6,07	4,74	4,54	6,76	4,83	4,50	5,10	4,90	7,47	7,02	5,53	5,78
"SM 37:1;O2"	0,00	0,00	0,00	0,00	0,00	0,51	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,57	0,62	0,00	0,00
"SM 38:1;O2"	2,83	4,68	7,14	8,86	11,52	9,70	11,69	2,81	6,11	6,94	7,99	7,87	6,53	7,11	5,76	6,27	11,08	6,25	7,48	7,72	5,32	8,28	10,38	7,95	5,68
"SM 38:2;O2"	1,09	2,06	2,86	3,47	3,77	3,49	2,21	0,91	2,41	2,63	2,49	2,45	2,97	2,83	2,50	2,67	3,86	2,48	2,54	2,48	2,13	3,66	3,77	2,93	3,02
"SM 39:1;O2"	0,00	0,69	0,80	1,51	1,63	1,33	2,15	0,00	1,01	1,16	1,06	1,24	0,00	0,87	0,71	0,80	1,37	0,87	0,82	1,21	0,74	1,70	2,37	1,30	0,60
"SM 40:0;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"SM 40:1;O2"	7,83	10,83	18,62	23,80	26,11	18,88	29,93	6,76	15,76	16,01	20,79	18,42	11,53	16,80	10,12	13,31	26,44	16,62	21,80	19,36	13,15	15,32	21,17	17,56	11,45
