feature	BS-082D10	BS-351D10	BS-364D10	JV-138D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-723D10	KT-805D10
DG 32:0	0,86	1,61	0,73	4,41	1,39	1,38	5,25	0,99	0,51	1,12	0,49	1,64	0,00	1,61	0,44	1,51	0,72	2,02	4,39	1,85	0,92	1,15	0,00	1,40	2,45
DG 32:1	0,76	1,22	1,03	2,71	1,05	1,17	2,77	0,97	0,47	0,72	0,00	1,07	0,00	0,90	0,54	1,14	0,65	1,50	1,13	1,89	0,62	1,32	0,00	0,95	2,04
DG 34:1	3,17	5,07	5,72	9,42	4,09	7,51	6,76	2,60	3,39	4,62	2,97	6,47	3,42	5,75	2,24	7,76	4,38	6,29	6,42	7,58	4,74	3,05	1,32	5,43	10,71
DG 34:3	0,00	0,00	0,00	0,55	0,00	0,00	0,49	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,54
DG 36:3	0,66	1,61	1,20	2,57	1,03	1,33	2,72	0,68	1,17	2,86	1,02	2,75	0,87	1,73	1,18	2,22	1,09	1,63	2,07	2,27	1,60	0,99	0,76	2,26	5,01
DG 34:2	0,00	1,18	0,84	1,59	0,96	0,97	1,58	0,48	0,74	0,96	0,42	1,30	0,00	0,88	0,43	1,35	0,00	1,04	1,12	1,76	0,81	0,47	0,00	1,32	1,98
DG 36:1	0,00	0,29	0,00	0,65	0,21	0,35	0,29	0,00	0,22	0,39	0,00	0,31	0,00	0,41	0,18	0,30	0,00	0,26	0,40	0,32	0,18	0,12	0,00	0,30	0,53
DG 36:2	1,85	4,63	3,56	8,15	3,79	3,82	2,39	0,79	2,20	2,95	2,31	5,65	3,16	4,69	1,68	6,28	3,60	3,96	4,30	4,70	3,57	2,67	1,36	4,78	7,97
DG 36:4	0,00	0,00	0,00	0,00	0,00	0,00	1,02	0,00	0,00	0,63	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CAR 16:0	0,00	0,00	0,31	0,00	0,00	0,00	0,00	0,00	0,00	0,24	0,00	0,11	0,00	0,21	0,00	0,00	0,00	0,00	0,00	0,00	0,16	0,10	0,00	0,00	0,00
CAR 18:1	0,16	0,00	0,40	0,00	0,00	0,13	0,00	0,00	0,00	0,40	0,00	0,20	0,00	0,29	0,00	0,00	0,13	0,00	0,00	0,00	0,27	0,14	0,10	0,00	0,13
CAR 18:2	0,00	0,00	0,17	0,00	0,00	0,00	0,00	0,00	0,00	0,21	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,13	0,00	0,00	0,00	0,00
CAR 2:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CAR 3:0	0,00	0,00	0,00	0,00	0,00	0,10	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CAR 8:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
CE 16:1	1,23	0,00	0,00	0,85	0,62	0,00	3,59	0,00	1,31	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,48	0,00	0,00	0,00	0,00	0,63	0,00
CE 18:1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,28	0,26	0,50	0,00	0,00	0,00	0,00	0,29	0,72	0,00	0,00	0,00	0,00	0,00	0,12	0,50	0,00
CE 18:2	2,26	0,82	3,08	0,00	1,20	1,33	4,63	0,00	3,68	1,19	1,59	0,00	0,00	1,08	0,00	2,34	2,19	0,00	4,01	0,00	0,49	1,10	4,63	3,10	2,38
"Cer 34:1;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,29	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"Cer 40:1;O2"	0,00	0,48	0,57	1,57	1,12	0,67	1,65	0,00	0,53	0,46	0,56	0,56	0,00	1,22	0,47	0,64	0,62	0,80	1,35	0,77	0,59	0,58	0,46	0,55	0,50
"Cer 41:1;O2"	0,00	0,38	0,50	1,33	0,92	0,44	1,47	0,00	0,46	0,42	0,50	0,41	0,00	0,77	0,31	0,44	0,42	0,44	1,20	0,59	0,38	0,49	0,43	0,47	0,34
"Cer 42:1;O2"	0,91	1,57	0,00	0,00	0,00	0,00	0,00	0,96	2,21	0,00	0,00	0,00	1,01	0,00	0,00	0,00	0,00	0,00	0,20	2,85	0,00	0,00	0,00	2,59	0,00
"Cer 42:2;O2"	0,58	0,33	0,91	0,60	0,55	1,47	1,45	0,57	1,28	0,97	0,90	1,20	0,00	0,64	0,50	1,20	1,11	0,59	1,31	0,48	1,32	1,14	0,94	0,39	1,44
"Cer 42:3;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"HexCer 42:1;O2"	0,00	0,00	1,35	2,08	0,00	0,00	1,78	0,00	0,00	0,00	1,38	0,00	0,00	1,21	0,00	0,00	0,00	0,00	1,67	0,00	0,00	0,00	0,00	0,94	0,00
"HexCer 42:2;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
LPC 13:0	0,00	7,92	0,00	17,00	0,00	0,00	10,74	10,68	0,00	13,48	0,00	0,00	0,00	0,00	9,96	0,00	0,00	13,96	0,00	0,00	0,00	8,67	12,21	59,17	12,37
LPC 14:0	0,00	16,61	27,27	11,96	31,26	19,63	0,00	10,45	15,47	22,37	15,92	20,11	0,00	21,54	13,40	13,51	0,00	17,96	12,18	14,50	12,69	23,65	19,33	11,01	13,95
LPC 15:0	0,00	0,00	12,26	9,79	14,51	9,68	10,83	0,00	0,00	7,78	0,00	12,46	0,00	22,36	0,00	12,94	0,00	15,22	0,00	16,28	9,99	11,99	0,00	0,00	0,00
LPC 16:0	1229,70	1567,67	2876,64	1672,44	3046,04	2399,20	2188,28	914,27	2614,76	2535,84	1946,55	2595,80	1684,35	3566,29	1834,39	2306,54	2396,46	2650,78	1805,07	2973,66	2895,04	2071,86	1835,12	1838,56	2292,60
LPC 16:1	31,12	44,90	48,95	52,50	95,71	41,38	35,79	0,00	47,52	36,74	59,42	42,88	48,86	64,82	37,35	55,63	67,19	50,05	23,56	55,62	78,54	50,82	20,50	33,60	33,08
LPC 17:0	0,00	9,23	15,67	19,23	21,21	17,85	24,20	0,00	26,06	18,62	0,00	26,10	22,79	37,28	14,03	19,70	20,21	32,63	17,66	35,03	32,40	29,30	17,96	11,83	9,64
LPC 18:0	444,89	622,57	934,39	820,94	1016,03	832,62	842,41	419,14	846,11	958,69	771,22	1013,97	723,27	971,28	755,60	705,44	1019,33	964,47	779,61	975,09	1037,01	928,82	555,73	625,20	666,63
LPC 18:1	298,21	452,69	622,37	528,49	661,68	535,16	588,64	163,98	479,58	412,58	502,08	433,56	616,53	638,31	605,20	517,34	578,12	539,30	413,78	573,75	645,56	500,09	331,53	576,89	505,50
LPC 18:2	161,84	329,48	383,86	518,64	909,30	518,40	414,63	90,64	598,09	470,79	684,65	250,82	321,60	607,33	659,09	463,89	263,49	605,61	369,55	412,15	595,74	464,13	671,17	577,21	387,75
LPC 18:3	69,24	85,88	155,99	114,16	149,55	112,91	149,05	67,93	113,84	111,57	116,66	108,17	107,85	134,36	99,32	139,82	113,33	125,21	81,36	126,87	124,20	104,56	84,24	71,69	111,89
LPC 20:3	41,33	63,78	77,18	83,56	145,92	77,45	104,75	33,84	85,53	81,45	89,27	64,40	40,85	148,30	103,13	75,78	60,65	104,24	54,46	106,35	118,26	66,42	58,96	86,95	46,73
LPC 20:4	71,19	75,41	106,65	146,85	231,39	139,50	151,70	66,62	159,71	170,01	150,66	192,87	149,37	214,67	154,08	144,27	163,49	162,60	103,54	157,64	216,98	141,49	168,83	263,42	152,82
LPC 20:5	0,00	0,00	0,00	0,00	21,37	0,00	10,29	0,00	0,00	11,86	0,00	0,00	0,00	0,00	11,81	0,00	0,00	0,00	0,00	0,00	9,86	11,20	8,05	10,50	8,24
LPC 22:5	0,00	0,00	0,00	8,24	14,27	7,94	9,83	9,97	20,34	11,11	10,00	9,10	0,00	12,05	5,90	0,00	0,00	0,00	7,14	13,45	16,18	5,63	9,62	25,26	15,11
LPC 22:6	12,76	10,81	24,54	27,22	45,70	40,27	41,23	21,05	46,59	51,86	21,41	35,45	27,94	35,84	36,55	19,81	18,47	27,43	20,61	29,01	53,32	30,11	26,69	75,11	26,14
LPC O-16:0	0,00	12,54	39,08	0,00	13,67	19,10	18,20	14,75	24,81	20,81	17,18	27,12	0,00	19,82	21,20	10,73	25,70	13,83	12,73	17,15	20,02	14,26	12,96	14,70	12,09
LPC 16:0/16:1	0,00	8,80	22,50	0,00	13,78	10,44	14,74	10,74	19,21	17,83	12,90	18,64	0,00	14,40	11,14	0,00	17,69	15,14	12,29	17,75	22,62	14,87	14,64	14,66	13,49
LPC 16:1/16:2	22,51	32,95	63,51	34,14	59,23	45,90	47,08	18,92	58,01	61,32	41,83	49,85	23,13	67,57	33,28	47,99	35,87	50,88	40,40	55,77	62,99	45,97	47,18	33,96	46,33
LPC 18.0/18:1	0,00	7,06	23,14	0,00	0,00	16,86	10,62	11,45	19,46	16,62	11,36	19,98	0,00	15,90	16,84	0,00	20,00	0,00	10,00	13,72	17,61	12,22	8,54	13,71	11,58
LPC 18:1/18:2	0,00	7,05	13,65	10,78	0,00	10,74	14,38	0,00	10,99	15,50	0,00	17,29	0,00	16,52	12,65	10,27	0,00	12,56	9,90	16,37	18,72	13,57	11,20	8,18	0,00
PC 30:0	0,82	2,78	2,14	2,63	4,29	2,87	6,67	2,97	1,03	0,66	1,48	1,09	1,58	1,47	0,97	1,12	0,99	2,59	2,37	2,17	0,73	4,01	2,19	0,84	0,64
