feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
TG 51:2	0,00	0,00	0,00	0,00	0,00	0,34	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 52:3	0,00	0,00	0,00	0,00	0,00	0,00	0,60	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 54:2	0,00	0,00	0,00	0,00	0,00	2,47	7,02	0,00	0,00	0,00	0,00	0,00	3,42	0,00	0,00	0,00	0,00	2,96	0,00	0,00
TG 54:3	2,81	1,54	18,68	0,00	7,06	10,29	20,24	0,32	17,14	15,83	0,57	0,00	8,48	23,06	9,21	0,00	0,00	10,05	14,76	23,77
TG 54:4	4,32	1,80	17,27	0,00	6,88	11,87	14,37	0,21	11,65	13,91	4,28	0,68	9,64	20,30	11,75	0,36	1,44	9,90	12,40	18,12
TG 54:5	5,33	1,24	12,75	0,66	7,28	7,70	6,15	0,63	5,07	7,10	2,48	0,49	6,01	11,97	10,24	0,65	1,67	7,52	8,95	10,19
TG 54:6	3,05	0,66	5,80	0,00	3,65	3,25	1,60	0,33	1,42	2,28	0,93	0,00	3,00	3,73	4,24	0,36	1,06	3,11	3,54	2,98
TG 56:5	1,40	0,46	0,00	0,00	2,16	0,00	0,00	0,00	1,61	4,79	0,96	0,00	2,22	2,25	0,00	0,00	0,56	1,67	3,83	2,96
TG 56:6	3,46	0,82	5,27	1,54	4,18	3,84	3,18	0,34	2,38	5,78	2,00	0,00	3,56	3,99	3,31	0,00	1,18	3,65	4,64	4,46
TG 56:7	3,73	0,70	4,37	1,91	3,77	4,90	2,33	0,62	1,59	3,02	3,20	0,00	3,18	3,55	2,72	0,00	1,09	2,80	3,23	3,00
