feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
PC 40:8	6,31	8,36	7,56	7,44	7,72	6,75	4,49	6,92	7,20	5,48	9,59	4,71	6,33	10,10	8,68	5,56	7,12	9,48	12,32	5,49
PC O-32:0	4,66	9,79	4,52	6,59	6,26	7,24	5,39	11,72	8,42	3,55	112,56	5,62	3,84	4,28	6,93	5,46	9,27	7,37	6,91	4,77
PC 32:1;O/32:0;P	6,76	8,37	5,23	8,89	6,36	7,37	4,40	10,32	6,56	3,36	24,23	5,28	4,72	6,33	7,54	5,64	10,13	9,17	7,64	5,75
PC 34:0	1,27	2,72	2,19	0,00	2,21	2,32	1,72	3,92	2,32	0,92	30,49	1,51	0,00	1,88	0,00	1,62	2,77	3,14	2,90	1,54
PC 34:0;P/34:1;O	11,86	20,47	10,05	12,83	16,10	14,22	12,45	25,29	18,11	8,11	108,62	11,78	9,43	12,23	31,53	11,02	20,93	18,15	16,14	14,11
PC 34:1;P/34:2;O	18,25	23,07	17,81	17,65	32,99	22,40	18,22	27,38	23,12	12,67	69,15	19,90	19,30	32,08	40,86	18,58	32,13	21,09	27,41	20,04
PC 36:1;P/36:2;O	5,18	7,08	5,66	5,90	10,41	7,33	5,41	11,37	7,83	3,32	43,33	6,32	5,25	8,18	14,06	6,15	11,32	7,47	8,02	7,10
PC 36:2;P/36:3;O	16,81	21,21	18,49	14,65	25,92	18,47	14,19	19,52	19,20	13,01	46,18	15,51	18,04	29,52	30,14	17,66	26,19	20,27	29,87	18,58
PE 36:3;P/36:4;O	50,59	54,47	55,79	44,96	53,42	50,38	35,91	42,61	51,97	46,14	97,50	40,03	45,81	78,55	48,07	52,10	63,52	64,44	88,78	44,17
PC 38:2;P/38:3;O	3,79	6,28	4,95	4,94	5,89	5,13	4,01	6,80	4,87	3,32	10,42	4,42	3,30	6,88	7,94	5,01	6,81	6,48	7,02	5,14
PC 38:3;P/38:4;O	21,90	29,78	27,51	24,62	27,77	27,10	21,90	26,33	24,61	25,13	54,49	21,84	22,34	36,84	28,28	26,20	31,60	37,79	36,36	28,28
PC 38:4;P/38:5;O	32,75	27,86	34,04	30,05	35,68	33,26	25,79	20,76	27,16	28,20	55,42	24,65	31,76	38,82	22,84	35,37	40,72	52,08	39,05	27,24
PC 40:3;P/40:4;O	2,22	4,11	2,87	3,64	3,93	3,48	2,92	4,16	2,84	2,65	7,15	3,36	1,64	3,46	4,46	3,17	4,38	5,11	4,27	3,17
PC 42:3;P/42:4;O	1,14	2,27	0,00	2,04	2,31	1,67	1,22	2,26	1,16	1,15	2,61	1,66	0,00	0,00	3,09	1,18	2,69	2,84	0,00	1,27
PE 38:4;P/38:5;O	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,94	0,00	0,00	0,00	2,18	0,00	0,00	0,00	0,00	0,00
SM 32:1;O2	5,40	11,31	3,92	6,50	6,23	7,60	4,39	6,97	3,87	4,11	6,29	4,65	4,32	8,93	12,90	3,23	7,12	8,80	8,63	3,48
SM 33:1;O2	3,62	4,72	2,61	4,45	3,48	4,05	2,12	4,08	2,56	2,41	5,02	2,29	2,28	4,99	7,57	2,37	4,05	5,15	4,38	1,43
