feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
DG 32:0	1.84	1.88	1.55	0.82	2.16	1.91	1.65	2.05	1.28	1.19	0.51	1.98	3.59	3.79	2.47	2.19	3.19	2.06	6.84	3.55	1.65	0.88	0.89	0.67	0.93	0.0	0.0	1.37	0.88
DG 32:1	1.53	2.09	1.77	1.53	3.01	1.21	1.01	2.21	1.12	0.83	0.0	1.43	2.16	1.91	1.67	1.16	3.03	1.58	4.09	2.11	0.9	0.0	0.45	0.0	0.47	0.0	0.0	0.0	0.0
DG 34:1	8.88	7.3	12.17	6.45	6.21	7.5	8.68	7.58	8.48	6.72	3.37	9.39	12.09	14.84	6.62	5.55	7.27	6.05	16.09	13.86	8.93	3.75	3.31	4.27	4.4	1.45	2.56	5.56	3.62
DG 34:2	4.69	4.55	6.37	3.96	4.58	4.16	2.94	3.43	4.15	2.58	1.54	4.99	5.23	6.32	2.82	1.58	3.47	3.35	5.68	5.51	2.05	0.7	0.61	0.76	0.95	0.0	0.43	1.16	0.92
DG 34:3	0.6	0.53	1.04	0.0	0.89	0.5	0.0	0.57	0.38	0.41	0.0	0.63	0.79	0.6	0.0	0.0	0.39	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DG 36:1	0.76	0.71	1.1	0.73	0.71	0.63	1.04	0.63	0.57	0.42	0.51	0.91	0.87	1.34	0.78	0.33	0.87	0.66	2.14	1.44	0.63	0.43	0.23	0.0	0.4	0.0	0.0	0.0	0.36
DG 36:2	4.26	6.3	8.37	3.69	6.08	5.32	4.74	5.51	6.27	6.94	3.5	5.99	5.34	10.72	2.32	2.27	2.9	3.57	7.16	8.46	8.36	4.3	2.15	3.67	4.47	1.79	2.65	5.8	4.95
DG 36:3	2.98	3.94	4.95	2.74	2.16	4.09	2.32	1.96	2.78	3.88	2.36	2.83	3.47	5.84	1.37	1.43	1.53	2.5	3.24	6.08	3.99	1.29	1.61	1.7	2.23	0.0	0.84	2.11	1.87
DG 36:4	0.64	1.27	1.2	0.0	0.57	0.77	0.0	0.42	0.36	0.48	0.0	0.46	0.95	0.82	0.0	0.0	0.35	0.47	0.55	0.69	0.0	0.42	0.36	0.0	0.0	0.0	0.0	0.0	0.0
CAR 16:0	0.14	0.11	0.22	0.0	0.21	0.3	0.0	0.14	0.0	0.15	0.57	0.0	0.1	0.14	0.0	0.18	0.08	0.0	0.0	0.1	0.1	0.11	0.0	0.0	0.23	0.0	0.13	0.0	0.0
CAR 18:1	0.26	0.12	0.39	0.0	0.29	0.33	0.1	0.19	0.11	0.25	0.64	0.08	0.22	0.18	0.0	0.23	0.1	0.17	0.0	0.18	0.28	0.31	0.0	0.17	0.48	0.32	0.32	0.44	0.26
CAR 18:2	0.13	0.0	0.17	0.0	0.1	0.17	0.0	0.07	0.0	0.08	0.33	0.0	0.1	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.09	0.0	0.09
CE 16:1	0.8	0.0	0.74	0.0	1.2	0.65	0.56	0.0	0.48	0.55	0.78	0.77	0.0	0.0	1.21	0.52	0.64	1.13	0.0	0.94	0.0	0.83	0.0	0.0	0.66	0.0	0.0	0.0	0.0
CE 18:1	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.62	0.38	0.46	0.55	0.0	0.0	0.77	0.61	0.45	0.58	0.0	0.57	0.42	0.4	0.0	0.0	0.87	0.0	0.0	0.0	0.47
CE 18:2	8.01	1.06	8.29	2.1	6.52	10.63	8.48	0.18	8.17	7.37	9.21	6.57	1.31	0.0	8.3	0.0	5.21	6.92	0.0	7.9	2.39	5.31	1.62	0.0	2.68	0.0	0.0	0.0	2.24
"Cer 34:1;O2"	0.0	0.28	0.19	0.0	0.16	0.22	0.17	0.2	0.13	0.18	2.02	0.16	0.0	0.23	0.28	0.3	0.18	0.2	0.24	0.15	0.32	0.64	0.3	0.0	0.34	0.76	0.34	0.0	0.47
"Cer 40:1;O2"	0.65	0.43	0.4	0.33	0.38	0.47	0.39	0.52	0.33	0.34	0.62	0.34	0.48	0.58	1.39	0.34	0.38	0.42	0.95	0.3	0.74	1.04	0.35	0.37	0.67	0.95	0.6	0.0	0.79
"Cer 41:1;O2"	0.72	0.39	0.38	0.34	0.36	0.55	0.35	0.52	0.35	0.26	0.4	0.3	0.33	0.58	1.15	0.31	0.42	0.46	0.82	0.29	0.43	0.58	0.0	0.0	0.44	0.43	0.43	0.0	0.55
"Cer 42:1;O2"	2.63	1.78	1.49	1.44	1.35	2.05	1.5	1.8	1.45	1.48	2.27	1.56	1.69	2.0	4.5	1.26	1.82	1.7	3.71	1.37	0.0	0.0	1.11	0.0	0.0	0.0	0.0	1.77	0.0
"Cer 42:2;O2"	0.72	1.07	0.86	0.84	0.81	1.09	0.82	0.93	0.66	0.87	1.78	0.79	0.85	0.98	1.72	1.08	0.89	1.03	1.62	0.59	0.75	2.16	0.46	1.01	0.58	0.75	1.55	1.5	0.67
"Cer 42:3;O2"	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.11	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31
"HexCer 42:1;O2"	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
