"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"PC 36:4","PC 36:4","1.64585","0.21813","0.00728","0.01264","0.10496","0.6507","1.50637","1.70277","0.00618","0.00822","0.00006","0.99879","0.05073","0.24262","0.02269","0.43535","0.21352","0.4474","0.04546","0.50005","0.24095","0.03095","0.49969","0.99737","0.29491","2.41055","0.42079","0.69907","0.05352","0.00102","2.67739","1.91258","0.04819","0.64001","0.01222","0.30641","0.21994","0.61654","0.00801","0.02962","0.4837","0.88853"
"PC 36:5","PC 36:5","1.14913","0.04228","0.04111","0.00495","0.40012","0.11141","4.09948","0.58099","0.02679","0.29258","0.18633","2.17548","3.67283","0.23835","1.06169","1.63318","0.21909","1.78164","0.75711","1.18572","0.23573","0.35979","0.12832","0.00042","1.41122","0.85893","0.01188","0.19436","0.08655","3.77946","1.49159","0.05797","1.41797","2.62654","1.27745","0.70947","0.06165","0.31233","2.91559","2.25268","1.72272","0.16417"
"PC 38:2","PC 38:2","0.1523","0.03578","2.07871","0.07166","0.97802","0.91227","1.29456","1.426","1.26524","4.3052","0.02743","2.9221","0.74345","0.97091","1.01511","0.1419","3.32437","10.66031","0.12751","2.75035","1.10394","0.07051","0.10535","0.01641","0.01365","3.51056","0.05247","0.02644","0.48497","0.14115","0.20148","0.24543","1.17533","1.88033","4.82385","0.11541","0.00404","0.02274","5.38391","0.02287","0.02371","0.12386"
"PC 38:3","PC 38:3","1.45989","0.06816","0.18699","0.62981","0.17134","0.22725","0.06304","0.02162","5.6618","0.04089","0.16246","0.2941","0.09697","0.97085","0.04541","0.02646","0.14315","0.72044","0.28414","0.03698","0.21849","1.47935","3.26106","0.28331","0.02473","0.01343","0.18524","0.00106","0.09605","3.03367","0.03075","0.69627","0.22395","0","0.32513","0.03265","0.09995","0.55561","0.40676","0.01824","0.16031","0.14459"
"PC 38:4","PC 38:4","1.65035","0.00163","0.1334","0.10588","0.01632","1.69312","0.587","0.43228","1.45134","0.20122","0.00281","1.2733","0.09171","0.49572","0.00228","0.20245","0.18916","0.50757","0.09332","0.22298","0.00312","1.34926","2.40122","0.0981","0.12544","0.80646","0.00847","0.01207","0.34536","0.44429","0.05328","0.00796","0.48064","0.19797","2.49875","0.08847","0.00455","0.65435","0.71997","2.60209","0.21282","3.31278"
"PC 38:5","PC 38:5","1.76755","0.09061","0.21204","0.24911","0.06538","0.39043","1.90729","0.36335","0.32419","0.00052","0.04332","0.79291","0.2638","0.64974","0.13303","0.02821","1.18402","0.21615","0.44195","0.18407","0.2223","0.02335","0.00366","0.00502","0.06614","0.88575","0.22629","0.44235","0.04137","0.28449","0.08504","0.15016","0.69586","0.10161","0.30682","0.83058","0.09639","0.03087","0.0636","0.03291","1.43805","0.01992"
"PC 38:6","PC 38:6","1.38115","0.09271","0.47357","0.00556","0.01787","1.20798","3.3116","0.99567","0.21699","0.02202","0.07784","0.1253","0.05406","0.12105","0.00581","0.9444","0.92232","0.42846","0.81425","0.1909","0.34222","0.18416","0.62283","3.19001","0.49926","0.00292","0.01741","0.00453","1.22295","1.39231","0.7976","0.07477","1.70705","0.39192","2.4017","0.03104","2.11124","4.28712","0.00003","0.53732","0.00472","1.21282"
"PC 38:7","PC 38:7","0.60075","0.15882","1.57396","1.10697","0.02085","0.91671","1.43549","0.17272","1.73481","0.4013","1.12771","1.97969","0.59498","1.0256","2.14036","1.44067","0.17877","1.04921","5.02221","0.49092","2.6832","1.16452","1.20817","1.68081","0.30324","0.41127","1.80272","0.37752","0.8806","1.10447","0.09623","0.93253","0.42236","1.53622","0.01493","0.31682","2.17599","0.05873","0.01377","0.11678","0.72301","0.20473"
"PC 40:4","PC 40:4","1.27921","0.36584","0.14853","0.6452","0.22187","0.51265","0.21755","0.25831","4.42072","0.2666","0.17616","0.10423","0.04579","0.84211","0.05835","1.24972","0.25105","0.64546","0.95664","1.55233","0.17968","0.42237","2.40052","0.00441","0.06037","0.61537","0.17686","0.26923","0.3343","1.29604","0.92076","0.25915","0.67514","2.29749","0.0928","0.24627","0.50523","0.01654","1.69505","0.02571","0.19649","0.42103"
"PC 40:5","PC 40:5","1.5349","0.06178","0.15388","0.60432","0.07875","0.89263","0.67325","0.41381","2.12868","0.38894","0.00539","0.1754","0.10759","0.61947","0.06402","1.27334","1.41676","0.89813","0.66039","0.27189","0.25517","0.05599","0.55097","0.01597","0.07283","1.19663","0.04397","0.01425","0.00251","1.16774","0.54928","1.09041","1.22223","0.02218","0.03935","1.88544","0.01209","0.79061","0.26367","1.834","0.54362","0.48285"
"PC 40:6","PC 40:6","1.62094","0.1156","0.17035","0.3555","0.05175","1.68683","1.33296","0.02443","0.46323","0.61785","0.03604","0.13054","0.18919","0.51206","0.04776","0.00005","1.27757","0.05158","0.37792","0.01109","0.03144","0.00937","0.93129","0.50106","0.06901","0.00457","0.69075","0.92349","0.97817","0.0502","0.01988","0.00322","2.87153","0.12313","0.04751","0.72728","1.14548","0.05076","2.51297","0.65286","0.08003","0.60304"
"PC 40:7","PC 40:7","1.28632","0.01898","0.00859","0.16905","1.019","2.20096","0.25042","0.00029","1.43741","0.20121","0.20368","0.02789","0.45111","1.62146","0.18745","0.00002","1.75686","2.84974","0.01952","3.25732","0.01416","1.22724","0.05328","2.0802","0.0628","0.17528","3.01206","0.99186","0.31966","0.4723","0.28083","0.0527","0.11113","0.88828","1.60411","0.25011","1.47773","0.21486","0.80613","0.31498","0.00292","1.87199"
"PC 40:8","PC 40:8","1.0029","0.21918","0.06388","1.41418","0.74305","1.03043","3.84449","0.31596","0.00001","0.40975","0.08071","0.23927","0.49075","0.14889","1.74052","0.47358","0.06627","0.45011","1.21038","0.0337","0.23302","1.92147","0.45333","0.41727","1.24331","0.01951","0.72015","1.19255","0.62015","0.71596","4.05967","0.4409","1.10484","0.29464","0.15182","0.35857","0.7651","2.10498","2.09742","0.18808","0.01825","0.73553"
"PC O-32:0","PC O-32:0","1.31178","0.69173","0.26979","0.1748","0.08865","0.35772","2.32311","0.13977","0.02308","2.194","0.23672","0.49552","0.1193","0.50686","0.00194","0.09981","1.48808","0.00569","0.61978","0.06758","0.5127","0.15239","0.42205","0.51955","0.00929","0.08315","0.95752","0.07003","1.67075","3.88819","0.11768","0.17132","0.04282","0.12584","1.2792","0.17637","1.26099","1.75457","0.00855","0.90546","0.06311","0.29431"
"PC 32:1;O/32:0;P","PC 32:1;O/32:0;P","0.59156","0.84926","0.37904","0.04006","0.43626","3.66357","0.25318","0.04691","0.9238","0.77193","0.10861","0.60045","1.44788","0.54801","0.00087","0.00013","1.26206","5.82207","4.2595","0.0671","0.04504","0.01165","2.52189","1.1533","7.6056","0.03155","0.0791","0.02974","1.43599","0.43533","0.1185","1.25856","0.67505","1.1714","0.29587","0.06403","1.94434","0.21451","0.00486","0.00856","0.25842","0.00369"
"PC 34:0;P/34:1;O","PC 34:0;P/34:1;O","1.16792","0.95851","0.34961","0.03734","0.12587","0.37315","1.45037","0.39092","0.82609","2.79729","0.67541","0.6374","0.07721","0.01473","0.62579","0.1093","0.51631","0.64664","0.06495","0.10111","2.10175","0.10866","1.07026","0.00221","0.10437","0.04951","0.41307","0.11256","0.04166","1.72441","0.00288","0.78635","1.23398","0.00146","0.04978","0.81734","0.23385","1.24608","0.30614","2.07252","0.2103","0.00037"
"PC 34:1;P/34:2;O","PC 34:1;P/34:2;O","1.37859","0.79288","0.19519","0.00656","0.70172","0.89537","0.60293","0.28441","0.02239","2.36808","0.55048","0.10458","0.0164","0.86201","0.36983","0.12318","0.39181","0.33897","0.86354","0.15478","0.21916","0.15998","0.05315","0.00606","0.18471","1.21034","0.01537","0.00743","0.02017","0.07514","0.17675","0.04333","0.01035","0.16228","2.17347","0.19759","0.09908","0.00854","0.24762","0.00075","0.00515","0.45526"
"PC 36:1;P/36:2;O","PC 36:1;P/36:2;O","1.31025","0.78344","0.0361","0.03726","0.2713","1.23064","1.36667","0.47447","0.00402","2.99697","0.3261","0.00249","0.00012","0.51444","0.16571","0.32525","0.08349","0.2989","0.07427","0.68143","0.22958","0.76544","0.08374","0.01172","0.39555","0.44537","0.19164","0.07732","2.02815","0.12609","0.41954","0.00015","0.0323","0.01719","2.27943","0.14262","0.97481","0.23021","1.21526","0.13427","0.88973","0.03886"
"PC 36:2;P/36:3;O","PC 36:2;P/36:3;O","1.43968","1.02503","0.01408","0.0755","0.18613","0.47449","1.08183","0.7501","0.29725","1.5544","0.16739","0.1795","0.01461","0.49758","0.14291","0.34608","0.2665","0.00001","0.52216","0.0818","0.35349","0.11384","0.11758","0.54165","0.03204","0.4357","0.01581","0.01385","0.25894","0.10881","1.38953","0.00665","0.09023","0.57155","0.19576","0.10646","0.0004","0.08348","0.00158","0.02612","0.01582","0.00773"
"PC 36:3;P/36:3;O","PC 36:3;P/36:3;O","1.18254","1.57086","0.18702","0.04768","0.02205","0.03724","0.81482","0.9229","0.33979","1.86886","0.01043","0.4764","0.00812","0.0072","0.08599","0.30308","1.4","0.13436","0.61329","0.13192","1.01096","0.26948","0.55109","1.31062","0.42797","0.07443","0.01278","0.1391","0.1402","0.23111","0.04823","0.51693","0.49126","1.3094","0.04248","0.56858","0.00021","0.14296","0.0128","0.46919","0.00252","0.54007"
"PC 38:2;P/38:3;O","PC 38:2;P/38:3;O","0.93199","1.42047","0.02393","0.19416","0.39237","0.06928","0.73274","0.25242","2.70439","1.59738","0.03709","0.34982","1.62741","0.29298","0.06946","0.01305","0.09537","1.07633","0.4489","0.68642","0.21076","0.0411","1.47057","0.27879","0.94592","3.01585","0.62495","0.71393","1.8964","0.00001","1.51376","0.52041","2.81561","0.24062","0.70836","1.15392","0.76457","0.34874","0.34017","0.01863","0.00425","0.27346"
"PC 38:3;P/38:4;O","PC 38:3;P/38:4;O","0.8108","2.28311","0.22467","0.01047","0.00565","0.00126","1.18314","0.69545","0.52919","2.33353","0.34376","0.54005","0.07535","0.01457","0.00245","0.00532","1.19116","0.25771","0.07415","0.50195","0.01449","0.09952","0.6432","0.94419","3.1612","0.8087","0.05025","0.6364","0.00777","0.07718","0.13098","0.20749","0.03527","0.20797","0.7354","0.57235","0.00002","0.8534","0.6273","0.31894","1.40247","0.02877"
"PC 38:4;P/38:5;O","PC 38:4;P/38:5;O","0.72986","1.929","1.08057","0.09125","0.00089","0.36616","1.02987","0.00146","0.08185","2.09141","1.15549","1.41148","0.06704","0.07357","0.19281","0.08801","0.57227","0.03482","0.1198","1.05051","0.00009","0.01169","0.0754","3.93545","1.68916","0.10212","0.0014","0.01842","1.58586","0.02192","0.65658","0.21798","0.05884","0.00835","1.90536","0.38035","0.31433","0.37294","2.18127","0.00423","0.13584","0.0192"
"PC 40:3;P/40:4;O","PC 40:3;P/40:4;O","0.02492","1.49757","0.46824","1.28034","3.0831","0.0107","0.42974","0.3634","0.7256","4.50471","0.01766","0.0056","0.25262","0.83976","0.12454","0.91477","0.06482","0.14363","3.20189","3.86968","0.0168","0.01723","3.03777","2.70513","0.07022","1.38386","0.02055","0.18501","0.28113","2.53033","0.10922","3.58437","3.20759","0.61194","1.91007","1.83897","1.9215","0.23479","0.49248","0.08339","4.33823","0.31636"
"PE 38:4","PE 38:4","0.54555","0.32736","0.2441","0.01837","0.51742","1.69128","1.17437","1.59758","0.05132","1.38184","1.92663","0.9015","0.32551","1.51511","4.75892","0.07566","0.9043","5.19725","0.52645","0.86617","0.85804","0.80886","0.00001","0.57039","5.6629","5.33206","1.69538","6.1341","1.49115","0.35547","0.03013","2.34897","0.12195","1.08237","2.39399","0.42929","0.26287","0.59338","0.93863","0.0024","0.05175","0"
"PE 38:4;P/38:5;O","PE 38:4;P/38:5;O","0.48513","0.17099","0.52948","0.30183","0.10401","0.04131","1.64874","1.07818","0.79512","1.19129","1.99574","0.09216","13.90308","1.27324","2.78315","0.411","0.15919","0.23818","0.07868","0.03858","0.9454","0.00227","0.4062","0.00014","0.00634","0.85944","5.18389","3.81297","0.02319","0.66539","3.54766","6.93993","0.39042","1.11294","0.47035","1.09414","0.36886","3.23051","2.89138","0.7453","0.08696","0.59365"
"SM 32:1;O2","SM 32:1;O2","1.09458","0.31939","0.10894","1.88772","1.59487","0.00956","1.19226","0.0921","0.21928","0.62804","0.0987","0.13065","0.38143","0.14957","0.54095","0.02809","0.03742","0.00389","0.35244","0.00832","0.23462","4.50165","0.15563","0.03222","2.48756","3.71228","0.15201","1.82116","1.2762","0.02984","0.55277","1.08481","0.01772","4.42631","0.42469","1.51303","0.93923","0.24341","0.04628","0.20887","1.07419","0.06047"
"SM 33:1;O2","SM 33:1;O2","1.26501","0.43119","0.07774","0.71327","1.10432","0.48994","0.2823","1.30407","0.06159","0.02591","1.68519","0.79026","1.27015","0.091","0.23104","0.01374","0.12276","0.00494","0.03188","0.40211","0.30318","3.43261","0.10946","0.36498","0.52554","0.49915","0.04416","0.18594","2.3254","2.07187","0.29595","2.36513","0.7124","0.83562","0.59133","0.28718","0.11456","0.56692","0.09228","0.10001","0.78646","0.16314"
"SM 34:1;O2","SM 34:1;O2","1.18874","0.91326","0.16135","0.59233","0.38485","0.83667","0.40113","0.0922","2.1319","0.04371","0.26525","0.77401","0.01514","0.02078","0.06548","0.25312","0.10748","0.01332","0.51838","1.04505","0.15968","1.63871","0.24356","0.24965","0.79936","0.37212","0.09399","2.32307","0.8949","0.46731","2.07847","2.11484","0.82214","3.16269","0.16729","1.23299","0.06978","0.27384","1.29344","2.8725","0.36632","1.75525"
"SM 34:2;O2","SM 34:2;O2","1.5325","0.86038","0.00003","0.55561","0.00147","0.07188","0.00012","0.018","1.45453","1.26629","0.19632","0.65426","0.01294","0.07835","0.16046","0.20031","0.01389","0.01241","0.39305","0.31039","0.00084","0.61917","0.26543","0.00024","0.15315","1.12867","0.01326","0.02546","2.05398","0.00696","0.03605","3.03897","0.00154","0.14891","0.79641","1.03641","0.55579","0.07165","0.77009","0.28069","1.89901","0.00766"
"SM 35:1;O2","SM 35:1;O2","0.89378","0.53883","0.07069","0.96043","0.84953","0.30919","0.36792","1.78515","0.75983","0.43565","0.79892","5.34386","0.00446","0.25629","2.46021","0.0439","0.02916","0.38506","0.19901","0.16446","1.59425","0.7313","0.03388","1.1652","0.02541","0.32544","0.40298","0.03761","0.30279","2.76379","2.21589","1.36318","0.05344","0.14891","0.74628","1.23299","3.42458","0.10151","0.54267","0.0326","0.87055","0.01738"
"SM 36:1;O2","SM 36:1;O2","1.27622","0.95237","0.01926","1.19821","0.14077","0.43865","0.01316","0.42934","0.46737","2.14565","0.26105","0.15019","0.01052","0.00188","1.63623","0.10146","0.63972","0.01633","0.03297","0.96488","1.49729","0.34476","0.10704","0.30497","0.0222","0.00644","0.03267","0.03127","0.03056","0.0685","0.03275","0.94669","0.02513","0.55611","0.3139","0.53721","0.00627","0.04273","0.29671","0.51803","2.34429","2.9186"
"SM 36:2;O2","SM 36:2;O2","1.19068","0.71992","0.09443","1.31791","0.37554","0.21601","0.30979","0.13935","0.28171","2.96436","0.02492","0.10786","0.04111","0.01882","1.77455","0.00843","0.35001","0.51294","0.17908","1.11094","2.29296","0.3183","0.03591","0.15193","0.45174","0.0156","0.88793","0.26053","2.99296","0","0.48696","0.16642","0.0706","0.47826","1.54363","2.38827","1.12152","1.3378","0.18624","0.1427","0.43895","0.01924"
"SM 38:1;O2","SM 38:1;O2","1.57704","0.72699","0.03255","1.15561","0.52748","0.11413","0.01178","0.09084","0.21213","0.88489","0.04727","0.05283","0.28961","0.03434","0.16613","0.05511","0.23881","0.05321","1.02668","0.04596","0.58562","0.24415","0.00141","0.12036","0.01908","0.31664","0.07101","0.13002","0.63939","0.00256","0.12103","0.72249","0.0561","0.15328","0.31617","0.0463","0.02797","0.43153","0.12126","0.17749","0.0251","0.03966"
"SM 38:2;O2","SM 38:2;O2","1.22507","0.90529","0.25113","1.55522","0.41618","0.44462","0.04997","0.00475","0.1776","1.50593","0.51812","0.00003","0.0402","0.35667","0.91758","0.03831","0.71793","0.24982","0.026","0.06113","0.44189","0.50857","0.18737","0.00171","1.6799","0.04313","0.44641","0.30728","1.07138","1.15774","0.08677","0.41447","0.00027","0.07002","0.12254","0.11525","0.06306","0.1987","0.24728","1.3745","3.68794","0.00012"
"SM 39:1;O2","SM 39:1;O2","1.15623","0.79011","0.94687","0.4024","0.48221","0.57362","0.06037","0.08073","0.00035","0.08932","0.5079","0.02169","1.52167","1.51996","0.10063","1.95564","0.96952","0.20631","0.60894","1.40405","0.12419","0.01358","1.56578","1.08402","0.00027","0.335","1.21447","2.82419","0.39211","0.01857","1.5868","1.24081","0.05751","0.79036","0.77832","0.57818","0.60823","0.13681","0.25845","0.03367","0.57959","0.03305"
"SM 40:1;O2","SM 40:1;O2","1.62654","0.40625","0.03423","0.49367","1.12815","0.01133","1.03286","0.04689","0.00184","0.45667","0.03435","0.40741","1.11113","0.03506","0.00008","0.58032","0.00257","0.00902","0.13797","0.00178","0.40399","0.14618","0.214","0.31092","0.14653","0.00104","0.47779","0.05904","1.1628","0.33813","0.02447","3.67637","0.00973","1.24225","0.25238","0.01199","0.03195","0.13159","0.0147","0.25273","0.01623","1.88798"
"SM 40:2;O2","SM 40:2;O2","1.24321","1.64172","0.11165","0.96929","0.05787","0.07548","0.0296","0.01706","0.33765","1.68149","0.01593","0.00095","0.12663","0.19975","0.225","0.11086","0.45015","0.01484","0.17367","0.50755","0.63365","0.02679","0.01528","0.38357","0.09733","0.02884","0.01217","0.30838","0.0787","0.14624","0.83702","0.02165","0.08409","0.06515","0.88813","0.00188","0.31931","0.02647","0.80883","0.49364","2.38121","1.37323"
"SM 41:1;O2","SM 41:1;O2","1.26059","0.2608","0.07729","0.84776","3.52891","0.00985","0.68718","0.00465","0.00023","0.06787","0.33593","0.41121","1.44098","0.02321","0.58855","0.73601","0.00285","0.04578","0.01403","0.00372","0.00133","0.00521","0.28142","0.04678","0.82456","0.02523","0.08057","1.68314","0.59578","0.02583","0.32128","3.15725","0.28423","0.01346","0.13117","0.00854","1.05255","0.58225","0.79682","0.71459","0.66487","0.08587"
"SM 41:2;O2","SM 41:2;O2","1.12339","1.19479","0.23379","1.14312","1.85064","0.33932","0.05789","0.00108","0.09354","0.00351","0.44866","0.02121","0.00599","0.37883","0.93565","0.35852","0.93287","0.1929","0.00266","0.25828","0.14093","0.26333","0.06118","0.04903","0.67564","0.13406","0.08062","0.56681","0.22585","0.2474","0.12106","0.41315","0.43822","1.24269","0.20128","0.08593","0.16228","0.00075","0.08043","1.70945","0.5162","0.16878"
"SM 42:1;O2","SM 42:1;O2","1.32752","0.06778","0.23482","0.63933","2.32921","0.00222","1.19431","0.28468","0.09132","0.19194","0.02388","0.09954","2.61509","0.18472","0.11667","1.82723","0.04226","0.05431","0.29082","0.55924","0.08028","0.09337","0.21099","0.40652","0.57688","1.13838","1.22221","0.11037","1.2649","0.37492","0.03004","0.08837","1.7459","0.20856","1.34594","0.84601","4.88954","0.04422","1.0412","0.0564","0.86608","0.27722"
"SM 42:2;O2","SM 42:2;O2","0.86707","1.62696","0.08054","0.2809","0.62183","2.04715","0.58966","0.00052","0.70689","0.23716","2.42663","0.03474","0.75475","0.03768","0.0864","0.38578","0.23568","0.04565","0.7795","0.42174","0.19778","0.91385","0.02756","0.0348","0.02072","0.28962","0.0013","0.37064","0.75401","0.30099","0.02996","1.62567","0.27825","0.29665","0.92977","1.60284","0.12023","2.35002","0.74744","0.04582","0.59776","1.46465"
"SM 42:3;O2","SM 42:3;O2","0.78419","1.91381","0.12685","0.58611","0.70996","1.32379","0.0941","0.09115","0.9135","0.06986","2.09098","0.41733","0.00865","0.00027","1.43175","0.88827","0.0273","0.00075","0.01776","0.05574","0.82603","1.07471","0.2639","0.50758","0.33749","0.36004","0.06601","0.02656","0.07344","0.57306","0.85226","0.15885","0.27709","1.59627","0.20821","0.81689","0.74595","0.24998","0.00562","0.00128","2.53495","0.20293"
"SM 42:4;O2","SM 42:4;O2","0.82897","0.54518","0.68655","0.58701","1.30104","0.49776","0.53681","0.81466","0.82755","0.17834","1.47542","1.35724","0.46416","0.00021","3.19207","2.99795","0.04577","0.53596","0.87246","0.07134","1.08204","0.34192","4.4542","0.00158","0.02131","1.6536","0.00282","0.12338","1.78768","1.43274","0.26918","0.04992","2.86114","0.62224","0.14115","0.00122","0.01112","0.31579","0.21021","0.06799","0.1023","0.26188"
"TG 46:2","TG 46:2","0.0953","1.31075","1.77932","2.1717","0.16998","0.18707","1.31393","0.66619","0.85562","3.48194","0.79861","1.57927","0.90735","0.57716","2.22515","0.5763","0.30777","0.00309","0.06338","0.00036","0.00344","1.14513","0.00428","4.01633","0.96531","0.07505","0.97494","0.44223","1.51271","0.14099","0.03076","0.1386","0.49884","0.5682","0.35948","0.50326","2.37521","0.12298","0.16288","0.09681","1.15412","0.02888"
"TG 48:1","TG 48:1","0.28551","2.42392","1.25703","0.5066","0.08581","0.54023","0.45467","0.85614","0.14008","1.23317","2.53971","0.43217","1.06925","1.61473","1.16731","0.67457","0.01564","1.40972","0.09618","1.18065","0.3014","0.00656","0.06718","0.2304","0.06633","0.05305","0.28926","0.15432","0.39142","0.26027","0.39546","0.23545","1.74876","0.03428","1.34332","0.00734","0.36096","0.74135","0.05663","1.95987","0.36825","0.0022"
"TG 48:2","TG 48:2","0.35281","2.43168","0.45421","0.92269","0.05967","0.53761","0.95409","0.77255","0.04649","0.29371","1.53617","1.79897","0.34655","0.01127","1.45641","2.94542","0.1191","0.26809","0.5557","0.48333","0.3286","0.37707","0.07537","2.87486","0.98236","0.01871","0.00234","0.08662","0.03943","1.0865","0.00899","0.14672","0.843","0.00181","1.07503","2.97061","0.05454","0.89361","1.56017","0.22947","1.52777","0.04175"
"TG 48:3","TG 48:3","0.23406","0.73404","1.74219","3.30201","0.00004","1.53162","0.23723","0.43428","0.43097","1.70605","0.69677","0.98651","2.15352","0.86891","0.07596","0.2121","0.44737","0.41409","2.2458","1.09939","0.05196","0.39615","0.73846","0.01324","0.16479","0.17135","0.72797","0.33954","1.05074","1.34163","0.13364","0.53512","4.92171","0.25952","0.69036","0.1366","1.5944","0.18821","5.81845","0.00995","1.67776","0.7692"
"TG 49:1","TG 49:1","0.37407","0.17548","0.30542","0.04324","0.01334","0.60719","0.09707","0.03805","0.65151","2.9959","0.10602","4.8585","0.42249","8.97652","2.45714","1.76374","4.23489","0.78691","3.75358","1.74561","4.34412","0.00611","0.27238","1.94474","2.67937","2.59675","1.26405","0.22134","3.96552","2.25102","3.5256","1.42627","0.4849","1.24756","1.29776","0.73163","0.00308","0.92714","0.60714","1.38611","0.00099","0.00478"
"TG 49:2","TG 49:2","0.90084","2.71359","0.23673","0.0871","0.29413","0.03198","0.22442","0.00034","0.332","0.04972","1.00461","0.24207","0.00008","1.34542","0.01122","0.39044","0.03128","0.00145","0.36497","0.03027","0.05343","0.00642","0.10008","1.393","0.03115","0.02321","0.17658","1.54799","0.19464","0.08363","0.34767","0.39455","0.0837","0.21496","0.05267","0.07135","0.08663","0.03827","0.39263","0.0453","2.00599","0.01571"
"TG 50:0","TG 50:0","0.82594","2.74549","0.34955","0.27489","0.09645","0.05066","0.36012","0.12722","0.09129","0.00005","1.7674","0.08811","0.08348","0.77242","0.00339","0.07843","0.0262","0.0509","0.20014","0.07484","0.13782","0.00848","0.05811","0.11563","0.069","2.74009","1.00386","0.31522","0.00001","0.10361","0.07164","0.20387","1.24192","0.88347","0.12574","0.90658","0.36686","0.24505","0.07411","0.98097","1.18261","0.01444"
"TG 50:1","TG 50:1","0.18598","1.46225","1.32476","2.59924","0.06648","0.17123","0.00227","0.8249","0.25872","2.86204","0.31622","0.00017","0.61023","0.12547","4.3287","5.12573","1.48045","1.22139","0.01812","0.04934","0.86817","0.03863","0.12352","0.04244","0.10344","0.00975","0.0012","1.27343","1.95512","0.09973","0.62027","0.27361","0.49192","0.67411","0.13964","0.08492","0.0344","1.68743","0.15633","0.70845","0.08029","0.00008"
"TG 50:2","TG 50:2","0.70728","1.83319","0.91715","0.08835","0.0082","0.32606","0.01725","0.8462","0.97505","0.426","0.00946","4.1896","0.38664","0.41913","0.30113","0.01578","0.89756","0.18183","0.02742","1.28761","1.3315","2.89968","0.60901","0.3722","0.00128","0.83474","0.0383","1.29084","1.19465","0.06997","0.20263","0.1112","1.10091","0.01466","0.68796","0.04741","2.98883","0.02596","0.16772","0.10924","0.6659","0.70971"
"TG 51:1","TG 51:1","0.8761","2.69652","0.00083","0.00286","0.02591","0.65752","0.68514","0.02526","0.00864","0.09492","0.72439","0.02497","0.02895","0.5792","0.55497","0.14071","0.18941","1.84042","0.38838","0.04398","0.59041","0.00918","0.17759","0.00005","0.00265","0.93979","0.46262","0.14533","0.53713","0.65106","0.48254","0.55445","0.01767","0.42797","2.43747","0.95336","0.16994","0.24989","0.74313","0.18559","1.48828","1.11141"
"TG 51:2","TG 51:2","0.84282","3.11191","0.00094","0.04597","0.00013","0.141","1.01797","0.06478","0.33753","0.06757","0.83526","0.00041","0.41304","0.21723","0.00255","0.08162","0.02468","0.05763","0.16644","0.02243","0.42764","0.00145","0.16552","0.05835","0.00001","0.00729","0.06983","0.00849","0.13248","0.0049","0.21451","0.61701","0.35605","0.00041","0.72708","0.11231","0.25945","0.36558","1.61832","0.25119","0.06099","0.0717"
"TG 52:1","TG 52:1","0.92965","2.88317","0.0156","0.01872","0.03297","0.04196","0.05195","0.16894","1.20094","0.09791","0.05981","0.10002","0.31116","0.22717","1.66368","0.02506","0.14513","0.02386","0.19629","0.13581","0.18015","0.32178","0.21988","0.01341","0.10815","0.02307","1.0951","0.00996","0.1601","0.01824","0.05016","0.15398","0.00462","0.51823","0.31003","0.1958","0.26362","0.45981","0.36714","1.33344","0.03851","0.34163"
"TG 52:2","TG 52:2","0.61044","0.92913","0.9013","0.11354","0.19385","0.05009","0.04205","1.38664","0.80678","3.57521","0.4271","0.39058","0.0491","2.38789","0.11149","2.26185","1.72901","0.03011","0.51146","0.00126","0.0005","2.10601","0.88226","3.5392","0.26548","0.60456","9.28303","3.81784","4.25519","3.01637","2.35636","0.44819","0.29857","0.2662","0.0953","0.01682","0.53099","0.2387","0.00083","0.71965","0.46166","0.27471"
"TG 52:3","TG 52:3","0.29265","1.37452","0.86629","0.46638","0.01244","2.18549","0.39103","0.12462","0.25006","0.93857","2.88631","0.95595","0.5783","0.72042","0.4364","1.78999","0.48614","8.41935","1.89962","1.61494","0.7762","0.11372","0.48988","0.00006","0.4782","0.1202","2.83946","0.21449","0.74296","4.13308","1.15222","0.46851","0.44295","0.09216","4.38622","0.00513","0.00413","0.50053","0.00071","0.51331","0.00005","1.32511"
"TG 52:4","TG 52:4","0.7399","2.09074","0.06298","0.30514","0.01754","0.69848","0.13819","0.68045","0.29784","0.00183","0.54193","1.23329","0.18834","0.13558","0.44117","2.62847","3.05928","0.06064","0.26935","2.69463","0.17366","3.72178","1.32852","0.38415","0.00027","0.52511","0.05302","0.15656","0.06503","0.03388","1.39335","0.01929","0.63706","0.03729","0.54238","0.57293","0.10306","1.00022","0.11999","0.57564","1.91436","0.01073"
"TG 52:5","TG 52:5","0.00503","0.95888","0.26275","0.07722","0.09055","2.3826","0.17591","0.74443","1.81733","5.04739","3.38309","0.32453","4.1227","0.00209","0.20347","0.52586","0.00167","0.61905","0.16598","0.88049","6.69164","0.43397","0.45664","0.46018","19.70493","0.09958","0.18708","1.55343","2.27893","0.09946","0.00043","3.11729","0.03011","0.0056","0.2845","1.10724","0.14782","2.70229","0.01245","0.61996","0.26941","1.02228"
