feature	KT-539_D10_D60	BS-671_D10_D60	KT-805_D10_D60	BS-336_D10_D60	BS-082_D10_D60	BS-351_D10_D60	BS-377_D10_D60	KT-313_D10_D60	BS-364_D10_D60	KT-880_D10_D60	JV-138_D10_D60	KT-412_D10_D60	KT-771_D10_D60	KT-723_D10_D60	KT-538_D10_D60	KT-716_D10_D60	KT-974_D10_D60	KT-537_D10_D60	KT-445_D10_D60	BS-346_D10_D60	KT-663_D10_D60	KT-695_D10_D60	BS-064_D10_D60	KT-705_D10_D60	KT-347_D10_D60	KT-515_D10_D60	KT-718_D10_D60	KT-417_D10_D60	KT-522_D10_D60	KT-312_D10_D60	JV-157_D10_D60	KT-193_D10_D60	JV-035_D10_D60	KT-434_D10_D60	KT-247_D10_D60	KT-612_D10_D60	KT-525_D10_D60	KT-352_D10_D60	JV-148_D10_D60
9-HODE 	1.5997597081225265	0.5181339517213649	7.800200608316516	1.5307268997548138	1.1210324149776452	11.076411147510388	16.021874038969536	0.5775820113549236	0.1967456998782896	0.6465368719918457	0.23779693064841004	9.754859921160808	0.5811659724962115	0.6328847483908392	0.5518725553661811	0.13464711697355009	0.6410541123345783	1.0799288953907455	0.18717474873148665	0.359971616779446	2.1983770967095966	4.295957594924941	0.3040048309128273	193.3482055180715	1.372635234495773	0.20109663856380577	1.0903636007748534	0.24676070563659946	0.5538961511271164	0.7878457574696691	0.5169596326187665	1.7567277952857976	1.3888720725043366	4.792013152312261	0.024144125394808688	2.0468776597351743	0.9179249912703732	0.21464698222591638	1.3461083950691344
13-HODE	1.214234143709797	3.249693288454239	6.429441706423814	0.9349767467985133	4.018941518748303	6.514992208581959	12.863975983136525	0.678112914347577	0.22087959423749312	1.0291497231662838	0.3334648305175676	10.563356026915699	0.7293650711939793	1.1637712777365075	0.5903070048548917	0.24978075721218276	0.9420038167410348	0.7282938260315691	0.12540642399663518	0.5475930619475061	1.124319530461058	3.44466576464455	0.31421538004459176	99.11620993309803	1.6215862450369396	0.21729939237612453	1.8354615587507004	0.5906279198215995	0.7326605182423532	0.8388238104734019	0.44293213443786505	0.7387670472045011	1.8323588915260471	4.70576888640141	0.04413139199427263	2.816780045351474	0.7543926161694595	0.3612949151082699	0.5602557714856826
9,10-DiHOME	0.5975572773725948	3.1495823443790245	0.6510266704903929	0.1845485615826275	7.939126961373307	0.36362560700857965	1.296625056642189	1.147251646183754	0.26030930823005677	0.7814302322192466	0.975773794540934	1.0035460782627774	1.121815853962332	1.152702495004867	0.19864907104575016	1.2304806513424025	1.160046707087863	0.8290512781710467	1.0150919329247425	1.7279137367630664	0.6759319140129862	0.8481956533898998	0.7547651836244106	10.091116293861976	2.6712016758712624	0.43649438372799015	3.1708291708291707	0.1441133270045821	0.9299718077952164	0.7079566219114959	0.4811599889494356	0.13707158470130618	1.8000512524825423	7.607857563272514	2.4342713647959187	1.8802773194471778	0.8423868150886993	1.5191666906040846	0.30022198655258364
12,13-DiHOME	0.4341433526953135	4.594663601407849	0.7315286606885525	0.22038045517404026	3.1767581322514054	0.3171692570301502	0.961558494962648	1.1613226585766225	0.27005925112129153	0.6535725507624632	0.8109402444379393	0.9649335619971837	1.1069327393167183	1.533170468081352	0.24445499718712366	1.3732106474744001	0.719819831480307	1.6218198355153597	0.7487756836609419	1.1157227142536597	2.2818729878990394	1.088992927714354	0.734013340841669	9.974865164769943	4.5706979126856995	0.6658241375583867	2.6299271472392642	0.16078944991419022	0.585521219798329	1.0360941552162724	0.43727459161304005	0.24827271625651584	2.2812626270789225	4.841492139003307	3.153680362514756	2.1174044673293766	0.8636230044753188	1.675461101637908	0.3002056169522458
9-OxoODE	1.578104401848625	0.6505728470498378	1.5240748765057632	0.6569763061739556	1.5879827308093748	2.2248666666666663	1.3792181986364729	0.8920436985178515	0.7523709413688391	0.7644046094750321	0.9866035923443197	3.2762000000000002	0.9073023573572422	1.004961386825746	1.2414833333333333	0.5840905282965368	1.1266095023896543	1.2834460282297815	0.19706770503280763	0.8924454492719133	1.1697709243468684	0.900420359009316	0.5321649356523899	5.714126432228628	1.6463999999999999	0.7295484011351171	0.8654661016949153	0.5668072938309515	0.48895473159005465	1.9852614015572856	0.7249316333672461	0.9327393053332758	0.8561780240713481	1.6660166666666667	0.11323610434667003	2.8816133372512023	0.8602347435750709	0.31701850677373666	0.44309546491791657
13-OxoODE	2.1992000000000003	0.548013550187173	1.6936921351531926	0.8355656882302651	1.803542800233191	1.7147982874027619	2.9738366489809582	0.678119349005425	0.33740104520996966	0.5816549867090137	2.0540166666666666	7.691516666666667	0.7659593646901871	1.0	1.2031286542109503	0.1325820156266684	1.3359	2.642216666666667	0.42401341458882985	0.4522806250518238	1.0	0.7485310078970021	0.47779830540867685	17.983891439373483	2.84368111265141	1.4421645725993555	0.8681142264095871	0.17225197263447792	0.43497968872187737	1.3514653203860831	0.6648779712218779	1.6388944288180236	0.6887350442757036	2.8091999999999997	0.06201480010711463	3.5803833333333333	1.0848831168831168	0.3772397283105121	0.3596259889714697
9,10,13-trihydroxy-11-octadecenoic acid	1.5528341126756833	1.1226239284383153	1.4664333333333333	0.8893149993692444	4.66812261911885	1.1842124356090837	1.0949893569347973	0.8143432999904993	0.740605134409458	0.6653829235230221	1.014631177573808	1.3397387235296119	0.9259899512486319	0.9257150548489129	0.8292449301672156	1.0	1.62785	0.8648731059717597	0.21187544149521725	0.8728034446642616	0.8437750495717842	1.0	0.6151448666160881	1.8125351320966836	1.005829275105352	0.5948250223059384	1.6752	0.5803309862774323	0.2347550481112941	0.6512282151740799	0.7798081671908711	0.7806521490090709	0.9178934668261242	1.4893166666666666	0.260029264356696	1.3397017765703054	0.7200720072007201	0.7429932562024377	1.2968022211334314
9S,12S,13S-trihydroxy-10E-octadecenoic acid	0.5600008035093269	3.153495151784017	1.5390587831782525	0.7125983450204667	5.427426210954003	1.191163981021187	1.226822951896875	0.8839014781179164	0.6695275746831097	0.6087958426533494	1.2241322214528705	1.4425417599756836	0.8537078986798844	1.2745358479489248	0.7048874115131115	0.9248897931502205	1.4287943597523065	0.5458094418960244	0.15655112519395195	0.8342555056425988	0.8711518710662841	0.9581639515392414	0.4801126727329037	2.8952818216355602	2.3022065249053307	0.5611699465476166	2.479058639621778	0.36856382838631524	0.12532015510792757	0.8477402648447749	1.0643201110368232	0.6529443828212252	0.8221074853612992	3.9081833333333336	0.292521896252474	1.3948981395428395	0.603559498077085	0.6601538387216249	2.196254360075127
8,9-EET	0.8434857089943824	0.9900613482703036	2.5944063391982275	0.48041507862793453	0.5258326199163847	2.30975	1.5687647088278003	2.2573499999999997	0.6632894572935266	0.8128942777976348	2.751383333333333	1.3503166666666666	2.1262	1.3233963770204653	0.5052716677333513	0.35807855049802756	3.2169499999999998	3.601383333333333	0.7185074164881443	0.8393617219257877	1.3301185014969934	1.1984302274797538	0.2648340152809227	1.1244850239394277	1.0	0.8203902598999754	3.7886580942960766	0.8265798123598685	0.3514783598906166	0.8650222931239006	0.6508298080052066	0.8051501203932631	0.9081338286797033	6.209316666666667	0.35660745011793926	2.9183166666666667	1.0	1.9285973837209303	0.2360429755577499
5-HETE	1.056953341327827	0.5164034683397603	1.372180892916522	13.303676119040345	1.52259650436518	1.2980368376503764	4.879671101700721	2.0751496077971803	0.3333472047689111	3.5743962863747316	0.5269133945554797	3.489006315993244	0.7288082066134655	0.560043406985313	0.7682748704083245	0.04824060927580359	2.8187757424027113	0.5518486539599188	0.4136198257482207	1.7845116977612245	2.8970400108331145	9.065102450666863	0.5099402597769452	35.059297936213845	0.5307318672355686	0.22586225475424446	0.23788483550895254	0.08362627566816207	1.359404474154475	0.5998879397305753	0.15800815313277494	8.68388838394397	0.5718613255386277	12.897311162165968	0.05413055106265085	6.886399690053535	0.25976664256833737	0.11765703266940666	6.648343757761872
8-HETE	0.565081567305086	0.38393643489847334	9.20368986222189	3.195233018498974	0.7275365398535085	6.5481322491193446	11.44770764896722	0.7100143225565652	0.3452873566455328	1.3012962034453495	0.509230079126679	2.0257278951466917	0.7703896140568856	1.2346887995786053	0.4995220493948052	0.1408471437065652	3.0561300166401737	0.7706909295614784	0.41311519889688836	0.5079287690787558	1.6687191233628902	4.311799879886154	0.41695039117597416	16.185314068749197	0.5893925023916419	0.3335332660598323	0.6242986731338759	0.367501137734428	0.35403690464355336	1.0040093140711346	0.2810144267156075	2.1881152306304714	1.1882993936620525	5.987306436522636	0.029693250745348003	1.7053707901932826	1.1114085352820837	0.6569462511479208	1.8338731779678263
12-HETE	0.2965096258323618	1.2781470802409585	5.113341251192597	1.0536671136740878	0.4040692921520842	0.7057007746516409	0.5184077494196074	0.9764673088348195	2.102489315655259	1.6301527049398505	2.51632933755431	0.5084468629730852	1.2620521882266627	2.506108210376639	0.19831988355266847	1.0052984890670447	3.169050949095332	1.1690491704161066	0.31464160579412265	1.229675982087416	2.0202641475899066	1.8929969902388328	0.46796157516121506	0.7387450611259643	0.24753773324363595	0.9998043617185971	0.8930390303036834	0.81688626513461	0.3290978169399486	0.9722457369592568	0.18015755413206605	0.30194761186795366	2.314034395280908	6.763854815668376	0.45847061853688437	14.142606830879647	1.388555563760139	1.8302703843759596	0.13818038950664746
15-HETE 	0.567095813770878	1.5815569657503752	8.099079126875852	1.8836644525262238	1.0132562855363083	5.414770135805572	5.884718145501926	0.8270041493775934	0.3342136212759318	1.2885586077155493	0.8695382631209689	1.907311467499651	1.2665923009035887	1.265293771646136	0.6082920718248525	0.24866124801898074	1.3652646175179108	0.9427444077269196	0.23566705512383515	0.7141446779243297	1.4281714448330627	2.1283919686650905	0.39712160824428266	15.574291617785388	0.5523738832157469	0.37059259270434636	0.9684841222288796	0.5812222853021956	0.36723572110694835	0.6870395108748858	0.29747580963583525	0.8244740826648626	1.4588248137332498	5.72921124893476	0.027321220074937667	1.5841411772240053	1.0540990454576629	0.9087158137015976	1.3371970232403445
5-OxoETE	1.3943141597499638	0.5655398102557945	0.6742208155518743	1.4211835724388764	1.508755536623015	0.985326330790953	9.166962468644991	0.6031316792119692	0.5162177563006735	0.8521332837534153	2.2598551468969776	5.282493458196187	0.7436537092820119	1.0176820329785392	2.430627234319142	0.04154458844274001	1.1775278374545404	1.2903541631193596	0.5244888040270786	0.27988398185256685	0.999583596214511	1.8465663673865562	0.5228368340313911	25.491439385725414	2.0020443370344196	0.9049130116858211	0.3175763024161193	0.11966680064945635	0.41371530042265353	1.3237647902821603	0.5973329952514868	3.8063246256502845	0.589929585093706	5.818667848585161	0.03036778041381429	3.6334677803537963	0.5204893837917065	0.15719738073785675	0.8154805090690449
FA 20:4;O3	1.0	0.509768174759861	0.9702689819011598	2.828266666666667	1.116002781096643	1.0918176932493358	9.044883333333333	0.6082416746920777	0.2568688072842786	1.1647824630258936	1.0005531386883137	2.55569354438097	0.8258452774715177	0.6462919043651048	0.5078333291013889	0.09702608479249394	1.275746867019065	0.864662415224213	0.5657370070216118	0.2494989229963157	1.4582166666666667	3.2971500000000002	0.5331079427923219	12.893733333333332	0.6643291606363985	0.27947238522836176	0.8367285886610374	0.261750095529232	0.22665371126664338	0.6575107745720101	0.7371734326549526	2.6734355724341454	0.8798962897323553	2.9720266844185095	0.054046681868239355	2.2433666666666667	0.8328124886707222	0.393387074736986	0.8516920281626165
FA 20:5;O2	1.0	1.0	1.0	1.0	1.25495	1.0	1.5068934286001812	0.9994703233969927	0.6617257808364213	0.9548352242031335	1.4018333333333333	1.0	1.0	1.2027	1.0	0.5282117409776983	0.9759015579417788	1.1228166666666666	1.48365	0.9798990011235815	0.9840627519976543	1.0	1.0	2.2395457619477006	0.6366520590388676	1.0609833333333334	0.9362711441233381	0.8162487926319942	0.45915439066386077	0.7420140735335947	1.0	0.9718783296970926	1.0	1.0	0.1702446415499072	0.9208668426545521	1.0	1.0	1.0
PGE2 	1.0	0.6119826196936007	1.5396666666666667	1.4624333333333333	0.4556569814243838	1.56195	1.0534544453619596	1.5244333333333333	0.31406541982694997	0.8404884785927164	1.8879666666666668	1.6092166666666667	1.0	1.0759591798954042	1.0	0.17044582947462913	0.7443614619259111	1.0	1.2444535370067284	0.5657774725569518	1.6852166666666668	1.0	0.5817448467102329	1.6194998886992655	0.6337671117120163	0.4467909241870267	1.0	0.6033182503770739	0.2537019340544106	0.5441091120139292	1.0354049747107323	1.0	1.3629333333333333	1.6577833333333332	0.1398151643527257	1.47385	1.0	0.7118028780563036	1.0
PGF2alpha	1.0	0.3156781555977629	1.0	1.7466870749696954	0.23076923076923075	0.531962053373526	0.10171284429797793	1.370021569986904	1.0	0.7124728945671922	8.171016666666667	1.0	0.7363550560335008	6.876433333333334	1.0	1.8199166666666666	1.2808714968259594	3.1637166666666667	1.0595538612127144	0.5605296937436092	0.7433667362208569	0.9438482453139349	0.27992347083830876	0.12583839832886606	0.22767287960658128	1.5470280651356454	0.5032079506856209	0.7959184660396064	0.4561831334006618	0.3735155108704992	1.0	0.35427548766076966	2.9694000000000003	5.571975064918044	1.0	1.0	2.2272	0.8799023554493518	0.5124613518730463
TXB2 	1.2974582296480626	0.7377590090304501	2.3696218579367883	1.7404408930010868	0.1905622957850711	0.2986487878264005	0.13248904917912116	1.2272220691616527	0.9272123886885343	2.1374118412594765	19.668683623876717	0.5781344078551249	0.7075898104948063	3.4038938094605267	0.3860497107784365	4.421881923628307	0.9044199819005655	3.677459567272254	0.9817565486970454	1.3855461398813247	0.7169847995039142	0.8821850608352425	0.28249311571398683	0.25861202740116956	0.3385201685672277	4.226326408235162	0.28093268398316823	0.565283373623422	0.11099002939293706	0.6330589213143374	6.5759	0.2176819035622274	5.281118016287227	9.766488538029453	0.41715840113088554	7.145981426278378	4.05184608007672	0.4858617864155804	0.1332293744001636
9-HOTrE	1.151398157851194	0.8765782828282828	1.9171751276865594	1.203476816684364	1.2221908588760115	2.2457542171435114	4.860052127645208	0.9611530849752927	0.32715520275614196	1.0256429193931962	0.6651032461745291	2.9205792191029363	0.8066195868806377	0.8917284563092477	0.8709708916927951	0.5383791807088195	0.6751105637350948	1.2276702946757694	0.3694261382057711	0.8860666119222257	1.9094135823949445	1.8792148648863078	0.9224909379247849	53.13566472469905	1.4762263789657608	0.6827649801356465	0.8141921701574327	0.3679638523899653	0.9243204147958896	0.9244383200527231	0.6626483485236234	0.62366036347829	1.2114790407700091	1.5346425621730753	0.06564232766164992	1.2750457939974635	0.8350969271141963	0.5908179577993483	0.6796881969371933
13-HOTrE	0.961084763231422	1.9554446715146736	2.5000903806108283	0.8860806866096154	1.4614915476012262	2.355569386711717	6.688717616879666	0.940081224617307	0.32814074062353304	0.9527776708373437	0.7256276264939351	3.213443297987552	0.9788495489108527	1.0259356848157415	0.7295836915141839	0.46249157574543276	1.0137197626654497	1.1435609413632064	0.2074562132848266	0.7596973557120259	1.2893597630439735	2.639422892444649	0.6864988558352402	69.7888495121795	1.4013067874455065	0.6593718922339752	1.3822447199948953	0.5504679414247439	1.1230302380618615	0.8378787287970366	0.495996000672784	0.27159369578425707	1.5595212310126285	1.3706258334482915	0.05508521597697708	1.8654319109556046	0.6469060835607897	0.5142227202081903	0.3081133919843598
18-HEPE	1.0421580842820324	0.7165462470890308	1.9521333333333333	1.0195833333333333	1.0975	2.016474030724214	3.9771	1.0	0.27643851841530004	1.5727925232388091	0.8709480209281164	1.3253333333333333	1.160750679347826	1.9924764449444525	0.9571667863125148	0.39398171295897194	1.0872333333333333	0.7365541241706062	0.5374865156418556	0.8793656842197829	1.0	1.00405	0.8658508427614869	20.633216707037306	1.7134462395864918	0.7026748489249075	0.8779888202756885	0.6140934445524794	0.2582891167078821	0.8801138280550951	0.59928850942725	1.23865	1.0455894175253964	1.23905	0.07564439210051023	1.2270530617540216	1.0219027829819123	0.6848475722757599	0.9017373175816539
14-HDoHE	0.6458913517040932	2.61814271725394	10.739402253461474	0.654080554509716	1.8577730142422106	1.2864991546968023	1.427842922576358	0.6641113840939589	1.0884876735238516	1.0791608377056192	0.7912445319703683	1.6432741245109355	1.5830255309640568	2.232789557434219	0.42366227636863796	0.5950167186026111	1.9974760237930727	0.6844696423881778	0.13585337361353647	0.6156268044762301	2.5918457418930507	4.049599594221089	0.7523719157998835	0.924889987695262	0.6602314638943941	0.5366928088618237	1.054342111793342	1.3226390284721263	0.8054538320489941	1.3042049279923513	0.3252092062092786	0.5848046139004641	1.4362995120211273	2.613239883500235	0.28558075136732086	14.869115912622139	0.32689921525996635	1.0504831565249093	0.19231118340025546
17-HDoHE	1.1233337016891158	1.2417047595711064	11.416091362408629	2.789159625773755	1.9481604693374095	6.2413923362539965	13.662836640297412	0.6398074955826281	0.23556105790398305	1.0638965073186075	0.38376423330872617	3.776491104486844	0.8482632144031875	1.1537758964405844	0.6241627683018759	0.21013174880275073	1.3141927339037736	0.7028223768898529	0.23305291256611593	0.49521572197933406	1.623631579771656	1.8172285293352972	0.45581969295539504	26.506858762368598	0.8972149552445421	0.3497445892744538	0.6404512169380897	0.7319763102419511	0.7534971215694967	1.0879585504836453	0.47658122953253307	1.7346966910219466	0.9866443441107846	4.13253660787961	0.025442085802246366	2.707115028544978	0.7191358947525788	0.6829306708471048	1.2415615350427451
