feature,mean_ctrl,mean_exp,method,FC,log2FC,statistic,p_value,m_log10_p_value,p_adj,m_log10_p_adj,sig_p,sig_p_adj,class,Lipid.Maps.Category,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,Mass,Sum.Formula,Total.FA,Total.C,Total.DB,Total.OH,FA,FA.C,FA.DB,FA.OH,LCB,LCB2,LCB.C,LCB.DB,LCB.OH,LCB.Bond.Type,FA1,FA1.C,FA1.DB,FA1.OH,FA1.Bond.Type,FA2,FA2.C,FA2.DB,FA2.OH,FA2.Bond.Type,FA3,FA3.C,FA3.DB,FA3.OH,FA3.Bond.Type,FA4,FA4.C,FA4.DB,FA4.OH,FA4.Bond.Type,Category,Main.Class,Sub.Class,Cellular.Component,Function,Bond.type,Headgroup.Charge,Lateral.Diffusion,Bilayer.Thickness,Intrinsic.Curvature,Transition.Temperature,FA.Unsaturation.Category1,FA.Unsaturation.Category2,FA.Chain.Length.Category1,FA.Chain.Length.Category2,FA.Chain.Length.Category3,LION.abbr,GATOM.abbr,LIPIDMAPS.reaction.abbr,LION.ID,LIPID.MAPS.ID,SwissLipids.ID,HMDB.ID,ChEBI.ID,KEGG.ID,LipidBank.ID,PubChem.CID,MetaNetX.ID,PlantFA.ID
PC 34:1,0.8682601281276278,1.4786062240164826,t-test,1.7029530392061702,0.7680386516702972,4.659357159628563,3.8246204886316544e-5,4.4174116527640175,0.005928161757379064,2.2270799545937265,yes,yes,PC,GP,PC 34:1,NA,NA,SPECIES,759.5778059099999,C42H82NO8P,34:1,34,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glycerophospholipids [GP],glycerophosphocholines [GP01],diacylglycerophosphocholines [GP0101],endoplasmic reticulum (ER),membrane component,NA,headgroup with positive charge / zwitter-ion,average lateral diffusion,average bilayer thickness,neutral intrinsic curvature,average transition temperature,NA,NA,NA,NA,NA,PC(34:1),PC(34:1),PC,LION:0000171,LMGP01010005|LMGP01010575|LMGP01010576|LMGP01010578|LMGP01010579|LMGP01010581|LMGP01010744|LMGP01010884|LMGP01011335|LMGP01011372|LMGP01011397|LMGP01011419|LMGP01011448|LMGP01011483|LMGP01011503|LMGP01011529|LMGP01011732|LMGP01011760|LMGP01011787|LMGP01011807|LMGP01012004|LMGP01012146,SLM:000000651|SLM:000000657|SLM:000008065|SLM:000008548|SLM:000008618|SLM:000009166|SLM:000009559|SLM:000009887|SLM:000011150|SLM:000011225|SLM:000012256|SLM:000012403|SLM:000012677|SLM:000012830|SLM:000012949|SLM:000013209|SLM:000013216|SLM:000013247|SLM:000013554|SLM:000013568|SLM:000013615|SLM:000013914|SLM:000056508|SLM:000063410|SLM:000063462|SLM:000063570|SLM:000063625|SLM:000063729|SLM:000063781|SLM:000065498|SLM:000087778|SLM:000087836|SLM:000087959|SLM:000088023|SLM:000088148|SLM:000088212|SLM:000088404|SLM:000088468|SLM:000088791|SLM:000088855|SLM:000089308|SLM:000089762|SLM:000090150|SLM:000091878,HMDB0007879|HMDB0007911|HMDB0007971|HMDB0007972|HMDB0008003|HMDB0008035|HMDB0008067|HMDB0008100|HMDB0008263|HMDB0008295,177009|178441|178447|178448|178449|178450|178451|178452|178453|178462|178463|64517|73001|74667|84570|85037|86097|88928|89354|89399|89520|89677,NA,NA,24778687|24778688|24778690|24778691|24778811|24778933|52922152|52922226|52922276|52922320|52922378|52922448|52922487|52922537|52922943|52922999|52923053|52923093|52923485|53478717|5497103|6506401,MNXM192560|MNXM224098|MNXM235966|MNXM245020|MNXM287425|MNXM290987|MNXM345072|MNXM350161|MNXM446898|MNXM449030|MNXM600195|MNXM600260|MNXM600314|MNXM600378|MNXM600555|MNXM600617|MNXM600676|MNXM600737|MNXM600911|MNXM600970|MNXM601030|MNXM601087|MNXM601375|MNXM601488|MNXM602044|MNXM602151|MNXM602884|MNXM603574|MNXM604108|MNXM606608|MNXM606673|MNXM68995|MNXM69148|MNXM69194|MNXM69305|MNXM69306|MNXM69308|MNXM69381|MNXM69528|MNXM69601|MNXM69657|MNXM69960|MNXM70011,NA
TG 51:1,0.7357258150917565,2.1259121864037227,t-test,2.8895440975366458,1.5308418871524783,4.413968546855832,8.120864306306805e-5,4.090397746191832,0.006293669837387774,2.2010960436855216,yes,yes,TG,GL,TG 51:1,NA,NA,SPECIES,846.76764135,C54H102O6,51:1,51,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glycerolipids [GL],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TG(51:1),TG(51:1),TG,LION:0143684,LMGL03010012|LMGL03010038|LMGL03010049|LMGL03010050|LMGL03010051|LMGL03010079|LMGL03012959|LMGL03012983|LMGL03013390|LMGL03013412|LMGL03013474|LMGL03013554|LMGL03013567|LMGL03013806|LMGL03013830|LMGL03013876|LMGL03013914|LMGL03013933|LMGL03014017|LMGL03014188|LMGL03014214|LMGL03014264|LMGL03014283|LMGL03014305|LMGL03014347|LMGL03014366|LMGL03014593|LMGL03014645|LMGL03014688|LMGL03014752|LMGL03014997|LMGL03015018|LMGL03015042|LMGL03015065|LMGL03015087|LMGL03015125|LMGL03015368|LMGL03015415,SLM:000152453|SLM:000152454|SLM:000152455|SLM:000152456|SLM:000152457|SLM:000152458|SLM:000152459|SLM:000152460|SLM:000152461|SLM:000152462|SLM:000152463|SLM:000152464|SLM:000152465|SLM:000152466|SLM:000152467|SLM:000152468|SLM:000152469|SLM:000152470|SLM:000152471|SLM:000152472|SLM:000152473|SLM:000152474|SLM:000152475|SLM:000152476|SLM:000152477|SLM:000152478|SLM:000152479|SLM:000152480|SLM:000152481|SLM:000152482|SLM:000152483|SLM:000152484|SLM:000152485|SLM:000152486|SLM:000152487|SLM:000152488|SLM:000152489|SLM:000152490|SLM:000152491|SLM:000152492|SLM:000152493|SLM:000152494|SLM:000152495|SLM:000152496|SLM:000152497|SLM:000152498|SLM:000152499|SLM:000152500|SLM:000152501|SLM:000152502|SLM:000152503|SLM:000152504|SLM:000152505|SLM:000152506|SLM:000152507|SLM:000152508|SLM:000152509|SLM:000152510|SLM:000152511|SLM:000152512|SLM:000152513|SLM:000152514|SLM:000152515|SLM:000152516|SLM:000152517|SLM:000152518|SLM:000152519|SLM:000152520|SLM:000152521|SLM:000152522|SLM:000152523|SLM:000152524|SLM:000152525|SLM:000152526|SLM:000152527|SLM:000152528|SLM:000152529|SLM:000152530|SLM:000152531|SLM:000152532|SLM:000152533|SLM:000152534|SLM:000152535|SLM:000152536|SLM:000152537|SLM:000152538|SLM:000152539|SLM:000152540|SLM:000152541|SLM:000152542|SLM:000152543|SLM:000152544|SLM:000152545|SLM:000152546|SLM:000152547|SLM:000152548|SLM:000152549|SLM:000152550|SLM:000152551|SLM:000152552|SLM:000152553|SLM:000152554|SLM:000152555|SLM:000152556|SLM:000152557|SLM:000152558|SLM:000152559|SLM:000152560|SLM:000152561|SLM:000152562|SLM:000152563|SLM:000152564|SLM:000152565|SLM:000152566|SLM:000152567|SLM:000152568|SLM:000152569|SLM:000152570|SLM:000152571|SLM:000152572|SLM:000152573|SLM:000152574|SLM:000152575|SLM:000152576|SLM:000152577|SLM:000152578|SLM:000152579|SLM:000152580|SLM:000152581|SLM:000152582|SLM:000152583|SLM:000152584|SLM:000152585|SLM:000152586|SLM:000152587|SLM:000152588|SLM:000152589|SLM:000152590|SLM:000152591|SLM:000152592|SLM:000152593|SLM:000152594|SLM:000152595|SLM:000152596|SLM:000152597|SLM:000152598|SLM:000152599|SLM:000152600|SLM:000152601|SLM:000152602|SLM:000152603|SLM:000152604|SLM:000152605|SLM:000152606|SLM:000152607|SLM:000152608|SLM:000152609|SLM:000152610|SLM:000152611|SLM:000152612|SLM:000152613|SLM:000152614|SLM:000152615|SLM:000152616|SLM:000152617|SLM:000152618|SLM:000152619|SLM:000152620|SLM:000152621|SLM:000152622|SLM:000152623|SLM:000152624|SLM:000152625|SLM:000152626|SLM:000152627|SLM:000152628|SLM:000152629|SLM:000152630|SLM:000152631|SLM:000152632|SLM:000152633|SLM:000152634|SLM:000152635|SLM:000152636|SLM:000152637|SLM:000152638|SLM:000152639|SLM:000152640|SLM:000152641|SLM:000152642|SLM:000152643|SLM:000152644|SLM:000152645|SLM:000152646|SLM:000152647|SLM:000152648|SLM:000152649|SLM:000152650|SLM:000152651|SLM:000152652|SLM:000152653|SLM:000152654|SLM:000152655|SLM:000152656|SLM:000152657|SLM:000152658|SLM:000152659|SLM:000152660|SLM:000152661|SLM:000152662|SLM:000152663|SLM:000152664|SLM:000152665|SLM:000152666|SLM:000152667|SLM:000152668|SLM:000152669|SLM:000152670|SLM:000152671|SLM:000152672|SLM:000152673|SLM:000152674|SLM:000152675|SLM:000152676|SLM:000152677|SLM:000152678|SLM:000152679|SLM:000152680|SLM:000152681|SLM:000152682|SLM:000152683|SLM:000152684|SLM:000152685|SLM:000152686|SLM:000152687|SLM:000152688|SLM:000152689|SLM:000152690|SLM:000152691|SLM:000152692|SLM:000152693|SLM:000152694|SLM:000152695|SLM:000152696|SLM:000152697|SLM:000152698|SLM:000152699|SLM:000152700|SLM:000152701|SLM:000152702|SLM:000152703|SLM:000152704|SLM:000152705|SLM:000152706|SLM:000152707|SLM:000152708|SLM:000152709|SLM:000152710|SLM:000152711|SLM:000152712|SLM:000152713|SLM:000152714|SLM:000152715|SLM:000152716|SLM:000152717|SLM:000152718|SLM:000152719|SLM:000152720|SLM:000152721|SLM:000152722|SLM:000152723|SLM:000152724|SLM:000152725|SLM:000152726|SLM:000152727|SLM:000152728|SLM:000152729|SLM:000152730|SLM:000152731|SLM:000152732|SLM:000152733|SLM:000152734|SLM:000152735|SLM:000152736|SLM:000152737|SLM:000152738|SLM:000152739|SLM:000152740|SLM:000152741|SLM:000152742|SLM:000152743|SLM:000152744|SLM:000152745|SLM:000152746|SLM:000152747|SLM:000152748|SLM:000152749|SLM:000152750|SLM:000152751|SLM:000152752|SLM:000152753|SLM:000152754|SLM:000152755|SLM:000152756|SLM:000152757|SLM:000152758|SLM:000152759|SLM:000152760|SLM:000152761|SLM:000152762|SLM:000152763|SLM:000152764|SLM:000152765|SLM:000152766|SLM:000152767|SLM:000152768|SLM:000152769|SLM:000152770|SLM:000152771|SLM:000152772|SLM:000152773|SLM:000152774|SLM:000152775|SLM:000152776|SLM:000152777|SLM:000152778|SLM:000152779|SLM:000152780|SLM:000152781|SLM:000152782|SLM:000152783|SLM:000152784|SLM:000152785|SLM:000152786|SLM:000152787|SLM:000152788|SLM:000152789|SLM:000152790|SLM:000152791|SLM:000152792|SLM:000152793|SLM:000152794|SLM:000152795|SLM:000152796|SLM:000152797|SLM:000152798|SLM:000152799|SLM:000152800|SLM:000152801|SLM:000152802|SLM:000152803|SLM:000152804|SLM:000152805|SLM:000152806|SLM:000152807|SLM:000152808|SLM:000152809|SLM:000152810|SLM:000152811|SLM:000152812|SLM:000152813|SLM:000152814|SLM:000152815|SLM:000152816|SLM:000152817|SLM:000152818|SLM:000152819|SLM:000152820|SLM:000152821|SLM:000152822|SLM:000152823|SLM:000152824|SLM:000152825|SLM:000152826|SLM:000152827|SLM:000152828|SLM:000152829|SLM:000152830|SLM:000152831|SLM:000152832|SLM:000152833|SLM:000152834|SLM:000152835|SLM:000152836|SLM:000152837|SLM:000152838|SLM:000152839|SLM:000152840|SLM:000152841|SLM:000152842|SLM:000152843|SLM:000152844|SLM:000152845|SLM:000152846|SLM:000152847|SLM:000152848|SLM:000152849|SLM:000152850|SLM:000152851|SLM:000152852|SLM:000152853|SLM:000152854|SLM:000152855|SLM:000152856|SLM:000152857|SLM:000152858|SLM:000152859|SLM:000152860|SLM:000152861|SLM:000152862|SLM:000152863|SLM:000152864|SLM:000152865|SLM:000152866|SLM:000152867|SLM:000152868|SLM:000152869|SLM:000152870|SLM:000152871|SLM:000152872|SLM:000152873|SLM:000152874|SLM:000152875|SLM:000152876|SLM:000152877|SLM:000152878|SLM:000152879|SLM:000152880|SLM:000152881|SLM:000152882|SLM:000152883|SLM:000152884|SLM:000152885|SLM:000152886|SLM:000152887|SLM:000152888|SLM:000152889|SLM:000152890|SLM:000152891|SLM:000152892|SLM:000152893|SLM:000152894|SLM:000152895|SLM:000152896|SLM:000152897|SLM:000152898|SLM:000152899|SLM:000152900|SLM:000152901|SLM:000152902|SLM:000308286|SLM:000322476|SLM:000322576|SLM:000322695|SLM:000322750|SLM:000322847|SLM:000323210|SLM:000323244|SLM:000323305|SLM:000323336|SLM:000323420|SLM:000323447|SLM:000323938|SLM:000324001|SLM:000324057|SLM:000324112|SLM:000324567|SLM:000324599|SLM:000324686|SLM:000324714|SLM:000325189|SLM:000325220|SLM:000325305|SLM:000325780|SLM:000325837|SLM:000326364|SLM:000361060|SLM:000361169|SLM:000361314|SLM:000361388|SLM:000361535|SLM:000361609|SLM:000361795|SLM:000361869|SLM:000362131|SLM:000362318|SLM:000362465|SLM:000362534|SLM:000362570|SLM:000362638|SLM:000362674|SLM:000362779|SLM:000362815|SLM:000362995|SLM:000363031|SLM:000363250|SLM:000363286|SLM:000363506|SLM:000363542|SLM:000363901|SLM:000364002|SLM:000364072|SLM:000364139|SLM:000364209|SLM:000364349|SLM:000364419|SLM:000364597|SLM:000364667|SLM:000365266|SLM:000365364|SLM:000365398|SLM:000365497|SLM:000365531|SLM:000365701|SLM:000365735|SLM:000365942|SLM:000365976|SLM:000366561|SLM:000366622|SLM:000366655|SLM:000366717|SLM:000366750|SLM:000366847|SLM:000366880|SLM:000367047|SLM:000367080|SLM:000367878|SLM:000367942|SLM:000367970|SLM:000368034|SLM:000368096|SLM:000368160|SLM:000368290|SLM:000369129|SLM:000369160|SLM:000369218|SLM:000369249|SLM:000369340|SLM:000369371|SLM:000371490|SLM:000371543|SLM:000371572|SLM:000371627|SLM:000371656|SLM:000372651|SLM:000372707|SLM:000372732|SLM:000373728|SLM:000373750|SLM:000373777|SLM:000377747,HMDB0042104|HMDB0042452|HMDB0042972|HMDB0043028|HMDB0043055|HMDB0043056|HMDB0043083|HMDB0043111|HMDB0043167|HMDB0043195|HMDB0043223|HMDB0043252|HMDB0043280|HMDB0043866|HMDB0044701|HMDB0044702|HMDB0045507|HMDB0046283,NA,NA,NA,5283479|56936751|56936775|56937180|56937202|56937264|56937344|56937357|56937596|56937620|56937666|56937704|56937723|56937807|56937978|56938004|56938053|56938072|56938094|56938136|56938155|56938382|56938434|56938477|56938541|56938786|56938807|56938828|56938851|56938873|56938911|56939150|56939197|9544006|9544017|9544018|9544019|9544046,MNXM109584|MNXM109669|MNXM109998|MNXM110086|MNXM110106|MNXM110492|MNXM110512|MNXM110599|MNXM110877|MNXM110931|MNXM110976|MNXM111043|MNXM111361|MNXM111383|MNXM111470|MNXM131213|MNXM138224|MNXM161819|MNXM185812|MNXM186039|MNXM186096|MNXM186349|MNXM186539|MNXM186648|MNXM187349|MNXM187415|MNXM188145|MNXM188211|MNXM188285|MNXM188366|MNXM188378|MNXM188421|MNXM188475|MNXM188479|MNXM188495|MNXM188507|MNXM188740|MNXM188943|MNXM189130|MNXM189170|MNXM189581|MNXM189964|MNXM190210|MNXM192214|MNXM192242|MNXM192289|MNXM192341|MNXM192411|MNXM192508|MNXM192538|MNXM192623|MNXM192711|MNXM192749|MNXM192827|MNXM192968|MNXM193091|MNXM202820|MNXM203167|MNXM203397|MNXM205229|MNXM205401|MNXM205484|MNXM205582|MNXM205671|MNXM205715|MNXM205876|MNXM205904|MNXM206030|MNXM206264|MNXM206635|MNXM206869|MNXM208745|MNXM208773|MNXM208818|MNXM208867|MNXM208937|MNXM209034|MNXM209058|MNXM209137|MNXM209225|MNXM209455|MNXM209574|MNXM212236|MNXM212453|MNXM212520|MNXM212708|MNXM212881|MNXM213704|MNXM213775|MNXM214500|MNXM214571|MNXM214627|MNXM214733|MNXM214773|MNXM214847|MNXM214859|MNXM215090|MNXM215294|MNXM215298|MNXM215313|MNXM215325|MNXM215521|MNXM221598|MNXM222023|MNXM222186|MNXM224046|MNXM224075|MNXM224260|MNXM224354|MNXM224396|MNXM224757|MNXM224913|MNXM227566|MNXM227792|MNXM227850|MNXM228094|MNXM229044|MNXM229105|MNXM229840|MNXM229901|MNXM229962|MNXM230105|MNXM230194|MNXM230420|MNXM230424|MNXM230439|MNXM230451|MNXM230645|MNXM230657|MNXM230851|MNXM233607|MNXM234012|MNXM236032|MNXM236069|MNXM236640|MNXM236736|MNXM236778|MNXM236902|MNXM241816|MNXM244416|MNXM244463|MNXM245329|MNXM284235|MNXM284677|MNXM284933|MNXM286772|MNXM286819|MNXM286906|MNXM286943|MNXM287010|MNXM287072|MNXM287198|MNXM287276|MNXM287374|MNXM287403|MNXM287479|MNXM287623|MNXM287748|MNXM288006|MNXM288453|MNXM288699|MNXM290641|MNXM290669|MNXM290716|MNXM290768|MNXM290838|MNXM290936|MNXM290965|MNXM291051|MNXM291140|MNXM291177|MNXM291255|MNXM291396|MNXM291519|MNXM328917|MNXM329311|MNXM329542|MNXM331157|MNXM331197|MNXM331270|MNXM331349|MNXM331501|MNXM331556|MNXM331641|MNXM331658|MNXM331848|MNXM331966|MNXM332189|MNXM332584|MNXM332805|MNXM334521|MNXM334542|MNXM334576|MNXM334615|MNXM334678|MNXM334770|MNXM334794|MNXM334856|MNXM334939|MNXM335166|MNXM335282|MNXM335489|MNXM335878|MNXM336112|MNXM337737|MNXM337848|MNXM337868|MNXM337921|MNXM338120|MNXM338299|MNXM338344|MNXM338523|MNXM346041|MNXM346053|MNXM346476|MNXM347542|MNXM347589|MNXM348298|MNXM348343|MNXM348417|MNXM349107|MNXM349345|MNXM349357|MNXM349558|MNXM349648|MNXM349845|MNXM349899|MNXM349964|MNXM350109|MNXM350138|MNXM350201|MNXM350291|MNXM350328|MNXM350405|MNXM350452|MNXM351134|MNXM352013|MNXM352017|MNXM352031|MNXM352041|MNXM352069|MNXM352384|MNXM352596|MNXM352793|MNXM352797|MNXM352813|MNXM352825|MNXM352857|MNXM352904|MNXM353105|MNXM353151|MNXM353212|MNXM353224|MNXM353456|MNXM354290|MNXM354327|MNXM354348|MNXM354395|MNXM355042|MNXM355093|MNXM355140|MNXM355160|MNXM355189|MNXM355446|MNXM355821|MNXM355833|MNXM356057|MNXM356061|MNXM356077|MNXM356089|MNXM356396|MNXM356674|MNXM357909|MNXM357964|MNXM358690|MNXM358740|MNXM358804|MNXM358918|MNXM358922|MNXM358938|MNXM358950|MNXM359196|MNXM359594|MNXM359606|MNXM360004|MNXM360202|MNXM360255|MNXM360485|MNXM361430|MNXM361492|MNXM362160|MNXM362198|MNXM362253|MNXM362377|MNXM362452|MNXM362591|MNXM362595|MNXM362611|MNXM362623|MNXM362783|MNXM362790|MNXM362968|MNXM367084|MNXM367149|MNXM367179|MNXM367341|MNXM367392|MNXM367421|MNXM367470|MNXM367611|MNXM367654|MNXM367697|MNXM367701|MNXM367716|MNXM367728|MNXM368565|MNXM368598|MNXM368627|MNXM369284|MNXM369302|MNXM369357|MNXM369599|MNXM369622|MNXM369624|MNXM369633|MNXM369746|MNXM369755|MNXM369896|MNXM370149|MNXM371679|MNXM371862|MNXM371930|MNXM373128|MNXM373198|MNXM373897|MNXM373962|MNXM374019|MNXM374132|MNXM374429|MNXM374441|MNXM374582|MNXM374762|MNXM374766|MNXM374782|MNXM374794|MNXM445387|MNXM445453|MNXM445491|MNXM445650|MNXM445686|MNXM445702|MNXM445784|MNXM445788|MNXM445803|MNXM445815|MNXM446032|MNXM446044|MNXM446847|MNXM446876|MNXM446908|MNXM446945|MNXM447564|MNXM447595|MNXM447615|MNXM447689|MNXM447971|MNXM447983|MNXM448167|MNXM448267|MNXM448271|MNXM448287|MNXM448299|MNXM448520|MNXM450007|MNXM450198|MNXM450259|MNXM450670|MNXM451417|MNXM451489|MNXM452167|MNXM452217|MNXM452311|MNXM452345|MNXM452408|MNXM452417|MNXM452754|MNXM452756|MNXM452766|MNXM452890|MNXM454503|MNXM456890|MNXM456935|MNXM457874|MNXM458080|MNXM458176|MNXM458344|MNXM458366|MNXM458427|MNXM458482|MNXM458627|MNXM458665|MNXM458714|MNXM458802|MNXM458849|MNXM459580|MNXM459648|MNXM460591|MNXM460601|MNXM460777|MNXM460779|MNXM460791|MNXM460800|MNXM460943|MNXM461123|MNXM465184|MNXM465385|MNXM465437|MNXM465681|MNXM465873|MNXM465983|MNXM466615|MNXM466682|MNXM467412|MNXM467485|MNXM467495|MNXM467532|MNXM467581|MNXM467583|MNXM467595|MNXM467604|MNXM467786|MNXM468079|MNXM468116|MNXM683832|MNXM683941|MNXM684086|MNXM684160|MNXM684307|MNXM684381|MNXM684567|MNXM684641|MNXM684903|MNXM685090|MNXM685275|MNXM685375|MNXM685494|MNXM685549|MNXM685646|MNXM685978|MNXM686047|MNXM686083|MNXM686151|MNXM686187|MNXM686292|MNXM686328|MNXM686508|MNXM686544|MNXM686763|MNXM686799|MNXM687019|MNXM687055|MNXM687415|MNXM687449|MNXM687510|MNXM687541|MNXM687625|MNXM687652|MNXM688117|MNXM688218|MNXM688287|MNXM688354|MNXM688424|MNXM688563|MNXM688633|MNXM688811|MNXM688881|MNXM689509|MNXM689572|MNXM689628|MNXM689683|MNXM690146|MNXM690243|MNXM690277|MNXM690376|MNXM690410|MNXM690580|MNXM690614|MNXM690821|MNXM690855|MNXM691467|MNXM691499|MNXM691586|MNXM691614|MNXM692070|MNXM692131|MNXM692164|MNXM692226|MNXM692259|MNXM692356|MNXM692389|MNXM692553|MNXM692586|MNXM693378|MNXM693409|MNXM693494|MNXM693979|MNXM694043|MNXM694071|MNXM694135|MNXM694197|MNXM694261|MNXM694389|MNXM695221|MNXM695278|MNXM695789|MNXM695820|MNXM695878|MNXM695909|MNXM695999|MNXM696030|MNXM697018|MNXM699171|MNXM699224|MNXM699253|MNXM699308|MNXM699337|MNXM700796|MNXM700852|MNXM700877|MNXM702299|MNXM702321|MNXM702348|MNXM707772|MNXM84146|MNXM84165|MNXM84450,NA
DG 36:2,0.8332617474192603,1.533049873376452,t-test,1.8398178941065555,0.8795629748305567,4.049274921842487,2.4391216126563558e-4,3.6127665455702838,0.012521300782583683,1.9023505518481472,yes,yes,DG,GL,DG 36:2,NA,NA,SPECIES,620.5379756699999,C39H72O5,36:2,36,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glycerolipids [GL],diradylglycerols [GL02],diacylglycerols [GL0201],NA,lipid-mediated signalling|membrane component,NA,headgroup with neutral charge,NA,NA,negative intrinsic curvature,NA,NA,NA,NA,NA,NA,DG(36:2),DG(36:2),1_2-DG,LION:0000647,LMGL02010049|LMGL02010050|LMGL02010054|LMGL02010055|LMGL02010058|LMGL02010319|LMGL02010397|LMGL02010420|LMGL02010525,SLM:000120649|SLM:000120650|SLM:000120651|SLM:000120652|SLM:000120653|SLM:000120654|SLM:000120655|SLM:000120656|SLM:000120657|SLM:000120658|SLM:000120659|SLM:000120660|SLM:000120661|SLM:000120662|SLM:000120663|SLM:000120664|SLM:000120665|SLM:000120666|SLM:000120667|SLM:000120668|SLM:000120669|SLM:000120670|SLM:000120671|SLM:000120672|SLM:000120673|SLM:000120674|SLM:000120675|SLM:000120676|SLM:000120677|SLM:000120678|SLM:000120679|SLM:000120680|SLM:000120681|SLM:000120682|SLM:000120683|SLM:000120684|SLM:000120685|SLM:000120686|SLM:000120687|SLM:000120688|SLM:000120689|SLM:000120690|SLM:000120691|SLM:000120692|SLM:000120693|SLM:000120694|SLM:000120695|SLM:000120696|SLM:000120697|SLM:000120698|SLM:000120699|SLM:000120700|SLM:000120701|SLM:000120702|SLM:000120703|SLM:000120704|SLM:000120705|SLM:000120706|SLM:000120707|SLM:000120708|SLM:000120709|SLM:000120710|SLM:000120711|SLM:000120712|SLM:000120713|SLM:000120714|SLM:000120715|SLM:000120716|SLM:000120717|SLM:000120718|SLM:000120719|SLM:000120720|SLM:000120721|SLM:000120722|SLM:000120723|SLM:000120724|SLM:000120725|SLM:000120726|SLM:000120727|SLM:000120728|SLM:000120729|SLM:000120730|SLM:000120731|SLM:000120732|SLM:000120733|SLM:000120734|SLM:000120735|SLM:000120736|SLM:000120737|SLM:000120738|SLM:000120739|SLM:000120740|SLM:000120741|SLM:000120742|SLM:000120743|SLM:000120744|SLM:000307413|SLM:000308774|SLM:000308808|SLM:000308869|SLM:000308900|SLM:000308930|SLM:000308985|SLM:000309012|SLM:000332533|SLM:000332595|SLM:000332643|SLM:000332704|SLM:000332856|SLM:000332911|SLM:000332963|SLM:000333017|SLM:000333069|SLM:000333122|SLM:000333276|SLM:000333325|SLM:000333379|SLM:000333427|SLM:000333528|SLM:000333926|SLM:000334022|SLM:000334117|SLM:000334674|SLM:000334762,HMDB0007030|HMDB0007058|HMDB0007109|HMDB0007137|HMDB0007161|HMDB0007188|HMDB0007189|HMDB0007217|HMDB0007218|HMDB0007245|HMDB0007389|HMDB0007417|HMDB0007618|HMDB0007646|HMDB0055972|HMDB0056177|HMDB0056178|HMDB0056197,52333|75735|75824|77097|84401|88498|88788,NA,NA,53477965|56936357|56936407|6441562|9543716|9543720|9543721|9543724|9543984,MNXM124495|MNXM124515|MNXM145611|MNXM155255|MNXM174551|MNXM175948|MNXM177575|MNXM178262|MNXM189892|MNXM191211|MNXM192007|MNXM193124|MNXM193140|MNXM193152|MNXM202649|MNXM204256|MNXM206066|MNXM206078|MNXM206355|MNXM207820|MNXM209604|MNXM209623|MNXM221432|MNXM224971|MNXM284548|MNXM287783|MNXM288097|MNXM288381|MNXM290432|MNXM291549|MNXM291553|MNXM291580|MNXM310588|MNXM310983|MNXM324627|MNXM325484|MNXM328768|MNXM331996|MNXM332280|MNXM333703|MNXM335307|MNXM335311|MNXM335327|MNXM338546|MNXM354976|MNXM356146|MNXM370204|MNXM447278|MNXM448602|MNXM448607|MNXM468588|MNXM468592|MNXM468608|MNXM469173|MNXM469189|MNXM469201|MNXM469514|MNXM469591|MNXM469603|MNXM469646|MNXM469665|MNXM469677|MNXM470025|MNXM470109|MNXM472485|MNXM472553|MNXM472557|MNXM472584|MNXM473186|MNXM473592|MNXM473701|MNXM473759|MNXM473831|MNXM473835|MNXM473850|MNXM473902|MNXM479409|MNXM480035|MNXM480907|MNXM480912|MNXM481479|MNXM49305|MNXM49333|MNXM49388|MNXM49424|MNXM49515|MNXM49547|MNXM49548|MNXM49577|MNXM49608|MNXM49777|MNXM49808|MNXM50028|MNXM50057|MNXM508009|MNXM508047|MNXM508083|MNXM508117|MNXM508155|MNXM508190|MNXM508322|MNXM508359|MNXM508392|MNXM508423|MNXM508461|MNXM508493|MNXM508523|MNXM508561|MNXM508592|MNXM508715|MNXM508752|MNXM508779|MNXM508806|MNXM508843|MNXM508870|MNXM508933|MNXM509283|MNXM509365|MNXM509445|MNXM509887|MNXM509953,NA
