"sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"BS-364_D0_D60","ctrl","1.03204","-3.04172","-0.24795","0.38899","1.0264","1.82074","-0.61719","0.92465","-0.16914","-0.16205","-0.84883","0.68171","-0.61856","0.31477","-0.17639","0.02726","-0.97445","-1.15053","-0.18108","-0.12076","-0.13524","0.32051","0.34422","-0.53526","-0.18957","-0.35162","-0.07519","-0.08506","0.09511","0.04375","0.14314","0.67246","-0.22978","0.0654","-0.08091","0.01293","0.01418","-0.00759","0.01418","0"
"KT-880_D0_D60","ctrl","1.3481","1.72912","-1.21996","-0.05396","-2.58147","2.64689","-0.31483","1.51415","-1.70345","-1.27539","0.90627","0.96873","-0.04264","-0.4519","-0.41295","-0.53371","-1.34087","0.34085","-0.30774","-0.57667","-0.29102","-0.2854","-0.57605","0.13686","-0.31786","-0.02506","0.61383","0.13481","-0.30992","-0.04388","0.09989","-0.12767","0.11773","-0.04798","-0.02953","0.05015","0.01768","-0.00978","-0.03558","0"
"JV-138_D0_D60","ctrl","2.36904","-2.52563","-1.71131","1.11843","-0.1043","-2.30136","-0.47488","-1.35597","-2.63507","0.26829","-0.59888","0.58099","-0.7385","-0.73788","-0.10918","-0.00888","-1.08912","0.23183","-0.58029","0.20455","-0.0165","-0.05058","0.22993","-0.04392","-0.22033","0.22859","-0.23105","-0.46453","0.60148","-0.07755","-0.18641","-0.18134","0.0821","-0.02906","-0.00105","-0.04143","-0.09238","0.03273","-0.00808","0"
"KT-412_D0_D60","ctrl","11.64724","3.32837","-0.05824","-1.21956","-0.16354","-2.86787","1.13667","1.76378","0.88991","0.22788","-0.61847","0.14766","-0.51538","0.77605","-1.05887","-0.07663","0.36565","0.38181","-0.82391","0.13709","-0.14663","-0.41767","-0.01711","0.08288","0.06808","-0.73748","0.11768","0.04657","0.1935","-0.15132","-0.0636","-0.09234","-0.12497","0.02772","-0.12448","-0.0071","0.05344","-0.01996","-0.00559","0"
"KT-515_D0_D60","exp","3.48541","2.28332","-1.12718","2.24533","1.51948","0.91228","0.22917","1.48499","0.46464","0.68722","0.09625","1.30911","1.07694","-0.7336","-0.19202","0.71385","0.4111","-0.54225","-0.36742","-0.23695","0.0162","-0.16521","0.12619","0.01363","0.11367","0.52404","-0.22743","-0.18283","0.25945","-0.32107","0.31516","-0.02167","0.17301","-0.01153","0.17331","0.01701","0.168","0.02796","0.02764","0"
"KT-771_D0_D60","ctrl","1.61921","-1.4913","-0.50574","-1.69247","-2.23792","-0.18739","0.63138","-0.17549","-2.84898","1.07803","-0.9919","-0.07149","0.78319","0.57622","0.58483","1.05724","0.03708","-0.40573","-0.14971","0.15032","0.58892","-0.48","0.35178","-0.33561","0.59265","-0.15371","-0.21846","-0.00607","-0.65525","0.01238","0.1169","-0.12055","-0.03537","0.01661","-0.00376","-0.04994","0.02543","0.00113","0.01584","0"
"KT-723_D0_D60","ctrl","3.61934","-0.14912","0.24301","-0.38772","-0.53931","0.99144","-1.49558","-1.11714","-0.62803","-1.30788","0.64878","-0.09987","-0.71589","0.74626","-0.02165","-0.32515","0.32937","0.72967","0.20385","0.59453","-0.44837","-0.07261","0.7887","0.04744","0.07528","-0.16929","-0.21337","0.50163","-0.08375","-0.39748","-0.24152","0.19289","0.22613","0.19142","0.17394","0.05588","0.03808","0.06781","-0.00159","0"
"KT-718_D0_D60","exp","-8.42095","6.08195","1.42424","2.17473","-3.38336","-1.08306","-0.08319","-0.32284","-0.48021","-0.06287","-1.44868","-0.2286","1.2255","-0.05723","0.33499","-0.02051","0.0061","-1.0932","-0.03423","0.41006","-0.49786","0.52685","0.09846","0.06747","-0.33937","-0.36231","0.04261","0.29212","0.24253","0.14732","-0.09246","-0.07119","0.05341","0.12462","0.02518","-0.05108","0.03322","-0.02307","-0.01624","0"
"KT-417_D0_D60","exp","-4.67025","-1.75551","-0.49605","-2.33653","3.18803","0.12967","0.18671","0.94908","-0.58282","-0.13584","0.55129","0.35257","1.35348","0.18886","1.35499","0.62191","0.43767","0.19743","-0.16155","0.53258","-0.43275","0.06017","-0.10154","0.53155","-0.11348","-0.27979","0.27509","0.06845","0.15675","-0.31923","0.20684","0.05942","0.00834","-0.0151","-0.1205","-0.12386","-0.08428","0.07879","-0.07443","0"
"KT-522_D0_D60","exp","-3.10731","-2.53901","0.26435","-0.85822","-1.6256","-2.50918","1.4308","-0.11332","1.87939","-0.87446","0.86506","1.92989","0.41457","-0.00645","0.40868","-1.10744","-0.50387","-0.5326","0.06103","0.40751","0.10762","-0.10027","-0.16393","0.25243","0.558","-0.15649","-0.08486","-0.55613","-0.20533","0.06415","-0.10193","0.14632","0.12733","0.05677","0.11896","0.0605","-0.00376","-0.01182","-0.0577","0"
"KT-312_D0_D60","exp","-3.44019","0.46786","-1.23315","-0.47732","-1.97045","-0.17337","-0.90067","-0.96594","0.46305","0.62944","0.36899","0.49353","-0.86475","0.82843","-0.16865","0.75752","-0.08956","-0.12169","0.20734","-0.48946","0.15739","1.02636","0.23946","0.69734","0.60551","-0.0336","0.40011","-0.03339","0.15518","-0.40019","0.14305","-0.03874","0.01443","-0.11592","-0.08258","0.08652","-0.04215","-0.04789","0.0925","0"
"JV-157_D0_D60","exp","-6.02608","-3.59284","-0.33721","2.06263","0.27452","-0.42142","1.34798","0.28545","-0.93259","1.23423","1.8872","-0.33376","0.58122","1.2569","-0.30204","-0.32187","0.21412","0.3461","-0.56323","0.18169","0.46704","-0.47408","0.01067","0.12416","-0.10119","0.2528","0.53546","0.27265","0.22975","0.15848","-0.2992","0.20647","-0.0766","0.03596","0.05761","-0.07189","0.07221","-0.06773","0.04976","0"
"KT-538_D0_D60","ctrl","2.01777","2.05878","1.45531","0.22297","1.05828","1.48328","1.56375","-1.16209","-0.14176","-2.0056","-0.10717","-2.11498","0.04458","0.55406","0.88861","-0.0875","-0.08573","0.04766","-0.85798","-0.75607","-0.08918","0.0785","0.35195","0.57196","-0.14911","0.17893","-0.18216","-0.60716","-0.12214","-0.13072","-0.00596","0.00506","-0.11807","0.05602","0.03687","-0.02081","0.01988","-0.09774","-0.01789","0"
"KT-193_D0_D60","exp","-6.98","2.43391","0.50634","-1.78339","-0.98907","-0.2879","1.0184","0.23966","-0.14303","0.77358","0.30557","0.45724","-0.73543","-1.13677","-0.75673","0.30523","0.47481","0.84705","0.21196","-1.11854","-0.64548","0.26833","0.18983","-0.55046","0.35986","0.26927","-0.02692","-0.0779","-0.05178","-0.14484","-0.20945","0.1518","-0.2238","0.01251","0.05092","-0.17495","0.01081","0.01571","-0.06824","0"
"JV-035_D0_D60","exp","-7.82486","0.37405","-3.36349","-0.85326","1.33081","0.15326","2.71549","-1.396","0.57599","-0.70339","-0.44151","-0.38478","-0.74566","0.40329","0.18844","-0.16502","-0.12293","-0.19871","0.28994","-0.07232","0.1114","-0.31843","0.22388","-0.66192","-0.08985","0.12017","-0.03913","0.19627","0.12088","-0.07876","0.00658","-0.15011","0.18854","-0.05733","-0.24075","0.15966","0.11428","0.02566","-0.0306","0"
