sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
JV-015-RAN-IC-M2	2	-7.493046116778184	0.3646516774520401	1.4464064047236382	-1.6009349827260981	0.7008593301316377	-1.4997479675531031	0.7140231879970712	-0.6473816605374562	1.0238474183189843	-1.2531392162413764	1.8899513774740295	-0.4437086529806788	-1.5349851729618047	0.5154541898084333	-0.041075299119208285	-0.045757505800575644	-0.4405831904996324	-1.2231362728397936	1.9313666256792568	-1.046824203554273	-1.286739176050941	-0.8393864567897326	0.1766931335526161	0.7111033332268034	0.9132024504065417	0.16189312143102003	0.3360146783848763	-1.9903453128573165	-0.2059008944144378	0.8286830656359822	0.231799577611692	0.008920197870984584	0.01302184979017597	0.2511348700593763	1.0109130629545307	-0.3554703211938873	-0.21346598897265498	-0.40149239360832384	0.2639974387919836	4.120887158607017e-15
BS-007-RAN-01-M3	2	-8.106055953443285	-0.3604428646459104	-4.172202052772792	2.2770452122394307	-2.313026372444877	-0.554981662347941	1.0349146057760956	-0.4371327803165377	-1.0953126562516844	1.0387260126763012	-0.03854136963639881	0.799017109928204	1.7780992827575441	-1.8503818509910153	-1.1527879908909109	1.8802401753917157	0.472528569574778	-0.03959176712564516	1.0310815945909553	-0.23548360981675223	0.7808205639238383	-0.9031007981851829	-1.6340651791512253	-0.46517599942285515	0.2554541304839922	-0.8236948594188958	-1.1715998423451663	0.7060266861863657	-0.0637405425939076	0.566089280172904	0.2149963741233064	-0.9640825741960788	-0.05927467028657977	0.15540211307346358	0.9699837551255688	0.5523193459119061	0.018233731149525326	0.11836791422741158	0.2414495750310321	5.453893962870201e-15
BS-007-RAN-02-M3	2	-5.764877971281513	-3.9223634866093615	5.795904822919364	-1.4146156372973666	-0.6820687636715537	1.3150256701316199	0.7063276178129334	-1.4566830160032407	-0.24709074102965037	0.7410597202628365	-0.09313869779940014	-0.9444476930626923	1.213646321232564	0.9033611750002125	-0.7112441973887339	-1.6128055502524785	1.5370315293158558	0.6554607083244721	-0.34180451905827625	0.060750357391539216	-1.1866370645993836	-0.07749977966299469	0.9631211651176497	-0.004206509867697991	-0.35579557577397014	-0.42860949621216154	-0.12218243075274238	0.40352212779265983	0.5336677742258138	-0.7257209114386967	-1.1253336091829456	-0.47242025383102615	-0.9424889910652322	-0.6082563814375124	0.6611251236368955	0.08581914096630393	-0.5700933266849549	0.3235552278827878	0.535208490675128	5.018311135699357e-15
KT-004-SOC-16-M1	2	-6.885722867643549	0.48269510652354314	-5.962326754702891	0.6586851115117303	-2.4389966980617275	-1.7891772095778906	-0.40630575694772675	2.3093759155618945	0.6536994812187404	-0.1361322668151293	1.8000358789861175	-0.33027137985646393	-3.149794062115324	-0.19538499516312863	-1.1733025812125242	-0.32664379852083886	-0.9247260059064962	-0.022903267103769418	0.6626040219029938	2.158810664920288	-0.04769642863501444	-0.6262636093871512	-0.2640124753983339	0.3241658509891445	-0.12980080458367568	-0.034856906733885314	0.552372453494853	0.6300769313654969	-0.03706883561209148	-1.3498174728331114	-0.36187804487254865	0.010848560242950396	-0.2512657290012408	-0.7107098351994183	0.17044916743161104	-0.6460530625020144	0.408974924777163	0.11970473137748114	0.12693047268782467	4.600436475711409e-15
BS-135-RAN-IC-M3	2	-6.94064687093996	-2.0752907762148625	3.8082326471614487	-0.818160870359342	0.5034098656332597	-0.4904362869257312	-0.9627930850806047	-1.267162941871356	-0.08375439669478103	-1.192465212225189	-0.8520331226121073	-0.5918129785105744	0.8215767601388099	1.350687076717041	0.9977644939693545	1.6842099896911495	-0.5779144359078289	-0.8944762465709617	0.348119946330353	-0.41802516037507786	0.007198744651603279	0.3105369942061547	-0.902813982200988	-0.10841074024766209	-0.8991038421655093	0.4570108103135957	0.9453145818652318	0.9628936646332112	-0.12012273503391054	-0.07777302297717374	0.45728171268448176	0.8442287258308596	-0.014400190817259713	0.8337896168919278	0.16151508395292344	-0.48130287985780473	0.7058491414009719	0.7743417407494227	0.6217042187206666	4.44933408150386e-15
JV-070-DAV-07-M3	2	-7.348012324836341	1.141353489170617	2.2700686889539865	-3.2243169358411805	0.2792184835491229	-0.3947327451529751	0.5886865888244935	-1.4216648128035845	-0.23690233983774744	-0.6753759574366623	-0.5092667745927795	-0.09218501762947204	1.061983623633712	0.5752639679512932	-1.9064763117905035	-1.2787304351965525	0.3833707842813578	-0.6362421136807573	1.121797813835966	0.18311930426559794	-0.9473368336453516	-0.10670507352716645	0.1405359314657227	-0.48766199883481365	-0.10778509656122864	-0.19481326267821902	-1.615883771650505	0.47520613268310746	-1.6200744623934629	-0.15455724691633094	-0.6809579031631875	0.14611004635142158	0.8974171928886213	-1.790152849904507e-4	-0.7663585190928001	-0.05680361225126511	0.7547053383768692	-0.5068558877568076	-0.04340050317603216	4.227999936254334e-15
BS-129-RAT-10-M5	2	-5.77222034515024	0.010156125928212951	2.1742729830567917	-3.3790590307264856	0.8889228810980367	0.04024333535252165	0.5931928007904473	2.357701948321103	-0.10776194599100491	0.26949931200771915	0.7856299235721013	-1.329315955141804	-2.561976263139711	1.269238985541696	0.13736337178384672	-1.0671068668971897	-0.47763847678020155	-0.5275585798559447	-0.43135188201712943	-0.19477233664679966	1.2100303641831183	0.2684278783171298	1.4007890791453486	-0.3893489610103344	0.6993110618742009	0.3490353458923251	-0.7549557407733423	1.0449286247166647	0.41825734896972283	-0.24061525803782394	1.4465131385442611	-0.34984304046986464	0.652177109444253	0.22530312555236495	0.346332410635724	1.0312206090096099	-0.03604056175026091	0.13987277602541814	0.08958770837206391	4.207455598904663e-15
JV-036-SOC-10-M2	2	-7.44461683812966	-1.263503044442511	-1.9373909460439787	2.3595173563304668	-3.1257609540815747	-0.5433825497456435	0.6614429378429998	-1.223761894434187	-0.6979814463090255	-0.770934544337549	-1.130518112026124	0.4709047335886562	1.143440573886276	0.5530452927397796	0.7905916207758938	-0.7758624744024025	0.49477880789186046	-1.1408691285273607	1.5928626872749707	0.2567991717447094	0.24362847361999118	-0.13338867291809178	0.6813117749113278	0.41620172564656344	0.5133728130958647	-0.012125539407148906	0.40969438960199245	0.803554828080723	-1.062700602580745	0.21625032623608145	0.8251682080222009	0.9055719263942607	0.179741974498731	-0.5129960136538995	-0.3763226782094579	-0.22077887357739773	-1.1603459725154768	0.3565791018649225	-0.44730021123334984	3.91516348538808e-15
BS-126-RAT-05-M2	2	-7.955880655409741	-0.6955429734676124	0.22602233548663136	0.6657440841653566	2.077735553182748	0.3795546156784433	0.27156124533956233	0.36707502185681934	0.8787607373369666	1.0824561720261303	0.5004249530627284	-0.5818911158161235	0.01629131658930329	-2.7556993064292463	-1.0887072205379213	1.1580239730527286	0.7449751306803629	0.5914276323964527	-0.4623782085397518	-0.12794876295681795	1.527893168013057	-0.6623004629832498	0.7743600713804036	0.017642651961135753	0.27327068465852916	0.8029685477506335	0.052707654958077665	-0.25096673562058525	0.22148159506906462	-0.8348095051140233	-1.037018926227588	0.6582400962677831	1.043390927912997	1.171700640126822	-0.22138704343685586	-0.3532445272275776	-0.7046969902752676	-0.01178557566671996	0.15370931905652196	4.2749167933886935e-15
JV-017-RAN-10-M3	2	-4.817514924903269	0.5210287257299507	3.3860006066691453	-4.76631186695495	-1.1501134933057517	0.15895072259971765	1.1148166477736927	-0.4584043511300037	-0.9247911193517739	-0.15863718571939417	0.5811241059992199	-0.6925256610218796	-1.7804970685691166	-1.3852771416724696	0.36630056592688415	-0.46512950008036485	-0.18594829399389437	0.7654030400182863	-0.027752589034911894	-1.321379851417184	0.6605237997371775	-1.4843260752884424	-1.3314976987417029	1.3168191814213548	-0.43750695968996733	0.5674311633467191	0.9639978864306497	0.8335808233273151	-0.31654217718183614	0.5329980710626362	-0.442139692312558	-0.589207718932672	-0.9505800294386846	0.2571752038630237	-0.7347458984880207	0.2732885881284973	-0.034928088675595464	-0.08601097494739342	-0.5452789609544693	4.387227377183312e-15
