feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57
CE 18:1	0.4056326075944988	2.9577214837174024	0.8002102342656543	0.3228211528139065	0.09568519633314762	0.0023411030515275793	5.498992048391742e-4	0.25374346946553805	0.670094696773513	0.015537335041962285	3.68490882920746e-4	0.00641771877632108	0.0028081302186962753	0.1101353899683247	0.021361616390253017	0.004299074367436472	0.05469686424964433	0.008204025709623674	0.016377979594742628	7.7897895366605e-4	1.5933042952761368e-4	0.03943304998507953	0.037806833889806546	0.005082532309562078	0.013848124363660447	0.002139942352265103	1.1085812026945402e-4	0.12367401222235615	0.0653835738887782	0.04348700780808298	0.013578493788560212	0.0038992209689932868	0.027922952477261884	0.007246278052658019	0.06897301385672616	0.02482709244879664	0.010226176964255667	0.005773240401517065	0.002412846485096261	0.039434729689953436	0.012711247764399957	0.022178165483455917	0.013756578825424541	0.048392438936096724	0.02519535932655613	0.027701458777099303	0.03879127976305948	0.35432715197408515	0.006417928093528289	0.019336277785894314	0.002719199552825484	0.004873906946910201	0.04941983089520478	0.05991488762468386	0.0012814389917044707	0.46484645236694416	0.08878694198141342
CE 18:2	1.3589474194064959	6.03504908308763e-4	0.20913438785423283	0.9660047909213739	0.17208443042766544	0.4079757187586611	0.34407071377352155	0.4545940322205856	1.2358540634395052	0.009791535299820762	0.004687144057232382	0.04955059265356355	2.3450525288933137e-7	5.236178932503491	0.1618758227701177	0.003994320234679273	3.9177660388143263	1.1565612394756362	0.19751042517962228	2.981424744591723	0.0014041466958771367	0.05825561813657244	1.3884386517787264	1.9746883236093877	0.24348703734726265	0.20551343282239642	0.006500857192627385	4.691054994034649	0.20030711977024324	1.600322868272469	1.2392278923072926	0.027846703778878254	1.0115434020345995	2.7014728178217045	0.0022933113731395194	0.003035457366282955	0.05833282090164903	5.114758979104433	9.415371022296954	9.745007871240032	4.7719015223992525	10.429566569885079	0.1533913597237451	0.3291342324759408	0.582313966794466	1.0037212965581122	0.22014033516041506	0.1466473287113988	4.599143332635907	0.5113499381713177	0.17094434234966957	2.269930869579486	0.3385034510705382	10.98144218283148	0.16981309257951982	2.158786135142405	0.06051148983307358
CE 20:3	0.05665590778874429	2.397122296628395	0.47432150914304894	0.27722853590928487	1.909546093525765	0.9290642001163819	4.2138127918109135e-4	3.4667583811651346	0.4278578869807182	0.2552153550310282	0.6765958125571976	0.018850354036735174	0.23598153451922063	0.0028811759175067786	0.539224106927233	0.276244307626466	0.8789619025030582	0.7467980619679898	0.29728911474675324	0.05021451074971728	0.6593307594037469	0.33306572882032026	0.44784222587536576	0.03228120511295149	0.11336701072646642	0.021037301736110646	0.26624372117129685	0.556773438373388	0.006877086970977534	0.13447476853793255	0.15812845027551062	9.258497870762595e-4	0.03707915388441951	2.312443810046733	0.21271900758353543	0.00805090330788126	0.5426948549089881	0.10399120183915364	0.1884635418778708	0.5978245198296244	0.2819253046459213	0.07551877728943035	0.0018214380452003579	3.8938629344658634e-4	0.42433914543504175	0.06789322858306235	0.1967205379851531	0.5256947334645714	0.1116326473020236	0.03651023507148567	0.05805065268336396	0.19757578444787885	0.04991282548187632	1.0035684642807583	0.24292416321087146	0.006781815687092758	7.324259948943464
Cer 34:1;O2	1.6020437529449365	0.48204227119825566	0.1774706610468455	0.16567410075086764	0.06256271492421514	0.015818894841727906	0.14124907462630928	0.014989323176172473	0.23213932075327542	0.20900876309116323	0.006430759029771567	0.34852516872082345	0.045303877420438524	0.22171402529510822	1.247257746310455	0.28933302130445293	0.008812314297552101	0.01081486233133958	0.0667145668410978	0.10060980789378998	1.8802145395311505	1.0462334668051425	6.743070647789031	1.7987684343188193	3.638515025034078	0.07270410416579191	2.430139297736501	1.2022663864306846	0.5123760242051021	3.688847532413755	1.3185522471064475	1.0690981133950923	0.36813533792753306	1.272504433866826	1.1915472865101229	3.100529585562139	0.2729666179893031	0.0695383599392417	2.506869831292411	1.3846276321259159	0.6595845887084857	0.4414667310544809	5.289472047389365	0.8836807240729251	1.1684355824572188	0.26516444195589367	0.035778118607569465	0.06580300401098915	0.012314975027405296	0.13102974925992375	0.6441771446542452	0.32894627317067665	0.43158734117168635	0.16888001947550282	0.4590598551904486	0.1053084435668481	0.13004350609490223
Cer 40:1;O2	0.00296711274744983	2.4752135661986823	0.38779161904138526	0.22868965417557705	1.7801579517844852	1.07158406141479	0.030477428735961345	3.670603139689637	0.30304593648532185	0.2640517075767997	0.3962494551403118	0.10246465070996955	0.318271717544726	0.0014692472764821845	0.9857640930961247	0.2694393207129458	0.9096609464526404	1.2754726752383956	0.5320570354207753	0.04491058768357341	0.6852718558557123	0.25273383441489305	0.10307713223127264	0.0017442268489961	0.08644667091179785	7.528550769374592e-4	0.3261360562410323	0.7755287313813799	8.310301244235477e-4	0.2750312489478149	0.15879125732426447	0.12021660167825209	0.006616691355740739	2.0648802803319577	0.4701157800133378	0.011085142394550397	0.5141746640862749	0.010987924232897767	0.008377271654834857	0.42557138021037916	0.07040776386331414	0.12467234733181752	0.0018426079399231242	0.016922094559973542	0.18217974148267874	0.2575160895051979	0.23613054101119177	0.00212088813767416	0.02575863535747168	0.004102198011779279	0.030906792298743664	7.031010636316006e-4	0.3038544175220274	0.05010816486495914	0.0961261192322504	0.340733520501734	15.203853569541117
Cer 42:1;O2	0.3609314477927197	0.44593676378724145	0.57789420018232	4.1639670406677505	0.05701427676155631	2.5279113878429604	5.5744243579940855	2.5905506040847643	0.24785316568237464	0.052472426265929954	0.6731128576456733	0.019097991061335078	0.027235260000372474	1.119184851936331	0.2603880816931149	0.2948180053598098	0.012602180273738446	0.2144186004060826	0.30038599775133046	0.009384542387941404	0.11087752975243896	0.31631540415694426	0.025532714538180092	0.07896620765505648	0.035958625089566265	0.0032530827743320603	0.015256170152583732	0.08658687648763483	0.05937997006161947	0.15638911506177788	0.005033935264135084	0.0394189893170482	0.10220468363988443	0.19143725750306698	0.10381080484600724	0.0024655956054463824	0.0983607289833032	0.011330769484526746	0.04663714204013315	0.029182080338486717	0.015571876801590036	0.013463287668297384	5.243890790985501e-6	0.049013477347895434	0.03566097826594905	0.018232687225872637	0.002786332725952756	5.609511006353111e-5	0.04098153285434936	0.026119148397311488	0.004609236247765747	0.05196722486701415	0.015259499746683782	0.19490647222945545	0.21174297593488114	0.07074998469590645	0.432025472072201
Cer 42:2;O2	1.8178716690161436	0.3928593145222428	0.5465992631475662	0.050208568111556176	0.219854262380365	0.4548804690252104	0.16513633844152478	0.16288039657832737	0.9358245830432405	0.2226772357510291	0.4269218014799645	0.16153474898813977	6.54618803404933e-4	0.08256837944876194	0.02414164425422942	0.5284631633301347	0.20108384930303086	0.17889666976982682	4.85694462848378e-4	0.004100746611267232	0.26514253375592156	0.015639194000361106	0.028356868337078157	0.4027532278960021	0.08783819671807964	0.17945070723928977	3.5687347819769952	1.0276405919010685	0.43767574214312105	0.09289369011035398	0.003324014893564724	1.3471022866269418	0.2790640589922081	0.010854215081830201	0.3930180554865031	0.6512101073953358	0.13233910919479927	0.005443963206052657	0.12276729495169475	0.013063599862212253	1.9933016525894658	0.04260205028956679	0.2666546636385572	0.27671188785754186	0.2403528075994465	0.03504698976196967	1.7723937194292692	0.15285771633629242	0.05994924004518438	0.006046007432371346	0.9246156533564105	0.0063589172663108965	0.03391950900713057	0.00434611455920308	0.796127536795084	0.008231157783246653	0.0020878391723897303
Cer 42:3;O2	0.35883421968350915	0.46345805375296295	0.5648126246379962	4.114426677972176	0.0627357470348869	2.5451059468985284	5.527931438316015	2.631697195105594	0.25268285189976586	0.0561451781227708	0.6551451140015151	0.01930175712963965	0.02858673124447144	1.1226063667500545	0.2418422596901575	0.27960595793463217	0.014435443673026311	0.23694639111915397	0.3053955094520423	0.007107376557192832	0.11141097624192947	0.32909071603928086	0.013765869803993849	0.07871545816126191	0.04671303925252247	0.004947376133827447	0.0073889047547522286	0.09406356354812737	0.04750300956040219	0.1690422377109692	0.0052443005016091955	0.04890565870685188	0.11228320586738443	0.21383469563874308	0.11568585556422073	0.004911189415437148	0.09440736806398325	0.009458566557060712	0.04637208375509595	0.02670322054328857	0.013448100778259656	0.015501271801089504	1.1957907370786153e-6	0.04894032839952724	0.03649447279196384	0.01802814893773732	0.0038818916785798843	1.5309435453201695e-6	0.04293538755436101	0.02616730754563013	0.006244692566165504	0.05019847409291941	0.016604358336648282	0.2001446866812755	0.21834817885144617	0.06889480924762494	0.4339170274832845
Cholesterol	0.15644866750437766	0.8181717238912357	4.350396687612684	0.1422777584186646	0.02690150359127386	0.11732781759392526	1.3359549900564986	0.3522671823587184	1.2029881920501675	0.8185036047641832	0.07532203677544336	1.4998117163188505	0.5716487297171616	2.0137032299068527	0.04258240295428815	0.8199743696019797	4.574218892949296	0.15344273598457994	0.3415486257302177	2.047480173020678	0.2360306989120868	1.3429140577976133	5.092701174471741e-4	3.3980879436536773	0.019338918770452587	1.8798964994091214	0.005838087240952028	1.8243167554284356	0.0038777126341388926	0.013330279894422552	0.15536091513654968	0.7074714607418814	0.45520887640769486	0.019937562422507993	0.03977693656039275	0.12660671688150932	4.893762079944375	7.261201455588359	2.778682883691885e-4	1.0018559570517642	0.3919470207489781	5.205419868081072	0.4411811492244964	0.506697143798722	13.482381911732386	5.478155961823386	0.7060043992629091	1.3248345689262853	6.826075929868587	0.9085104563815019	4.156675857020616	3.4973898492197923	9.253584384309711	1.6936225842308175	0.04728147845909462	0.04785362057612156	0.017655088876969854
DG 32:0	0.7985886111871097	0.7241082453947388	0.0025670304569952577	0.07702810081595488	0.4349076291546333	3.8807927449772934e-4	0.3713826285713081	0.8443385055964779	0.06815609976167515	0.7753542683042567	7.773380223940678	2.4270339954871742	0.02425919623996013	0.11549762598972507	9.472544427764843	2.551552674864925	0.6946078161677312	0.3954772599976064	3.3263204119255243	0.08857654835226712	1.0975018616786887	0.17338218040959505	1.5118945095637886	0.05990516113157755	0.04410030748650484	0.6362420235398977	0.3104086485346698	2.4045419160970303	0.1410092375212078	0.0059996588681278905	0.5190625187724671	0.14778887794550433	0.030378373641929794	0.0011212227160982934	0.19471108889011504	0.34622775566992875	0.08826717914228646	0.001688939815750425	5.10293335354728e-4	0.35838719951938514	0.26895025185776544	0.10461657462711507	0.11154982694298334	0.05624291874691598	0.009645652110344249	0.039214121533549126	0.005365012526334003	0.034846312456974594	0.061230513977952296	0.15490544635756048	0.08395004600852077	0.017293888980753777	0.018110470479176414	0.08477464367610252	0.5017432664618343	0.0786726993646718	6.666121855318588
