                TG         FA          SM        LPC          PC         CE     LPC O-           PI         DG         CAR          Cer       PC O-
TG      1.00000000  0.6390977 -0.29924812 -0.7819549  0.69774436 -0.5278195 -0.7894737  0.715789474  0.8315789 -0.39548872  0.314285714  0.07819549
SM     -0.29924812 -0.2977444  1.00000000  0.1834586  0.08571429  0.5037594  0.2796992 -0.583458647 -0.2556391  0.65864662  0.183458647  0.33533835
PI      0.71578947  0.4210526 -0.58345865 -0.5142857  0.38195489 -0.5563910 -0.5879699  1.000000000  0.6345865 -0.42105263 -0.001503759 -0.14135338
PC O-   0.07819549 -0.1308271  0.33533835 -0.2872180  0.57293233 -0.1097744 -0.0556391 -0.141353383  0.1639098  0.21503759  0.293233083  1.00000000
PC      0.69774436  0.2150376  0.08571429 -0.6947368  1.00000000 -0.3954887 -0.5729323  0.381954887  0.7458647 -0.10075188  0.400000000  0.57293233
LPC O- -0.78947368 -0.7609023  0.27969925  0.8496241 -0.57293233  0.5849624  1.0000000 -0.587969925 -0.7849624  0.47518797 -0.437593985 -0.05563910
LPC    -0.78195489 -0.8195489  0.18345865  1.0000000 -0.69473684  0.5112782  0.8496241 -0.514285714 -0.6616541  0.32030075 -0.434586466 -0.28721805
FA      0.63909774  1.0000000 -0.29774436 -0.8195489  0.21503759 -0.3789474 -0.7609023  0.421052632  0.4120301 -0.37744361  0.330827068 -0.13082707
DG      0.83157895  0.4120301 -0.25563910 -0.6616541  0.74586466 -0.4631579 -0.7849624  0.634586466  1.0000000 -0.41052632  0.215037594  0.16390977
Cer     0.31428571  0.3308271  0.18345865 -0.4345865  0.40000000 -0.2496241 -0.4375940 -0.001503759  0.2150376 -0.03909774  1.000000000  0.29323308
CE     -0.52781955 -0.3789474  0.50375940  0.5112782 -0.39548872  1.0000000  0.5849624 -0.556390977 -0.4631579  0.59248120 -0.249624060 -0.10977444
CAR    -0.39548872 -0.3774436  0.65864662  0.3203008 -0.10075188  0.5924812  0.4751880 -0.421052632 -0.4105263  1.00000000 -0.039097744  0.21503759
