"","Sterol lipids [ST]","Fatty acyls [FA]","Glycerophospholipids [GP]","Glycerolipids [GL]","Sphingolipids [SP]"
"Sterol lipids [ST]",1,-0.048968105065666,-0.296810506566604,-0.165103189493433,0.456285178236398
"Sphingolipids [SP]",0.456285178236398,0.0439024390243902,0.138836772983114,-0.322514071294559,1
"Glycerophospholipids [GP]",-0.296810506566604,0.149906191369606,1,0.0577861163227017,0.138836772983114
"Glycerolipids [GL]",-0.165103189493433,0.119512195121951,0.0577861163227017,1,-0.322514071294559
"Fatty acyls [FA]",-0.048968105065666,1,0.149906191369606,0.119512195121951,0.0439024390243902
