family	feature	KT-352D0	KT-522D0	KT-310D0	KT-412D0	KT-525D0	KT-565D0	KT-723D0	KT-771D0	BS-064D0	KT-612D0	KT-515D0	KT-193D0	KT-247D0	BS-377D0	KT-445D0	KT-716D0	KT-805D0	KT-434D0	KT-313D0	KT-539D0	BS-336D0	KT-537D0	BS-671D0	BS-351D0	KT-705D0	BS-346D0	JV-138D0	KT-695D0	KT-663D0	BS-364D0	JV-148D0	KT-974D0	KT-718D0	KT-347D0	KT-926D0	JV-048D0	KT-880D0	JV-157D0	BS-082D0	KT-538D0	KT-417D0	BS-035D0	BS-126-RAT-05-M2	BS-391-RAN-06-M2	KT-004-SOC-14-M1	BS-135-RAN-IC-M3	BS-356-RAN-03-M4	JV-089-SOC-04-M1	JV-070-MIN-01-M1	BS-007-RAN-02-M3	KT-004-SOC-16-M1	JV-015-RAN-IC-M2	JV-036-SOC-10-M2	JV-070-DAV-07-M3	BS-007-RAN-01-M3	JV-061-MIN-03-M5	JV-070-DAV-04-M1
DG	DG 32:0	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	1.819958722328043	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	3.586790130859825	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	0.9839769712845511	1.686909581646424e-9	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.64050606331041e-9	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	2.700271933515336	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 32:1	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	2.045157068062827e-9	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	1.895993123512298	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	1.048939312567132e-9	1.686909581646424e-9	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.64050606331041e-9	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	2.738585575322057e-9	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 34:1	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	2.909208040317114	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	9.324738110549273	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	1.048939312567132e-9	2.102796883217663	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.580931984231881	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	4.976405909959574	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 34:2	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	2.045157068062827e-9	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	2.998545358370801	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	1.048939312567132e-9	1.686909581646424e-9	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.64050606331041e-9	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	2.738585575322057e-9	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 36:1	8.897712235813612	2.04275068636423e-9	2.114057637667433e-9	8.313181739102484	2.419105124632296e-9	8.935776500084259	9.544598527380316	2.278361038203558e-9	6.328964298138763	9.224858870651618	9.726238131633986	6.53234221982669	1.927584505304712e-9	12.08415351507724	1.984504985076522e-9	2.045157068062827e-9	9.391557183863386	1.752172694140734e-9	1.353165324326665e-9	9.088382975481087	8.883216705396705	2.530159501254959e-9	7.644216445490741	3.131576310251528e-9	1.048939312567132e-9	1.686909581646424e-9	7.580291936639762	1.795977011494253e-9	2.495209198339189e-9	1.64050606331041e-9	7.441471172010925	1.665068201193521e-9	1.518685911454536e-9	10.03548154626586	11.50767529405968	9.822187169561799	2.738585575322057e-9	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	9.17182959526698	9.842998665651592	10.1715504299084	10.76192224297999	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	7.633222810018375	9.489760620989106	10.88123124361691
DG	DG 36:2	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	2.110761976038678	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	9.165984305313938	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	1.048939312567132e-9	1.856903440866396	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.970969259226259	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	4.496131097116773	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 36:3	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	2.045157068062827e-9	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	6.466543242528432	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	1.048939312567132e-9	1.686909581646424e-9	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.64050606331041e-9	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	2.738585575322057e-9	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 38:3	3.393788010425717e-9	2.04275068636423e-9	2.114057637667433e-9	1.461304652794014e-9	2.419105124632296e-9	1.871817909553758e-9	2.675055641157336e-9	2.278361038203558e-9	1.857465525439848e-9	2.112628447809626e-9	1.4885914352403181e-09	2.01016338608002e-9	1.927584505304712e-9	2.292063957752677e-9	1.984504985076522e-9	2.045157068062827e-9	1.856472405394166e-9	1.752172694140734e-9	1.353165324326665e-9	1.395081021724941	2.502402306213965e-9	2.530159501254959e-9	3.621508865453702e-9	3.131576310251528e-9	1.048939312567132e-9	1.686909581646424e-9	1.106939180333676e-9	1.795977011494253e-9	2.495209198339189e-9	1.64050606331041e-9	1.698738856273103e-9	1.665068201193521e-9	1.518685911454536e-9	1.958142740773231e-9	1.555887478217575e-9	1.432434910157682e-9	2.738585575322057e-9	1.279060248853962e-9	1.308462086002596e-9	1.547795938583457e-9	1.343277166437414e-9	1.463014981273408e-9	2.30746511112752e-9	1.364211812982931e-9	2.043685828264993e-9	2.185161876791833e-9	2.50822698450919e-9	2.390423009255717e-9	1.470795877064997e-9	3.235659553493829e-7	1.337814118755084e-9	2.349800736897511e-9	2.194984898503898e-9	3.297457001160704e-9	3.195623274363431e-9	1.741626260937413e-9	1.302517505835278e-9
DG	DG 38:4	6.040942658557776	4.165168649496666	5.128703828981194	3.698562076221651	5.360736956185168	4.337002096436058	5.184257832562917	4.8665791776028	4.220161673799334	5.767475662520281	3.864383365883866	4.86057506754149	4.310078953861337	5.851639284142585	4.48498126627294	5.795975130890053	4.255034753163429	4.562657695542473	3.673843855546895	4.677995239354668	5.715486867392697	5.032487247996113	5.91754548615135	6.736020643351037	2.821646750805585	4.812753036437247	3.15920442067231	4.538433908045977	5.946083519642286	4.212819570581132	3.786488910632746	4.707147804774083	3.994143947125431	4.172802180587755	3.8243714214588	3.922006784011734	5.304640259398825	3.507183202357564	3.907067788803752	3.940688459633482	3.927742434662999	3.522940074906367	4.68876910581112	3.46782642860261	4.291740239356484	4.872910985245786	5.199554538887551	5.007936204390728	4.079987762978303	3.235659553493829e-7	3.020784280148979	5.012124971802391	4.850916625693615	5.589189616967394	5.295147765620206	4.246084824165412	3.46469656552184
CE	CE 18:1	2.30372281607077e-8	1.532050496384361e-8	1.174812030075188e-8	9.342301943198803e-9	1.410675995937253e-8	1.1101243339254e-8	1.709986320109439e-8	1.469378159163042e-8	1.273301415911174e-8	1.246261216350947e-8	1.356336805555555e-8	1.281394156842644e-8	1.187084520417854e-8	1.552409339294585e-8	1.109139307897072e-8	1.017087062652563e-8	1.275380063258851e-8	1.322191664903744e-8	8.544087491455911e-9	19.69751692388247	1.386577925679423e-8	1.489158923040267e-8	1.544353842352359e-8	1.414187125240412e-8	9.593246354566385e-9	1.033912324234905e-8	7.91640278657378e-9	1.205400192864031e-8	1.325697316788631e-8	1.131221719457014e-8	1.241310824230387e-8	1.073883161512027e-8	9.117432530999269e-9	1.659806134643474e-8	1.136363636363636e-8	9.780907668231611e-9	2.004811547714515e-8	9.130752373995615e-9	9.667440061871615e-9	1.08695652173913e-8	9.97605746209098e-9	1.187084520417854e-8	1.299781636685037e-8	1.037344398340249e-8	1.411153759313615e-8	9.952229299363057e-9	1.286537669822972e-8	1.346257404415724e-8	9.476876421531461e-9	1.045150501672241e-6	1.046901172529313e-8	1.084128360797918e-8	1.045150501672241e-8	1.385655692273584e-8	1.167133520074696e-8	9.177679882525695e-9	9.889240506329114e-9
