"","post.hoc.pval.signif","Total.C","class","comparison","mean_ctrl","mean_exp","FC","log2FC","method","anova.fval","anova.pval","post.hoc.method","post.hoc.pval","post.hoc.mlog10p","post.hoc.padj","post.hoc.mlog10padj","post.hoc.padj.signif"
"1","yes","42","Cer","severe(exp) / mild(ctrl)","3.98e+00","3.23e+00","8.12e-01","-3.00e-01","Two-way ANOVA","4.88e-01","4.86e-01","t-test","4.31e-03","2.37","1.72e-02","1.764","yes"
"2","no","41","Cer","severe(exp) / mild(ctrl)","1.12e+00","1.03e+00","9.14e-01","-1.30e-01","Two-way ANOVA","4.88e-01","4.86e-01","t-test","3.28e-01","0.485","5.07e-01","0.295","no"
"3","no","40","Cer","severe(exp) / mild(ctrl)","1.32e+00","1.21e+00","9.23e-01","-1.16e-01","Two-way ANOVA","4.88e-01","4.86e-01","t-test","3.80e-01","0.420","5.07e-01","0.295","no"
"4","no","34","Cer","severe(exp) / mild(ctrl)","1.21e+00","1.20e+00","9.97e-01","-4.36e-03","Two-way ANOVA","4.88e-01","4.86e-01","t-test","8.68e-01","0.0615","8.68e-01","0.0615","no"
