"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"SM 32:1;O2","SM 32:1;O2","1.17101","1.0929","0.71656","1.04956","0.7286","0.0775","0.08673","0.0883","0.29793","1.82284","1.21122","1.21779","2.20567","0.0449","0.08461","2.77739","2.98936","2.66905","0.82483","1.43333","2.76341","0.08146","1.66081","2.27503","0.15201","1.99861","0.29064","0.03539","0.00377","0.49981","0.65973","0.32872","0.18691","2.68073","0.92815","0.08487","0.12917","0.18352","0.05657","0.85586","4.72347","0.08794","0.39201"
"SM 33:1;O2","SM 33:1;O2","0.96102","1.30627","1.05074","0.94244","1.31432","0.28168","0.28497","0.50929","0.62106","0.77071","1.72122","0.66331","3.33346","0.85145","0.00063","0.09966","0.75895","0.30743","0.51704","1.29553","0.49125","0.0639","0.92252","0.44837","2.38789","4.363","0.11255","0.89147","0.00371","0.94398","0.17072","0.03461","0.00865","1.64895","0.15704","0.44034","2.92296","1.00085","6.51409","2.76545","0.38153","0.11505","0.49799"
"SM 34:1;O2","SM 34:1;O2","1.19108","1.59753","1.74182","0.32789","0.02739","1.1701","0.13605","0.35528","1.37847","0.00001","1.09715","0.71104","0.04894","0.60961","0.7715","0.0093","0.00007","0.16122","0.00021","0.05729","0.05775","0.00134","1.25952","3.00636","0.20141","0.04723","1.11775","0.13178","0.00685","0.54776","0.00176","0.82637","1.41618","0.48091","0.17212","0.09798","0.2892","0.03129","0.64233","0.37006","1.06695","0.14109","15.18935"
"SM 34:2;O2","SM 34:2;O2","1.87013","1.00953","0.62837","0.21543","0.2823","0.6332","0.26038","0.37851","0.03623","0.48387","0.29035","0.07144","0.63567","0.00228","0.00788","3.81913","0.02719","0.16196","0.24134","0.36597","0.00134","2.33214","0.51633","0.00894","0.08688","0.31389","2.79515","0.97091","3.77861","0.00373","0.26057","0.87593","0.24019","0.13547","1.98149","0.0428","1.0421","0.38225","2.31294","0.65053","2.00758","0.74085","1.84631"
"SM 35:1;O2","SM 35:1;O2","0.70386","1.42156","0.10379","0.58931","0.95653","0.97976","0.04843","0.09752","4.99763","1.62134","0.22975","0.92343","0.89758","0.81557","0.32096","0.00208","0.00416","3.00837","5.9037","1.57918","0.06465","0.87472","2.00108","3.04802","10.28181","3.55945","2.76211","0.07705","0.39279","0.0571","0.69651","0.07257","1.0018","0.08328","2.05066","0.5615","0.50591","0.32802","8.03028","1.17687","0.30095","0.00069","0.20647"
"SM 36:1;O2","SM 36:1;O2","1.23114","1.42201","2.85075","0.10918","0.17082","0.44967","0.00217","0.09518","0.96667","0.05663","0.50188","0.21227","0.001","0.03578","0.03483","1.05547","1.47961","0.23343","0.3943","0.01262","0.17953","0.00862","0.00866","0.13929","0.06615","0.24799","0.78359","0.21047","0.0002","0.04924","0.09092","0.00712","0.54273","0.03686","0.01138","0.44002","0.01275","4.708","1.0635","1.3613","1.16732","0.88449","0.47942"
"SM 36:2;O2","SM 36:2;O2","1.17114","1.91172","1.31825","0.10877","0.23412","0.54975","0.26158","1.53553","0.00479","0.01194","0.12377","1.93214","0.07392","0.69665","0.00037","0.19664","0.52508","0.00524","0.02534","0.01429","0.9886","0.07175","0.25454","0.89377","0.00049","0.36555","1.25618","0.03196","4.3755","0.21368","1.02589","3.89072","0.39835","0.28684","0.83915","0.80777","0.80331","0.98061","0.01235","0.61814","0.80877","0.01867","0.36595"
"SM 38:1;O2","SM 38:1;O2","0.97175","2.80613","1.87217","0.0217","0.07602","0.00433","0.00794","0.00574","0.3318","0.00153","0.07155","0.0891","0.07382","0.01375","0.00006","0.34504","0.06671","0.04853","0.7737","0.35022","0.00747","0.05937","0.00967","0.36244","0.67535","0.10472","0.21997","0.22912","0.00026","0.09545","0.73991","0.11482","0.20338","0.01023","0.09775","0.01783","0.21174","0.18616","1.51396","0.01465","0.16236","0.20918","0.43474"
"SM 38:2;O2","SM 38:2;O2","0.76312","2.94163","1.21524","0.16973","0.00583","0.06719","0.65915","0.70012","0.02398","0.38364","0.11695","1.78987","0.11292","0.5703","0.27342","0.2873","0.04322","0.01181","0.00152","0.03891","0.99406","0.00292","0.51307","0.00396","0.01672","0.52274","0.08607","0.31525","1.85624","0.44388","0.95727","0.4383","0.83975","0.23615","0.00733","1.4885","0.03777","2.49698","0.18919","0.21347","0.01079","1.5302","1.33943"
"SM 39:1;O2","SM 39:1;O2","0.40729","3.59514","0.25806","0.37263","0.05344","0.60251","0.16762","0.00004","2.55603","0.82674","0.65281","0.85018","0.39404","0.07714","0.09119","0.81819","0.04296","0.78517","1.04899","0.61204","0.09873","0.00028","0.15643","0.76242","0.15619","0.30845","2.96569","1.28383","0.16917","0.28265","0.58293","0.0095","0.14537","0.19584","0.4561","0.24285","0.09381","0.04253","0.00382","0.11029","0.19084","0.3155","0.02773"
"SM 40:1;O2","SM 40:1;O2","0.86208","2.7014","1.50733","0.55713","0.00976","0.19143","0.06067","0.29293","0.1933","0.06029","0.69683","0.00303","0.10874","0.01679","0.01176","0.84368","1.46257","0.50068","0.02863","0.54027","0.21872","0.00559","1.17252","1.21987","0.8501","0.13414","0.27866","0.0383","0.00509","0.06139","0.04604","1.58431","0.14434","0.06534","0.85687","0.00915","0.14699","1.19987","0.26544","0.14067","0.58844","0.02629","1.45714"
"SM 40:2;O2","SM 40:2;O2","0.88491","3.06071","1.3079","0.0355","0.08458","0.14309","0.53263","0.00001","0.17332","0.00015","0.0313","0.02153","0.03077","0.06512","0.09271","0.35701","0.03865","0.51209","0.0003","0.27042","0.62343","0.00095","0.80624","0.40149","0.51005","0.13451","0.0022","1.55187","1.12177","0.90714","0.01182","0.09001","0.62181","0.431","0.01232","0.27078","0.19039","0.18974","0.00622","0.25616","0.76676","0.40229","3.89885"
"SM 40:3;O2","SM 40:3;O2","0.29009","0.78041","1.12636","0.00025","0.39628","0.5518","0.04669","0.01501","6.74772","1.35343","0.50551","0.66766","8.62975","8.90422","0.04443","0.30811","2.51912","1.09695","2.31465","3.19939","3.10402","0.13665","0.85235","0.28533","0.04061","0.4623","0.41675","4.92376","0.97579","5.41489","1.96348","0.17575","2.60351","0.00682","2.26946","0.47487","0.00042","0.03133","0.00006","0.20565","1.84284","1.56175","0.00043"
"SM 41:1;O2","SM 41:1;O2","0.52782","3.48873","0.85828","0.30982","0.00289","0.6007","0.02379","0.71796","0.10989","0.00622","0.20298","0.11521","0.00797","0.09011","0.0218","1.3062","3.12156","0.05711","0.00056","1.82923","0.24233","0.04238","0.74074","0.73903","0.0123","0.48902","2.01946","0.26737","0.00074","0.01583","0.11162","0.3798","0.19142","0.30998","0.14326","0.1844","0.39607","1.37272","0.1099","1.41523","0.01093","0.04014","0.4817"
"SM 41:2;O2","SM 41:2;O2","0.3724","3.9168","0.38786","0.16486","0.00099","0.00567","0.18131","0.42145","2.0171","0.00001","0.29673","0.00944","0.75442","0.63668","0.09341","0.04612","0.32802","0.27498","0.06921","3.10047","0.62729","0.009","0.23858","0.17048","0.03974","0.01261","0.59397","1.35301","1.28414","0.07511","0.47313","0.94155","2.26135","0.00096","0.44998","0.06752","0.57378","5.80945","0.00038","0.00117","0.07019","0.13069","2.56908"
"SM 42:1;O2","SM 42:1;O2","0.51116","2.65321","1.18328","0.94262","0.30187","0.28449","0.17465","1.09874","0.24662","0.05323","0.62643","0.00608","0.78071","0.68592","1.68434","1.04105","5.8302","0.0071","0.72071","0.00001","0.01293","0.21715","0.02134","1.32034","0.17307","0.04692","3.81441","0.01104","0.03329","0.0035","0.03035","0.59375","0.91109","0.20638","0.49708","0.02904","0.04904","0.32639","0.42914","0.40956","0.00337","1.04296","0.09149"
"SM 42:2;O2","SM 42:2;O2","1.05351","1.44568","1.73309","0.26252","0.21152","1.0301","0.00286","0.91137","1.7338","0.00097","0.82416","2.7463","0.00334","0.7539","0.01839","1.08227","0.28069","0.13152","0.65217","0.03274","0.07106","0.54429","0.67533","0.27637","1.22227","0.43701","1.20062","0.28727","0.75003","2.23632","2.26592","0.07589","0.00275","0.0059","0.05025","5.95802","1.10374","0.38294","0.31026","0.50651","0.03094","0.24413","0.00857"
"SM 42:3;O2","SM 42:3;O2","1.17101","1.81654","1.3228","0.07269","0.35599","1.73413","0.06196","0.12902","0.10298","0.10484","0.30771","2.30816","0.37484","0.05273","0.59665","0.68107","1.37247","0.00758","0.03156","0.05834","0.1257","0.00076","1.21858","0.00804","0.17476","0.22574","0.6814","0.00085","0.09074","0.13578","3.45966","0.99984","1.09457","0.10139","0.18938","3.09721","0.02628","0.01994","0.05202","0.13623","0.01551","0.08004","5.31225"
"SM 42:4;O2","SM 42:4;O2","0.46674","2.01736","0.82866","0.04567","0.00779","1.04388","0.05861","0.03172","2.69585","0.36773","3.15804","2.21138","0.00432","0.06281","0.93506","3.59681","1.82924","1.79842","5.30589","0.01114","0.72092","0.56399","0.01256","0.13232","0.04044","0.34125","7.12546","6.38626","6.46686","0.09806","5.20804","0.02186","0.07061","1.43537","0.59445","0.3132","0.02719","0.44622","0.93325","0.17797","0.47525","2.01742","0.50337"
"TG 49:1","TG 49:1","0.30818","0.01818","0.53547","5.40173","0.00006","0.06429","0.97272","1.93151","0.09571","6.7551","0.05887","0.7051","1.35981","7.50261","0.25003","0.80167","1.93792","2.41672","1.40304","0.49881","6.42624","0.47673","1.15759","4.55594","0.022","0.60192","1.42868","2.54539","0.00093","0.10656","1.36575","1.26453","0.67543","0.27658","0.00547","9.06906","0.84391","0.01692","0.046","0.53167","0.36153","2.03075","1.36967"
"TG 49:2","TG 49:2","1.63778","0.74961","0.00001","0.15724","0.00145","4.37712","0.56749","0.14181","0.1773","0.36004","1.0271","0.00673","1.03901","0.14355","0.49277","1.97347","2.11145","0.94162","0.00918","1.36472","0.70264","0.08911","1.02782","0.49713","0.08246","2.38686","2.42605","0.09647","0.00618","3.55809","0.35833","4.77615","0.54748","0.04746","0.78686","0.00478","4.45935","1.65192","0.0185","2.15464","0.49856","0.13694","0.11593"
"TG 50:0","TG 50:0","1.34348","0.93437","0.63601","0.01771","0.03602","2.79196","1.11214","0.14002","0.22575","0.72589","0.9435","0.18164","0.05734","2.0013","0.66622","1.44139","0.46931","0.08204","0.61896","3.10288","1.15564","8.91077","0.28257","0.0652","0.68735","0.36581","0.04684","0.26237","0.7509","0.89096","0.00048","2.30062","0.00095","4.08426","2.11867","1.84543","6.62325","0.0579","0.04066","0.4871","1.97141","1.16782","0.27691"
"TG 51:1","TG 51:1","1.64275","1.53393","0.12232","0.9748","0.02398","0.77668","0.66491","0.01583","0.09555","0.92502","0.02006","0.06548","0.71773","0.17543","1.48591","0.20447","1.18524","0.39671","1.02945","0.25002","0.0572","0.36069","0.0959","0.21889","0.00332","0.35126","0.30891","1.04999","2.69307","0.05534","0.09649","0.25611","0.93076","0.18248","0.08823","0.27936","0.82648","2.33917","0.0513","1.93067","5.00463","1.88373","0.00166"
"TG 51:2","TG 51:2","1.75276","1.64732","0.00837","0.66721","0.01502","0.54084","1.18535","0.01109","0.00447","0.52716","0.03889","0.00076","0.03391","0.11954","1.04044","0.64249","1.0183","0.07231","0.16774","0.93952","0.19547","0.16299","0.27077","0.04204","0.47033","0.75451","0.43723","1.17161","0.1459","0.00571","0.03726","0.00116","0.33692","3.35542","0.00396","0.50092","0.32642","1.69425","0.10421","0.09262","0.65541","2.49931","0.00443"
"TG 52:1","TG 52:1","1.48894","1.76354","0.13861","0.03883","0.02112","0.10385","2.14399","0.11902","0.16832","0.09741","0.28558","0.20049","0.36542","1.22078","1.19301","0.10307","0.1273","1.01675","0.85797","0.02811","0.11326","0.00021","0.01595","0.10226","0.08966","1.68084","6.72791","0.26677","0.49039","0.28427","1.49469","0.0424","2.30854","8.4487","0.26947","4.90309","0.00475","0.50628","0.00136","0.03535","4.73893","0.04114","0.32097"
"TG 54:2","TG 54:2","1.9897","1.26998","0.00037","0.47929","0.00085","0.0004","0.63638","0.07533","0.41897","0.01953","0.40738","0.02727","0.04135","0.0572","2.51288","0.65344","0.04501","0.36782","1.08761","0.16441","0.8024","0.00248","0.34106","0.17249","0.52232","4.0243","1.30351","0.50765","1.87507","0.24461","1.51975","0.94566","0.55966","0.73731","0.25282","2.16162","0.02769","0.05368","0.31141","2.12081","0.20797","0.69799","0.06983"
"TG 54:3","TG 54:3","1.31196","1.93065","0.00423","0.07244","0.27223","0.00296","1.03325","1.87904","0.32212","0.08729","0.18702","0.61385","0.62407","0.67443","1.57471","0.91219","0.05253","0.02599","3.02496","1.31902","0.00109","0.12664","0.02622","0.0299","0.08456","0.20387","0.0001","7.72505","0.46399","0.16535","2.211","1.94577","0.04584","2.37897","0.01281","0.96524","5.01268","0.30246","3.35834","2.43756","2.42097","1.23103","0.01738"
"TG 54:4","TG 54:4","1.49663","0.12373","0.65444","0.00158","0.46847","1.75645","1.5814","0.79518","0.30204","0.01993","0.02308","5.16592","1.30647","0.27454","1.14701","2.03902","0.763","0.0582","1.15094","8.26234","3.45357","0.04528","1.07409","0.00164","0.67019","1.59565","0.05509","0.66634","0.04298","1.37948","0.01976","7.5444","0.65787","0.59272","0.02595","0.00024","1.85168","2.89463","4.72894","0.14934","1.09911","0.67665","0.03952"
"TG 56:5","TG 56:5","0.76512","0.08325","1.10997","1.52702","0.17154","0.43816","1.96701","5.52656","0.2574","0.08831","1.75824","3.4042","0.1028","4.92545","0.13783","0.1603","7.72579","1.86543","0.45553","2.36804","4.57878","0.06002","0.42978","0.07359","0.38399","0.71302","0.25306","0.55456","0.70145","1.2231","0.00922","0.32022","0.00407","3.31803","0.04764","0.00052","0.10114","1.33752","1.44363","2.24245","0.00025","0.17385","0.70323"
"TG 56:6","TG 56:6","1.20141","1.81998","0.42577","0.03869","0.1069","0.29562","1.79651","0.07441","0.05345","0.00059","0.27025","0.21392","0.51192","0.11175","0.00647","0.50588","2.57371","8.50615","0.01028","0.24567","0.74397","0.00712","1.44433","1.26208","2.58166","1.09026","0.4411","1.57505","0.8311","1.02961","0.25158","3.11535","3.85728","1.63157","1.05829","0.02596","1.27422","3.57521","2.5555","0.0708","0.04902","1.64551","0"
"TG 56:7","TG 56:7","1.09633","0.35419","0.6632","0.01211","0.01963","1.03435","4.74775","1.38929","0.16313","0.63205","2.37276","0.20575","0.88972","0.3357","3.58083","2.99351","0.21927","0.64439","0.76094","0.62993","0.01513","12.99346","0.53088","0.55909","5.45344","1.87338","0.75716","0.03215","0.25127","0.01231","0.29771","0.12207","0.55023","1.64903","0.1842","0.02225","0.14157","0.69668","3.49877","8.45834","2.8738","0.5825","0.68024"
"TG 56:8","TG 56:8","0.95863","0.882","0.26016","0.00186","0.02639","0.08991","6.3164","0.09249","0.89976","1.592","1.55552","0.00102","0.18522","0.32296","5.77223","0.12442","9.77264","0.02761","0.03356","2.54053","0.11262","0.2264","0.39334","1.63252","0.53553","0.5284","1.31201","0.02723","0.97793","0.14117","5.52085","0.67572","0.05012","0.61382","0.29123","0.98942","1.95747","1.46995","1.93915","0.51496","0.29461","0.00014","0.08959"
"TG 58:5","TG 58:5","1.83363","0.65466","0.61314","0.12408","0.24368","0.07434","2.95453","0.02264","0.30037","0.68143","0.0448","0.53983","0.31051","0.2778","0.87426","0.09755","0.07963","0.85035","0.21907","1.91107","2.86556","0.41717","2.48332","2.48553","0.00004","0.4827","0.39821","0.00356","0.17793","0.33583","4.70468","0.04531","0.05713","1.35513","2.53881","3.71932","1.29685","0.00493","0.02581","0.11111","0.4473","0.06445","1.41852"
"TG 58:7","TG 58:7","1.22922","1.07655","0.77246","0.06743","0.1111","0.03865","4.85504","0.03195","0.0007","2.92456","0.0881","0.50194","0.00002","0.27722","2.6024","0.58797","0.00413","0.46508","1.03146","0.91966","2.01022","0.29536","0.26675","0.0152","1.37271","0.86776","2.75087","1.23602","0.41557","0.50912","0.32993","0.83841","1.22268","0.83194","3.91059","0.27134","0.62175","7.16659","0.09213","0.02453","0.03297","0.48362","0.36556"
"TG 58:8","TG 58:8","1.0562","1.67392","0.3698","0.00305","0.07266","0.82442","4.29255","0.50207","0.00393","3.20038","0.00462","0.67723","0.12045","0.1048","1.40193","1.44368","0.28794","0.39817","0.77901","0.06971","0.55912","0.00165","0.34339","0.63235","0.71848","0.38125","0.00509","1.4711","0.51224","0.22269","1.03494","3.34387","0.27929","0.64432","0.31218","0.12088","2.51914","0.541","0.06612","0.74391","0.00099","0.41555","0.109"
"FA 14:0","FA 14:0","0.91925","0.14389","0.86123","1.53452","6.80604","0.20451","1.66319","0.09994","0.18623","0.06502","0.33555","0.0076","0.23643","0.5507","0.1971","2.03794","0.01387","0.7974","0.19633","0.23879","0.40453","0.00633","1.08661","0.23642","0.10334","5.84101","0.07302","0.0117","0.87643","0.97715","0.37058","0.0378","0.25557","1.41127","0.07106","1.71012","0.06271","2.73137","1.29519","0.6424","0.01289","0.19256","0.37122"
"FA 16:0","FA 16:0","1.04863","0.24594","1.87537","1.59691","4.73586","1.03064","0.89958","0.79946","0.05644","0.19563","0.30792","0.00786","0.11181","0.03805","0.21406","0.00874","0.04825","0.01032","0.08761","0.10353","0.69065","0.1045","0.04748","0.01102","0.30221","0.0173","2.15598","0.46127","0.87086","0.25236","0.00683","0.19469","0.2564","0.21804","0.10243","0.82946","0.33153","0.02577","0.16237","0.40705","0.00228","0.02312","2.59493"
"FA 16:1","FA 16:1","0.87043","0.55024","1.68141","0.54797","5.63138","0.37962","0.81213","0.39284","0.14535","0.12638","0.65836","2.71642","0.15294","0.21876","0.66553","0.02505","0.12842","0.15502","1.60409","0.68593","0.01352","0.02455","0.26341","0.06182","0.85564","0.16351","0.05965","0.2673","0.52636","0.00002","0.25538","0.08191","0.02482","0.14161","0.03342","2.27519","0.08145","0.1972","0.0019","1.10785","0.00089","0.27246","0.08417"
"FA 18:0","FA 18:0","0.72671","0.01659","2.46428","1.43332","2.65852","2.14843","2.07545","0.10951","0.67832","0.01049","0.36396","0.00986","2.10135","0.42372","0.0052","0.61909","0.18551","0.38653","0.02105","0.00719","0.64866","0.49337","0.43914","0.27679","1.67828","5.6533","2.80142","5.38746","1.00429","0.06533","1.35629","1.49743","0.12844","1.43761","0.10128","7.95087","0.24347","0.23211","0.41778","1.03426","7.54445","2.07929","0.5204"
"FA 18:1","FA 18:1","1.08461","0.53783","1.98621","1.16821","3.76542","0.52434","0.86955","1.54719","0.06375","0.0256","0.83454","0.17136","0.00037","0.09016","0.29096","0.00291","0.01879","0.05296","0.28425","0.27016","0.65211","0.00083","0.01742","0.00014","0.0303","0.00547","0.01186","0.3768","0.2638","0.87515","0.57005","1.15154","0.02854","0.16982","0.00821","0.00542","0.01793","0.15982","0.22501","0.32501","3.09374","0.00317","0.01826"
"FA 18:2","FA 18:2","1.01876","0.40576","1.98793","1.41088","3.81464","0.58065","0.86682","2.43986","0.03576","0","0.59142","0.00701","0.44863","0.02775","0.13432","0.02539","0.00015","0.11069","0.8387","0.60135","0.7286","0.02036","0.19538","0.00047","0.09974","0.39008","0.26935","0.16169","0.67434","0.14657","0.00014","0.45713","0.60461","0.44114","0.01816","0.02016","0.01833","0.00236","0.00791","0.00567","0.25638","0.04861","0.86859"
"FA 18:3","FA 18:3","0.8861","0.48095","0.44518","1.72042","5.41275","1.59412","0.36411","0.24282","0.37615","0.28464","0.09069","0.71853","1.07158","0.78101","0.17239","0.60667","1.16011","0.01587","0","1.24479","0.11624","0.03555","1.39747","3.3225","2.73862","0.04214","2.64565","0.86498","0.00603","0.20722","0.11696","0.19047","2.20394","0.45089","0.06537","0.34808","0.9497","2.70246","0.1171","0.1461","0.01065","1.25377","0.02747"
"FA 20:3","FA 20:3","1.00208","0.7969","1.18042","0.53992","1.68508","0.55487","2.15972","0.19396","1.30369","0.65713","0.16485","1.57563","0.00207","1.26206","0.00004","0.7233","0.028","0.11587","2.76998","0.0097","0.60673","3.92705","0.00061","3.40165","3.92253","0.6214","0.08734","1.19349","2.37411","0.44469","0.07382","0.00017","4.15461","7.78592","0.65644","0.0236","1.67068","1.09797","2.81943","2.90599","0.11375","1.75041","0.63634"
"PI 38:4","PI 38:4","0.68007","0.63245","0.64299","1.16807","0.943","0.20105","0.01729","2.76369","1.01032","0.10769","0.21065","0.00062","2.04976","1.43527","15.68754","0.10337","0.19263","0.34744","0.49291","3.43695","5.20704","2.9116","1.53913","0.96299","0.00916","5.01233","1.74894","1.15322","6.95599","0.25061","0.04478","3.19243","0.05865","2.45959","4.49856","1.61096","3.72321","0.03097","0.01549","0.00236","0.12273","2.67793","0.75562"
