"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"KT-417D0","KT-417D0","3","-3.6897","-2.20432","-1.77555","-1.57062","1.3742","2.8119","-0.82506","0.75442","0.46606","0.90567","-0.11275","0.45339","-0.58737","-1.59946","0.77315","0.13984","-1.02524","1.52779","0.57015","0.40116","1.43559","-0.18247","0.36028","1.06852","-0.58732","0.88662","-0.43003","-0.6156","0.45625","0.11458","-0.41984","-0.21546","-0.40962","0.61042","-0.30259","-0.1657","0.21935","0.28552","0.2126","-0.19707","0.91617","0.02449","0"
"KT-434D0","KT-434D0","1","11.70976","-9.39236","-2.34698","-3.03815","-1.08615","-2.70074","-0.75221","-2.83506","-0.27813","-0.73611","-2.83419","2.50835","-1.09518","0.92224","1.35331","-1.83003","0.11416","-0.98768","1.8411","-0.10666","0.03205","0.11942","-0.75053","-0.21892","-0.33341","0.13893","0.04469","0.0028","0.50552","-0.14434","-0.06465","-0.16578","-0.08401","-0.12863","-0.18346","0.05845","-0.10191","0.20746","-0.00126","0.00559","0.00353","-0.03405","0"
"KT-522D0","KT-522D0","1","2.77742","-6.338","6.06746","-0.49508","2.25393","0.30274","4.31312","1.80685","-4.19554","-3.40429","1.924","2.00214","0.61855","0.32388","0.06887","0.42403","-0.3211","-0.22334","-0.08384","0.10844","1.58749","0.42252","-0.03159","0.42388","0.48545","-0.22379","-0.11749","0.45773","-0.25168","0.06823","-0.15358","0.1832","-0.26695","-0.19179","0.23391","0.16024","0.20303","-0.14099","-0.00055","-0.0061","0.00671","-0.09843","0"
"KT-525D0","KT-525D0","1","0.23778","-5.36827","3.65573","0.78854","0.53971","-0.91914","-1.02922","-0.87692","3.34392","-1.04165","-1.78936","1.28979","3.02495","-2.2914","-3.55406","-0.79437","-0.06601","0.20682","-0.23283","0.76571","0.69408","0.09433","0.18986","-0.81765","0.00534","0.09668","-0.2249","0.01735","-0.41452","-0.17","0.42268","0.37002","0.50908","0.20105","0.06894","-0.01209","0.00669","-0.01315","0.04036","-0.12483","0.10104","0.13002","0"
"KT-565D0","KT-565D0","3","-6.58804","-3.64393","1.49858","-0.64906","3.5712","-3.4623","-0.08909","-0.71708","-1.80358","0.80256","-0.45738","-1.32355","1.67948","-0.38569","0.91742","-1.76045","2.52222","0.85301","-0.58287","-1.09659","-0.4856","-0.16773","1.18475","0.26369","-0.74288","0.6176","0.9201","-0.49227","0.10216","0.33571","-0.20672","-0.09406","-0.00644","0.26193","0.55124","0.17241","0.02824","-0.47196","-0.01838","0.02763","0.05522","-0.12462","0"
"KT-612D0","KT-612D0","2","3.27577","4.31757","1.35118","-0.78513","-3.40031","-0.25794","-2.57247","-1.98073","0.55811","-2.58017","0.34282","1.94304","0.10629","-1.38799","0.16167","1.68398","-0.08281","0.44073","-0.13386","-0.78273","-0.2919","0.06272","1.67729","0.40497","0.40333","-0.96509","0.17144","-0.74002","-0.07245","-0.3654","-0.4478","-1.26433","-0.10163","0.14676","-0.06714","0.11114","0.16972","-0.21373","-0.26148","0.30778","-0.11773","-0.08014","0"
"KT-705D0","KT-705D0","3","-4.77091","-0.55095","2.00262","-0.54066","-0.86947","1.0458","0.24957","1.95786","2.30723","-0.64566","0.29689","-0.39561","-0.60845","2.21568","-0.33708","-0.89425","-0.32663","-0.47585","-0.32201","0.81422","0.78133","0.25979","0.41182","0.46031","-0.48411","0.55497","0.78321","-0.3321","0.55248","-0.40556","-0.27868","-0.30004","0.325","0.74644","-0.67668","0.64858","-0.13992","0.06338","0.489","-0.1222","-0.76707","-0.35059","0"
"KT-718D0","KT-718D0","1","-1.24892","-5.93251","4.52599","2.96998","-2.90916","-1.90128","-1.69611","-1.15112","1.03802","3.63005","1.57013","1.07761","0.96837","1.96792","0.64235","0.17837","-0.21982","-0.46223","-1.17781","1.17812","0.10915","0.51249","0.37929","0.91537","0.37635","0.41468","-0.3047","0.17174","-0.42852","0.64867","0.16649","-0.48475","-0.60033","-0.38696","0.30266","-0.03146","-0.04764","0.50348","0.05054","0.23057","-0.00668","0.24804","0"
"JV-071D0","JV-071D0","3","-8.3646","-2.36566","-7.95204","-0.65394","-3.18721","0.6372","0.41793","0.89874","-0.70566","1.09545","1.08198","2.16274","1.39287","0.10616","-0.05096","-0.33776","-1.11707","-0.20133","-0.16404","0.53723","-0.21584","0.59028","0.5996","-1.3898","0.36954","-0.29729","0.11685","-0.88087","0.29865","0.26656","-0.01908","0.53748","-0.76404","-0.3719","0.0624","-0.01022","-0.30212","-0.6977","-0.09436","-0.33663","-0.06676","-0.25439","0"
"BS-082D0","BS-082D0","1","5.56707","-2.12863","0.17536","-0.33887","1.51615","1.45652","0.30129","1.12879","2.65343","1.92286","0.60836","-1.03051","0.00616","-0.9469","0.075","-0.11231","0.615","0.7214","-0.3501","-1.01142","1.26181","0.35578","-1.12039","0.22716","-0.25523","-1.31468","-0.37746","-0.57634","1.07033","-0.07216","-0.44932","0.12075","-0.02114","-0.96689","0.18751","0.80043","-0.03015","-0.21468","-0.21884","0.31994","-0.18546","0.23447","0"
"BS-336D0","BS-336D0","2","-0.40098","3.27127","-2.41005","3.15368","3.37156","-0.78604","2.16868","-0.54951","1.16629","0.35342","-1.64473","0.26732","0.33841","0.91585","0.28867","0.09532","-0.70749","-0.07032","-1.31934","0.9088","-0.21133","0.09391","-0.59036","-0.39669","-0.61862","-0.86772","0.76438","0.56887","-0.23462","-0.53041","-0.42414","-0.46242","-0.2287","0.10521","0.30277","0.27901","0.42782","0.47837","-0.78951","-0.28407","0.32453","-0.51478","0"
"BS-346D0","BS-346D0","2","-1.47024","8.31212","-2.19498","1.00464","0.17677","-1.73467","1.90224","-1.34524","0.25145","-0.36203","-1.2322","0.44452","0.26158","-0.45363","1.32053","1.19448","-0.3531","0.36108","-0.28509","0.54945","1.35748","-0.26248","0.45373","0.13661","-0.26655","1.30256","0.30541","0.68365","0.50876","-0.761","0.9744","-0.35294","0.40656","-1.07222","0.25667","0.05504","-0.42667","-0.33591","0.33666","-0.10403","-0.01249","0.15005","0"
"BS-351D0","BS-351D0","3","-3.45541","0.16006","0.54064","-5.31178","2.67963","3.67229","-1.81917","-0.7827","-0.25128","0.9975","-0.86301","1.3934","-0.15876","-0.13582","0.23049","0.77755","0.5253","-0.31863","-0.41393","0.34933","-0.85353","-0.83907","0.01547","0.17722","1.80288","-0.57434","0.73596","0.83379","0.89096","0.29374","0.51257","0.13724","0.0767","0.32923","0.58537","0.36142","0.328","0.18683","0.25285","-0.37341","-0.12042","0.1845","0"
