PC	LPC	FA	SM	Cer	PC O-	TG	DG	PI	PE	CE	CAR	LPC O-
-0.6909943714821765	0.5397748592870546	0.48292682926829283	-0.5063789868667918	0.17973733583489687	-0.5739212007504692	1	-0.17429643527204508	-0.25140712945591	-0.6354596622889307	-0.14652908067542217	0.1557223264540338	-0.061350844277673566
0.5589118198874298	-0.49924953095684815	-0.36397748592870555	1	0.23939962476547846	0.730393996247655	-0.5063789868667918	0.16078799249530962	0.1440900562851783	0.5840525328330208	0.42945590994371496	0.018011257035647286	0.2163227016885554
0.5350844277673548	-0.5407129455909945	-0.3823639774859288	0.1440900562851783	0.10150093808630398	0.42495309568480316	-0.25140712945591	0.1986866791744841	1	0.37992495309568486	0.1384615384615385	0.1210131332082552	-0.1236397748592871
0.779924953095685	-0.7515947467166981	-0.376547842401501	0.5840525328330208	0.03170731707317074	0.757223264540338	-0.6354596622889307	0.48592870544090067	0.37992495309568486	1	0.49080675422138853	-0.02701688555347093	-0.04221388367729832
0.80562851782364	-0.7681050656660415	-0.45440900562851794	0.730393996247655	0.14315196998123833	1	-0.5739212007504692	0.37542213883677306	0.42495309568480316	0.757223264540338	0.44990619136960613	0.02138836772983115	0.13733583489681056
1	-0.8684803001876175	-0.5724202626641652	0.5589118198874298	0.051782363977485944	0.80562851782364	-0.6909943714821765	0.4369606003752346	0.5350844277673548	0.779924953095685	0.2574108818011258	-0.18480300187617266	-0.13827392120075052
-0.13827392120075052	0.22101313320825522	-0.176172607879925	0.2163227016885554	-0.28255159474671676	0.13733583489681056	-0.061350844277673566	0.030018761726078806	-0.1236397748592871	-0.04221388367729832	0.09418386491557226	0.28292682926829277	1
-0.8684803001876175	1	0.2574108818011258	-0.49924953095684815	-0.1309568480300188	-0.7681050656660415	0.5397748592870546	-0.5463414634146343	-0.5407129455909945	-0.7515947467166981	-0.3906191369606005	0.06679174484052534	0.22101313320825522
-0.5724202626641652	0.2574108818011258	1	-0.36397748592870555	0.18048780487804883	-0.45440900562851794	0.48292682926829283	0.06510318949343341	-0.3823639774859288	-0.376547842401501	0.033958724202626654	0.22345215759849912	-0.176172607879925
0.4369606003752346	-0.5463414634146343	0.06510318949343341	0.16078799249530962	-0.0727954971857411	0.37542213883677306	-0.17429643527204508	1	0.1986866791744841	0.48592870544090067	0.2712945590994372	0.015759849906191375	0.030018761726078806
0.051782363977485944	-0.1309568480300188	0.18048780487804883	0.23939962476547846	1	0.14315196998123833	0.17973733583489687	-0.0727954971857411	0.10150093808630398	0.03170731707317074	0.06697936210131333	0.012757973733583493	-0.28255159474671676
0.2574108818011258	-0.3906191369606005	0.033958724202626654	0.42945590994371496	0.06697936210131333	0.44990619136960613	-0.14652908067542217	0.2712945590994372	0.1384615384615385	0.49080675422138853	1	0.09061913696060041	0.09418386491557226
-0.18480300187617266	0.06679174484052534	0.22345215759849912	0.018011257035647286	0.012757973733583493	0.02138836772983115	0.1557223264540338	0.015759849906191375	0.1210131332082552	-0.02701688555347093	0.09061913696060041	1	0.28292682926829277
