,Chi2,p-value
DG,0.22053571428571378,0.6386320338113531
CAR,0.22053571428571378,0.6386320338113531
CE,1.2370770676691718,0.2660351186466848
Cer,0.0,1.0
Chol,0.029934210526315973,0.862639591019358
HexCer,2.126550751879701,0.14476619644361308
LPC,1.2370770676691718,0.2660351186466848
PC,0.0,1.0
PE,0.029934210526315973,0.862639591019358
SM,0.029934210526315973,0.862639591019358
TG,3.0795582706766904,0.07928205591587303
FA,0.22053571428571378,0.6386320338113531
PI,1.2370770676691718,0.2660351186466848
Sex vs Severity,2.901785714285715,0.0884814827675487
