,Chi2,p-value
DG,0.029934210526315973,0.862639591019358
CAR,2.126550751879701,0.14476619644361308
CE,0.0,1.0
Cer,1.2370770676691718,0.2660351186466848
Chol,0.6652725563909783,0.41470468054923515
HexCer,0.0,1.0
LPC,0.22053571428571378,0.6386320338113531
PC,1.2370770676691718,0.2660351186466848
PE,0.029934210526315973,0.862639591019358
SM,0.029934210526315973,0.862639591019358
TG,0.029934210526315973,0.862639591019358
FA,0.6652725563909783,0.41470468054923515
PI,0.22053571428571378,0.6386320338113531
