,Chi2,p-value,p-value (BH corrected)
SM 40:2;O2,0.9090909090909092,0.34035574238519883,0.7599724110792796
SM 40:3;O2,0.10101010101010101,0.7506208241656307,1.0
SM 41:1;O2,2.525252525252525,0.11203684368556334,0.5072779311318563
SM 41:2;O2,2.525252525252525,0.11203684368556334,0.5072779311318563
SM 42:1;O2,0.10101010101010101,0.7506208241656307,1.0
SM 42:2;O2,0.10101010101010101,0.7506208241656307,1.0
SM 42:3;O2,0.9090909090909092,0.34035574238519883,0.7599724110792796
SM 42:4;O2,0.9090909090909092,0.34035574238519883,0.7599724110792796
SM 43:1;O2,0.031689443454149355,0.8587109678890685,1.0
SM 43:2;O2,0.7638888888888888,0.3821142382500028,0.8088911796720838
TG 46:1,0.0,1.0,1.0
TG 46:2,0.010360010360010372,0.9189280178118044,1.0
TG 48:0,0.0,1.0,1.0
TG 48:1,0.010360010360010372,0.9189280178118044,1.0
TG 48:2,0.5070310952663893,0.476426904301568,0.98300741014121
TG 48:3,0.010360010360010372,0.9189280178118044,1.0
TG 49:1,0.0,1.0,1.0
TG 49:2,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 50:0,2.525252525252525,0.11203684368556334,0.5072779311318563
TG 50:1,0.010360010360010372,0.9189280178118044,1.0
TG 50:2,0.0,1.0,1.0
TG 50:3,0.0,1.0,1.0
TG 50:4,1.0519610519610523,0.3050558709469472,0.7599724110792796
TG 51:1,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 51:2,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 52:1,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 52:2,0.0,1.0,1.0
TG 52:3,0.0,1.0,1.0
TG 52:4,4.848484848484849,0.027670427963096957,0.24438786338283702
TG 52:5,0.037878787878787984,0.8456867367859527,1.0
TG 54:2,8.181818181818182,0.00423123289975815,0.1724227406651446
TG 54:3,0.9090909090909092,0.34035574238519883,0.7599724110792796
TG 54:4,0.29863855950812446,0.5847371830973564,1.0
TG 54:5,0.05772005772005772,0.8101364618244392,1.0
TG 54:6,4.583333333333334,0.032284353910766866,0.24438786338283702
TG 56:5,0.9090909090909092,0.34035574238519883,0.7599724110792796
TG 56:6,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 56:7,0.9090909090909092,0.34035574238519883,0.7599724110792796
TG 56:8,2.525252525252525,0.11203684368556334,0.5072779311318563
TG 58:11,2.1489621489621484,0.14266630009627548,0.6071605069640936
TG 58:5,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 58:7,4.94949494949495,0.026098291541307057,0.24438786338283702
TG 58:8,8.181818181818182,0.00423123289975815,0.1724227406651446
TG 58:9,4.583333333333334,0.032284353910766866,0.24438786338283702
FA 14:0,0.0,1.0,1.0
FA 16:0,0.10101010101010101,0.7506208241656307,1.0
FA 16:1,0.0,1.0,1.0
FA 18:0,0.0,1.0,1.0
FA 18:1,0.9090909090909092,0.34035574238519883,0.7599724110792796
FA 18:2,0.0,1.0,1.0
FA 18:3,0.9090909090909092,0.34035574238519883,0.7599724110792796
FA 20:3,4.94949494949495,0.026098291541307057,0.24438786338283702
FA 20:4,1.217913906085949,0.26977043761349745,0.7599724110792796
FA 22:6,2.1212121212121207,0.14527153234110216,0.6071605069640936
PI 34:1,0.0,1.0,1.0
PI 34:2,0.0,1.0,1.0
PI 36:2,0.10101010101010101,0.7506208241656307,1.0
PI 36:4,0.010360010360010372,0.9189280178118044,1.0
PI 38:3,0.9090909090909092,0.34035574238519883,0.7599724110792796
