,Chi2,p-value,p-value (BH corrected)
FA 18:0,0.6191510695187157,0.4313629288311962,0.969089319565975
FA 18:1,2.05324901491697,0.15188176923500454,0.655489740908967
FA 18:2,4.322120391218686,0.03762001663484006,0.5644637924928577
FA 18:3,2.05324901491697,0.15188176923500454,0.655489740908967
FA 20:3,9.087710084033613,0.002573328718204321,0.14067530326183622
FA 20:4,4.2457237156226135,0.039349295120408266,0.5644637924928577
FA 22:6,2.520777629233512,0.11235516632953563,0.655489740908967
PI 34:1,0.0,1.0,1.0
PI 34:2,0.0,1.0,1.0
PI 36:2,0.6191510695187157,0.4313629288311962,0.969089319565975
PI 36:4,0.017150999155643137,0.8958055078502888,1.0
PI 38:3,0.6481999618029031,0.4207569762149258,0.969089319565975
PI 38:4,0.0,1.0,1.0
