PC	LPC	FA	SM	PE	CAR	CE	LPC O-	Cer	PC O-	TG	DG	PI
-0.2870544090056286	0.0958724202626642	0.6885553470919327	-0.4264540337711071	-0.4367729831144467	0.09474671669793623	-0.1060037523452158	-0.28836772983114456	-0.04803001876172609	-0.4343339587242027	1	0.13039399624765483	0.008442776735459664
0.09230769230769233	-0.014258911819887433	-0.33095684803001885	1	0.29080675422138846	0.29793621013133215	0.326641651031895	0.2532833020637899	0.4129455909943716	0.34409005628517836	-0.4264540337711071	-0.2247654784240151	-0.0958724202626642
0.6879924953095686	-0.7123827392120078	-0.2651031894934335	-0.0958724202626642	0.5198874296435274	-0.4718574108818013	-0.0606003752345216	-0.6686679174484055	-0.07523452157598502	0.5318949343339588	0.008442776735459664	0.6315196998123829	1
0.7242026266416512	-0.6956848030018764	-0.5465290806754223	0.29080675422138846	1	-0.2363977485928706	0.22101313320825522	-0.19193245778611637	0.11726078799249534	0.8225140712945593	-0.4367729831144467	0.5476547842401502	0.5198874296435274
0.8285178236397751	-0.7714821763602253	-0.5470919324577863	0.34409005628517836	0.8225140712945593	-0.3849906191369607	0.16416510318949346	-0.3168855534709194	-0.010506566604127583	1	-0.4343339587242027	0.554971857410882	0.5318949343339588
1	-0.8613508442776737	-0.5902439024390246	0.09230769230769233	0.7242026266416512	-0.5919324577861165	-0.10262664165103193	-0.5499061913696062	-0.1212007504690432	0.8285178236397751	-0.2870544090056286	0.6894934333958725	0.6879924953095686
-0.5499061913696062	0.6909943714821765	-0.11050656660412761	0.2532833020637899	-0.19193245778611637	0.4559099437148219	0.2606003752345216	1	0.09943714821763605	-0.3168855534709194	-0.28836772983114456	-0.5986866791744841	-0.6686679174484055
-0.8613508442776737	1	0.2729831144465292	-0.014258911819887433	-0.6956848030018764	0.5328330206378988	-0.020450281425891188	0.6909943714821765	0.08761726078799252	-0.7714821763602253	0.0958724202626642	-0.7388367729831147	-0.7123827392120078
-0.5902439024390246	0.2729831144465292	1	-0.33095684803001885	-0.5465290806754223	0.3050656660412759	-0.044090056285178245	-0.11050656660412761	0.05909943714821765	-0.5470919324577863	0.6885553470919327	-0.05422138836772985	-0.2651031894934335
0.6894934333958725	-0.7388367729831147	-0.05422138836772985	-0.2247654784240151	0.5476547842401502	-0.49061913696060055	-0.002439024390243903	-0.5986866791744841	-0.2833020637898687	0.554971857410882	0.13039399624765483	1	0.6315196998123829
-0.1212007504690432	0.08761726078799252	0.05909943714821765	0.4129455909943716	0.11726078799249534	0.33095684803001885	0.10731707317073173	0.09943714821763605	1	-0.010506566604127583	-0.04803001876172609	-0.2833020637898687	-0.07523452157598502
-0.10262664165103193	-0.020450281425891188	-0.044090056285178245	0.326641651031895	0.22101313320825522	0.2212007504690432	1	0.2606003752345216	0.10731707317073173	0.16416510318949346	-0.1060037523452158	-0.002439024390243903	-0.0606003752345216
-0.5919324577861165	0.5328330206378988	0.3050656660412759	0.29793621013133215	-0.2363977485928706	1	0.2212007504690432	0.4559099437148219	0.33095684803001885	-0.3849906191369607	0.09474671669793623	-0.49061913696060055	-0.4718574108818013
