feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
CAR 16:0	0.7323794157690712	0.20418725991271391	1.7325252780743978	0.650056495983423	0.5023504716135592	0.017567686679620356	2.1009861705327113	9.658489305664605e-4	3.123622717702296	3.2602848110212754	3.4259565089926562	0.5137537169675518	0.10826315444734244	3.2416469021368983	4.084744232171768	1.8341180399376569	0.36935073991506456	0.11088764224291822	0.9090570951793806	0.11266831518329086	1.4665299592855188	0.856642446693029	5.087608380908786	3.284679717761895	0.0058488506298692115	0.16834568880225323	5.089257387023114	0.020941514723290464	3.2690583447484167	0.11300050263681825	1.1954601670247806
CAR 18:1	1.0217945740510657	0.0884236630954429	2.306377861204952	0.8689741665557736	0.451434638788903	0.028242828215281696	1.1758562467750457	0.3441740729607682	1.8010744225720718	1.3585833029463619	1.5149772686396072	0.4990072541166343	1.9214584791210487	0.827519739079705	0.9529582463104515	0.4577572371599498	0.10539676754397673	0.04125594372617361	0.42415740789977074	0.5456533083280265	1.8012467899455409	4.6661932245936994e-5	0.25542491623687796	0.2398681004771352	0.7303733591645366	0.17676544662989158	3.561940747790673	3.939994202313519	3.5644530642145043	3.350618507353268	2.9925878888197865
CAR 18:2	1.056260357841619	0.3013479795615925	1.3285401430269892	0.7852552379308845	0.3493471669710701	8.93849506988202e-4	1.2938583894603755	0.19102348530116006	2.91153071083394	1.2077751787911815	3.728560141999303	0.010665321063311842	0.18481684748227742	2.901478761212178	0.0015829254678948709	0.03374314013323001	0.005315561464499477	0.19674782751485134	0.8102471975758546	0.3230858363175995	0.03134096314507384	1.0987084358750312	0.21190300065308937	0.512988886724876	0.18006188448508664	3.2159338194813545	3.657978506651551	1.132100040478285	0.5886173295406791	0.32676188345078927	0.8579567836940709
CE 16:1	0.1239768507717606	0.014123250345721164	0.1017764190911237	2.3608704495727166	0.018584114091060224	3.8363130160697283	11.665360440999374	2.523859709419017	3.1721774616454366	0.7202153895384076	0.1471487402050159	1.8442162317158486	2.152388474955709	0.32451877400191254	0.9913574310142906	0.9774420898433499	2.598803344476859	0.8361434464671809	1.0107575683507035	2.6780096057057974	0.005134798708022466	0.22341600260180836	0.01089329539148534	1.7459920201093277	0.5821578029414768	0.009643678997123557	1.703234045399966	0.1263001404886241	1.5031697559280988	0.23065134500351633	0.012699201718983217
CE 18:1	0.05632315456684526	0.16025407779340606	0.19117051395988915	2.1943925531782678	1.0553422948439797	4.450388807470931	3.2466060113173145	0.8371233682855631	6.453032606931687	1.1687401483310353	7.015678495761443	0.6826699317884809	0.16407906914102993	8.784514013459923	0.2491135410059927	4.578297591859321	0.16106201521813607	1.676856450388161	1.1577773627963281	0.8971250229736009	5.0238390789379554	3.1052390465773265	1.445967292126093	0.06536703095436253	0.14977902452544983	0.28394601610531944	6.380942667325106	0.8017264477938756	0.12516803632058504	0.5326953304947211	0.23555652525414714
CE 18:2	0.17562969624488375	0.08465767355027429	1.0499347378062849	0.6219200639200153	1.386281027116839	0.0011368784105916807	6.1964253405955585	0.08845875976006708	2.8721468353659767	9.542809006428184	0.31635313559119593	3.62660640392669	10.219423739357687	0.3938033897442917	1.9460883068324322	0.00283769842918476	1.4708092224689626	4.864296001160851	1.5961971672941198	2.540398349088662	1.7636560431651787	0.5651513308837769	1.0097998970063682	0.10444781599875076	0.8725048226128067	0.36420223500614207	0.5062952653483921	0.3592991050971779	1.625611984593469	0.025348220785774905	1.6692248473114628
Cer 34:1;O2	0.04899422171491635	0.23779864145820484	0.34273223317133295	0.27697932437791983	13.48730551238955	1.1393612032015918	0.558032605247134	2.4407726194441866	0.18151641731743004	0.44450256581324815	1.4432148627302281	3.773510320044018	0.12606102958530005	3.7286918410493683	2.4687729900105535	0.4685962452852047	1.2404892383584376	0.02145106037359639	0.9530728331031728	4.612276805620971	1.0743165371885919	2.670491209532531	5.778115572295241	0.030555405585242584	1.2700157565508616	0.05534957753804039	0.04176212593041956	0.51240182711282245	0.30035166104503025	0.19935756329737012	0.002468926753019462
Cer 40:1;O2	0.009325955513853965	1.296164087681547	0.2360437394119822	0.029090282596916407	1.8376073992151674	7.548402699590607	0.011904161523484414	6.922382569699874	4.04423410702837	1.2410609663267222	0.0490715170450974	1.634768879390945e-5	1.151793376895895	2.9232057103490354	7.560096702140943	0.41705929872383035	1.3536947627802138	0.08487822828784834	0.36574165169615325	0.06698522585785492	0.3750788348478304	0.4278443824326557	0.11126779061536317	0.19214633681814322	5.544215789350971	0.020484247661703217	1.8997261201400584	0.5965032706522846	0.0019170544317627083	0.015376344752514131	0.45150016498340423
Cer 41:1;O2	0.45086453793703507	0.021916436126731036	0.31509357394149495	0.0013478412197307768	0.35028954030241394	11.2485535024736	0.037860222282971014	2.0970138294513725	1.4385236278458433	0.013704355047152568	0.3260118798616226	0.0019028695973054943	0.05946440729982227	5.127587911620018	1.5192655561571897	0.36101239925131673	10.459079384564296	0.35194217484310275	5.164316939782354	3.987539960956156	1.5393008552576561	4.813430147504634e-4	0.32636974244427325	1.1362598654249123	3.044683348770059	0.4041060349593456	0.04164208232432478	0.39416397700705	3.8060965824394883	1.1393625155891927	0.4555548793386772
Cer 42:1;O2	0.40258810448553406	0.036267975675337835	0.43799167533009264	0.5882456509628097	4.205436610807428	1.4822340269801562	1.706517004310515	0.0665472679359073	1.3296786112005734	1.8578730111800708	7.2417106633214905	8.881691647510596	5.695022182886736	0.2678125291397358	0.6526687096145208	1.7826189482457127	0.1077745688410421	1.8672562923530012	0.003269372405280361	1.6141770870146446	1.300632775437785	1.5017497458381278e-4	1.1320449506854608	0.03454148643665449	1.9726744913746188	0.005963386698140723	5.993363842408208	1.0012357454673189	0.057293828199092574	0.1540654991638272	0.04801508253641987
