feature	BS-082D10	BS-364D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-663D10	KT-695D10	KT-705D10	KT-723D10
SM 36:1;O2	6.42	15.41	22.64	22.08	18.30	6.91	12.14	11.33	15.29	13.46	16.53	15.49	12.21	11.92	21.82	12.72	15.24	12.39	18.43	15.17
SM 36:2;O2	2.46	5.00	7.94	7.37	4.81	1.88	4.01	4.24	4.47	4.06	5.77	6.07	4.74	4.54	6.76	4.83	5.10	4.90	7.47	5.53
SM 37:1;O2	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00
SM 38:1;O2	2.83	7.14	11.52	9.70	11.69	2.81	6.11	6.94	7.99	7.87	6.53	7.11	5.76	6.27	11.08	6.25	7.72	5.32	8.28	7.95
SM 38:2;O2	1.09	2.86	3.77	3.49	2.21	0.91	2.41	2.63	2.49	2.45	2.97	2.83	2.50	2.67	3.86	2.48	2.48	2.13	3.66	2.93
SM 39:1;O2	0.00	0.80	1.63	1.33	2.15	0.00	1.01	1.16	1.06	1.24	0.00	0.87	0.71	0.80	1.37	0.87	1.21	0.74	1.70	1.30
SM 40:0;O2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SM 40:1;O2	7.83	18.62	26.11	18.88	29.93	6.76	15.76	16.01	20.79	18.42	11.53	16.80	10.12	13.31	26.44	16.62	19.36	13.15	15.32	17.56
SM 40:2;O2	4.76	9.67	12.60	12.52	11.00	4.80	7.77	9.95	11.82	10.68	8.75	10.51	7.64	8.80	13.82	9.95	10.30	8.79	12.71	10.55
SM 40:3;O2	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.63	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.69
SM 41:1;O2	2.47	6.19	8.53	5.53	11.22	2.97	5.49	6.05	7.37	5.73	3.15	4.63	2.72	3.89	7.90	4.04	6.17	3.74	5.83	6.51
SM 41:2;O2	1.70	3.32	4.57	4.01	4.35	2.13	4.03	3.81	4.40	4.07	2.97	3.13	2.33	3.02	4.71	2.93	3.94	2.97	5.24	4.18
SM 42:1;O2	4.61	16.46	18.21	11.41	25.46	6.75	12.10	12.16	8.82	13.90	7.96	14.54	6.99	8.53	18.92	11.38	11.88	9.50	11.04	15.19
SM 42:2;O2	20.22	49.77	49.62	53.38	45.16	28.34	47.60	40.94	56.54	50.92	45.98	44.98	35.59	39.66	65.47	40.78	44.92	37.55	45.87	43.12
