feature	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
LPC 20:5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 22:5	0.0	0.0	14.53	0.0	0.0	0.0	4.72	0.0	7.99	0.0	8.75	4.9	11.28	7.84	0.0	8.18	8.76	0.0	0.0	9.47
LPC 22:6	15.52	12.89	32.14	42.75	16.57	33.17	28.25	12.27	17.68	11.95	24.29	37.4	41.17	57.93	20.24	10.41	55.77	22.63	42.54	53.49
LPC O-16:0	6.77	38.04	20.97	25.08	22.11	13.46	8.62	12.2	17.13	10.21	18.93	0.0	10.71	20.59	9.39	8.27	0.0	0.0	0.0	0.0
LPC 16:0/16:1	0.0	21.76	18.68	21.74	0.0	0.0	0.0	0.0	12.61	0.0	15.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LPC 16:1/16:2	9.74	28.77	33.96	18.43	24.23	11.93	16.32	0.0	16.65	8.38	21.63	7.73	23.81	36.67	12.46	17.93	0.0	9.95	0.0	13.68
LPC 18:0/18:1	0.0	28.35	18.24	19.91	14.32	11.72	6.74	9.89	12.02	0.0	15.26	0.0	11.74	15.07	0.0	0.0	0.0	0.0	0.0	0.0
LPC 18:1/18:2	0.0	10.73	9.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 30:0	0.59	0.84	2.06	0.0	0.0	0.58	0.32	0.89	0.96	0.0	0.66	1.29	0.64	1.18	0.79	1.18	0.79	0.6	0.85	0.89
PC 32:0	8.56	11.05	10.59	7.61	7.55	9.93	7.07	13.79	7.61	8.95	6.95	17.09	11.61	15.35	14.86	12.55	18.16	8.88	18.37	11.83
PC 32:1	6.18	7.16	7.53	2.43	2.32	4.66	5.86	6.93	7.92	3.63	3.03	16.54	8.42	9.35	13.53	13.8	9.51	8.97	17.41	9.12
PC 32:2	0.0	0.49	0.64	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.36	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0
PC 34:1	131.06	184.69	153.72	90.73	83.08	117.4	145.21	184.4	144.48	92.62	108.75	351.11	242.16	196.5	237.41	267.09	188.9	181.79	348.21	241.8
PC 34:2	109.77	153.8	80.8	114.26	67.44	119.57	230.5	154.95	148.75	111.95	97.13	437.71	246.19	129.81	247.38	385.28	133.1	216.4	373.33	332.36
PC 34:3	2.74	3.42	2.5	1.12	1.1	1.7	3.98	2.38	3.13	2.31	1.75	5.5	2.57	2.86	3.12	4.64	1.83	2.68	3.48	3.55
PC 34:4	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 36:0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.27	0.15	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 36:1	9.06	47.56	23.6	9.04	14.2	14.61	3.45	18.8	20.15	10.0	10.43	29.23	26.52	17.82	22.25	29.96	18.69	10.84	26.31	24.1
PC 36:2	66.01	107.22	61.79	64.71	55.88	73.79	82.67	72.67	71.45	56.01	67.42	156.15	118.12	79.91	129.5	145.79	103.91	90.31	151.15	135.64
