feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
PC 32:2	3.14	5.92	3.62	2.71	4.55	4.16	1.19	3.97	1.99	1.45	1.82	2.77	2.55	3.94	8.2	1.61	4.56	3.97	5.48	3.62	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52
PC 34:0	1.27	2.72	2.19	0.0	2.21	2.32	1.72	3.92	2.32	0.92	30.49	1.51	0.0	1.88	0.0	1.62	2.77	3.14	2.9	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 34:1	607.33	1412.28	642.75	537.47	1056.55	638.34	507.55	1109.93	644.74	545.73	576.67	624.86	539.04	972.44	1169.04	413.07	847.38	695.76	1606.15	885.08	70.41	482.86	247.43	238.98	277.38	169.68	201.54	135.97	203.28	97.35	281.66	184.05	120.1	258.99	284.3	179.56	254.96	205.59	204.55	209.44
PC 34:2	776.34	1225.67	755.03	849.34	853.44	1006.35	780.1	965.05	971.05	540.26	911.5	753.94	724.07	1306.13	1470.53	496.52	970.14	793.38	1608.76	1046.7	100.83	482.91	357.12	338.0	212.82	155.62	167.47	115.88	282.32	97.17	370.11	196.44	149.63	269.1	231.56	278.4	216.89	282.92	263.13	214.74
PC 34:3	17.37	29.34	23.61	13.46	23.21	18.21	11.02	25.31	17.26	8.72	11.72	17.4	16.04	26.77	36.26	12.45	26.86	17.66	31.88	21.15	1.48	3.94	4.01	3.36	5.2	3.58	2.03	1.9	2.74	1.55	2.63	2.26	1.68	2.41	2.29	2.3	3.99	2.69	2.84	3.4
PC 34:4	1.94	4.22	2.56	0.0	3.28	1.73	0.0	2.76	0.0	0.0	0.0	1.69	1.58	2.22	5.03	1.22	3.03	4.21	4.89	1.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PC 36:0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	4.28	0.0	1.45	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.11	0.24	0.0	0.0	0.2	0.0	0.0	0.5	0.0	1.03	0.0	0.0
PC 36:1	103.12	90.19	193.65	74.49	210.32	110.29	123.38	294.16	76.24	97.03	91.39	203.74	85.52	231.38	127.7	81.62	190.53	135.87	353.34	177.83	12.34	54.76	19.88	27.91	45.68	21.13	32.07	14.49	9.96	10.45	37.25	19.3	11.97	21.55	29.71	14.86	39.3	8.32	24.53	22.76
PC 36:2	452.15	356.83	538.08	460.78	457.34	598.61	452.14	588.39	571.41	374.65	459.9	460.93	398.51	732.02	630.06	326.02	684.11	535.45	886.9	522.58	56.61	172.8	138.08	161.46	151.27	69.16	110.83	81.96	123.25	79.15	159.09	99.67	84.75	108.53	121.06	139.26	123.2	116.56	140.69	118.84
PC 36:3	281.12	712.28	366.65	255.24	379.66	270.54	246.14	395.65	285.46	237.52	270.17	262.33	309.64	450.61	680.71	194.58	334.79	326.0	683.96	336.78	33.52	85.87	51.31	65.82	106.65	58.18	38.31	45.58	61.5	44.47	53.15	41.08	31.22	38.6	42.13	41.87	58.4	31.98	56.18	61.54
PC 36:4	517.63	1112.58	539.87	571.99	615.86	466.87	327.97	587.62	375.88	397.18	502.89	423.23	437.04	694.9	820.9	378.43	625.47	842.7	1146.46	431.04	65.86	94.08	115.96	80.25	152.43	75.93	61.01	73.38	73.12	51.32	118.4	117.05	57.29	139.81	113.14	76.16	100.15	99.71	84.86	104.67
PC 36:5	38.6	49.27	38.33	40.76	41.33	32.53	24.04	52.8	32.13	17.74	28.97	32.45	30.58	54.65	88.73	30.06	47.4	39.92	70.77	29.28	2.49	6.63	6.16	3.91	6.8	5.16	3.51	4.27	2.32	2.99	5.73	3.33	2.87	4.92	4.14	6.25	4.51	3.57	4.74	4.3
PC 38:2	3.31	1.77	5.09	4.19	4.83	4.4	4.32	4.12	1.91	1.51	2.47	5.48	2.22	3.56	6.22	4.2	6.56	4.69	2.76	4.04	0.45	0.47	0.62	0.83	2.68	0.96	0.56	1.05	0.25	0.59	1.03	0.6	0.45	0.55	1.08	0.71	0.97	0.53	1.1	0.61
PC 38:3	94.51	105.01	139.98	68.06	139.0	71.47	64.88	135.67	64.19	76.71	76.43	110.35	120.03	169.29	132.3	68.32	101.54	114.31	240.87	90.22	12.64	24.66	8.99	16.17	38.68	26.53	16.56	13.67	18.28	14.54	7.96	14.27	8.11	5.65	8.35	11.89	26.34	7.04	12.36	17.08
PC 38:4	277.48	334.63	340.39	309.92	367.11	265.86	175.83	310.01	180.45	241.93	285.23	272.37	259.75	374.63	247.27	204.08	329.54	489.91	581.82	204.73	40.37	56.38	48.48	46.98	92.35	61.69	50.42	41.06	52.45	35.67	52.97	87.09	34.55	63.08	55.56	54.23	70.72	58.35	48.93	62.19
PC 38:5	149.97	264.35	183.07	166.27	221.94	171.17	102.15	221.97	112.31	133.84	175.91	136.54	129.65	229.46	206.17	119.01	204.47	266.9	302.23	151.41	16.77	36.78	29.42	25.48	42.74	31.93	21.78	30.17	32.04	16.5	30.6	41.02	12.45	26.92	28.16	23.42	40.74	32.65	27.11	34.68
PC 38:6	311.12	378.4	258.24	360.43	361.95	424.01	158.15	391.13	159.31	164.3	365.09	201.21	199.12	363.05	221.71	183.93	322.14	334.15	449.24	201.07	25.87	48.67	42.43	46.04	66.54	32.54	31.88	52.63	28.53	20.14	39.13	28.64	27.53	45.05	36.18	54.52	44.88	49.27	33.65	44.09
PC 38:7	9.39	14.96	10.39	11.21	9.42	7.84	6.97	8.35	11.8	8.49	10.36	7.52	9.15	13.1	12.08	6.78	8.96	10.53	13.12	7.2	1.92	1.74	2.05	0.65	1.53	2.49	1.53	2.01	1.6	1.58	2.24	1.46	1.66	1.86	2.34	2.46	1.51	1.49	1.33	1.65
PC 40:4	3.96	8.97	12.31	5.04	20.3	6.5	6.05	12.1	3.94	5.73	10.35	10.49	10.39	12.98	10.04	5.9	8.98	9.87	15.4	8.38	0.87	1.68	0.64	0.85	2.06	2.95	1.38	1.21	1.85	0.7	0.74	3.23	0.34	0.39	1.51	0.9	3.0	1.29	1.09	1.75
PC 40:5	29.8	34.03	49.89	29.01	66.27	42.47	23.84	62.72	20.68	34.42	40.35	41.65	35.36	61.51	34.93	26.8	51.26	56.7	67.8	35.48	4.03	8.88	4.33	6.6	11.52	8.6	7.67	8.29	7.33	4.05	6.3	13.31	2.28	4.8	7.19	5.88	14.01	9.74	6.07	8.39
PC 40:6	110.95	76.28	143.02	100.44	162.54	158.95	59.53	178.53	53.67	66.76	123.47	103.7	85.25	159.23	53.0	77.1	145.77	147.14	169.23	71.28	10.97	17.59	14.44	17.34	40.32	13.08	19.63	20.4	9.15	9.61	17.54	18.29	10.85	15.54	15.15	25.58	26.67	21.41	16.05	18.8
PC 40:7	13.84	18.23	19.95	14.49	18.12	18.5	9.14	24.5	10.59	11.79	17.22	10.7	9.28	17.46	13.3	11.56	15.62	23.65	23.16	14.24	1.71	1.63	1.34	1.31	3.16	1.72	1.72	1.76	1.3	1.07	1.51	1.2	1.23	1.15	1.28	1.86	1.62	1.19	1.48	1.47
PC 40:8	6.31	8.36	7.56	7.44	7.72	6.75	4.49	6.92	7.2	5.48	9.59	4.71	6.33	10.1	8.68	5.56	7.12	9.48	12.32	5.49	0.0	1.14	1.02	0.48	0.64	1.17	0.86	1.22	1.03	0.63	1.0	0.99	0.0	0.74	0.99	0.83	1.2	0.78	0.0	0.96
PC O-32:0	4.66	9.79	4.52	6.59	6.26	7.24	5.39	11.72	8.42	3.55	112.56	5.62	3.84	4.28	6.93	5.46	9.27	7.37	6.91	4.77	0.0	3.42	1.25	1.46	1.43	0.82	1.62	0.99	1.46	0.69	1.47	1.46	0.77	1.95	1.95	1.16	4.34	2.1	1.37	1.73
"PC 32:1;O/32:0;P"	6.76	8.37	5.23	8.89	6.36	7.37	4.4	10.32	6.56	3.36	24.23	5.28	4.72	6.33	7.54	5.64	10.13	9.17	7.64	5.75	0.0	1.92	0.8	1.22	1.29	0.86	1.12	0.44	1.13	0.37	1.2	1.15	0.0	1.04	1.49	1.12	2.42	1.59	1.12	0.99
"PC 34:0;P/34:1;O"	11.86	20.47	10.05	12.83	16.1	14.22	12.45	25.29	18.11	8.11	108.62	11.78	9.43	12.23	31.53	11.02	20.93	18.15	16.14	14.11	1.29	4.99	2.25	3.08	3.45	1.58	2.67	1.66	2.45	1.27	3.78	2.17	1.69	4.13	3.32	2.43	5.59	3.52	3.42	2.63
"PC 34:1;P/34:2;O"	18.25	23.07	17.81	17.65	32.99	22.4	18.22	27.38	23.12	12.67	69.15	19.9	19.3	32.08	40.86	18.58	32.13	21.09	27.41	20.04	0.89	2.99	2.1	2.43	2.96	1.6	0.86	1.23	2.4	1.14	2.4	1.3	0.99	1.89	3.1	2.37	4.48	2.7	3.3	2.75
"PC 36:1;P/36:2;O"	5.18	7.08	5.66	5.9	10.41	7.33	5.41	11.37	7.83	3.32	43.33	6.32	5.25	8.18	14.06	6.15	11.32	7.47	8.02	7.1	0.0	1.31	0.82	0.95	1.24	0.0	0.71	0.53	1.03	0.51	1.02	0.68	0.0	0.92	1.23	0.83	1.92	1.09	1.26	1.11
"PC 36:2;P/36:3;O"	16.81	21.21	18.49	14.65	25.92	18.47	14.19	19.52	19.2	13.01	46.18	15.51	18.04	29.52	30.14	17.66	26.19	20.27	29.87	18.58	1.78	4.03	2.08	2.73	3.1	1.95	1.63	1.55	3.18	1.43	2.2	2.61	1.04	2.09	3.43	2.18	5.32	2.6	3.49	3.32
"PE 36:3;P/36:4;O"	50.59	54.47	55.79	44.96	53.42	50.38	35.91	42.61	51.97	46.14	97.5	40.03	45.81	78.55	48.07	52.1	63.52	64.44	88.78	44.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.13	0.0	0.0	0.0
"PC 38:2;P/38:3;O"	3.79	6.28	4.95	4.94	5.89	5.13	4.01	6.8	4.87	3.32	10.42	4.42	3.3	6.88	7.94	5.01	6.81	6.48	7.02	5.14	0.0	1.21	0.0	0.79	0.77	0.0	0.52	0.54	1.0	0.54	0.6	0.91	0.0	0.64	1.33	0.0	1.86	0.65	0.87	1.22
"PC 38:3;P/38:4;O"	21.9	29.78	27.51	24.62	27.77	27.1	21.9	26.33	24.61	25.13	54.49	21.84	22.34	36.84	28.28	26.2	31.6	37.79	36.36	28.28	3.44	6.11	2.7	4.43	4.31	3.73	3.03	3.3	5.97	3.22	3.93	5.91	2.3	4.48	8.45	4.28	9.21	4.21	5.3	6.95
"PC 38:4;P/38:5;O"	32.75	27.86	34.04	30.05	35.68	33.26	25.79	20.76	27.16	28.2	55.42	24.65	31.76	38.82	22.84	35.37	40.72	52.08	39.05	27.24	5.62	5.34	3.74	5.25	4.99	5.7	3.65	5.03	7.7	4.04	5.68	7.4	2.48	5.44	9.82	6.11	10.87	5.29	8.72	8.95
"PC 40:3;P/40:4;O"	2.22	4.11	2.87	3.64	3.93	3.48	2.92	4.16	2.84	2.65	7.15	3.36	1.64	3.46	4.46	3.17	4.38	5.11	4.27	3.17	0.0	0.79	0.0	0.53	0.0	0.0	0.4	0.45	0.84	0.44	0.0	0.8	0.0	0.63	1.22	0.0	1.14	0.61	0.64	0.87
"PC 42:3;P/42:4;O"	1.14	2.27	0.0	2.04	2.31	1.67	1.22	2.26	1.16	1.15	2.61	1.66	0.0	0.0	3.09	1.18	2.69	2.84	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.43
"PE 38:4;P/38:5;O"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94	0.0	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	0.0	7.45	0.0	0.0	0.0
"SM 32:1;O2"	5.4	11.31	3.92	6.5	6.23	7.6	4.39	6.97	3.87	4.11	6.29	4.65	4.32	8.93	12.9	3.23	7.12	8.8	8.63	3.48	0.0	2.27	2.75	3.4	4.22	3.55	2.34	2.2	2.79	1.47	2.18	2.23	1.21	2.84	2.98	1.98	4.19	1.89	3.31	4.45
"SM 33:1;O2"	3.62	4.72	2.61	4.45	3.48	4.05	2.12	4.08	2.56	2.41	5.02	2.29	2.28	4.99	7.57	2.37	4.05	5.15	4.38	1.43	0.0	1.09	1.53	2.11	2.32	1.53	1.18	1.35	1.08	0.83	1.32	1.32	0.0	1.98	1.73	1.13	2.78	1.54	1.89	2.25
