sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
JV-015-RAN-IC-M2	2	-4.682632184875706	-1.727755259193002	1.867232678786328	-0.546154240044298	2.8828257569071942	-0.6153686399600611	0.04704468014577765	-0.9417266277286275	0.8933528906910759	-0.24773465830528804	-0.34245603859914314	0.3273179889845146	1.2761955895753303	-1.822450744151756	-0.11723744115343696	-0.8406562642395966	0.17801556413166814	0.13943210858319946	1.176965888829938	1.4328189183877982	-0.9315703035155717	-0.23112440926149275	-1.089127571033931	0.21061183710650325	0.1241936493872163	0.6319081448018843	0.06869923229806606	0.7784723632571703	-0.3922138670730591	-0.11851772691712156	-4.19656186381535e-15
BS-007-RAN-01-M3	2	-5.16280471400094	-3.4671827141830533	-3.3456083811166564	-0.8382356102412609	-0.1665073868522332	1.969456077474016	-2.709400232734622	-0.9074054963431705	0.5218631140385372	-0.02076410865075723	1.1715931881677475	-1.2728947451338433	1.0594065138824698	0.8964529192225803	-2.0082345625011513	-2.2477169878139165	-0.21901417592062772	-0.45246722840515335	-0.37751002356133967	-1.119702724870786	0.13789948003469357	-0.032373856782170626	0.31319237709168285	-0.9256010224281933	0.02271565736204867	-0.1899188174177295	0.23004146860720742	0.5007382333208686	-0.0938421832371328	-0.02797133742867489	-4.05046381904333e-15
BS-007-RAN-02-M3	2	-4.4811591490503995	7.131388683605353	2.6015632846062555	0.4957249904532795	0.6107011551908583	-0.5113261111497424	0.5220882157688119	0.7574357127847794	-0.5172154098982004	0.32921714283488424	-2.956743127870602	-0.19980487612880565	-0.33406443593344265	-0.5147142773175446	0.5489056767373534	-0.07388156277062653	-0.033505837611077956	0.49356618947426534	0.4412080106813942	-1.1865210152348256	0.13884667226826827	-1.529318271878272	0.3586326422291035	-1.1518066952702082	0.1779567394287322	0.5625183103309281	0.43603800250758873	-0.01812310276879057	-0.10142205757148164	0.33062246923176547	-4.014720564402147e-15
KT-004-SOC-16-M1	2	-4.778740787380232	-4.337502085417064	-2.949891824544297	1.3335392838850701	0.6024986564022082	1.5845302141767006	-2.617848458818197	0.8639763673535154	0.5179292782051919	-2.794000547853018	1.2654535596970327	-0.3702315798745001	-0.35829617211830433	-1.4685748922699238	1.0866965299487013	1.1099805837043801	1.2830294968499913	-0.5739809679988843	0.6157049695781518	0.10758723245472765	-0.3165770208787321	0.17814109285849433	0.846784722406163	-0.18494842202111592	0.6730965212297836	0.1656521794321221	0.09446863197706219	-0.49987017388933713	-0.4286861759935273	0.19646104158005914	-3.762822511715119e-15
BS-135-RAN-IC-M3	2	-5.464965203483497	3.466942621116718	1.202599032535972	0.1648697428818483	0.361899622819584	-0.24033758252905948	1.4070577311530101	0.19943861530801338	0.22692233780692703	1.7163746250447762	0.4648282027277395	1.2609652459547465	1.8564565428516686	0.7700844447660273	0.8548363045716499	0.1701595219991455	-0.12714416838640913	-1.231676872977806	0.32300458384094544	0.2510229771882214	0.23042504362454844	0.9463785118981057	1.1149982760800443	-0.3178727970906003	0.6249690178733059	0.6673964687118079	0.1278928131079575	-0.07930484872400813	0.26567474106608074	-0.6562309719514691	-4.439833286547376e-15
JV-070-DAV-07-M3	2	-4.357810357360078	-1.955535438747136	3.3456269111133112	0.5803943358004728	2.2971094799881895	-0.18163064787275887	-0.08778501760724614	0.5302920764150435	0.06857547728957875	-0.23663045921067138	-2.0522365557669713	-0.9355943480084916	0.5763267951784679	-0.6677506994962199	-0.7549286902588443	-1.763009854505763	0.006469996462531168	-0.04363130458367376	-1.0171592305770125	0.2633421109250246	0.525107266266663	-0.34963829466727914	0.13351364042728958	0.9383393077962673	0.10147904281740441	-0.5313892486813302	0.0333814857261873	-1.0621651147350761	-0.22860337465194816	-0.30023525179720384	-4.892705111321339e-15
BS-129-RAT-10-M5	2	-4.429869318756865	0.7752644634704918	2.746431260363161	0.22501934292248732	0.1197129879899879	-0.4406043733273269	0.0986659070913946	0.4982167687487367	-0.4507920676469707	-2.9568734879040846	-0.33209652632237874	-0.15011169759604343	-1.2803691901214045	-0.6854195710039815	1.2307476315273902	0.06937619038667271	-0.5335811684141181	-0.5467745307626394	-1.6002631079890053	0.20188089029027245	0.1680994690230032	0.09236821133196715	0.44774533552335494	0.3031409002576676	-0.09250389889379806	-0.5884694823397976	0.513961240038666	0.9783250464291442	0.5000691073614042	-0.17121569957099986	-4.7735030036620385e-15
JV-036-SOC-10-M2	2	-5.609594350086122	-0.5231489557951837	-2.819897346958627	0.4463018655980027	0.1208267507961312	0.6993181781163349	-1.68655643463693	0.15125342362167446	1.0535352103281472	1.5494364342853386	-1.241209044723377	0.362276936039051	-0.7197571259429015	-0.560574331871753	-0.6134838074425762	0.12831504754913134	0.41496605347862175	-2.2433111311649796	-0.46273655197947955	0.6774364384909533	0.9517112732697892	-0.02179755394937404	-0.29104504041282075	0.44379373840286057	-0.5667691938042049	0.7779540784896168	-0.22153811409360108	-0.03824427925762723	0.6345435382975599	0.4703379609841978	-4.283435923822058e-15
BS-126-RAT-05-M2	2	-5.389209134990451	-0.866631520275497	0.21085782114916993	-0.8191214668655727	-1.0626445206884416	-0.332114035542969	0.8071036113845108	-1.4662667817018424	-0.4122495352642331	-2.09451323207375	1.340996163152841	0.047711774858183946	1.1941244973939524	0.3805782587812162	-0.9879041741344555	1.388926512736042	0.18527727883711703	1.1047218125604688	-0.5297927750964614	-1.3709412747689949	1.1348522435263546	-0.5927273475261083	-0.595753008118976	0.7988604567718978	-0.13254807050279843	1.1199158568019476	0.10192420311009906	-0.0982878780630928	0.09123568458589801	-0.19321370063173127	-3.834712231745487e-15
JV-017-RAN-10-M3	2	-2.573592466011861	1.659878689932869	5.332036959712486	1.0943774670709139	-0.18073542807228923	-0.1552537509547268	-0.41445984393355567	0.26233451919716105	-0.5114441255254502	-2.2890408290276407	0.985590277367815	0.6640838059980458	-0.3119269229765321	0.6706603201508688	-0.511576754022041	-0.6166401962883741	-0.4422164419634384	0.4128274865696611	-0.037452045198277	0.7671332346253051	-0.5024287382694953	0.8747201875987399	0.09157261521234135	-1.042358088364173	-1.2016717614864663	0.4579577779828141	-0.7210747963705592	-0.4214973480939655	0.078176743021748707	0.09541339492628352	-4.716890363912054e-15
