feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
14:0	0.27219397631958625	0.2564145023278552	0.15089156849573757	0.12529496334170642	0.9420285701943522	-0.08615727979169861	t-test	-0.6895454150839777	0.49927389780793097	0.3016611383997306	0.8957296261816156	0.04782306129473227	no	no	14	0	ns	ns		-0.08615727979169861
15:0	0.08937808071504244	0.11567049761901296	0.08886076880527638	0.09330696325985396	1.2941707485059641	0.372027974186353	t-test	0.47109923707186585	0.643229008275108	0.19163437805044783	0.9013848045468674	0.04508976749542775	no	no	15	0	ns	ns		0.372027974186353
16:0	36.72144717799794	33.67769640188306	2.596232119494203	3.5788751659769336	0.9171124503519411	-0.1248294563573309	t-test	-2.245463892967944	0.03753551552716716	1.425557614989644	0.3864779857082535	0.4128752390230636	yes	no	16	0	*	ns	*	-0.1248294563573309
16:1	0.8507137047101135	0.8784545704272969	0.21964198849945768	0.1320441473230385	1.0326089324335457	0.04629398308973489	t-test	0.5406019276430468	0.5954089521887604	0.2251846398657274	0.9013848045468674	0.04508976749542775	no	no	16	1	ns	ns		0.04629398308973489
17:0	0.2491952283111672	0.3138642553739836	0.144453391907707	0.14304699063939663	1.2595114982782292	0.33286429272182483	t-test	0.44056778272640623	0.6647712933533148	0.17732774284522712	0.9013848045468674	0.04508976749542775	no	no	17	0	ns	ns		0.33286429272182483
18:0	13.43821294841023	12.115958089972219	1.619515344480477	1.2185361257508358	0.901604858956009	-0.14943280434079448	t-test	-1.9813370990599866	0.06303950121624532	1.2003872317477093	0.47042559848597243	0.3275090538989232	no	no	18	0	ns	ns		-0.14943280434079448
18:1	9.705128765392601	9.175083714507517	1.1394054346479296	1.7691724468077275	0.9453850573549147	-0.08102603307881585	t-test	-0.9500238745789623	0.35468266012027694	0.4501600429860712	0.8345474355771222	0.07854897303638277	no	no	18	1	ns	ns		-0.08102603307881585
18:2	6.900877935868768	8.159525123881417	2.4981143457755284	1.4867977259684353	1.182389429245019	0.2417052767246111	t-test	1.625181503575311	0.12150435152355343	0.9154081680835655	0.5115972695728566	0.29107178204445094	no	no	18	2	ns	ns		0.2417052767246111
18:3	1.7787028071420017	1.6626715400953835	0.33790398741361344	0.17092866416105265	0.9347663552445528	-0.09732228630722303	t-test	-0.7901056027747672	0.4397517026600499	0.35679247033682815	0.8957296261816156	0.04782306129473227	no	no	18	3	ns	ns		-0.09732228630722303
20:3	1.2441358546236228	1.239755284114499	0.2703378721910003	0.2748081350566368	0.9964790255880465	-0.0050886561035804545	t-test	-0.0645354353390052	0.949255212663435	0.02261700933196279	0.9973658326948209	0.0011455137257028235	no	no	20	3	ns	ns		-0.0050886561035804545
20:4	2.506988057305188	2.230149739814871	0.7684544245636287	0.2875410452572859	0.8895733401347369	-0.16881454269795187	t-test	-0.8485298344970206	0.4072860990549463	0.3901004124201503	0.8957296261816156	0.04782306129473227	no	no	20	4	ns	ns		-0.16881454269795187
22:5	0.14160452861886466	0.11440600728988133	0.14679249128180513	0.0858985626110219	0.8079261899724306	-0.3077045967428498	t-test	0.46416691454466724	0.6480927150518973	0.18836286024804244	0.9013848045468674	0.04508976749542775	no	no	22	5	ns	ns		-0.3077045967428498
22:6	0.5681451972321278	0.46983734156195484	0.3011470170461097	0.10182498312359617	0.826967021548178	-0.27409829728955587	t-test	-0.5415255454984286	0.5947854443623557	0.22563966810983152	0.9013848045468674	0.04508976749542775	no	no	22	6	ns	ns		-0.27409829728955587
30:0	0.025633869214856286	0.03799491631089094	0.027311232431337255	0.021831524480695648	1.4822154233692793	0.5677551424079315	t-test	1.8330515290927778	0.08338814385774374	1.0788956930455726	0.4848059129902237	0.3144320918876338	no	no	30	0	ns	ns		0.5677551424079315
32:0	0.21506892848445644	0.264924199442547	0.045475965896625774	0.05970568484463106	1.2318106632576344	0.30078052212778655	t-test	2.2701513305054157	0.035717460885444016	1.4471194221976946	0.3864779857082535	0.4128752390230636	yes	no	32	0	*	ns	*	0.30078052212778655
