sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
KT-193D0	1	-5.054146015934751	0.9332046327869561	0.21220121758475022	1.6607223077764617	0.5251325980359073	1.338330436644704	0.871248299216078	-1.374043850795267	2.0428622099505116	-0.9339206639558768	0.5836358437598883	-0.9485787530212679	1.0409231577744391	-1.4616081622219845	-0.10926288569208958	0.5628609338180955	1.5716344194096914	0.3507789240965393	2.3314683517128287e-15
KT-247D0	1	-5.449214352707402	3.2425121207009306	2.131151707380324	-2.873600183562337	0.893265101343807	0.17657857880214142	-0.6636518586281819	1.7759086162617737	-0.07141585296460352	-2.6887385515656255	0.974773677333471	-0.434391792359425	-0.577651818614664	1.106636790513485	-0.44098396543376683	-1.2915829410582114	0.007893187364899515	0.779858564227481	2.435551760271437e-15
KT-347D0	1	-5.257593129115663	4.150447428810825	2.5112346971410706	-4.257028376108981	0.8672011372256789	0.2443234138991313	-0.4203767241134705	2.954256081081578	0.025398814488611046	1.5445404256455781	-0.8860133395173141	1.891218720406449	-0.247669053145284	-1.680191699154408	0.4261789194500675	0.9153846061849638	-0.35935358203288026	0.3729532346109216	1.3739009929736312e-15
KT-417D0	1	-1.0510370722375644	-3.0848302596819672	-2.575102032042438	1.3441313241884385	-1.8666639098351856	-1.9955334292724594	1.5076727238862613	0.05724014941438495	2.4195826219642695	-1.9687030790921336	-2.3251784118325816	2.696568999714984	0.06218257141972572	1.2901675183874082	-0.48510422174790435	0.3110288425560778	0.013911767073346758	0.010882397998254875	2.1441182163073336e-15
KT-522D0	1	-5.165012753394649	2.7012685403495014	1.716453274224796	-4.437940708453565	0.30254513564452173	-0.8307917135326793	1.0555253415118102	0.8606293151915957	1.6715655904862032	-0.783709946286051	1.5992696355865432	-0.778656893878128	-0.23475886242302202	0.7286752100322804	0.21700750127888507	0.34699450895808476	0.029758570542729124	-1.218748674467123	2.2898349882893854e-15
KT-525D0	1	-3.0984886866752195	2.189626002056697	0.2260533774372092	-5.048026883046662	-1.754537604306206	-4.230845220468068	-0.051307044612104946	-4.10368953774618	-2.161714807105626	-0.05882907906333885	-1.7718391989930589	-0.8595304440402889	0.6451328562291562	-0.45106579103863353	0.10285080211136766	-0.2003608522842791	-0.03010775467163298	0.04424182892049079	1.4467593789646571e-15
KT-565D0	1	-4.937035335958775	0.5963950660122362	5.83538220354337e-4	3.202018419930177	0.8456672967117873	2.094823604281925	0.7377203492135476	-1.3956612042420806	2.316173186384089	-0.3252196992931434	-0.48830272884851117	-0.5099307322345076	0.9229060413535728	-1.5892408579543447	0.3925063664737433	-0.9533117020865347	-1.336375648749255	-0.1577576927533219	2.0539125955565396e-15
KT-705D0	2	5.832319116721076	-6.63701966255058	-5.373930770265757	-5.209831551021953	-0.07960766260054664	3.8701976408878878	-4.145700886141904	-1.0409762572590266	0.6392869762913929	-0.292628369097411	0.39257945231803615	0.29143235571847814	-0.2394256039393352	-0.1267627834657089	0.264109524321899	0.03690601164700607	0.00198314354055535	-0.02897497897211644	2.1510571102112408e-15
BS-082D0	2	6.542152393878455	-6.327739945438605	-0.8474517167107788	-1.6396638249609992	1.5278488158876016	2.437317191458261	5.227068687633549	1.2474553975482041	-2.9077102358004985	-0.9234705555894925	-0.09471740792074249	-0.10815161315389546	1.0157551255542194	-0.2034986055585045	0.475074502360946	-0.03592952378880468	-0.002205567430693941	-0.024740236323367262	2.4702462297909733e-15
BS-364D0	2	12.044949895963308	-4.001396203077494	8.769232552394932	0.8320948803508466	-5.194756951554932	1.22959414419405	-0.7520108616581024	-0.47502860358233373	0.46965756740614234	0.16354666398808893	0.15014247554696283	0.08427191959512378	-0.1572626117772433	0.007048352371424222	-0.10856383439867222	-0.009606834978235067	-0.0031300943202827534	0.0012139035123676437	8.743006318923108e-16
