"feature","BS-064D03","JV-035D03","JV-048D03","KT-515D03","KT-926D03","JV-148D03","JV-157D03","KT-193D03","KT-247D03","KT-312D03","KT-347D03","KT-352D03","KT-417D03","KT-434D03","KT-522D03","KT-525D03","KT-565D03","KT-612D03","KT-705D03","KT-718D03","JV-071D03","BS-082D03","BS-336D03","BS-346D03","BS-351D03","BS-364D03","BS-377D03","JV-138D03","KT-313D03","KT-412D03","KT-445D03","KT-537D03","KT-538D03","KT-539D03","KT-663D03","KT-695D03","KT-716D03","KT-723D03","KT-771D03","KT-805D03","KT-880D03","KT-974D03","BS-671D03"
"TG 54:4","1.12189","1.04922","0.16732","-0.22915","0.76641","0.36549","0.95856","1.12548","1.26576","-0.45593","0.82866","-0.85534","0.1271","0.93802","-0.08619","-0.34679","-0.13077","-0.48597","0.43933","0.55509","0.8293","-0.61974","1.04571","0.98363","1.04766","-0.75763","0.04532","-0.18709","0.05308","0.46982","0.18752","-0.50337","0.21748","-0.51493","0.58771","1.16107","0.14301","-1.05203","0.60746","-0.4628","-0.26761","0.97313","1.64404"
"TG 56:5","1.29469","1.00217","-1.02772","0.07188","-0.3098","-0.29243","-0.13077","0.66558","1.1186","1.16909","1.0086","-0.80829","-0.52063","1.22272","-0.04576","-0.79588","0.39967","-0.56864","-0.21467","0.82086","0.96332","-0.31414","0.37475","0.89542","1.00647","-0.42641","0.60314","-0.61088","-0.45521","-0.01323","-2","0.0086","-0.35655","0.09342","-0.58503","0.86392","0.39094","0.01284","-0.67597","-0.30248","0.43616","0.88024","1.22608"
"TG 56:6","0.93852","0.89376","0.57978","0.9425","0.72428","0.48001","0.62428","0.90634","0.95856","0.97405","0.58546","0.75587","0.62428","0.97174","0.78462","0.33244","0.80277","0.36361","0.16732","0.86629","0.41664","0.13033","0.83378","1.54765","0.27646","0.89927","0.70501","0.0569","-0.14267","0.3075","0.5563","-0.3279","0.67394","0.94448","0.3483","0.95279","0.38382","-0.33724","0.92117","0.32838","0.55023","0.8657","1.55497"
"TG 56:7","0.95472","0.77525","-0.05061","0.84696","0.54283","0.56348","0.73719","0.549","0.80277","0.86332","0.87099","-0.49485","0.53656","0.81889","-0.34679","-0.13077","-0.24413","0.4624","0.36361","0.82478","0.78675","-0.03621","0.85854","1.26623","0.61278","-0.43983","0.5966","-0.88227","0.13672","-0.23657","0.40483","0.36361","0.49831","0.67578","-0.10791","0.82478","0.27416","-0.35655","0.21748","-0.55064","0.11394","0.69636","1.2052"
"TG 56:8","0.54033","0.37658","0.34635","-0.8362","0.07918","-0.97707","0.29226","0.32838","0.19033","0.49276","0.48855","0.0569","0.14301","0.43136","0.61384","-1.25147","-0.14267","0.47857","-0.11919","0.50243","0.30103","-0.56712","0.46835","0.90255","0.24304","-0.52534","0.17898","-0.65821","-0.10237","-0.37675","-0.05061","0.10037","0.0086","-0.72414","-0.00877","0.50379","-0.18709","0.08636","0.27875","-0.2473","0.04139","0.25285","0.78462"
"TG 58:11","-0.31876","-0.61192","-0.82391","-0.38722","-0.4437","-0.5516","-0.42022","-0.56864","-0.0655","-0.82391","-0.18046","-0.93631","-0.50206","-0.22915","-0.27572","-1.03512","-0.62348","-0.21467","-0.76955","-0.69897","-0.52288","-0.16487","-0.61979","0.4216","-0.4437","-0.48342","-0.79601","-0.88767","-0.38247","-1.14009","-0.60206","-0.48373","-0.49485","-0.36653","-0.69851","-0.60206","-0.99971","-0.65758","-0.48149","-0.28272","-0.40894","-0.56864","0.233"
"TG 58:5","0.57519","0.10721","-0.07058","0.26245","0.19312","0.13354","0.20683","0.45788","0.46835","0.36173","0.47422","-0.06048","0.27875","0.4456","0.60638","-0.27572","-0.20761","0.51455","-0.05552","0.44404","0.3483","-0.19382","0.18184","0.8791","0.13354","-0.60206","-0.20066","-0.78157","-0.12494","-0.08092","-0.20761","0.23805","0.20952","-0.06048","-0.16749","0.13672","-0.42022","0","0.45637","-0.37368","-0.09691","0.22531","0.77815"
"TG 58:7","0.67852","0.31597","0.26482","0.44091","-0.02228","0.48996","0.3962","0.62428","0.52892","0.52504","0.72016","0.26245","0.44091","0.6149","0.80003","0.27875","0.20412","0.67025","0.26951","0.65992","0.50379","0.08279","0.44871","1.21032","0.42651","0.35411","0.10721","-0.18046","0.39794","0.35793","-0.12494","0.4609","0.42975","0.17898","0.18469","0.5302","-0.14267","0.30535","0.56585","0.07555","0.13354","0.43297","0.9652"
"TG 58:8","0.48855","0.30103","0.08279","0.33041","0.04532","0.52634","0.26245","0.50515","0.41664","0.35984","0.67117","0.26951","0.13988","0.66652","0.75128","0.26482","0.28103","0.44716","0.12057","0.64933","0.38739","0.0086","0.33244","1.15473","0.40483","0.37658","0.11727","-1.07732","0.12057","0.19866","-0.91782","0.36549","0.29003","0.10037","0.12057","0.48996","-0.22915","0.10037","0.37658","-0.41559","0.12385","0.25768","0.83187"
"TG 58:9","-0.07058","-0.22185","-0.25964","-0.27572","-0.84994","-0.60374","-0.36653","-0.20066","-0.86574","-0.14267","0.1271","-0.23657","-0.55393","-0.19382","0.23553","-0.25181","-0.80089","0.01284","-0.9182","0.29447","-0.95393","-0.11959","-0.16115","0.63749","-0.1549","-0.46604","-0.83225","-0.71289","-0.31424","-0.3098","-0.87955","-0.37519","-0.23657","-0.50783","-0.23657","-0.01323","-0.90705","-0.34679","-0.18709","-0.70619","-0.5814","-0.3098","0.34635"
"FA 14:0","0.34439","1.01452","0.36173","0.64933","0.33445","0.3784","0.49136","0.55145","0.74819","0.51188","0.22531","0.23045","0.44248","-0.7269","0.67578","0.20683","0.5302","0.41497","0.61384","0.35793","0.34044","0.55751","0.65321","0.59879","0.40993","0.45939","0.33244","0.42325","0.90091","0.46687","0.27184","0.47567","0.55991","0.39445","0.15836","0.32634","0.41664","0.39445","0.57864","0.45939","0.50106","0.64048","0.32222"
"FA 16:0","1.64197","1.96421","1.45728","2.15815","1.76812","1.78276","1.86888","2.08892","2.20871","1.79407","1.58995","1.57078","1.96642","1.4707","2.03575","1.77699","2.0385","1.83149","2.01275","1.81043","1.83563","1.73151","2.02547","2.1465","1.81191","1.81664","1.73368","1.84497","2.17557","1.88559","1.59813","1.81862","2.10578","1.89597","1.6465","1.8341","1.56038","1.64404","2.20558","1.94265","1.83232","1.85992","1.5302"
"FA 16:1","0.85914","1.31091","0.39445","1.455","0.92012","1.11494","1.07041","1.07882","1.3831","1.20112","0.80956","0.75282","0.90902","0.26482","1.49164","0.90472","1.27114","0.95231","1.18013","0.94399","0.68305","0.84073","1.40892","1.45954","1.10415","0.993","0.95713","1.14301","1.4679","1.077","0.67669","0.99344","1.29754","0.97313","0.96332","0.96614","0.72997","0.9987","1.14019","1.13481","0.77085","1.03503","0.50379"
"FA 18:0","1.18412","1.36568","1.11193","1.60228","1.48058","1.24822","1.43329","1.57967","1.64562","1.35622","1.20058","1.13322","1.54494","1.17811","1.52737","1.37014","1.50352","1.35889","1.56443","1.44451","1.36342","1.42472","1.46776","1.61045","1.36361","1.45454","1.32181","1.35717","1.81803","1.37912","1.23679","1.36642","1.69688","1.53744","1.55145","1.4188","1.13672","1.27393","1.69819","1.45454","1.37511","1.3742","1.22789"
"FA 18:1","1.91068","2.31557","1.57634","2.63056","2.05269","2.08969","2.24209","2.49126","2.61821","2.11264","1.89933","1.8523","2.14336","1.39129","2.57309","2.16649","2.35805","2.1411","2.31057","2.06453","2.02698","1.81981","2.42182","2.66323","2.126","2.10588","1.99904","2.12048","2.53537","2.13072","1.87766","2.09566","2.68681","2.35174","1.89304","2.04673","1.7328","1.95904","2.56988","2.18387","2.04364","2.13488","1.74343"
"FA 18:2","1.37254","1.80058","1.34713","2.0983","1.629","1.67062","1.74421","2.00745","2.08888","1.7209","1.48813","1.41581","1.82053","1.02078","2.03346","1.73344","1.92418","1.69513","1.95007","1.67256","1.70535","1.34084","1.97804","2.14361","1.68815","1.63448","1.54083","1.70303","2.06175","1.72469","1.4188","1.69276","2.05862","1.86646","1.31744","1.83193","1.27623","1.51521","2.0974","1.73989","1.64699","1.84186","1.33506"
"PI 36:2","0.55267","0.71433","0.56348","0.72673","-0.97958","-0.77643","0.70329","0.57634","0.72346","0.70927","0.73078","0.5302","0.87506","-0.80862","-0.76084","0.44716","1.07445","0.85673","0.64836","0.38202","0.80277","-0.52915","0.62531","1.0607","0.77743","0.7679","0.53275","0.33041","-0.52684","0.5092","-1.07497","-0.37554","0.29885","-0.59701","0.38917","0.57634","0.54033","0.60097","0.70586","0.68931","-0.54658","-1.02525","0.63548"
"PI 38:4","1.49541","1.52879","1.36003","1.35141","1.05614","1.24944","1.38846","1.37218","1.50772","1.455","1.33885","1.16197","1.37401","0.51983","1.50051","1.20952","1.53275","1.34928","1.32695","1.49402","1.60863","0.95036","1.31576","1.68619","1.33985","1.38543","1.38075","1.2052","0.87564","1.08955","1.00817","0.81624","1.07262","1.09482","1.01326","1.17377","1.41847","1.24846","1.32139","1.59195","0.64836","1.2388","1.64414"
