"feature","class","Lipid.Maps.Category","Species.Name","Molecular.Species.Name","Structural.Species.Name","Level","Mass","Sum.Formula","Total.FA","Total.C","Total.DB","Total.OH","FA","FA.C","FA.DB","FA.OH","LCB","LCB2","LCB.C","LCB.DB","LCB.OH","LCB.Bond.Type","FA1","FA1.C","FA1.DB","FA1.OH","FA1.Bond.Type","FA2","FA2.C","FA2.DB","FA2.OH","FA2.Bond.Type","FA3","FA3.C","FA3.DB","FA3.OH","FA3.Bond.Type","FA4","FA4.C","FA4.DB","FA4.OH","FA4.Bond.Type","Category","Main.Class","Sub.Class","Cellular.Component","Function","Bond.type","Headgroup.Charge","Lateral.Diffusion","Bilayer.Thickness","Intrinsic.Curvature","Transition.Temperature","FA.Unsaturation.Category1","FA.Unsaturation.Category2","FA.Chain.Length.Category1","FA.Chain.Length.Category2","FA.Chain.Length.Category3","LION.abbr","GATOM.abbr","LIPIDMAPS.reaction.abbr"
"LPC O-16:0","LPC O-","GP","LPC O-16:0","LPC O-16:0","","MOLECULAR_SPECIES","481.35323","C24H52NO6P","16:0","16","0","0","16:0","16","0","0","","","","","","","16:0","16","0","0","ETHER_PLASMANYL","0:0","0","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","FA with less than 2 double bonds","Saturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","PC(O-16:0/0:0)","LPC(O-16:0)","LPC-O"
"PC 30:0","PC","GP","PC 30:0","","","SPECIES","705.53086","C38H76NO8P","30:0","30","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","low bilayer thickness","neutral intrinsic curvature","high transition temperature","","","","","","PC(30:0)","PC(30:0)","PC"
"PC 32:0","PC","GP","PC 32:0","","","SPECIES","733.56216","C40H80NO8P","32:0","32","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","low lateral diffusion","average bilayer thickness","neutral intrinsic curvature","high transition temperature","","","","","","PC(32:0)","PC(32:0)","PC"
"PC 32:1","PC","GP","PC 32:1","","","SPECIES","731.54651","C40H78NO8P","32:1","32","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","low bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(32:1)","PC(32:1)","PC"
"PC 34:1","PC","GP","PC 34:1","","","SPECIES","759.57781","C42H82NO8P","34:1","34","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","average bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(34:1)","PC(34:1)","PC"
"PC 34:2","PC","GP","PC 34:2","","","SPECIES","757.56216","C42H80NO8P","34:2","34","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","low bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(34:2)","PC(34:2)","PC"
"PC 34:3","PC","GP","PC 34:3","","","SPECIES","755.54651","C42H78NO8P","34:3","34","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","low bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(34:3)","PC(34:3)","PC"
"PC 36:1","PC","GP","PC 36:1","","","SPECIES","787.60911","C44H86NO8P","36:1","36","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","low lateral diffusion","high bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(36:1)","PC(36:1)","PC"
"PC 36:2","PC","GP","PC 36:2","","","SPECIES","785.59346","C44H84NO8P","36:2","36","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","average bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(36:2)","PC(36:2)","PC"
"PC 36:3","PC","GP","PC 36:3","","","SPECIES","783.57781","C44H82NO8P","36:3","36","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","average bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(36:3)","PC(36:3)","PC"
"PC 36:4","PC","GP","PC 36:4","","","SPECIES","781.56216","C44H80NO8P","36:4","36","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","low bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(36:4)","PC(36:4)","PC"
"PC 36:5","PC","GP","PC 36:5","","","SPECIES","779.54651","C44H78NO8P","36:5","36","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","very high lateral diffusion","very low bilayer thickness","neutral intrinsic curvature","very low transition temperature","","","","","","PC(36:5)","PC(36:5)","PC"
"PC 38:2","PC","GP","PC 38:2","","","SPECIES","813.62476","C46H88NO8P","38:2","38","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","low lateral diffusion","high bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(38:2)","PC(38:2)","PC"
"PC 38:3","PC","GP","PC 38:3","","","SPECIES","811.60911","C46H86NO8P","38:3","38","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","average bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(38:3)","PC(38:3)","PC"
"PC 38:4","PC","GP","PC 38:4","","","SPECIES","809.59346","C46H84NO8P","38:4","38","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","average bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(38:4)","PC(38:4)","PC"
"PC 38:5","PC","GP","PC 38:5","","","SPECIES","807.57781","C46H82NO8P","38:5","38","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","low bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(38:5)","PC(38:5)","PC"
"PC 38:6","PC","GP","PC 38:6","","","SPECIES","805.56216","C46H80NO8P","38:6","38","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","very high lateral diffusion","very low bilayer thickness","neutral intrinsic curvature","very low transition temperature","","","","","","PC(38:6)","PC(38:6)","PC"
"PC 38:7","PC","GP","PC 38:7","","","SPECIES","803.54651","C46H78NO8P","38:7","38","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","very high lateral diffusion","very low bilayer thickness","neutral intrinsic curvature","very low transition temperature","","","","","","PC(38:7)","PC(38:7)","PC"
"PC 40:4","PC","GP","PC 40:4","","","SPECIES","837.62476","C48H88NO8P","40:4","40","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","average lateral diffusion","high bilayer thickness","neutral intrinsic curvature","average transition temperature","","","","","","PC(40:4)","PC(40:4)","PC"
"PC 40:5","PC","GP","PC 40:5","","","SPECIES","835.60911","C48H86NO8P","40:5","40","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","average bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(40:5)","PC(40:5)","PC"
"PC 40:6","PC","GP","PC 40:6","","","SPECIES","833.59346","C48H84NO8P","40:6","40","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","high lateral diffusion","low bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(40:6)","PC(40:6)","PC"
"PC 40:7","PC","GP","PC 40:7","","","SPECIES","831.57781","C48H82NO8P","40:7","40","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","very high lateral diffusion","low bilayer thickness","neutral intrinsic curvature","low transition temperature","","","","","","PC(40:7)","PC(40:7)","PC"
"PC 40:8","PC","GP","PC 40:8","","","SPECIES","829.56216","C48H80NO8P","40:8","40","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","diacylglycerophosphocholines [GP0101]","endoplasmic reticulum (ER)","membrane component","","headgroup with positive charge / zwitter-ion","very high lateral diffusion","very low bilayer thickness","neutral intrinsic curvature","very low transition temperature","","","","","","PC(40:8)","PC(40:8)","PC"
"PC O-32:0","PC O-","GP","PC O-32:0","","","SPECIES","719.58289","C40H82NO7P","32:0","32","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphocholines [GP01]","1-alkyl,2-acylglycerophosphocholines [GP0102]","endoplasmic reticulum (ER)","membrane component","contains ether-bond","headgroup with positive charge / zwitter-ion","","","neutral intrinsic curvature","","","","","","","PC(O-32:0)","PC(O-32:0)","PC-O"
"PC 32:1;O/32:0;P","PC","GP","PC 64:1;O;P","PC 32:0;P_32:1;O","PC 32:1;O/32:0;P","SN_POSITION","1228.02381","C72H143NO9P2","64:1;O;P","64","1","1","32:1;O|32:0;P","32|32","1|0","1|0","","","","","","","32:1;O","32","1","1","ESTER","32:0;P","32","0","0","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","FA with less than 2 double bonds|FA with less than 2 double bonds","Monounsaturated fatty acid|Saturated fatty acid","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(32:0/32:1)","PC(32:1;O/32:0;P)","PC"
"PC 34:0;P/34:1;O","PC","GP","PC 68:1;O;P","PC 34:0;P_34:1;O","PC 34:0;P/34:1;O","SN_POSITION","1284.08641","C76H151NO9P2","68:1;O;P","68","1","1","34:0;P|34:1;O","34|34","0|1","0|1","","","","","","","34:0;P","34","0","0","ESTER","34:1;O","34","1","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","FA with less than 2 double bonds|FA with less than 2 double bonds","Saturated fatty acid|Monounsaturated fatty acid","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(34:0/34:1)","PC(34:0;P/34:1;O)","PC"
"PC 34:1;P/34:2;O","PC","GP","PC 68:3;O;P","PC 34:1;P_34:2;O","PC 34:1;P/34:2;O","SN_POSITION","1280.05511","C76H147NO9P2","68:3;O;P","68","3","1","34:1;P|34:2;O","34|34","1|2","0|1","","","","","","","34:1;P","34","1","0","ESTER","34:2;O","34","2","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","FA with less than 2 double bonds|Polyunsaturated fatty acid","Monounsaturated fatty acid|FA with 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(34:1/34:2)","PC(34:1;P/34:2;O)","PC"
"PC 36:1;P/36:2;O","PC","GP","PC 72:3;O;P","PC 36:1;P_36:2;O","PC 36:1;P/36:2;O","SN_POSITION","1336.11771","C80H155NO9P2","72:3;O;P","72","3","1","36:1;P|36:2;O","36|36","1|2","0|1","","","","","","","36:1;P","36","1","0","ESTER","36:2;O","36","2","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","FA with less than 2 double bonds|Polyunsaturated fatty acid","Monounsaturated fatty acid|FA with 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(36:1/36:2)","PC(36:1;P/36:2;O)","PC"
"PC 36:2;P/36:3;O","PC","GP","PC 72:5;O;P","PC 36:2;P_36:3;O","PC 36:2;P/36:3;O","SN_POSITION","1332.08641","C80H151NO9P2","72:5;O;P","72","5","1","36:2;P|36:3;O","36|36","2|3","0|1","","","","","","","36:2;P","36","2","0","ESTER","36:3;O","36","3","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","Polyunsaturated fatty acid|Polyunsaturated fatty acid","FA with 2 double bonds|FA with more than 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(36:2/36:3)","PC(36:2;P/36:3;O)","PC"
"PC 36:3;P/36:3;O","PC","GP","PC 72:6;O;P","PC 36:3;O_36:3;P","PC 36:3;P/36:3;O","SN_POSITION","1330.07076","C80H149NO9P2","72:6;O;P","72","6","1","36:3;P|36:3;O","36|36","3|3","0|1","","","","","","","36:3;P","36","3","0","ESTER","36:3;O","36","3","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","Polyunsaturated fatty acid|Polyunsaturated fatty acid","FA with more than 2 double bonds|FA with more than 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(36:3/36:3)","PC(36:3;P/36:3;O)","PC"
"PC 38:2;P/38:3;O","PC","GP","PC 76:5;O;P","PC 38:2;P_38:3;O","PC 38:2;P/38:3;O","SN_POSITION","1388.14901","C84H159NO9P2","76:5;O;P","76","5","1","38:2;P|38:3;O","38|38","2|3","0|1","","","","","","","38:2;P","38","2","0","ESTER","38:3;O","38","3","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","Polyunsaturated fatty acid|Polyunsaturated fatty acid","FA with 2 double bonds|FA with more than 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(38:2/38:3)","PC(38:2;P/38:3;O)","PC"
"PC 38:3;P/38:4;O","PC","GP","PC 76:7;O;P","PC 38:3;P_38:4;O","PC 38:3;P/38:4;O","SN_POSITION","1384.11771","C84H155NO9P2","76:7;O;P","76","7","1","38:3;P|38:4;O","38|38","3|4","0|1","","","","","","","38:3;P","38","3","0","ESTER","38:4;O","38","4","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","Polyunsaturated fatty acid|Polyunsaturated fatty acid","FA with more than 2 double bonds|FA with more than 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(38:3/38:4)","PC(38:3;P/38:4;O)","PC"
"PC 38:4;P/38:5;O","PC","GP","PC 76:9;O;P","PC 38:4;P_38:5;O","PC 38:4;P/38:5;O","SN_POSITION","1380.08641","C84H151NO9P2","76:9;O;P","76","9","1","38:4;P|38:5;O","38|38","4|5","0|1","","","","","","","38:4;P","38","4","0","ESTER","38:5;O","38","5","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","Polyunsaturated fatty acid|Polyunsaturated fatty acid","FA with more than 2 double bonds|FA with more than 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(38:4/38:5)","PC(38:4;P/38:5;O)","PC"
"PC 40:3;P/40:4;O","PC","GP","PC 80:7;O;P","PC 40:3;P_40:4;O","PC 40:3;P/40:4;O","SN_POSITION","1440.18031","C88H163NO9P2","80:7;O;P","80","7","1","40:3;P|40:4;O","40|40","3|4","0|1","","","","","","","40:3;P","40","3","0","ESTER","40:4;O","40","4","1","ESTER","","","","","","","","","","","Glycerophospholipids [GP]","","","","","","","","","","","Polyunsaturated fatty acid|Polyunsaturated fatty acid","FA with more than 2 double bonds|FA with more than 2 double bonds","FA with more than 18 carbons|FA with more than 18 carbons","FA with more than 24 carbons|FA with more than 24 carbons","Very long-chain FA|Very long-chain FA","PC(40:3/40:4)","PC(40:3;P/40:4;O)","PC"
"SM 32:1;O2","SM","SP","SM 32:1;O2","","","SPECIES","674.53628","C37H75N2O6P","32:1;O2","32","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","average transition temperature","","","","","","SM(32:1)","SM 32:1;O2","Sphingomyelin"
"SM 33:1;O2","SM","SP","SM 33:1;O2","","","SPECIES","688.55193","C38H77N2O6P","33:1;O2","33","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","","","","","","","","","","","","","","","","SM(33:1)","SM 33:1;O2","Sphingomyelin"
"SM 34:1;O2","SM","SP","SM 34:1;O2","","","SPECIES","702.56758","C39H79N2O6P","34:1;O2","34","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","high transition temperature","","","","","","SM(34:1)","SM 34:1;O2","Sphingomyelin"
"SM 34:2;O2","SM","SP","SM 34:2;O2","","","SPECIES","700.55193","C39H77N2O6P","34:2;O2","34","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","average transition temperature","","","","","","SM(34:2)","SM 34:2;O2","Sphingomyelin"
"SM 35:1;O2","SM","SP","SM 35:1;O2","","","SPECIES","716.58323","C40H81N2O6P","35:1;O2","35","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","","","","","","","","","","","","","","","","SM(35:1)","SM 35:1;O2","Sphingomyelin"
"SM 36:1;O2","SM","SP","SM 36:1;O2","","","SPECIES","730.59888","C41H83N2O6P","36:1;O2","36","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","high transition temperature","","","","","","SM(36:1)","SM 36:1;O2","Sphingomyelin"
"SM 36:2;O2","SM","SP","SM 36:2;O2","","","SPECIES","728.58323","C41H81N2O6P","36:2;O2","36","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","average transition temperature","","","","","","SM(36:2)","SM 36:2;O2","Sphingomyelin"
"SM 38:1;O2","SM","SP","SM 38:1;O2","","","SPECIES","758.63018","C43H87N2O6P","38:1;O2","38","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","high transition temperature","","","","","","SM(38:1)","SM 38:1;O2","Sphingomyelin"
"SM 38:2;O2","SM","SP","SM 38:2;O2","","","SPECIES","756.61453","C43H85N2O6P","38:2;O2","38","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","high transition temperature","","","","","","SM(38:2)","SM 38:2;O2","Sphingomyelin"
"SM 39:1;O2","SM","SP","SM 39:1;O2","","","SPECIES","772.64583","C44H89N2O6P","39:1;O2","39","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","","","","","","","","","","","","","","","","SM(39:1)","SM 39:1;O2","Sphingomyelin"
"SM 40:1;O2","SM","SP","SM 40:1;O2","","","SPECIES","786.66148","C45H91N2O6P","40:1;O2","40","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","very high transition temperature","","","","","","SM(40:1)","SM 40:1;O2","Sphingomyelin"
"SM 40:2;O2","SM","SP","SM 40:2;O2","","","SPECIES","784.64583","C45H89N2O6P","40:2;O2","40","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","high transition temperature","","","","","","SM(40:2)","SM 40:2;O2","Sphingomyelin"
"SM 40:3;O2","SM","SP","SM 40:3;O2","","","SPECIES","782.63018","C45H87N2O6P","40:3;O2","40","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","phosphosphingolipids [SP03]","ceramide phosphocholines (sphingomyelins) [SP0301]","plasma membrane|golgi apparatus|endosome/lysosome","membrane component","","headgroup with positive charge / zwitter-ion","","","","high transition temperature","","","","","","SM(40:3)","SM 40:3;O2","Sphingomyelin"
"SM 41:1;O2","SM","SP","SM 41:1;O2","","","SPECIES","800.67713","C46H93N2O6P","41:1;O2","41","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sphingolipids [SP]","","","","","","","","","","","","","","","","SM(41:1)","SM 41:1;O2","Sphingomyelin"
