"feature","class","Lipid.Maps.Category","Species.Name","Molecular.Species.Name","Structural.Species.Name","Level","Mass","Sum.Formula","Total.FA","Total.C","Total.DB","Total.OH","FA","FA.C","FA.DB","FA.OH","LCB","LCB2","LCB.C","LCB.DB","LCB.OH","LCB.Bond.Type","FA1","FA1.C","FA1.DB","FA1.OH","FA1.Bond.Type","FA2","FA2.C","FA2.DB","FA2.OH","FA2.Bond.Type","FA3","FA3.C","FA3.DB","FA3.OH","FA3.Bond.Type","FA4","FA4.C","FA4.DB","FA4.OH","FA4.Bond.Type","Category","Main.Class","Sub.Class","Cellular.Component","Function","Bond.type","Headgroup.Charge","Lateral.Diffusion","Bilayer.Thickness","Intrinsic.Curvature","Transition.Temperature","FA.Unsaturation.Category1","FA.Unsaturation.Category2","FA.Chain.Length.Category1","FA.Chain.Length.Category2","FA.Chain.Length.Category3","LION.abbr","GATOM.abbr","LIPIDMAPS.reaction.abbr"
"TG 56:5","TG","GL","TG 56:5","","","SPECIES","908.78329","C59H104O6","56:5","56","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(56:5)","TG(56:5)","TG"
"TG 56:6","TG","GL","TG 56:6","","","SPECIES","906.76764","C59H102O6","56:6","56","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(56:6)","TG(56:6)","TG"
"TG 56:7","TG","GL","TG 56:7","","","SPECIES","904.75199","C59H100O6","56:7","56","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(56:7)","TG(56:7)","TG"
"TG 56:8","TG","GL","TG 56:8","","","SPECIES","902.73634","C59H98O6","56:8","56","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(56:8)","TG(56:8)","TG"
"TG 58:11","TG","GL","TG 58:11","","","SPECIES","924.72069","C61H96O6","58:11","58","11","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(58:11)","TG(58:11)","TG"
"TG 58:5","TG","GL","TG 58:5","","","SPECIES","936.81459","C61H108O6","58:5","58","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(58:5)","TG(58:5)","TG"
"TG 58:7","TG","GL","TG 58:7","","","SPECIES","932.78329","C61H104O6","58:7","58","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(58:7)","TG(58:7)","TG"
"TG 58:8","TG","GL","TG 58:8","","","SPECIES","930.76764","C61H102O6","58:8","58","8","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(58:8)","TG(58:8)","TG"
"TG 58:9","TG","GL","TG 58:9","","","SPECIES","928.75199","C61H100O6","58:9","58","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerolipids [GL]","triradylglycerols [GL03]","triacylglycerols [GL0301]","lipid droplet","lipid storage","","headgroup with neutral charge","","","","","","","","","","TG(58:9)","TG(58:9)","TG"
"FA 14:0","FA","FA","FA 14:0","FA 14:0","FA 14:0","FULL_STRUCTURE","228.20893","C14H28O2","14:0","14","0","0","14:0","14","0","0","","","","","","","14:0","14","0","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Saturated fatty acid","FA with 18 carbons or less","FA with 13-15 carbons","Long-chain FA","FFA(14:0)","FA 14:0","fattyacid"
"FA 16:0","FA","FA","FA 16:0","FA 16:0","FA 16:0","FULL_STRUCTURE","256.24023","C16H32O2","16:0","16","0","0","16:0","16","0","0","","","","","","","16:0","16","0","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Saturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(16:0)","FA 16:0","fattyacid"
"FA 16:1","FA","FA","FA 16:1","FA 16:1","FA 16:1","SN_POSITION","254.22458","C16H30O2","16:1","16","1","0","16:1","16","1","0","","","","","","","16:1","16","1","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(16:1)","FA 16:1","fattyacid"
"FA 18:0","FA","FA","FA 18:0","FA 18:0","FA 18:0","FULL_STRUCTURE","284.27153","C18H36O2","18:0","18","0","0","18:0","18","0","0","","","","","","","18:0","18","0","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Saturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:0)","FA 18:0","fattyacid"
"FA 18:1","FA","FA","FA 18:1","FA 18:1","FA 18:1","SN_POSITION","282.25588","C18H34O2","18:1","18","1","0","18:1","18","1","0","","","","","","","18:1","18","1","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","FA with less than 2 double bonds","Monounsaturated fatty acid","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:1)","FA 18:1","fattyacid"
"FA 18:2","FA","FA","FA 18:2","FA 18:2","FA 18:2","SN_POSITION","280.24023","C18H32O2","18:2","18","2","0","18:2","18","2","0","","","","","","","18:2","18","2","0","ESTER","","","","","","","","","","","","","","","","Fatty acyls [FA]","fatty acids and conjugates [FA01]","","","","","headgroup with negative charge","","","","","Polyunsaturated fatty acid","FA with 2 double bonds","FA with 18 carbons or less","FA with 16-18 carbons","Long-chain FA","FFA(18:2)","FA 18:2","fattyacid"
"PI 36:2","PI","GP","PI 36:2","","","SPECIES","862.55713","C45H83O13P","36:2","36","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphoinositols [GP06]","diacylglycerophosphoinositols [GP0601]","endoplasmic reticulum (ER)","membrane component","","headgroup with negative charge","","","positive intrinsic curvature","","","","","","","PI(36:2)","PI(36:2)","PI"
"PI 38:4","PI","GP","PI 38:4","","","SPECIES","886.55713","C47H83O13P","38:4","38","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Glycerophospholipids [GP]","glycerophosphoinositols [GP06]","diacylglycerophosphoinositols [GP0601]","endoplasmic reticulum (ER)","membrane component","","headgroup with negative charge","","","positive intrinsic curvature","","","","","","","PI(38:4)","PI(38:4)","PI"
