"","endoplasmic reticulum (ER)","golgi apparatus","endosome/lysosome","plasma membrane","lipid droplet","mitochondrion"
"plasma membrane",0.494530427031845,1,0.998055262944656,1,0.23669070577749,0.246252329632931
"mitochondrion",0.242849039786079,0.246252329632931,0.24155254841585,0.246252329632931,0.41625476055425,1
"lipid droplet",0.194716797666316,0.23669070577749,0.254517462118143,0.23669070577749,1,0.41625476055425
"golgi apparatus",0.494530427031845,1,0.998055262944656,1,0.23669070577749,0.246252329632931
"endosome/lysosome",0.495502795559517,0.998055262944656,1,0.998055262944656,0.254517462118143,0.24155254841585
"endoplasmic reticulum (ER)",1,0.494530427031845,0.495502795559517,0.494530427031845,0.194716797666316,0.242849039786079
