"","lipid storage","lipid-mediated signalling","membrane component"
"membrane component",0.19050320071307,0.95024714366745,1
"lipid-mediated signalling",0.0940766550522648,1,0.95024714366745
"lipid storage",1,0.0940766550522648,0.19050320071307
