feature	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
14:0	-0.7950428632940625	-1.1900684538496242	-1.1795187098383981	-0.9911508906575582	-1.3308459793911722	-0.7720239230086974	-1.3855344597111041	-1.043634494452013	-1.2350765434269706	-1.0810641331939597	-0.958062639353648	-1.3755318433090775	-0.9234346377573762	-1.0893323082702722	-1.2490602135972813	-1.135929677055216	-1.1885525493997027	-1.184630505348942	-1.0266962585066326	-1.1970353226596329
16:0	1.5678524352216996	1.4538689005453815	1.4459917175319874	1.5029241549621086	1.607213189544921	1.61931132528226	1.5694599457883833	1.513437262703944	1.6026964425972343	1.492486900168572	1.389611084694087	1.4582367100547984	1.4941092573549613	1.3942726691790894	1.544006006309771	1.5161754056081207	0.8992140841684838	1.3868063816447471	1.5446044417229579	1.5160078784391493
16:1	-0.041432222537214757	-0.6562452211347181	-0.26573461282325883	-0.1916872593037895	0.03267921970701702	-0.004737506547704539	-0.16384084297080453	-0.12471715596278687	-0.3042764192139231	-0.6757552184570258	-0.035378780553582546	-0.19657276049759156	-0.40544919746634395	-0.23209952357905916	-0.6701530945370998	-0.08361149165423577	-0.38336330792085616	-0.2993119657245112	-0.1982151246371274	-0.13862766768999682
18:0	1.0655356830127414	0.9312245931617645	0.9160521993545705	1.0653183593566349	1.115939639910016	1.0568593352456968	1.0969477832735568	1.1030331624131189	1.080272276783095	1.0981895719034585	0.933044128183618	1.0246788928831574	1.033189866362207	0.8533247358009785	1.0041253178466165	1.062264993135737	0.8584246799365705	0.9091544818080094	1.0350019753308295	0.9666693502007246
18:1	0.9609480588838376	0.8906557142972746	1.1542793999701129	1.1474055418362452	0.9156715393521692	1.1185115365190825	0.970844283467622	0.9916244458973256	0.9759070545228429	1.0400988030977205	1.163059297580312	1.0741142177272227	1.0745052103975195	1.269451784049601	1.0095461760778488	1.068294382882962	0.7163995489232519	0.9440613160790872	1.0509147472047562	0.9269874532807876
18:2	0.7519370461126746	0.5345629227878492	1.040765717575496	0.7409411710067657	0.64342474574337	0.6282124194813881	0.6859968859030571	0.7432234804447754	0.6476102973015428	0.7337387808803467	0.7937343797204004	0.8438199668752588	0.9367029791540912	0.9072203677143587	0.6666395392069602	0.793752925441826	0.4334742869760003	0.8858430062766882	0.8537139405713754	0.757255828150847
18:3	0.2460215982824206	0.22484689151918402	0.24551882949391673	-0.019427853465419732	0.16395058737077897	0.3456803017730751	0.39084671279518596	0.34574328598393167	0.33363337511857233	0.3043413901532579	0.16988918994681085	0.23295432418343173	0.2012135036698552	0.14252187070652006	0.2343199970693962	0.3583152418730511	-3.6479450371589337	0.08276263243021724	0.18747698384127487	0.2751547170801908
20:3	-0.28325205308419116	-0.3471300129244557	-0.15107083820816947	-0.3333099727001436	0.07319787132706923	-0.031066445270053634	-0.2190268178237181	-0.21802452113833856	-0.2377501010980889	-0.02411853937592389	-0.42620661363877155	-0.1782084701312322	-0.21955403491661823	-0.42860791385829256	-0.41383005210582186	-0.5041627588942234	-0.42418958350169245	-0.565005662700125	-0.5222733542932225	-0.0740271769456168
20:4	0.4249492543906445	-0.12105850365523757	0.5694528495717989	0.0772337783623444	0.37033662169567116	0.19729128826542802	0.33501858305265053	0.4194784757093922	0.07625647107328298	0.344759422917216	0.27254794012509787	0.6012252730100899	0.3733625769714744	0.7254544352390082	0.386358669580455	0.2408517779705558	-0.023869306013250984	0.44250337697570774	0.24289621330030733	0.4955842024206864
22:6	-3.6535800608637015	-0.4701964772698296	-0.00611962018188765	-0.3558826211390056	-0.04016084205609015	-0.3712560414527902	-0.21151620927828801	0.042895395317757455	-3.9785863081554003	-0.23134589554295756	-0.15484184935437592	0.025526025016062593	0.03498381233608479	0.050425386895988425	-0.26348164645566696	-0.10455100695733764	-0.4124165902513847	0.15169704329634398	-0.20167942096214003	-0.16824112954904122
30:0	-3.6535800608637015	-1.4704839943156855	-1.9456388728005063	-1.9989762281695147	-1.5826579523849718	-1.4854162699099034	-1.656601231997642	-1.8670494383199352	-3.9785863081554003	-1.699693225955115	-1.7200271286440163	-1.8189297257779902	-3.700135821745787	-2.005786256820197	-1.7742801746925214	-3.967159370922279	-1.1737287730826784	-1.7116258168241119	-1.7111191546684092	-1.4775436511790123
32:0	-0.6153574224949832	-0.20918172837326685	-0.5372876782699917	-0.5412319187903573	-0.5736836307124236	-0.5786405933409967	-0.5115084637510091	-0.5998777099169214	-0.5350104284051427	-0.5274796219626355	-0.23973967898768828	-0.45105992274330436	-0.6177095208850153	-0.43413035225329166	-0.38523387918046625	-0.5822685743917253	0.06369350107341537	-0.2412199931469266	-0.5202932848363366	-0.47720970692426284
32:1	-0.7699186257100841	-0.22835081181542055	-0.694339812449112	-0.7144429575562736	-0.5238316257425597	-0.5191221264018374	-0.5706371138622558	-0.7029670867372693	-0.6801699280941058	-0.664485917727748	-0.5365836713343131	-0.5632414288938545	-0.5503011250300022	-0.6812232193127431	-0.5539600115370434	-0.7581808536460259	-0.20296392507098887	-0.5509715279492774	-0.6970435644765992	-0.4640582256342501
33:1	-3.6535800608637015	-1.6120344436682312	-1.5462772769936743	-1.4150564623660662	-1.477241355479147	-1.4882455599287676	-1.5389617341308415	-1.3801683463111165	-1.6441325570044694	-1.4338276473543847	-1.5132670498218832	-1.4617837881350775	-3.700135821745787	-1.3525737430448537	-1.4054657912947022	-1.6130509317748785	-0.9028702455768762	-1.3234456454412304	-1.3640762762094578	-1.2393044853744866
34:1	0.7409066422988831	1.114199112856071	0.8057159648096569	0.815053317833291	0.7216170980921565	0.7347088063161894	0.8068935956201031	0.8025632400073879	0.7859036586327159	0.8144115950177174	0.9217250077017063	0.8427850685198388	0.8259707355445864	0.9139216526813168	0.9521606548433551	0.7625884079455334	1.2607972651880839	0.9447157982230968	0.8257213985527496	0.8994822471056446
34:2	0.666836276592468	1.0408857858842084	0.8337683524601394	0.8040212705479836	0.5071307418222847	0.5381701956174829	0.6293559338521918	0.5808834272722451	0.7861127556429675	0.6502530942204034	0.9435014325838077	0.7256087276873465	0.7845483049418962	0.80050166047290106	0.7386132578018241	0.7901531316695249	1.0112673589844485	0.9528370682214744	0.795529106830897	0.7622369341031
34:3	-1.1822883498047632	-1.0539647197832809	-1.1278243351910908	-1.2129996402739147	-1.1267259967352474	-1.119053964102492	-1.303347703523754	-1.2317485138532935	-1.239805749671031	-1.162574041560167	-1.2138852325379752	-1.2282492801935263	-1.173796544355943	-1.2672218907315165	-1.2836764120836095	-1.3044015392407056	-0.7459421458082042	-1.0812140862752857	-1.1872197403356644	-1.060008086443594
35:1	-3.6535800608637015	-3.950490937272836	-1.879710359092198	-1.7393389176637588	-1.8884868309307217	-3.9739669864103475	-1.9296025040613798	-1.732350864422479	-3.9785863081554003	-3.6539357353944397	-1.848511146016966	-1.690263116650447	-3.700135821745787	-1.7979805845873096	-1.6522858187310028	-3.967159370922279	-1.1400891654631027	-1.6244756411052117	-1.7374480933907583	-1.5580632479988994
36:1	-0.07528475574287541	0.20136901823967596	-0.14012687302967056	0.021761621294383585	-0.04414774564149889	-0.12930345817010852	0.016522115155765817	-0.046907712619122424	-0.29834147111279263	-0.05689907041678628	0.0785561503789818	0.007480223806532407	-0.1327565140948084	0.00445586200869694	0.11924167050987634	-0.21441967698695147	0.4866782525035038	-0.058719791757256494	-0.011536461095710127	0.032691922262173254
36:2	0.4237515002652888	0.6297724039612846	0.4550547853061731	0.5104951239330338	0.3809482757599851	0.20469347212782135	0.4778946238370315	0.46735861445857463	0.4692226768164139	0.5678695826021091	0.5953671529508783	0.4628478666941293	0.5579504625821923	0.445651263700266	0.481236796773504	0.5340368711048092	0.7900590542628769	0.5998252944934126	0.546220546798912	0.5445673460652064
36:3	0.17281872132391615	0.2904574787602018	0.004070997222447619	0.09799695035125609	0.1953341866278123	0.09872396860252097	-0.013477691170939046	0.16928905617423182	0.1256958989390379	0.3069154183252465	0.11450212345981634	0.04490569722729376	0.11993421256653869	-0.03328888164998378	-0.005822075305096324	-0.03185368063235431	0.4297861424934584	0.013689346080083603	0.11693386738296618	0.21874551450923505
