feature	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
14:0	0.1603087163978941	0.06455524685097036	0.0661426041978258	0.10205848315579417	0.04668249083407246	0.16903478166694624	0.04115906877606892	0.09044103121295931	0.058200063242667986	0.08297282307265665	0.11013804432940105	0.042118040386230265	0.11927937703453112	0.08140811367532966	0.05635595146116438	0.07312574824465849	0.06478097058988919	0.06536864679192576	0.09403807741324356	0.06352792603095192
16:0	36.97025407377306	28.436025862445753	27.924905848975616	31.836414831284596	40.47745415240754	41.62088641329853	37.107350446196136	32.61649298696168	40.05866230201209	31.080421519689395	24.525116818358203	28.723457132467768	31.196743154400945	24.789779805629724	34.995000681725216	32.82278330834691	7.928920879491644	24.36724229104774	35.043255227578996	32.8101245070502
16:1	0.9090081508767014	0.2206758351554872	0.5423321956557684	0.643150691172853	1.0781500806170703	0.989150770106326	0.6857394851441482	0.7503827538522323	0.4962763515493927	0.21098169717138096	0.9217671347146287	0.6359562495585451	0.3931432309950849	0.5860038595967945	0.21372085624687542	0.8248756970134928	0.41365348928752155	0.5019818725342223	0.6335558062220715	0.7267287344750428
18:0	11.628820931611225	8.535414044576736	8.242371769741984	11.623003253114158	13.059893635740108	11.398805289344647	12.501087162902934	12.677486665349663	12.030184191644189	12.536882972823067	8.57124932325516	10.584708273709706	10.79418523010148	7.133862523449686	10.095441530700358	11.54157274286269	7.218129674408138	8.112495741016826	10.839318441301703	9.261244506947726
18:1	9.140039211245583	7.774200092125711	14.265250422216479	14.041242562032433	8.235150479213718	13.137463926151334	9.350703440334659	9.808993480837614	9.460346742109635	10.967276760953961	14.556578192202505	11.860806416591888	11.871489436394963	18.597380811681504	10.222242421487978	11.702923951378928	5.2047461058314095	8.791466308166921	11.243842336354293	8.45254425501339
18:2	5.6485508935767665	3.4242299601348916	10.984131348807479	5.507330897294542	4.399717032286327	4.248273020902126	4.852850204264126	5.536349269063612	4.442324682814906	5.416749861342205	6.2191979440898395	6.979430176921927	8.64376555817961	8.076447376830982	4.641298913784484	6.219463528802702	2.7131530113029276	7.6885245648899465	7.140258593272728	5.718153745265824
18:3	1.7620636749774063	1.6782122679625526	1.7600249706910223	0.9562515377115215	1.4586482905230946	2.21656413447184	2.4594993538271184	2.216885618332675	2.1559236423574593	2.0153078202995003	1.4787310424310303	1.7098354780397576	1.5893278866407088	1.3884232279999058	1.7152206517293096	2.2819979076113337	2.2493392565933745e-4	1.20993665099772	1.5398449172533553	1.8843202575954936
20:3	0.5208923111765368	0.4496452263300227	0.706202355494202	0.4641838510675138	1.1835806906854063	0.930965430688307	0.6039113365060111	0.6053066969577242	0.5784287873901262	0.9459789240155293	0.37479465296059894	0.6634245367669562	0.603178655773281	0.3727280576539887	0.385629232377403	0.3132111694726965	0.37653939155373084	0.27226658074184173	0.30041848088464423	0.8432819858624749
20:4	2.6604141826586796	0.7567309491974858	3.7106744130308345	1.1946309947968408	2.346046531670478	1.5750389141001762	2.1628110663996214	2.6271113196365077	1.1919456995511026	2.2118691070438152	1.873043829829751	3.9923193436910567	2.3624497351120173	5.314402396044867	2.434213516338681	1.7412125068757618	0.9465219591744919	2.7701505791446275	1.7494285642376157	3.1302873229767445
22:6	2.2203423323808043e-4	0.3386908958049174	0.9860078665108472	0.4406739504834113	0.911673136381101	0.42534757246092125	0.6144460981570289	1.1038127222441723	1.0505426578098914e-4	0.5870216306156404	0.7000968935959607	1.0605374889799843	1.083886513052913	1.123117998033198	0.5451529336908603	0.7860478660871254	0.38688635213406036	1.4180679556418234	0.6285221378447202	0.6788266289597686
