sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
BS-082D0	1	-4.176800359433199	8.476347349427783	-3.178847816781967	1.495891390487062	-0.5870838402586913	1.8774587465231107	-0.8804119402554419	1.2260404291742577	-3.599986778346955	2.562387879968691	-0.7566487993763706	-1.0529500683458195	-1.59850988567944	1.1682492356130827	0.23782144238723174	1.5210525286405314	-0.7403251463355002	-0.16472152876039795	-0.2580450836863554	-0.25229229634685624	0.040089992839810684	0.08350205815432	0.04285498926619877	0.032322351205817675	0.011411723258124468	1.3322676295501878e-15
BS-364D0	2	-10.299309785446294	7.1204080241688255	3.038245294607367	4.505756554678853	5.327526908245	-1.783911052016229	6.211618493174125	0.10006706383699436	0.1708336154579054	-0.6612067506386746	0.2411305724201578	0.060681313260415884	0.0032481217401909134	-0.1005915061412892	0.08823833780209009	-0.11979759396836978	0.009425038289160675	0.05407182820055129	-0.013596700093503729	0.03944540163987313	-0.011000406676653456	0.012793286154797901	0.0111935602413061	6.914040622667868e-4	-0.0012830370385415102	5.273559366969494e-16
KT-313D0	1	3.930621850217006	-0.1946946601487094	0.6270880150893693	-1.5616640151089174	-0.11871216276935592	-1.3170281473985037	0.3154821024025031	-1.018816437642413	0.06833259085133433	0.09726058345259994	1.068674853376557	-1.0232469571613654	-0.31451567152178256	0.4010910641729422	-2.740642012709277	0.4475279228521257	-0.07523578042831838	2.0528934981040465	0.6779350541056514	-0.4675841725730723	0.8577321565265233	0.2886653858759267	0.31321290594680973	0.10220866381439914	-0.041444893948025266	1.4710455076283324e-15
KT-412D0	1	4.796409619725415	-1.491779357331703	-1.131217548392386	0.32881066284110455	-1.290881610046821	1.0559182979935846	1.270334761648854	-1.115304985689409	-2.7274328770852527	-1.8024596531106085	-0.3678543215980436	0.44071535869763656	-0.25940554473057026	0.774168496627328	-1.3837688527030123	-0.5524279493506584	0.21013934505720586	0.4976030505497109	0.2531319312120432	1.0620482987161126	-1.186435087553081	-0.7904204397841965	0.12254970427475034	-0.22108802711924125	-0.12405904154568949	1.4710455076283324e-15
KT-445D0	1	2.625346753420705	2.4077369203594134	0.6934962813456014	-3.896199872369712	0.119063890650894	-1.3549725465066438	-0.12488363521873382	-0.08323460699295157	-0.714966589540476	-0.2908102433701023	3.8617959957315398	0.5293208971409522	-0.21315332031700113	-1.3237644716348755	3.9844425073158043e-4	0.23912276703839797	-0.7733995144912874	-0.14573804731902834	-2.050811840170279	-0.2955160016556755	-0.42569480999587905	-0.0259229918023754	0.06623320712034014	-0.10700315859961733	0.04121138334412376	6.38378239159465e-16
KT-537D0	1	4.059471933222043	-1.6941025201804292	2.399739100462083	-1.5702240104347123	0.22515839416507116	1.416421365704667	1.0567925994381953	-0.8470609678987095	0.26551413473326885	1.2918863948976238	-0.35388721848515853	0.6056413018092218	0.6585015841600872	0.5234412928701797	0.05083478964431766	0.05099273479441458	-0.45493270117299656	-0.6462303429056727	0.4801814064950959	-0.46894138424690224	0.4720854217844708	-0.5449181125399497	0.09790133411703428	-1.0843352546988567	0.471141075698762	1.1102230246251565e-15
KT-538D0	1	2.1443658545079223	1.6437075489566138	0.2023884693897115	-1.9405397139353067	-0.05419943072926546	-4.853082771643266	-0.9838337548585095	-1.6509116543305749	-0.45593471503860156	1.9327788767242329	1.5310502421376202	-0.9747054757507112	-1.8459344284251593	0.7124817052040081	1.3114908867157402	-1.3633883310969257	1.1950572706854037	-0.4955948170770899	1.1015775908825665	0.4180225425685861	0.013595502473150405	-0.093222477868262807	-0.08311651947962745	0.010431573693255168	-0.037748296212467954	1.2351231148954867e-15
KT-539D0	2	-17.635869395188283	-2.196613640336985	5.092240569137114	1.2005687242827252	-8.409913824579128	-1.2530312940573543	0.392948034845182	1.9934642004710454	0.28252816285325666	-0.2187920199758262	0.1645269966435592	-0.43869448116830756	0.22497059775774425	0.15871952376590903	-0.19550018211759473	-0.03812608724698328	0.012347954862171884	-0.1627731072880384	-0.06815336579987366	0.015154008929447283	-0.01034922471809511	-0.03081724832734305	0.0076030514546612735	-0.007508255794721199	0.005411879357359966	1.7763568394002505e-15
KT-663D0	1	0.42110340847973565	4.616697212246705	-0.6515995513327428	-2.4186153706271734	0.9333000712124774	-5.045960567527061	-2.004964775443936	1.1549988831151785	-1.138345237647086	0.048244368024848015	-2.424494547724496	-0.08917509722401269	2.9357606544089574	-1.7993289297482264	-0.16890339384337916	0.753116019726165	-0.29704406451909887	-0.051270957262633074	0.43986216588203303	0.2286401762076746	-0.17510591830732433	-0.07238279339553973	-0.04300365550174417	-0.04116204174833813	-0.017966815211843207	1.5404344466674047e-15
KT-695D0	2	-9.226429429062014	7.207026845618994	2.77612893247901	2.33920980717722	0.9364485036120496	1.8272474269944303	-5.424658896603843	-5.237645099318589	0.9354348926710832	-1.3371631328137463	-0.12548431444471114	0.68740137056748	0.11631347561106627	-0.05250663658948307	0.0685631574464074	0.031059393660234656	0.004964281816098887	0.10803703845201354	-0.0588864547024265	0.010649600768206228	-0.004903684038260513	0.002736434902564353	0.026926064669878215	-0.006144766062492627	-0.004767054631105928	4.440892098500626e-16
KT-723D0	1	3.648730314860872	-2.5067375193002976	2.131797552154638	-0.6835912072630577	0.34905840674431493	1.1781498482699382	0.4940957271673238	-0.19802375181040027	0.343977813583987	0.7980721307043508	-1.0808526774686058	0.8486108959150827	-1.6569121805662679	-1.9064039325173758	-0.9748718232286584	0.4455142055305342	0.3456780248895558	-1.3878535709373687	0.09512113443612599	0.5975783063529669	0.12663412805506521	-0.09915651166402462	0.783383065830814	0.6890549298705673	0.35802561589244913	1.4918621893400541e-15
