"","sample_name","group","tsne1","tsne2"
"1","BS-064D0","1","-21.6436745244308","25.39723708606449"
"2","JV-035D0","1","-19.46696445829729","43.71500127479536"
"3","JV-048D0","1","5.445129530779997","36.67091497708493"
"4","KT-515D0","2","18.37362141528017","-50.60329611203169"
"5","KT-926D0","1","-12.01416858361173","52.19699982230711"
"6","JV-148D0","3","1.160908563495322","-12.43265381476268"
"7","JV-157D0","1","-31.0028696039187","19.29954899694188"
"8","KT-193D0","1","-30.12443871378727","32.42598705817807"
"9","KT-247D0","1","-25.27318192777431","15.24032220179891"
"10","KT-312D0","1","-1.778604859738381","37.44662460985295"
"11","KT-347D0","3","5.444023669038002","-13.13298090267164"
"12","KT-352D0","3","11.13753099121263","-9.196158829338014"
"13","KT-417D0","1","-15.49553558640511","37.74436409151923"
"14","KT-434D0","3","25.99272015990084","-14.83573491641869"
"15","KT-522D0","1","-34.37880903173426","10.78166350746973"
"16","KT-525D0","1","-42.83751812320661","35.9158623795346"
"17","KT-565D0","1","-37.81063955834704","21.66672940658113"
"18","KT-612D0","2","22.43800738097918","-59.10763212714833"
"19","KT-705D0","1","-26.76689370822738","29.64366869395909"
"20","KT-718D0","1","-37.51983108936226","33.77564534746735"
"21","JV-071D0","1","-27.4997174644277","42.08702948060208"
"22","BS-082D0","3","13.80605280534618","-16.50062644815286"
"23","BS-336D0","2","19.24122142767737","-35.39495581047465"
"24","BS-346D0","2","24.37890144945625","-45.99532927142411"
"25","BS-351D0","1","-18.07264937166127","17.40994372489936"
"26","BS-364D0","2","10.15188827729723","-39.80896529027402"
"27","BS-377D0","1","-9.500216849125758","35.97065595976043"
"28","JV-138D0","1","-2.801339629206488","46.96441496021266"
"29","KT-313D0","2","20.73034386821706","-41.43478477091757"
"30","KT-412D0","2","12.60411370528724","-30.62165373708756"
"31","KT-445D0","2","30.02044680650855","-26.23178865269178"
"32","KT-537D0","2","30.44169539762659","-36.54320629825614"
"33","KT-538D0","2","26.8425030462994","-63.57875935273351"
"34","KT-539D0","3","9.362635448140399","0.7653679191002529"
"35","KT-663D0","2","30.2939379444553","-53.1604206225749"
"36","KT-695D0","2","17.35818854541835","-27.27274702422367"
"37","KT-716D0","1","-5.616839208301145","30.90567920954416"
"38","KT-723D0","2","22.81802226002296","-52.50249217482689"
"39","KT-771D0","1","-9.286202907899225","42.94711309895718"
"40","KT-805D0","1","-11.92035789040729","31.51699942183553"
"41","KT-880D0","3","21.09643094027143","-3.186936658759866"
"42","KT-974D0","3","18.04865537303899","-20.1001629808855"
"43","BS-671D0","2","23.62347408412062","-28.84648743281252"
