feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
CE 18:1	1.3514046539078257	1.448685929590445	0.03021998792152653	0.60501606218179	1.0310962715442749	0.0116076887391765	0.05688955782700382	0.30995831283856906	0.08470817517708255	0.041179014378211844	0.05009192989929736	4.0187587367760986e-4	5.874921812630107e-4	0.014536580054728878	0.14908692587031797	0.0027799985032553164	0.011488793316938932	0.031056207144652816	0.001013952938663771	0.013886688982757892	0.04210911192761314	0.0043468711322306175	0.060716622498102495	0.0020497156606093777	4.176510436986818e-5	9.015627671498831e-5	0.014757161709968542	0.04013169342564755	0.03930927858200248	0.05232890094753987	0.004129849457317634	0.0752167596779789	0.17719896513014152	1.9113154017589111
CE 18:2	1.60273335632897	0.0931905177457968	0.553241125870426	0.9055385500673797	0.10023164230879594	0.5589065623950734	0.18562674192689277	0.5877642540627709	0.2641281274380459	1.5319215950166285	1.1265700102724157	0.06173198851939883	0.08448073455610587	0.07902859645585616	0.10648547638940882	0.11893737595390617	3.2410403558563137	2.2158051923947526	0.20903705686917354	0.6259036248986893	0.20485063094179112	0.020170488933882177	2.8450034473888945	1.3530193436002513	0.5064223200054405	0.9015800174288491	3.219039999084897e-5	0.02715710017022402	0.0887359409671729	0.010535413989317968	0.364035521857766	0.42196938863118183	1.0897296975540637e-4	1.2812632089406941
CE 20:3	0.5732034998972415	2.0080664116986693	0.8858157102826841	1.5275112434139722	3.0358894719398557	0.043113035815853976	0.35980119365546603	0.01618512787517408	0.15097606897335303	0.1149381201213028	0.21214763843174755	0.03348643511862193	0.06605802301823971	0.0020474412299280593	0.13740871640493243	0.003373553056934825	0.002697324153406274	0.02050395740271078	0.09647952113793008	0.0066628143309104245	0.015761483613093277	0.11282575513686531	0.09388932098067686	1.040694341994623e-6	0.024168350759925183	0.3142927848083526	0.09856754785105779	0.24977254523292297	0.011281289889318107	0.0618362145421455	0.00060351348087328365	0.2951531815421017	0.4844879963271843	5.953467510023049
Cer 34:1;O2	0.9745335471152219	1.4949093360400325	0.19242579255759387	0.13617411718913455	0.062461042437033404	0.03294958336711859	0.025415600296998374	0.09484452479272962	0.01675791753759693	1.2572818412910292	0.7477999689637386	0.010530277920989928	4.728839642893151	2.968384105444325	0.008588796391287809	7.408008005730729	1.0831707509421684	2.5578099702409816	0.01298748904044588	0.40837673085904	0.06659793695660841	0.11250399417877023	0.9533463190978168	3.851934321015904e-5	1.2530651250829898	1.4115533274556824	0.6360826096376551	1.2203107142494971e-5	0.10832446280700031	0.4029741177340929	1.208587611176567	0.11744668913946905	0.15964576806817343	0.3046527951951075
Cer 40:1;O2	0.38564629255453303	2.3394559057456386	0.7565992118100643	1.577485605682669	3.3967555599133266	0.0635928349356923	0.4435536772772495	0.0022042706007523237	0.22358901339597775	0.057943297033392245	0.3528509920705143	0.10761396611272785	0.06100912771459282	0.005131445920828806	0.1261533843595715	0.015286708972248712	0.001269639670296701	0.009844368762043658	0.02250112035169406	0.05668481143421347	0.031195438451168348	0.03158979786292196	0.031918390651871575	0.0020010606000585933	0.013120442231593917	0.2906962443264076	0.17994222444853963	0.025386035974773524	0.022651830214310015	0.015178033760712733	0.0039912102485028375	0.0218795368634624	0.08803590735601186	0.11924671438680659
Cer 42:1;O2	0.5981608998813652	0.20178733872434845	0.04433934091427934	0.5048050211651814	10.218713259960378	0.10393979878939258	3.3893426081408116	0.06521066273754204	0.05276636402642608	0.0023418972534568045	0.013618536428038397	0.02885273560773138	0.02261594843704549	7.85698556261803e-6	0.2870055418491529	0.0012697931579930355	0.047163613537859944	0.0481566397454571	0.034230063010926265	0.04693496286423324	0.0053741493562705885	0.005382925441868344	0.020423344302385276	0.027465737016260774	6.55075391585455e-6	0.1120322047492686	0.04827884094503359	0.0037176061556362795	0.033910816373741166	0.00270119653368256	0.008968649208323002	0.003043232736895396	0.0011089476871814173	0.0013571331732811366
Cer 42:2;O2	1.152918738866154	1.5401311536829698	0.1332701298083098	0.1365709832095321	2.2162406422173057e-4	1.2653940480603953	0.015171857138180546	0.9474841403068784	0.12976002062198788	0.8195937358075318	0.3390649826328601	0.3169081438616493	0.0936374903762639	0.11492567184045799	0.022097116532641837	0.49041811877297664	0.7120027381193245	2.0550433048627026	0.6296080667505537	1.3471845645201357	2.602342636965942	0.008230603684239996	0.9092403836651919	0.6915871659232599	0.4711534911906723	0.4694289241946213	0.24835955947221117	0.008789588755785702	0.06380539423435133	0.2635435804704942	0.20399875230802025	0.3290253810767011	0.08221455778728055	0.2695175017341492
Cer 42:3;O2	0.6032866806445304	0.22112147532701312	0.03782479848762531	0.4674128079811558	10.23045678121009	0.09949048127770387	3.2899983527494716	0.06445056975420256	0.04837638433049768	0.0026935998510755066	0.011226473124612705	0.02656732245555314	0.02343740877642133	1.5596628511549803e-5	0.2881475299363515	0.0011087292480063168	0.04608203194582317	0.04801618298668637	0.03453218539347018	0.04779445857203159	0.005707362146708901	0.005719077345431258	0.020899331399121902	0.027222486001490537	1.944192463147492e-5	0.11598359312547124	0.05049651046669048	0.0039736848345067535	0.03421739415876911	0.0024501563409341015	0.008617781776501934	0.0032598759705536533	0.0014331187204979434	0.30276614416087433
Cholesterol	0.02060954499525356	1.0614279406465592	0.3038989208694735	5.04453647343814	0.12944473689625316	0.13323155837290462	1.6967490824009734	5.941649557578076	0.6400121886848581	1.3871619113436698e-4	1.1068174313529079e-4	2.1456742176381813	2.3787459348463895	2.2866293983316925	1.1248753970812877	0.32231007650683735	0.6721576894651033	0.023127435932117597	1.088800756468679	0.4251420999834403	0.9786769240856058	2.482356749882228	1.9960739117205493	7.2213534999759545	2.689166805317037	0.0266118356342518	11.682060926439288	24.74884105539214	6.086143766571798	0.44190374847464964	3.1083670134079635	1.7021436024658652	1.6784642799273508	0.008498131045502046
DG 32:0	1.127320002361885	0.40540486734410386	0.5090939888973384	0.9461640782464632	0.997938947256885	0.1917751847298066	0.0011926371219992849	2.3148424826864695	5.797554721694661	0.16323846842055847	1.4793075628039698	1.5581075993619267	0.06057820983016517	0.1958958389239476	0.027346685687096355	0.13369261001712357	0.5245942525108458	0.41638573928739364	0.004022574000792576	0.2023204044842294	0.11128001230003687	0.03807658585928645	0.13974149152369011	0.2392320288402848	0.033531972953350565	0.0730984707581018	0.016614960171380245	0.11559028808841047	0.0896776412709131	0.2183049248252739	0.16256604882061698	0.5451792177546919	0.01885006728945962	2.8916521505287065
