sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
BS-082D0	1	-2.954733347731382	8.823514961772526	2.2880088116901924	-0.8252485776137631	0.4025771540826337	-2.948735565775193	0.037304474441445606	-0.8370306423373768	2.8439866720048057	-2.7850048003140024	3.5958685664198664	-0.9618312652161272	0.5757192241907404	0.1305956546888859	0.0516628535412772	0.3758594054468607	-1.6645885286708517	1.0056625085260908	0.27108554320777684	0.5983564288123425	-0.3224921271535363	-0.11335721437822083	-0.5865584430464436	0.35545144140537144	0.13143894603370676	0.12192847758432086	-0.0018049557370877715	-0.040943881534921095	-0.05286777038616014	-0.002590442267979916	-0.02259665670152092	-0.017306981522190033	-0.0034038473285326496	-2.3037127760972e-15
BS-364D0	1	-10.217510278834634	7.907356438234891	-4.167542141730884	-6.106334127574115	-6.4920542581434875	1.2617952793240168	-5.649515510503841	0.40625091163364346	-0.8410104242599566	0.14929738516489466	-0.5574599463558896	0.38468156852881885	0.016795060978510398	0.034236007361550046	0.1870908528206152	0.07126544423920797	0.1264081958022227	-0.06503432839682464	0.029928658482299843	-0.017973864515182264	0.014273237291835173	0.01076011396428704	0.004102613831358224	-0.024910222069765425	-0.008241370676241866	-0.0033036611425249314	-0.00510921488345447	-0.003169542238507394	-0.005052018133767951	0.005759741626873005	-0.003843155171829005	-8.081245442727151e-4	-0.001705466318728404	-1.1518563880486e-15
KT-193D0	3	3.6869659288642613	-1.1128777771108398	-1.336898402169396	0.9450665819004265	0.3297216650621092	-0.42606714991594224	-0.5215600582333496	0.8841129360640805	0.01596857244852245	-0.8029202720124726	0.6092467960730975	1.5760490967124041	-1.4042171126272032	-0.6099301683017484	0.658660101113732	0.8882442094827186	0.3617384400823084	-1.4747734193228508	-1.1807491449897145	0.9693352275049214	-0.20796479889476782	-0.5231522174927955	-0.1849326852171896	0.7741510652981536	0.5142445475444645	-0.15006674565754446	0.048919491469515484	0.6299945372069959	0.7674688222900957	-0.2050229336159803	-0.18502218309540788	-0.15770404366210564	0.01658972853571775	-1.304512053934559e-15
KT-247D0	3	2.4686386261327637	-3.3863211458955145	0.05567197212513463	-1.9334634270513633	-0.4174078055651989	-0.40739929163384386	0.8894098970693891	-1.3826372031703769	0.7519874337868274	0.9761487940267034	1.0074556019990561	1.8510198310117136	-1.6152244459368583	2.1151897665955404	0.513162057866542	-0.4540690369371828	0.20514773114283474	0.6756580485022696	0.1574926566451962	0.1452635249768039	1.1043364158170834	0.08319851500855467	-0.04650730449005481	-0.9401460975205972	0.2732475953649299	0.3877114352761356	0.2632104214188354	-0.5968808043108327	0.39035228344238815	0.13644226309744956	-0.019527027370977026	-0.36469313835309936	0.038070659468606965	-1.6219664500383146e-15
KT-313D0	3	3.3365361238340436	-0.3555063221722326	-1.0544697817437143	1.262590728767925	-0.1653987320540411	1.1112672887259543	-0.1753167181284648	1.0304069857254592	0.4268396227478362	-0.6381890542942591	-0.191769966296155	-0.44029753173572506	0.27634076366653454	-0.5500830399973208	-1.254733375954668	1.057429145184591	1.0653706255114022	0.3997155648208638	0.29994595786799805	-2.1610102687795942	-0.6376958622728219	-0.830991859453255	-0.7064604881938573	-0.2389279158740987	1.179077032022122	0.5306328086305572	0.19503621117240588	-0.06694958694245622	-0.14702720221032803	-0.06122476554210126	-0.001412987618071038	-0.036542444312194264	-0.03117371029351922	-1.8388068845354155e-15
KT-347D0	3	2.277207399201756	-4.307844601137018	0.20674582741062317	-3.6419375443596462	0.16739280580859744	-0.5152192539877523	1.223859305831569	-2.64902354832994	-0.008406650808300463	-0.14159259175848954	-0.4011667587609176	-0.9040338916348393	0.11458673483677614	-0.20008841686351891	0.7236145592724013	-0.01958618619252984	0.6402525266472964	-0.7043975659335865	1.8277817448167963	-0.2455800735873619	-0.6638222024742321	-0.45823793067060603	0.30192386797387666	0.7780065907930445	-0.7448903049192301	0.8266069879918695	0.22839718663582612	0.4666576823190579	-0.10595870060128723	0.08179148775668442	-0.0654016985959265	-0.1953498858263593	0.06386952900000452	-2.0304938286308527e-15
KT-412D0	3	3.847645760722615	-1.1317638656378075	0.9976420100082893	0.5464959564406326	0.7254012298254795	-1.664205403946074	-1.3394514007840737	1.4707172750147803	-0.6834728348072076	-2.338895347107957	-0.7163530235030563	0.7391032667777544	2.1894626547267078	0.08565188732064856	0.2804409460997566	0.13983760883899413	-0.2702345730572224	0.2642151103390364	-0.04376766581739126	-1.4828870754439778	0.5683538053588232	-0.5810846405889684	-0.3128512126755517	-0.5917338314737606	-0.9601575772633418	-0.45928966370587737	0.043171011027537926	0.15159587833014562	0.6718760149300531	0.3490708144729887	0.056012790352327764	-0.018754395191182244	-0.012128725966341512	-2.1024848528838902e-15
KT-417D0	3	1.9224001021683632	3.140644407396359	0.7418132324407299	1.6473578629090784	0.48040821354634067	2.83533280907566	-0.14934159730707147	-0.09520786529399845	1.9166183742247758	-1.0716781549037642	-1.170631954751728	1.0836717977669579	-2.883347594385544	-2.860033954542708	1.200076331045825	-0.3544008351875492	-0.8098040569545568	1.2953780554146175	0.3980083326093019	-1.0003212970230069	0.6168007501060304	0.5987622261364891	0.6803644184478753	0.3005813267943411	-0.17245173338318287	-0.04757199167835943	-0.019121894624552407	0.0372579377449926	-0.0084620906136078	-0.07497728574472337	0.036484147455130046	-0.0034428881208841905	0.007904354851354097	-1.797173521111972e-15
KT-445D0	3	2.5190452444161964	2.0683396544868526	-1.4395385564328538	3.07787399559263	-0.5441880767792406	1.9501281069584475	0.22490678719333246	0.2662213276298765	2.0195128964200886	0.277943660306438	-0.20361142791710737	0.5773621474854033	1.2586397155299447	1.4179519305204387	1.300311650754903	0.6026955369608035	2.620705105950798	0.7066284141166354	0.21022496274277772	0.3075221818801796	0.1342931818333776	1.0977305717618284	-1.0567136644358	0.9538074995822327	-0.277076543074402	-0.2516923811740815	-0.020769711462615782	-0.07184524062074177	-0.13604199562355343	0.07542380285609519	0.018205913308563325	0.026995636737691404	0.009185552231275766	-1.6826817716975029e-15
KT-522D0	3	2.8717754780755373	-3.1551030675216105	1.1306215207582053	-2.847965531408404	0.1784049988137455	0.36559306107520884	0.8060822206440303	-0.4701422883681316	0.9536986514859124	-0.23192084623361212	0.32621348672033035	2.3119957553527235	-1.4148277390339674	1.607767102949134	-0.9185498342547654	0.20491548616274988	-0.26085497412571074	-0.344466946959135	0.4799506951010879	-0.05039792727253672	0.410657209057999	-0.5512674290672532	-0.06282840838976533	0.11168643892804186	-0.011311089081167585	-0.47793487772665133	0.6194325146527719	0.29980278815527744	-0.38406379058969636	0.026737774186207226	0.029110520620465572	0.5283482052845775	-0.07595674481863356	-2.4216739724636227e-15
