"","sample_name","group","UMAP-1","UMAP-2"
"KT-539_D0_D60","KT-539_D0_D60","2","-0.7790219768499718","-0.5509552665245838"
"BS-671_D0_D60","BS-671_D0_D60","1","0.1377466932321205","0.2246038012015514"
"KT-805_D0_D60","KT-805_D0_D60","2","0.6436043993020668","-0.1769144244683094"
"BS-336_D0_D60","BS-336_D0_D60","1","-0.5782903417562828","1.590799509714811"
"BS-082_D0_D60","BS-082_D0_D60","1","-1.549180446526943","1.730469851921766"
"BS-351_D0_D60","BS-351_D0_D60","1","-1.216679213902889","0.9177822165000133"
"BS-377_D0_D60","BS-377_D0_D60","1","-0.4949680551504478","0.2696439318167858"
"KT-313_D0_D60","KT-313_D0_D60","1","-1.333837984464108","1.385621993969648"
"BS-364_D0_D60","BS-364_D0_D60","2","0.3999201074624672","-1.431340903807909"
"KT-880_D0_D60","KT-880_D0_D60","1","-1.116759894750057","1.652812420557707"
"JV-138_D0_D60","JV-138_D0_D60","2","0.9077159181619301","-1.867501706649096"
"KT-412_D0_D60","KT-412_D0_D60","2","-0.219347833058773","-0.4789502330315418"
"KT-771_D0_D60","KT-771_D0_D60","2","1.574206949808659","-0.705651731063158"
"KT-723_D0_D60","KT-723_D0_D60","2","1.40817773494965","0.0467876486289196"
"KT-538_D0_D60","KT-538_D0_D60","1","0.3739708677316322","1.052228181790083"
"KT-716_D0_D60","KT-716_D0_D60","2","0.2717820421243324","-1.96969196276787"
"KT-974_D0_D60","KT-974_D0_D60","1","-0.9371993526434288","0.1745887093054943"
"KT-537_D0_D60","KT-537_D0_D60","2","0.8290501848245277","-1.241077394057543"
"KT-445_D0_D60","KT-445_D0_D60","2","1.271056772806705","-0.8700446792137928"
"BS-346_D0_D60","BS-346_D0_D60","1","0.5184911504769936","0.7332625679480724"
"KT-663_D0_D60","KT-663_D0_D60","1","0.04837978039032365","1.355071096848219"
"KT-695_D0_D60","KT-695_D0_D60","1","-1.61377644386047","1.166609971951216"
"BS-064_D0_D60","BS-064_D0_D60","2","0.1258093133950844","-0.2018501468193836"
"KT-705_D0_D60","KT-705_D0_D60","1","-1.023674009702145","1.368542044590681"
"KT-347_D0_D60","KT-347_D0_D60","1","0.1123353258157387","0.5472070269095592"
"KT-515_D0_D60","KT-515_D0_D60","2","1.535846592524113","-0.3569903083336659"
"KT-718_D0_D60","KT-718_D0_D60","1","-0.1048558935140953","0.9421898416983776"
"KT-417_D0_D60","KT-417_D0_D60","2","0.7735131994271889","0.1026152662741833"
"KT-522_D0_D60","KT-522_D0_D60","1","-1.080376504323421","0.4316937021720104"
"KT-312_D0_D60","KT-312_D0_D60","1","-0.7289812549566612","0.6866948894965343"
"JV-157_D0_D60","JV-157_D0_D60","2","1.089685799219669","-1.222938270140917"
"KT-193_D0_D60","KT-193_D0_D60","1","-0.24003159847015","1.492222338150709"
"JV-035_D0_D60","JV-035_D0_D60","2","-0.5353652223562584","-1.347595901061327"
"KT-434_D0_D60","KT-434_D0_D60","2","-0.319135545155941","-1.462329597045214"
"KT-247_D0_D60","KT-247_D0_D60","2","0.6118253484750404","-1.6850955195916"
"KT-612_D0_D60","KT-612_D0_D60","2","0.1767550722146645","-1.783127040435106"
"KT-525_D0_D60","KT-525_D0_D60","2","-0.9018881305670128","-0.8859915442955799"
"KT-352_D0_D60","KT-352_D0_D60","2","1.116680266001286","-0.3754074283135242"
"JV-148_D0_D60","JV-148_D0_D60","1","0.8468161836648598","0.7420070461737804"
