"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"DG 32:0","DG 32:0","0.88973","1.46318","0.2132","0.44927","1.35685","2.30152","0.81442","1.71797","0.26702","1.80886","0.63654","2.31081","0.10979","0.00231","0.0524","2.03368","3.06606","1.13587","0.21011","0.83938","1.17106","0.03575","0.44492","0.64465","1.95879","0.33686","0.0702","1.24876","0.05454","0.28345","1.09552","0.03328","0.6125","1.6917","1.06421","3.60245","0.85696","2.55218","0.11019","0.79986","0.92326","4.18647","0.12985"
"DG 32:1","DG 32:1","0.30082","1.21773","3.87298","0.02613","1.18533","0.90501","0.06008","1.05461","0.48845","0.16005","1.77262","2.40665","1.97958","0.64113","2.46371","0.33995","0.92176","0.14044","0.26002","4.37835","0.20923","1.51103","0.16542","0.22909","0.91774","5.83575","1.30902","0.02955","1.14019","0.87671","0.40261","0.06574","0.28136","10.69559","1.15287","0.23759","1.07045","0.00753","1.78635","0.68645","0.35814","0.32175","0.40865"
"DG 34:1","DG 34:1","1.0669","0.53253","0.74477","2.29912","0.55988","1.79324","0.00974","3.17148","0.47896","0.00201","0.75106","0.79848","0.25015","0.71005","2.05643","0.23448","0.40856","1.4207","0.00264","0.15462","0.31381","1.43318","0.00055","0.01743","0.51272","0.16283","0.13363","1.02207","0.51921","2.73484","0.96774","1.84811","0.00054","2.4498","0.61244","0.4068","4.37832","2.23102","0.35502","1.87827","0.60689","0.25787","0.02131"
"DG 36:3","DG 36:3","1.16155","0.30666","0.18228","2.13204","0.03892","1.08581","0.00396","5.48229","2.43792","0.28037","1.24493","0.00001","0.11031","1.57148","0.31359","0.14173","0.52321","0.59953","1.0462","0.05405","0.68315","1.20298","0.02078","0.74868","0.00265","2.93306","0.0518","4.75701","1.44099","0.35516","1.85124","0.01315","0.70268","0.01927","0.00688","0.61271","0.46806","0.74178","0.24701","0.00925","0.76575","0.61911","0.0609"
"DG 34:2","DG 34:2","1.28766","0.50289","0.6379","0.44141","0.33319","1.26038","0.48156","1.6551","1.65261","0.00001","3.61819","0.08412","0.11575","0.02568","3.12939","0.17348","1.35384","3.53799","0.15997","0.03787","0.62133","5.61618","2.02473","0.39664","0.23561","0.02746","0.00089","0.24838","4.69201","0.06791","0.07808","0.43798","0.85853","2.61483","0.44702","0.66971","1.05296","0.2875","3.23547","0.03826","0.21711","1.53517","0.06694"
"DG 36:1","DG 36:1","0.15874","0.03569","1.44851","1.10968","2.04975","1.0487","0.94135","4.67584","0.20711","1.31637","0.67831","0.3718","11.24642","0.95242","1.90385","1.36688","5.9612","0.00648","0.68439","1.07986","0.24408","1.29296","0.9118","0.02061","1.00822","0.39475","6.08157","0.20242","1.80959","1.21227","0.00694","0.66211","0.00366","1.22242","0.51946","0.05773","1.26102","3.19657","1.22001","0.37551","2.092","0.08092","0.39644"
"DG 36:2","DG 36:2","1.12382","0.29631","0.13203","1.49933","1.85774","0.62592","0.06417","2.15453","2.60659","0.15962","3.36438","0.68429","0.60978","1.41639","0.52345","1.91486","0.08411","1.96135","0.06997","0.95309","0.68492","0.05169","1.47912","0.09198","0.01314","0.05091","0.40735","0.06816","1.52152","1.12255","2.25396","1.19157","1.46993","0.20735","0.1226","0.04378","0.77347","0.00403","3.77385","0.00146","0.00001","2.19176","0.47039"
"CAR 18:1","CAR 18:1","0.01226","0.00578","0.00736","0.27021","0.00104","9.15992","2.42523","0.00151","0.05259","3.70902","0.23138","6.68602","0.00547","4.72976","3.67625","5.03085","2.4539","5.56061","6.99724","0.867","0.73298","0.54448","0.04455","0.05981","0.87547","0.82251","4.84904","1.32534","2.03611","0.00034","0.1823","0.01169","1.32269","2.2383","0.0337","0.00824","0.07275","0.09772","0.06639","0.0119","0.38015","0.41009","0.16257"
"CE 18:2","CE 18:2","0.01506","0.2468","1.91699","0.1528","4.33535","0.81619","0.056","0.07918","0.14075","3.99865","0.01246","1.04416","12.13255","0.97331","3.39412","0.70984","0.01112","0.07214","0.69634","4.0674","1.65323","4.65344","0.16209","4.91832","0.25768","1.96711","0.0266","3.1732","2.30954","6.39826","0.16845","0.62559","0.22884","0.99882","0.22651","0.00573","1.91137","0.04161","0.02791","1.31368","0.20753","0.06938","0.63505"
"Cer 40:1;O2","Cer 40:1;O2","0.92257","0.2725","4.28523","0.11961","0.28807","1.62168","0.19621","2.76599","0.04137","0.40985","0.44108","0.63614","0.45894","0.47385","1.00447","0.34817","0.30925","0.02412","1.00848","0.95877","0.14114","0.67602","0.04648","0.40876","0.21033","3.51694","1.29446","1.64665","2.84752","0.87495","0.74609","0.06579","0.27391","0.71604","0.08459","0.33337","2.91182","3.2217","0.43172","0.06385","1.22598","0.00392","1.43937"
"Cer 41:1;O2","Cer 41:1;O2","0.62121","0.07122","2.97736","0.45724","0.18223","1.98271","0.32897","3.6853","0.92718","0.00001","0.27146","0.28033","0.00806","0.46571","1.43675","0.13803","0.17158","0.25198","3.74359","11.62983","0.17543","2.02246","0.27569","6.51922","0.12507","2.85391","0.19889","2.95843","8.2576","0.49866","0.04517","0.40508","4.08792","2.18862","6.88912","0.11061","2.40841","0.0333","0.36589","0.2315","0.09867","0.00891","0.03789"
"Cer 42:2;O2","Cer 42:2;O2","0.48115","0.12909","1.8351","1.54571","0.00341","2.16397","0.20443","3.00061","0.23952","0.44364","0.60715","0.15665","0.15013","0.99906","0.1964","9.78389","1.231","0.01986","15.93309","0.25665","0.09124","2.08561","0.58958","0.49612","3.77766","0.05258","0.22135","2.03996","0.39882","0.15748","0.00109","11.88361","0.44027","0.64632","1.97561","1.44001","2.25689","0.16216","0.39056","0.04067","2.94365","0.10492","0.54134"
"LPC 16:0","LPC 16:0","0.64865","0.31207","1.20723","2.14547","3.78315","0.77883","0.72557","3.60589","0.50961","0.78803","0.00248","0.43881","0.17834","0.09571","1.6189","0","0.92395","0.90012","0.19734","0.00001","0.19518","0.02697","0.01741","0.00096","0.51156","0.27309","0.09106","5.50716","0.89889","0.01945","0.75668","0.06995","0.072","0.02508","0.35643","0.07957","0.99424","0.00602","0.11805","0.00065","0.00615","1.54958","0.03326"
"LPC 16:1","LPC 16:1","0.12282","0.26798","2.53111","0.18418","6.11571","0.1216","0.62847","0.85851","0.30949","0.10255","0.76883","0.99879","0.74535","0.03414","3.60402","1.19475","3.50566","4.99164","0.85911","0.49667","5.08278","0.03203","3.94158","0.00847","0.34822","1.50278","0.28715","0.81358","1.89423","3.79972","0.28637","0.35281","0.05347","0.03254","1.72494","9.06401","0.3012","0.54445","0.03815","0.04496","3.31065","1.12227","0.58084"
"LPC 18:0","LPC 18:0","0.79232","0.49514","2.94228","0.95473","3.39233","0.32749","0.46433","2.33699","0.02762","0.19035","0.16734","0.2144","0.01016","0.01399","0.8465","0.03636","0.79417","0.03449","0.0258","0.01431","0.0711","0.27778","0.40531","0.15727","1.14635","0.95122","0.13574","1.07104","1.17771","1.10675","0.15445","1.07603","0.08664","1.45292","0.06674","0.03063","1.63845","2.51066","0.76678","2.08118","1.17471","1.40382","2.52847"
"LPC 18:1","LPC 18:1","0.70418","0.92604","1.11429","2.1315","3.18701","2.08089","0.62378","1.44896","0.70369","0.05403","0.04838","0.48972","0.07549","0.26821","0.86089","0.01627","0.00004","0.17603","0.58479","0.79569","1.2207","0.00398","0.00869","0.07135","0.01494","0.00089","0.49956","0.51353","0","0.75874","0.00113","0.01914","0.11033","0.01355","0.04674","0.66597","0.19779","1.21446","0.39834","0.36994","0.28768","2.18707","1.72054"
"LPC 18:2","LPC 18:2","0.79382","0.59632","0.53809","1.13319","2.07337","7.11909","0.01903","0.03446","1.89766","0.32311","0.03915","0.42638","0.00333","0.07457","0.00476","0.06024","1.31735","0.29866","2.40076","0.22936","0.41133","0.19791","0.4995","0.62943","0.79761","1.74493","0.61151","1.95406","0.07821","0.76236","0.07369","0.18111","0.01355","0.03827","3.42467","0.04431","3.13289","0.70797","0.09718","1.46306","1.01913","5.01305","6.74862"
"LPC 18:3","LPC 18:3","0.10145","0.67966","0.9106","3.92522","2.10442","2.00763","1.16151","2.41106","0.63233","0.22782","0.06034","0.32023","1.01954","0.21387","1.17282","0.33767","0.3632","3.2612","0.51409","0.0008","0.93295","2.32176","2.09132","0.01321","0.93196","5.4759","2.83398","6.15151","0.51534","1.24003","0.66283","0.34364","0.01354","0.49254","1.422","0.27299","1.26271","0.38578","0.7139","1.05629","0.16578","0.08172","0.05501"
"LPC 20:3","LPC 20:3","0.88924","0.04737","3.32733","1.51142","0.60558","0.4436","0.04963","0.93616","0.56713","0.40171","3.1475","0.46228","0.00965","0.3559","0.52414","4.0115","0.00014","1.01144","0.4047","0.69196","0.38339","1.40579","0.23083","0.10281","0.02684","2.61623","3.38037","0.00669","3.14566","1.77804","0.208","0.22814","0.81401","1.90829","0.86242","0.98201","0.28777","0.15384","3.67916","0.24994","0.0185","0.19267","0.57522"
"LPC 20:4","LPC 20:4","0.65757","0.00772","0.65354","3.0255","1.80813","3.48881","0.00226","0.94112","5.91239","0.00662","0.9124","0.09377","0.54542","2.11525","0.01256","0.07932","0.38815","0.34571","0.47435","0.06088","0.68977","0.06871","1.56435","0.09013","0.18431","0.08833","0.19342","0.90065","0.0207","0.12707","1.12108","0.02674","0.0514","0.42732","2.1229","1.29258","0.11764","0.01214","1.47416","0.56363","0.00718","4.47577","7.91078"
"LPC 22:6","LPC 22:6","0.75494","0.06196","0.33697","2.37978","0.20043","0.34146","2.13326","4.2068","0.00434","3.40398","0.00006","0.06609","0.01669","4.53649","1.43881","1.62639","2.54316","2.25635","0.10432","1.27607","1.59388","2.19191","2.54922","4.06319","0.28361","0.59802","0.79779","0.71816","2.48195","0.02939","0.02817","0.03956","0.14885","0.47462","0.31229","0.32393","1.6265","1.77831","0.73821","0.05365","7.1028","0.20855","0.28086"
"LPC O-16:0","LPC O-16:0","0.44463","0.17726","2.78611","0.38159","3.27565","0.33832","0.29194","1.97143","0.21944","0.06137","0.83775","4.39749","0.01709","1.62661","0.01767","0.0297","2.93747","0.40315","8.8282","0.08862","1.49037","0.02685","0.57967","0.12494","2.09578","0.01463","0.17599","1.28046","0.90079","2.48329","7.71492","1.19787","0.01556","0.69634","2.07135","5.24373","1.21907","1.21161","2.09607","0.51103","0.62415","2.36268","0.1592"
"PC 30:0","PC 30:0","0.53951","0.28974","1.12199","1.64526","3.30602","0.37832","2.25421","2.64071","0.5089","4.10596","0.11112","0.01847","0.01364","0.35678","1.74035","0.00255","1.41591","0.27683","0.68029","0.07088","0.01013","3.47685","0.41452","0.0494","0.00072","1.97945","0.2949","0.42265","0.7861","2.87952","1.81818","0.17892","0.26965","0.26983","0.31656","0.02071","1.05283","0.58552","4.7868","0.94446","1.88957","0.23036","0.06953"
"PC 32:0","PC 32:0","1.858","0.03349","1.56213","0.34686","1.32764","0.09521","0.08464","0.86153","0.39486","0.00009","0.08034","0.73584","0.00051","0.50602","0.63192","0.29222","0.37173","0.33971","0.03142","0.74968","2.37686","0.01479","0.31646","0.06725","2.49746","0.31805","0.17377","0.22795","1.14486","0.05798","0.05796","0.0761","3.44649","0.18285","0.00071","4.51237","2.94356","0.31238","0.04997","2.76645","0.17787","0.00016","0.65323"
"PC 32:1","PC 32:1","0.85402","1.16993","0.01179","0.43045","4.89453","0.00002","0.65466","3.00866","0.15539","0.87975","0.53351","0.4987","0.05639","0.52707","0.02451","0.40224","0.48954","2.07401","2.59075","1.21248","0.01365","0.95921","1.30519","0.47616","0.01456","0.26943","0.14681","0.09764","0.16839","0.35239","2.29374","0.18095","0.01738","2.44804","0.09109","0.01055","0.7904","0.62921","2.83543","0.67317","0.02207","0.014","0.04365"
