feature	log2FC_severe_vs_mild	p_ttest	p_wilcoxon	padj_ttest	padj_wilcoxon
9,10-DiHOME	0.7207918800057482	0.05493538602079838	0.08689352724966705	0.5493538602079838	0.8689352724966705
12,13-DiHOME	0.9630793531733943	0.03179639913872646	0.0648844014210387	0.5493538602079838	0.8689352724966705
9-HODE	0.47057918350612354	0.22893665010330735	0.4925370249719444	0.9326174362687287	0.9087097226489765
13-HODE	0.2897679397235298	0.3233279299003108	0.5602938607346238	0.9326174362687287	0.9087097226489765
9-oxo-ODE	0.3248360467433122	0.5951804013610716	0.647235645884513	0.9326174362687287	0.9087097226489765
13-oxo-ODE	0.6688830681188426	0.3379710213424808	0.3315983190349144	0.9326174362687287	0.9087097226489765
9,10,13-TriHOME	0.06337081582806096	0.9244834586846586	0.8952441953226782	0.9326174362687287	0.9279015094964006
9,12,13-TriHOME	0.4091237938162743	0.3373200192862219	0.1978815907486977	0.9326174362687287	0.9087097226489765
8,9-EET	-0.4503775559491175	0.3927699713178725	0.3374098210415523	0.9326174362687287	0.9087097226489765
5-HETE	-0.31811603543367784	0.31403121779382165	0.30528984529165004	0.9326174362687287	0.9087097226489765
8-HETE	0.07648926777723916	0.7655248644090178	0.6884589833843807	0.9326174362687287	0.9087097226489765
12-HETE	0.02223218300985512	0.9326174362687287	0.9279015094964006	0.9326174362687287	0.9279015094964006
15-HETE	-0.03151895142137766	0.8863269598871941	0.907382582150859	0.9326174362687287	0.9279015094964006
5-oxo-ETE	0.24495235870756749	0.661637493367456	0.6884589833843807	0.9326174362687287	0.9087097226489765
LxA4	0.3986015621124649	0.4685631738441455	0.6659172914032951	0.9326174362687287	0.9087097226489765
TXB2	0.25104105461276743	0.5820117247357484	0.22678577482475296	0.9326174362687287	0.9087097226489765
9-HOTrE	-0.10002991937992539	0.869748958906776	0.6884589833843807	0.9326174362687287	0.9087097226489765
13-HOTrE	-0.07004825193912863	0.8742144114699836	0.9279015094964006	0.9326174362687287	0.9279015094964006
14-HDHA	0.11107147587123767	0.6377203588387914	0.5090637828737308	0.9326174362687287	0.9087097226489765
17-HDHA	0.18071977274116152	0.5522630827676653	0.7269677781191812	0.9326174362687287	0.9087097226489765
