group	n	median	mean	sd
healthy	15	142.37161366492398	298.58605631050887	352.8370769900695
mild	22	535.3800903542012	1211.1824771448191	1593.346698532352
severe	20	291.41094660070223	459.89331133911753	473.3522109923664
