feature,mean_ctrl,mean_moderate,mean_severe,sd_ctrl,sd_moderate,sd_severe,method,statistic,pval,mLog10p,padj,mLog10padj,sig_p,sig_padj,class,Lipid.Maps.Category,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,Mass,Sum.Formula,Total.FA,Total.C,Total.DB,Total.OH,FA,FA.C,FA.DB,FA.OH,LCB,LCB2,LCB.C,LCB.DB,LCB.OH,LCB.Bond.Type,FA1,FA1.C,FA1.DB,FA1.OH,FA1.Bond.Type,FA2,FA2.C,FA2.DB,FA2.OH,FA2.Bond.Type,FA3,FA3.C,FA3.DB,FA3.OH,FA3.Bond.Type,FA4,FA4.C,FA4.DB,FA4.OH,FA4.Bond.Type,Category,Main.Class,Sub.Class,Cellular.Component,Function,Bond.type,Headgroup.Charge,Lateral.Diffusion,Bilayer.Thickness,Intrinsic.Curvature,Transition.Temperature,FA.Unsaturation.Category1,FA.Unsaturation.Category2,FA.Chain.Length.Category1,FA.Chain.Length.Category2,FA.Chain.Length.Category3,LION.abbr,GATOM.abbr,LIPIDMAPS.reaction.abbr,LION.ID,LIPID.MAPS.ID,SwissLipids.ID,HMDB.ID,ChEBI.ID,KEGG.ID,LipidBank.ID,PubChem.CID,MetaNetX.ID,PlantFA.ID
PC 38:4;P/38:5;O,9.406363636363636,6.111875,7.088,3.213767327125664,1.9147783814321697,2.0003174748024373,Kruskal–Wallis test,13.17029099421305,0.0013807264612802055,2.85989235192341,0.12261136155565272,0.9114692848558855,yes,no,PC,GP,PC 76:9;O;P,PC 38:4;P_38:5;O,PC 38:4;P/38:5;O,SN_POSITION,1380.0864099550001,C84H151NO9P2,76:9;O;P,76,9,1,38:4;P|38:5;O,38|38,4|5,0|1,NA,NA,NA,NA,NA,NA,38:4;P,38,4,0,ESTER,38:5;O,38,5,1,ESTER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glycerophospholipids [GP],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polyunsaturated fatty acid|Polyunsaturated fatty acid,FA with more than 2 double bonds|FA with more than 2 double bonds,FA with more than 18 carbons|FA with more than 18 carbons,FA with more than 24 carbons|FA with more than 24 carbons,Very long-chain FA|Very long-chain FA,PC(38:4/38:5),PC(38:4;P/38:5;O),PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SM 41:1;O2,8.443181818181818,4.989375,7.298,3.6972156658293116,2.038425761055166,6.813704572404061,Kruskal–Wallis test,10.967044682267838,0.004154669730268871,2.381463494147662,0.12261136155565272,0.9114692848558855,yes,no,SM,SP,SM 41:1;O2,NA,NA,SPECIES,800.677126035,C46H93N2O6P,41:1;O2,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sphingolipids [SP],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SM(41:1),SM 41:1;O2,Sphingomyelin,LION:0144067,LMSP03010076|LMSP03010077|LMSP03010078,SLM:000390811|SLM:000394397|SLM:000394460|SLM:000394708|SLM:000395950|SLM:000398127|SLM:000398330|SLM:000487554|SLM:000488919,HMDB0012105,138575|83880,NA,NA,46891684|52931211|52931213,MNXM107142|MNXM572781|MNXM576450|MNXM681828|MNXM682007|MNXM682129|MNXM682234|MNXM82218|MNXM82264,NA
PC 32:1,6.532727272727273,11.355625,9.4,3.2479725277664433,4.760586754802396,6.357837682734594,Kruskal–Wallis test,10.581731693253886,0.005037396757910526,2.297793841680458,0.12261136155565272,0.9114692848558855,yes,no,PC,GP,PC 32:1,NA,NA,SPECIES,731.54650577,C40H78NO8P,32:1,32,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glycerophospholipids [GP],glycerophosphocholines [GP01],diacylglycerophosphocholines [GP0101],endoplasmic reticulum (ER),membrane component,NA,headgroup with positive charge / zwitter-ion,average lateral diffusion,low bilayer thickness,neutral intrinsic curvature,average transition temperature,NA,NA,NA,NA,NA,PC(32:1),PC(32:1),PC,LION:0000158,LMGP01010490|LMGP01010492|LMGP01010566|LMGP01010882|LMGP01011329|LMGP01011352|LMGP01011389|LMGP01011413|LMGP01011439|LMGP01011479|LMGP01011500|LMGP01011525|LMGP01011582|LMGP01011757|LMGP01011805|LMGP01012145,SLM:000000652|SLM:000008074|SLM:000008534|SLM:000008627|SLM:000009164|SLM:000009571|SLM:000009883|SLM:000011146|SLM:000011234|SLM:000012252|SLM:000012337|SLM:000012411|SLM:000012672|SLM:000012822|SLM:000013246|SLM:000013301|SLM:000013569|SLM:000013611|SLM:000013908|SLM:000013915|SLM:000013948|SLM:000013962|SLM:000056494|SLM:000063403|SLM:000063455|SLM:000063564|SLM:000063619|SLM:000063725|SLM:000065436|SLM:000065493|SLM:000087771|SLM:000087829|SLM:000087953|SLM:000088017|SLM:000088144|SLM:000088208|SLM:000088401|SLM:000088465|SLM:000088853|SLM:000089307|SLM:000089825|SLM:000090149|SLM:000091813|SLM:000091873,HMDB0007872|HMDB0007873|HMDB0007904|HMDB0007969|HMDB0008001|HMDB0008032|HMDB0008064|HMDB0008097,143714|66849|73793|74000|84808|86092|88907|89667|89680|89731,NA,NA,24778618|24778620|24778931|52922140|52922186|52922260|52922308|52922360|52922440|52922481|52922529|52922643|52922993|52923089|53478711|6443788,MNXM129292|MNXM192987|MNXM223977|MNXM236605|MNXM244813|MNXM287218|MNXM291415|MNXM344988|MNXM368585|MNXM370653|MNXM448960|MNXM458195|MNXM459667|MNXM600188|MNXM600253|MNXM600307|MNXM600371|MNXM600549|MNXM600611|MNXM600670|MNXM600731|MNXM600907|MNXM600966|MNXM601026|MNXM601372|MNXM601485|MNXM602149|MNXM602883|MNXM603637|MNXM604107|MNXM606462|MNXM606527|MNXM606603|MNXM606668|MNXM69077|MNXM69137|MNXM69138|MNXM69185|MNXM69376|MNXM69524|MNXM69598|MNXM69653|MNXM70009,NA
