"","KT-612_D0_D60","BS-346_D0_D60","BS-671_D0_D60","BS-336_D0_D60","KT-313_D0_D60","BS-377_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-412_D0_D60","KT-445_D0_D60","JV-138_D0_D60","KT-352_D0_D60","BS-364_D0_D60","JV-148_D0_D60","KT-515_D0_D60","KT-663_D0_D60","KT-537_D0_D60","KT-695_D0_D60","KT-705_D0_D60","BS-082_D0_D60","KT-880_D0_D60","KT-716_D0_D60","KT-522_D0_D60","JV-157_D0_D60","KT-247_D0_D60","KT-926_D0_D60","JV-035_D0_D60","KT-312_D0_D60","KT-718_D0_D60","KT-193_D0_D60","KT-805_D0_D60","KT-417_D0_D60","KT-525_D0_D60","KT-539_D0_D60","BS-064_D0_D60","BS-351_D0_D60","KT-347_D0_D60","KT-538_D0_D60","KT-434_D0_D60","KT-974_D0_D60"
"SM 41:2;O2",2.19346161551761,0.237978973921904,-0.111417322548791,-0.0592603899703274,1.30253893536821,1.62403031415267,0.406436141783573,0.349602230997653,2.46278452670584,1.13490159079061,0.876718196471734,0.49804303951403,0.0911466302567061,-1.22959115237607,-0.0966953780221749,0.980583230239179,0.0775217993717726,-0.232568788739612,-0.0909520972949258,-0.150041096533571,-1.5686478352786,-0.718243559634577,0.340166223517597,-0.0848408956271149,-1.0951104737005,-1.53801186087896,-1.52845024190812,-0.756532891912554,-2.24955122033589,-1.17766314761703,0.596359829450804,-0.0944241105182096,0.0489061467963147,0.712561925992244,0.57965480012101,0.34349742458239,-0.569296975951841,-0.55196973276766,-0.711849315902117,-0.241775088033189
"SM 41:1;O2",1.42498541039095,0.339129020735901,-0.294242805464333,-0.156116395002939,0.204460894520844,1.2423564425593,0.850916957073069,0.231749226766681,0.593587480892669,0.805119016446479,1.89416429253252,0.201207900530596,0.758801679369923,-1.08481019177025,-0.419347438964906,1.60060381574372,-0.20749083194424,-0.0327276760765595,-1.11960461506484,-1.2111424722894,-1.33864901161588,-0.546883066822352,0.349949091978505,-0.136444159777961,-0.506041178803747,-2.24238409852077,-0.822007266839085,-1.05828623295264,-1.55248705242793,-0.53419372636048,0.269274280590757,-0.44949150247995,0.358820162513982,0.323250957033852,2.29238237845429,1.86343610083625,-0.449275868039411,0.0052152185154859,-0.767330589240827,-0.680454147027282
"SM 39:1;O2",1.37579790442885,0.797469225461822,-0.492740296239508,-0.0380798758744954,0.435330952632243,0.51560868462912,-0.0573333724266849,0.342483135359551,1.7788867781882,0.867336135232653,1.33449564252045,1.39495280332816,0.381122256558793,-1.2966953742567,-0.145138895206044,1.44860735721783,-0.117472450524517,2.51822281558358,-0.307364198767585,-0.332232304746839,-1.31743193438192,-0.505457577552878,-0.566197840130666,-0.267661606557566,-1.10318194855139,-1.36270340299325,-1.16589307357592,-0.93772325499683,-2.09336323790651,-1.28812938042527,-0.379934882536486,-0.66466604405539,1.06005871680774,0.737876453686334,0.518995293384866,0.63397550102764,-0.653238924006975,-0.216595837222269,-0.319728319603211,-0.512255623508942
"PC 40:3;P/40:4;O",-0.109148850194251,0.261572633197611,-0.579141487977172,-0.289728751599541,1.58097065561255,0.481449705488589,0.277921734817248,0.464845477540996,0.868934028532678,0.975810896022167,1.27207271588642,0.737946036932033,0.575129618822478,0.217528081322034,0.0172007812898326,-0.377851228724601,-0.0894577844043371,1.5023846996286,0.130366118615236,0.431881234554755,-0.473246425246295,-0.233742538405555,-0.34867301749914,0.0143880355843037,-0.512049041540548,-0.849559621473483,-2.12440183365575,-1.48900303604025,-2.89003035641807,-2.24402685952904,-0.418284541036289,0.34255869975141,0.494843606285906,0.959571027239372,2.24101127073547,0.317478716608807,-0.286794443087902,-0.0828137498494945,-0.111369163514396,-0.656543044272374
"PC 38:2;P/38:3;O",0.2054129715143,0.0225363908532302,-0.278031238508756,0.0140122914451503,2.03397038331036,0.977861179140558,0.522867098166386,0.456592525851566,0.950435875221366,0.672611105201888,1.7277010083585,0.751287609667297,0.741709641735753,0.00712069422149805,0.378804812485047,-0.197649348449202,0.00703166866692739,1.50126667509133,0.104088515982376,0.259425291393187,-0.176696319943621,0.0692754466383411,-1.54685625628348,-0.215675979161415,-0.649872958530767,-0.860578767166691,-2.2065936856026,-0.55926219488194,-2.73955628784691,-0.823192660876849,-0.220950079014562,0.513139852568472,-2.21243743878267,0.63578142616108,0.239227081745954,0.0837761898423702,-0.255719439624571,-0.2821564643189,1.2815516125266,-0.932258228796608
"LPC O-16:0",0.466498490004332,-0.151690073546564,0.232246914299473,0.021943276036384,0.375953895791633,0.361618097575674,-0.0311423454047494,0.0177244661268936,0.758084239531681,0.418191991617401,1.76597939747985,1.79435243128292,0.462960069868894,-1.28708503389103,0.406484997316901,0.401944131950104,1.93343055000395,1.77082650505006,-1.66936989141253,-0.358091313770189,-1.29678273072887,0.229459565978565,0.192885109649562,-1.47686581804054,-0.631679928726268,0.0508197726276134,-0.267122201306859,0.0174858890771419,-1.67529137796065,-1.6544476546744,0.416452135220437,0.00477276128481976,-1.58821713045092,-0.0586353600885629,-1.8806997757802,-0.276105647644348,1.72230816232538,0.23050455492026,0.234216462070715,0.0160824163360563
"PC 36:2;P/36:3;O",0.344771305915256,1.18562203998084,0.601020027065206,-0.0995000129277131,1.24921936339806,1.00907562601197,0.56476734073247,-0.212893073580375,0.408720130128795,1.09942160465285,0.635814596314048,0.0439598527281303,1.44277531472448,0.45390462122337,0.549247673731794,0.399864051296769,0.670086513785284,-0.738267115800571,0.468163324429839,0.334156351763902,0.357946855619673,1.46585303387419,0.00936106224105996,0.253637221273842,-1.30696348882012,-1.06391594890173,0.0399164790459956,-0.787524894723841,-3.19752450809094,-1.64261128984275,0.0787041050045374,0.919584991588427,-1.90132294349999,-0.222050405406566,0.1557682235019,0.303285401246726,-1.11592277967341,-0.306441520234486,-0.673684606342286,-1.77602452343464
"PC 34:1;P/34:2;O",-0.993537785113314,0.457307032078901,0.443603061367334,-0.360343559898256,0.228111075818224,0.595272155311644,2.21128493519191,-0.0639509862421382,0.289456276155798,1.0495254020034,0.985390084859179,-0.0394304426305675,0.71236679803478,0.427003624084448,0.715580195662294,0.399575638747384,0.520405040788804,-0.088136270449015,0.297139738258837,1.32282112550686,0.879756590145881,1.12232859505459,-0.376046768701567,0.770368434754198,-1.59361532695258,0.0819888697707934,0.362528265789763,-0.643229829248849,-2.44045069340513,-1.18954596071976,-0.22943024347962,1.27076373574687,-2.27545832791305,-1.95223036854987,-0.164772480968444,0.0616975313947169,-1.12022474451137,-0.0881838110015793,-0.566177701315308,-1.01950890542618
"PC 38:3;P/38:4;O",0.674930939160824,0.656094114469124,-0.0133603572757888,-0.0198345439313595,1.23385032261269,1.12741302650354,0.711452639054089,1.00801705522366,0.245941686765792,0.814577017345323,-0.073959808845424,0.682117531209572,1.17561377973072,0.591891050808585,-0.438934080298064,-0.496757868761943,0.538312951003005,-0.72914890850716,0.0341310782740635,-0.56882524973687,-0.389981439892611,0.992004516712441,-0.388700409359776,-0.159646142621154,-0.866195339083123,-1.23774959770425,-0.560473744555761,-0.459265847652595,-4.20358671345834,-0.992014299896588,0.38250514912055,0.660807470605788,-0.884992007758311,1.15587365551515,1.20325136835943,0.300578858101808,-0.152198926276159,0.0738287054603657,-0.136616424214473,-1.49095120620677
"PC 36:3;P/36:3;O",0.537113417168508,1.30853010189728,0.618065558538018,0.0276926300301037,1.16629724258488,1.03397916681017,0.705373052777119,0.748064437959715,0.467862482714041,1.03411790300488,0.147827371360553,0.355538805998567,1.04057302061196,0.64341085638443,-0.166825482001936,0.00856061157251085,0.120438520886919,-1.28345542883152,0.628158773533048,-0.655558169479289,-0.21950342826058,2.10807742248904,-0.140127654413718,-0.502430283407811,-1.06285069387226,-1.22328258323489,-0.386801964725336,-0.219821294666442,-3.4401872199392,-1.23035142603156,-0.045364522692195,0.828070784498393,-1.44731543981831,0.430356471244394,0.00716881529753153,0.429707516852118,-0.435685991043324,-0.0114678442707941,-0.0809018170582334,-1.84305372046677
