"PLSDA1","PLSDA2"
-0.0528618505532571,-0.0989792496144423
0.0796573842578415,-0.095243498057048
-0.0965004048854197,0.0647248796631932
0.0833837495055462,-0.090205052413631
-0.068818827715488,0.0627566512034433
-0.0967839575087417,0.146933761540832
-0.0722829622155952,0.242387329220965
-0.0957007481718661,0.0497126821473261
-0.0816886463345705,-0.00756105527243184
0.0549904628718385,0.175792998523972
0.0544877696845041,0.197459920620828
0.0516987253940213,0.172246287473071
-0.113627253983782,-0.0241415776145868
-0.0941375543532342,-0.00602996952249427
-0.111426904067643,0.0270129686585346
0.131509733094297,-0.0968893227304725
0.12744921867968,-0.0921511667049929
-0.0890488017496568,-0.031150269363791
0.130875860278779,-0.0900143250926075
0.131979131729523,-0.0846515355919905
0.128012942635912,-0.0852951202581688
0.130791708474149,-0.0691838249630707
0.12862738243116,-0.0752287079092418
0.12926246972606,-0.110533317118585
-0.12905470549719,0.0817658110571458
0.0880020401309848,-0.156516264528054
-0.103263580278,-0.109211622910979
-0.118028871548346,-0.0515482923503942
-0.112449820283577,0.0344715918531303
-0.121243532862691,-0.0555667236352262
-0.126018618958363,0.0518689503245
-0.100967984361141,0.0122514786022136
-0.11248656472789,-0.077454618900744
-0.124643416501121,0.0720151674387072
-0.126735795525927,0.0310953795255165
-0.121736798999582,0.0808357336516285
-0.128373179419501,0.0725252681416607
-0.0910452490970031,0.0576218331095162
-0.116941529682564,0.0675191763671693
-0.120793224424908,-0.0229510410744798
-0.12552845666175,0.0869287402628359
-0.128286757239969,0.0308773924869789
-0.129422672298018,0.0779224518221469
-0.128046687167587,0.0219504547738379
-0.127692045907431,0.0529424345932414
-0.104439313613551,-0.0358131731703189
-0.107881713962179,-0.0858230324284019
-0.125901145929253,0.0980834289862329
-0.126082174997287,0.0289978490140828
-0.125985644560403,0.0354071386695121
-0.12023612714802,0.0287906040349845
-0.129511198999743,0.0310059579728199
-0.127793560731463,0.0380875153841565
-0.124085439918097,0.0985512853243561
-0.108185564038441,-0.023557924055837
-0.118210954224318,0.0547145441008834
-0.122827688805325,0.0376730277386984
-0.118959063939892,0.0301603521219424
-0.129970076053059,0.064696320033091
-0.11397196272979,0.100468815627806
-0.0932061344860535,-0.111728238134348
-0.0978333880006701,-0.113337281542107
-0.132750998777091,0.0798583114139768
-0.1006580893061,-0.13815256353273
-0.0948127458677371,-0.189111541867356
-0.0793198551679026,-0.179519211641783
-0.0990796164174024,-0.136893196257785
-0.0763371124588148,-0.208818456104334
-0.0859080328158625,-0.146334196725899
-0.0931829668803983,-0.157122039438259
-0.104418375693744,-0.114991283270373
-0.0860847797851078,-0.171848149483235
-0.0932049123220039,-0.11908441964199
-0.105162526545396,-0.0872220601087861
-0.101186858063678,-0.114028865619995
-0.112013615041476,-0.115144666964257
-0.0887323761276669,-0.108920878339205
-0.0679453182306825,-0.155184366199902
-0.0659857923695006,-0.214445598947893
-0.09627354735055,-0.150387645099097
-0.0777736484977204,-0.128487049140858
-0.049025592886986,0.0339984274318281
-0.0706728980072385,0.076589785965135
0.0692464381111578,0.171778096720149
-0.104871924703341,0.13111660759224
-0.0663881949939706,0.109592841034207
0.0504860700159394,0.0533993855755632
0.0564194248779085,0.154935666985404
0.049283847875808,0.136662132494809
0.0966246746467487,0.0724429378394726
0.0927601828608817,0.0696354480847913
