"","sample_name","group","UMAP-1","UMAP-2"
"KT-539_D0_D60","KT-539_D0_D60","2","0.7886703564570503","0.1277505984673137"
"BS-671_D0_D60","BS-671_D0_D60","1","-0.6149103091313286","-0.5659706959357624"
"KT-805_D0_D60","KT-805_D0_D60","2","-0.02819222670335009","-0.3402464756598835"
"BS-336_D0_D60","BS-336_D0_D60","1","-0.3696000025822563","1.460640155352079"
"BS-082_D0_D60","BS-082_D0_D60","1","-1.039587681110088","1.30549403337332"
"BS-351_D0_D60","BS-351_D0_D60","1","-0.7440425799443169","1.057817660845243"
"BS-377_D0_D60","BS-377_D0_D60","1","0.6699688984797554","0.6867739787468548"
"KT-313_D0_D60","KT-313_D0_D60","1","-1.022117798145","1.959027015245878"
"BS-364_D0_D60","BS-364_D0_D60","2","-0.4105698512150688","-1.030319012128389"
"KT-880_D0_D60","KT-880_D0_D60","1","-1.119884674365704","1.725049220598661"
"JV-138_D0_D60","JV-138_D0_D60","2","1.599345023815449","-0.8034127125373249"
"KT-412_D0_D60","KT-412_D0_D60","2","-0.02927560072678759","-0.8406927952399617"
"KT-771_D0_D60","KT-771_D0_D60","2","1.238648708050068","-1.937949455701387"
"KT-723_D0_D60","KT-723_D0_D60","1","-1.554988567645733","-0.6173165211310749"
"KT-538_D0_D60","KT-538_D0_D60","1","-1.359245483691875","0.4204122653374309"
"KT-716_D0_D60","KT-716_D0_D60","2","0.4765847279475288","-1.116294659101046"
"KT-974_D0_D60","KT-974_D0_D60","1","0.008950526897724131","0.4732391467461223"
"KT-537_D0_D60","KT-537_D0_D60","2","1.851560886089619","-1.40942410322336"
"KT-445_D0_D60","KT-445_D0_D60","2","1.007146175091084","-1.651746309720552"
"BS-346_D0_D60","BS-346_D0_D60","1","-1.600382511432354","-0.1446011433234577"
"KT-663_D0_D60","KT-663_D0_D60","1","-0.3005353854252739","0.9199454417595501"
"KT-695_D0_D60","KT-695_D0_D60","1","-0.228889648730938","1.91035243181082"
"BS-064_D0_D60","BS-064_D0_D60","2","0.2903235508845405","-0.6559818157782917"
"KT-705_D0_D60","KT-705_D0_D60","1","-0.688432876880352","1.968432628191435"
"KT-347_D0_D60","KT-347_D0_D60","1","-0.8623163149907036","0.009397231615507096"
"KT-515_D0_D60","KT-515_D0_D60","2","0.07735710877638624","-1.611669100247896"
"KT-718_D0_D60","KT-718_D0_D60","1","0.04123574036818312","1.193236075914824"
"KT-417_D0_D60","KT-417_D0_D60","1","-0.2907068179203911","-0.3159821400275593"
"KT-522_D0_D60","KT-522_D0_D60","1","0.5015309407160835","0.9749419322380657"
"KT-312_D0_D60","KT-312_D0_D60","1","-0.4625656054570122","0.4376623263725872"
"JV-157_D0_D60","JV-157_D0_D60","1","-1.05639857512254","-0.3143389591803913"
"KT-193_D0_D60","KT-193_D0_D60","1","-0.8464376376225395","1.529513560808622"
"JV-035_D0_D60","JV-035_D0_D60","2","1.204065616314228","-0.4293606648078327"
"KT-434_D0_D60","KT-434_D0_D60","2","1.508318240825947","-1.312608517133272"
"KT-247_D0_D60","KT-247_D0_D60","2","1.310175235454853","-1.279795921765841"
"KT-612_D0_D60","KT-612_D0_D60","2","1.220252330486591","0.001534186876737564"
"KT-525_D0_D60","KT-525_D0_D60","2","0.9401906086848335","-0.4257543453803425"
"KT-352_D0_D60","KT-352_D0_D60","2","0.829398925487812","-1.809095896207369"
"JV-148_D0_D60","JV-148_D0_D60","1","-0.9346434519841118","0.4513413539299602"
